"Time","I38 - G_1","I38 - G_2","I38 - G_3","I38 - G_4","I39 - G_1","I39 - G_2","I39 - G_3","I39 - G_4","I40 - G_1","I40 - G_2","I40 - G_3","I40 - G_4","I41 - G_1","I41 - G_2","I41 - G_3","I41 - G_4","I42 - G_1","I42 - G_2","I42 - G_3","I42 - G_4","I43 - G_1","I43 - G_2","I43 - G_3","I43 - G_4","I44 - G_1","I44 - G_2","I44 - G_3","I44 - G_4","I46 - G_1","I46 - G_2","I46 - G_3","I46 - G_4","I47 - G_1","I47 - G_2","I47 - G_3","I47 - G_4","I48 - G_1","I48 - G_2","I48 - G_3","I48 - G_4"
2026-06-14 17:00:00,On,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
2026-06-14 19:00:00,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
2026-06-14 21:00:00,Off,Off,Off,Off,On,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
2026-06-14 23:00:00,On,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
2026-06-15 01:00:00,On,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
2026-06-15 03:00:00,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
2026-06-15 05:00:00,On,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
2026-06-15 07:00:00,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,On,On,On,,,,,Off,Off,Off,Off,,,,
2026-06-15 09:00:00,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,On,On,On,On,,,,,Off,Off,Off,Off,,,,
2026-06-15 11:00:00,Off,Off,Off,Off,On,On,On,On,On,On,On,On,On,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,On,On,On,On,,,,,Off,Off,Off,Off,,,,
2026-06-15 13:00:00,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,On,On,On,Off,Off,Off,Off,On,On,On,On,Off,Off,Off,Off,,,,,On,On,On,On,,,,
2026-06-15 15:00:00,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,,,,,,,,,,,,
2026-06-15 17:00:00,On,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,On,On,On,On,,,,
2026-06-15 19:00:00,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
2026-06-15 21:00:00,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
2026-06-15 23:00:00,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
2026-06-16 01:00:00,On,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,On,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
2026-06-16 03:00:00,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
2026-06-16 05:00:00,On,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,Off,Off,Off,Off,On,On,On,On,,,,,Off,Off,Off,Off,,,,
2026-06-16 07:00:00,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
2026-06-16 09:00:00,Off,Off,Off,Off,Off,Off,Off,Off,On,On,On,On,,,,,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,On,On,On,On,,,,
2026-06-16 11:00:00,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,On,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
2026-06-16 13:00:00,Off,Off,Off,Off,On,On,On,On,Off,Off,Off,Off,,,,,Off,Off,Off,Off,On,On,On,On,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
2026-06-16 15:00:00,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,On,On,On,On,Off,Off,Off,Off,On,On,On,On,,,,,Off,Off,Off,Off,,,,
2026-06-16 17:00:00,On,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,,,,,,,,,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
2026-06-16 19:00:00,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,,,,,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
2026-06-16 21:00:00,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
2026-06-16 23:00:00,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
2026-06-17 01:00:00,On,On,On,On,Off,Off,Off,Off,On,On,On,On,,,,,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
2026-06-17 03:00:00,,,,,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
2026-06-17 05:00:00,,,,,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
2026-06-17 07:00:00,On,On,On,On,Off,Off,Off,Off,On,On,On,On,,,,,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
2026-06-17 09:00:00,On,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,On,On,On,On,,,,
2026-06-17 11:00:00,,,,,Off,Off,Off,Off,Off,Off,Off,Off,,,,,On,On,On,On,Off,Off,Off,Off,On,On,On,On,,,,,Off,Off,Off,Off,,,,
2026-06-17 13:00:00,,,,,Off,Off,Off,Off,Off,Off,Off,Off,,,,,,,,,On,On,On,On,On,On,On,On,,,,,Off,Off,Off,Off,,,,
2026-06-17 15:00:00,,,,,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
2026-06-17 17:00:00,,,,,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,,,,,On,On,On,On,,,,
2026-06-17 19:00:00,,,,,Off,Off,Off,Off,Off,Off,Off,Off,On,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
2026-06-17 21:00:00,,,,,Off,Off,Off,Off,Off,Off,Off,Off,On,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
2026-06-17 23:00:00,,,,,Off,Off,Off,Off,Off,Off,Off,Off,On,On,On,On,Off,Off,Off,Off,On,On,On,On,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
2026-06-18 01:00:00,,,,,On,On,On,On,On,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
2026-06-18 03:00:00,,,,,,,,,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,On,On,On,On,,,,
2026-06-18 05:00:00,,,,,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,,,,,On,On,On,On,,,,
2026-06-18 07:00:00,,,,,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
2026-06-18 09:00:00,,,,,Off,Off,Off,Off,On,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,On,On,On,On,,,,
2026-06-18 11:00:00,,,,,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,On,On,On,On,On,On,On,Off,Off,Off,Off,,,,,On,On,On,On,,,,
2026-06-18 13:00:00,,,,,Off,Off,Off,Off,On,On,On,On,On,On,On,On,On,On,On,On,Off,Off,Off,Off,On,On,On,On,,,,,Off,Off,Off,Off,,,,
2026-06-18 15:00:00,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,On,On,On,On,,,,,Off,Off,Off,Off,,,,
2026-06-18 17:00:00,On,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,On,On,On,On,On,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
2026-06-18 19:00:00,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
2026-06-18 21:00:00,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
2026-06-18 23:00:00,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
2026-06-19 01:00:00,On,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,On,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
2026-06-19 03:00:00,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
2026-06-19 05:00:00,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
2026-06-19 07:00:00,Off,Off,Off,Off,Off,Off,Off,Off,On,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
2026-06-19 09:00:00,Off,Off,Off,Off,On,On,On,On,Off,Off,Off,Off,On,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
2026-06-19 11:00:00,Off,Off,Off,Off,Off,Off,Off,Off,On,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,On,On,On,On,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
2026-06-19 13:00:00,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,On,On,On,Off,Off,Off,Off,On,On,On,On,,,,,Off,Off,Off,Off,,,,
2026-06-19 15:00:00,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,On,On,On,,,,,Off,Off,Off,Off,,,,
2026-06-19 17:00:00,On,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,On,On,On,On,On,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
2026-06-19 19:00:00,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,On,On,On,On,,,,
2026-06-19 21:00:00,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
2026-06-19 23:00:00,On,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
2026-06-20 01:00:00,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
2026-06-20 03:00:00,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
2026-06-20 05:00:00,On,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,On,On,On,On,,,,,Off,Off,Off,Off,Off,Off,Off,Off,,,,,On,On,On,On,,,,
2026-06-20 07:00:00,Off,Off,Off,Off,Off,Off,Off,Off,On,On,On,On,Off,Off,Off,Off,,,,,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
2026-06-20 09:00:00,On,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,,,,,On,On,On,On,,,,
2026-06-20 11:00:00,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,On,On,On,On,On,On,On,Off,Off,Off,Off,On,On,On,On,,,,,Off,Off,Off,Off,,,,
2026-06-20 13:00:00,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,,,,,On,On,On,On,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
2026-06-20 15:00:00,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,On,On,On,On,,,,,Off,Off,Off,Off,,,,
2026-06-20 17:00:00,On,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
2026-06-20 19:00:00,On,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
2026-06-20 21:00:00,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
2026-06-20 23:00:00,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
2026-06-21 01:00:00,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
2026-06-21 03:00:00,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
2026-06-21 05:00:00,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
2026-06-21 07:00:00,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
2026-06-21 09:00:00,Off,Off,Off,Off,Off,Off,Off,Off,On,On,On,On,Off,Off,Off,Off,,,,,On,On,On,On,On,On,On,On,,,,,Off,Off,Off,Off,,,,
2026-06-21 11:00:00,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,,,,,On,On,On,On,,,,,,,,,On,On,On,On,,,,
2026-06-21 13:00:00,Off,Off,Off,Off,Off,Off,Off,Off,,,,,,,,,,,,,,,,,,,,,,,,,Off,Off,Off,Off,,,,
2026-06-21 15:00:00,Off,Off,Off,Off,Off,Off,Off,Off,,,,,On,On,On,On,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-21 17:00:00,On,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,Off,Off,Off,Off,,,,,On,On,On,On,,,,
2026-06-21 19:00:00,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
2026-06-21 21:00:00,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
2026-06-21 23:00:00,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
2026-06-22 01:00:00,On,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
2026-06-22 03:00:00,On,On,On,On,On,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,On,On,On,,,,,Off,Off,Off,Off,,,,
2026-06-22 05:00:00,On,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,,,,,On,On,On,On,,,,
2026-06-22 07:00:00,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,On,On,On,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
2026-06-22 09:00:00,Off,Off,Off,Off,Off,Off,Off,Off,On,On,On,On,Off,Off,Off,Off,On,On,On,On,On,On,On,On,Off,Off,Off,Off,,,,,On,On,On,On,,,,
2026-06-22 11:00:00,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,On,On,On,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
2026-06-22 13:00:00,Off,Off,Off,Off,On,On,On,On,Off,Off,Off,Off,On,On,On,On,On,On,On,On,,,,,On,On,On,On,,,,,On,On,On,On,,,,
2026-06-22 15:00:00,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,On,On,On,On,,,,,Off,Off,Off,Off,,,,
2026-06-22 17:00:00,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
2026-06-22 19:00:00,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
2026-06-22 21:00:00,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,On,On,On,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
