"Time","B_1 - I45","B_2 - I45","B_3 - I45","B_4 - I45","Center - I45","B_1 - I49","B_2 - I49","B_3 - I49","B_4 - I49","Center - I49","B_1 - I50","B_2 - I50","B_3 - I50","B_4 - I50","Center - I50","B_1 - I51","B_2 - I51","B_3 - I51","B_4 - I51","Center - I51","B_1 - I52","B_2 - I52","B_3 - I52","B_4 - I52","Center - I52","B_1 - I53","B_2 - I53","B_3 - I53","B_4 - I53","Center - I53","B_1 - I54","B_2 - I54","B_3 - I54","B_4 - I54","Center - I54","B_1 - I55","B_2 - I55","B_3 - I55","B_4 - I55","Center - I55","B_1 - I56","B_2 - I56","B_3 - I56","B_4 - I56","Center - I56","B_1 - I57","B_2 - I57","B_3 - I57","B_4 - I57","Center - I57","B_1 - I58","B_2 - I58","B_3 - I58","B_4 - I58","Center - I58","RPM "
2026-06-19 07:00:00,0.122 Mpa,1.02 Mpa,0.124 Mpa,0.122 Mpa,0 Mpa,0.113 Mpa,1.02 Mpa,0.114 Mpa,1.02 Mpa,0 Mpa,0.123 Mpa,0.119 Mpa,0.123 Mpa,0.119 Mpa,0 Mpa,0.121 Mpa,0.123 Mpa,0.121 Mpa,0.122 Mpa,,0.128 Mpa,1.02 Mpa,0.128 Mpa,0.127 Mpa,0 Mpa,0.118 Mpa,0.117 Mpa,0.116 Mpa,0.118 Mpa,0 Mpa,0.128 Mpa,0.126 Mpa,0.127 Mpa,0.127 Mpa,0 Mpa,,,,,,0.128 Mpa,0.131 Mpa,0.130 Mpa,0.128 Mpa,0 Mpa,0.121 Mpa,0.120 Mpa,0.122 Mpa,0.124 Mpa,0 Mpa,,,,,,1744 RPM
2026-06-19 09:00:00,0.122 Mpa,1.02 Mpa,0.124 Mpa,0.122 Mpa,0 Mpa,0.115 Mpa,1.02 Mpa,0.116 Mpa,1.02 Mpa,0 Mpa,0.123 Mpa,0.120 Mpa,0.124 Mpa,0.120 Mpa,0 Mpa,0.118 Mpa,0.121 Mpa,0.118 Mpa,0.119 Mpa,,0.132 Mpa,1.02 Mpa,0.131 Mpa,0.131 Mpa,0 Mpa,0.113 Mpa,0.113 Mpa,0.112 Mpa,0.115 Mpa,0 Mpa,0.128 Mpa,0.126 Mpa,0.126 Mpa,0.126 Mpa,0 Mpa,,,,,,0.129 Mpa,0.132 Mpa,0.131 Mpa,0.128 Mpa,0 Mpa,0.124 Mpa,0.123 Mpa,0.126 Mpa,0.128 Mpa,0 Mpa,,,,,,1797 RPM
2026-06-19 11:00:00,0.123 Mpa,1.02 Mpa,0.126 Mpa,0.124 Mpa,0 Mpa,0.116 Mpa,1.02 Mpa,0.117 Mpa,1.02 Mpa,0 Mpa,0.121 Mpa,0.118 Mpa,0.122 Mpa,0.118 Mpa,0 Mpa,0.110 Mpa,0.113 Mpa,0.110 Mpa,0.112 Mpa,,0.127 Mpa,1.02 Mpa,0.127 Mpa,0.126 Mpa,0 Mpa,0.115 Mpa,0.115 Mpa,0.114 Mpa,0.116 Mpa,0.00978 Mpa,0.126 Mpa,0.125 Mpa,0.125 Mpa,0.125 Mpa,0 Mpa,,,,,,0.129 Mpa,0.132 Mpa,0.131 Mpa,0.129 Mpa,0 Mpa,0.120 Mpa,0.119 Mpa,0.122 Mpa,0.126 Mpa,0 Mpa,,,,,,1700 RPM
2026-06-19 13:00:00,0.113 Mpa,1.02 Mpa,0.114 Mpa,0.112 Mpa,0 Mpa,0.116 Mpa,1.02 Mpa,0.116 Mpa,1.02 Mpa,0 Mpa,0.124 Mpa,0.120 Mpa,0.123 Mpa,0.120 Mpa,0 Mpa,0.101 Mpa,0.105 Mpa,0.104 Mpa,0.104 Mpa,,0.127 Mpa,1.02 Mpa,0.127 Mpa,0.126 Mpa,0 Mpa,0.1000 Mpa,0.1000 Mpa,0.1000 Mpa,0.1000 Mpa,0 Mpa,0.121 Mpa,0.119 Mpa,0.120 Mpa,0.119 Mpa,0.00855 Mpa,,,,,,0.128 Mpa,0.131 Mpa,0.130 Mpa,0.128 Mpa,0 Mpa,0.121 Mpa,0.120 Mpa,0.123 Mpa,0.125 Mpa,0 Mpa,,,,,,1602 RPM
2026-06-19 15:00:00,0.119 Mpa,1.02 Mpa,0.121 Mpa,0.120 Mpa,0 Mpa,0.115 Mpa,1.02 Mpa,0.115 Mpa,1.02 Mpa,0 Mpa,0.121 Mpa,0.118 Mpa,0.121 Mpa,0.118 Mpa,0 Mpa,0.104 Mpa,0.105 Mpa,0.104 Mpa,0.105 Mpa,,0.124 Mpa,1.02 Mpa,0.123 Mpa,0.123 Mpa,0 Mpa,0.116 Mpa,0.116 Mpa,0.114 Mpa,0.117 Mpa,0 Mpa,0.129 Mpa,0.127 Mpa,0.129 Mpa,0.127 Mpa,0 Mpa,,,,,,0.126 Mpa,0.129 Mpa,0.127 Mpa,0.125 Mpa,0 Mpa,0.118 Mpa,0.117 Mpa,0.119 Mpa,0.124 Mpa,0 Mpa,,,,,,1664 RPM
2026-06-19 17:00:00,0.121 Mpa,1.02 Mpa,0.122 Mpa,0.120 Mpa,0 Mpa,0.115 Mpa,1.01 Mpa,0.115 Mpa,1.01 Mpa,0.00667 Mpa,0.117 Mpa,0.114 Mpa,0.117 Mpa,0.114 Mpa,0 Mpa,0.113 Mpa,0.115 Mpa,0.113 Mpa,0.115 Mpa,,0.121 Mpa,1.02 Mpa,0.120 Mpa,0.120 Mpa,0 Mpa,0.116 Mpa,0.116 Mpa,0.115 Mpa,0.117 Mpa,0 Mpa,0.130 Mpa,0.128 Mpa,0.128 Mpa,0.127 Mpa,0 Mpa,0.1000 Mpa,0.1000 Mpa,0.1000 Mpa,0.986 Mpa,0.0593 Mpa,0.124 Mpa,0.126 Mpa,0.124 Mpa,0.124 Mpa,0 Mpa,0.117 Mpa,0.116 Mpa,0.119 Mpa,0.123 Mpa,0.0134 Mpa,,,,,,1605 RPM
2026-06-19 19:00:00,0.125 Mpa,1.02 Mpa,0.126 Mpa,0.125 Mpa,0 Mpa,0.111 Mpa,1.02 Mpa,0.112 Mpa,1.02 Mpa,0 Mpa,0.124 Mpa,0.120 Mpa,0.123 Mpa,0.120 Mpa,0 Mpa,0.115 Mpa,0.119 Mpa,0.115 Mpa,0.118 Mpa,,0.120 Mpa,1.02 Mpa,0.120 Mpa,0.119 Mpa,0 Mpa,0.121 Mpa,0.120 Mpa,0.120 Mpa,0.121 Mpa,0 Mpa,0.126 Mpa,0.125 Mpa,0.125 Mpa,0.125 Mpa,0 Mpa,0.104 Mpa,0.105 Mpa,0.105 Mpa,0.945 Mpa,0.142 Mpa,0.126 Mpa,0.129 Mpa,0.128 Mpa,0.126 Mpa,0 Mpa,,,,,,,,,,,1726 RPM
2026-06-19 21:00:00,0.118 Mpa,1.02 Mpa,0.121 Mpa,0.119 Mpa,0 Mpa,0.114 Mpa,1.02 Mpa,0.115 Mpa,1.02 Mpa,0 Mpa,0.118 Mpa,0.114 Mpa,0.117 Mpa,0.114 Mpa,0 Mpa,0.109 Mpa,0.113 Mpa,0.109 Mpa,0.112 Mpa,,0.122 Mpa,1.02 Mpa,0.121 Mpa,0.121 Mpa,0 Mpa,0.119 Mpa,0.118 Mpa,0.117 Mpa,0.119 Mpa,0 Mpa,0.125 Mpa,0.123 Mpa,0.124 Mpa,0.123 Mpa,0 Mpa,0.108 Mpa,0.108 Mpa,0.108 Mpa,0.999 Mpa,0.0345 Mpa,0.126 Mpa,0.129 Mpa,0.127 Mpa,0.126 Mpa,0 Mpa,,,,,,,,,,,1614 RPM
2026-06-19 23:00:00,0.118 Mpa,1.01 Mpa,0.120 Mpa,0.119 Mpa,0.00498 Mpa,0.114 Mpa,1.02 Mpa,0.115 Mpa,1.02 Mpa,0 Mpa,0.114 Mpa,0.110 Mpa,0.114 Mpa,0.110 Mpa,0 Mpa,0.116 Mpa,0.118 Mpa,0.116 Mpa,0.117 Mpa,,0.123 Mpa,1.02 Mpa,0.122 Mpa,0.121 Mpa,0 Mpa,0.114 Mpa,0.113 Mpa,0.112 Mpa,0.114 Mpa,0 Mpa,0.127 Mpa,0.125 Mpa,0.126 Mpa,0.125 Mpa,0 Mpa,0.125 Mpa,0.126 Mpa,0.126 Mpa,1.02 Mpa,0 Mpa,0.129 Mpa,0.133 Mpa,0.131 Mpa,0.130 Mpa,0 Mpa,0.118 Mpa,0.118 Mpa,0.119 Mpa,0.123 Mpa,0.128 Mpa,,,,,,1717 RPM
2026-06-20 01:00:00,0.121 Mpa,1.02 Mpa,0.123 Mpa,0.122 Mpa,0 Mpa,0.111 Mpa,1.00 Mpa,0.113 Mpa,1.00 Mpa,0.0316 Mpa,0.115 Mpa,0.112 Mpa,0.115 Mpa,0.111 Mpa,0 Mpa,0.115 Mpa,0.117 Mpa,0.114 Mpa,0.116 Mpa,,0.116 Mpa,1.01 Mpa,0.115 Mpa,0.116 Mpa,0.0108 Mpa,0.114 Mpa,0.114 Mpa,0.113 Mpa,0.115 Mpa,0 Mpa,0.121 Mpa,0.120 Mpa,0.121 Mpa,0.121 Mpa,0.0107 Mpa,0.122 Mpa,0.124 Mpa,0.124 Mpa,1.00 Mpa,0.0320 Mpa,0.119 Mpa,0.122 Mpa,0.121 Mpa,0.120 Mpa,0 Mpa,0.120 Mpa,0.119 Mpa,0.121 Mpa,0.125 Mpa,0 Mpa,,,,,,1489 RPM
2026-06-20 03:00:00,0.121 Mpa,1.02 Mpa,0.122 Mpa,0.121 Mpa,0 Mpa,0.110 Mpa,1.01 Mpa,0.112 Mpa,1.01 Mpa,0.00763 Mpa,0.119 Mpa,0.116 Mpa,0.118 Mpa,0.115 Mpa,0 Mpa,0.115 Mpa,0.118 Mpa,0.115 Mpa,0.117 Mpa,,0.118 Mpa,1.02 Mpa,0.118 Mpa,0.117 Mpa,0 Mpa,0.119 Mpa,0.118 Mpa,0.117 Mpa,0.119 Mpa,0 Mpa,0.122 Mpa,0.120 Mpa,0.121 Mpa,0.121 Mpa,0 Mpa,0.116 Mpa,0.117 Mpa,0.118 Mpa,1.02 Mpa,0 Mpa,0.124 Mpa,0.127 Mpa,0.125 Mpa,0.124 Mpa,0 Mpa,0.120 Mpa,0.119 Mpa,0.121 Mpa,0.126 Mpa,0 Mpa,,,,,,1671 RPM
2026-06-20 05:00:00,0.123 Mpa,1.01 Mpa,0.125 Mpa,0.124 Mpa,0.00861 Mpa,0.114 Mpa,1.02 Mpa,0.115 Mpa,1.02 Mpa,0 Mpa,0.110 Mpa,0.108 Mpa,0.110 Mpa,0.107 Mpa,0 Mpa,0.114 Mpa,0.117 Mpa,0.114 Mpa,0.116 Mpa,,0.116 Mpa,1.02 Mpa,0.115 Mpa,0.116 Mpa,0 Mpa,0.117 Mpa,0.118 Mpa,0.116 Mpa,0.118 Mpa,0.00967 Mpa,0.122 Mpa,0.121 Mpa,0.121 Mpa,0.121 Mpa,0 Mpa,0.111 Mpa,0.112 Mpa,0.113 Mpa,1.02 Mpa,0 Mpa,0.121 Mpa,0.125 Mpa,0.123 Mpa,0.122 Mpa,0.00224 Mpa,0.119 Mpa,0.118 Mpa,0.120 Mpa,0.125 Mpa,0 Mpa,,,,,,1458 RPM
