"Time","B_1 - I38","B_2 - I38","B_3 - I38","B_4 - I38","Center - I38","B_1 - I39","B_2 - I39","B_3 - I39","B_4 - I39","Center - I39","B_1 - I40","B_2 - I40","B_3 - I40","B_4 - I40","Center - I40","B_1 - I41","B_2 - I41","B_3 - I41","B_4 - I41","Center - I41","B_1 - I42","B_2 - I42","B_3 - I42","B_4 - I42","Center - I42","B_1 - I43","B_2 - I43","B_3 - I43","B_4 - I43","Center - I43","B_1 - I44","B_2 - I44","B_3 - I44","B_4 - I44","Center - I44","B_1 - I46","B_2 - I46","B_3 - I46","B_4 - I46","Center - I46","B_1 - I47","B_2 - I47","B_3 - I47","B_4 - I47","Center - I47","B_1 - I48","B_2 - I48","B_3 - I48","B_4 - I48","Center - I48","RPM "
2026-08-21 01:00:00,0.00414 Mpa,0.00159 Mpa,0.0248 Mpa,0.00721 Mpa,0 Mpa,6.10 Mpa,0.0000807 Mpa,0.000282 Mpa,6.10 Mpa,0 Mpa,0.0240 Mpa,0.0240 Mpa,0.0452 Mpa,0.0240 Mpa,0.0690 Mpa,0.210 Mpa,0.216 Mpa,0.212 Mpa,0.232 Mpa,0 Mpa,0.0109 Mpa,0.0233 Mpa,0.0221 Mpa,0.00896 Mpa,0 Mpa,0.00106 Mpa,0.000953 Mpa,0.000542 Mpa,0.000606 Mpa,0 Mpa,0.00672 Mpa,0.0570 Mpa,0.00146 Mpa,0.0952 Mpa,0.0430 Mpa,,,,,,,,,,,0.0359 Mpa,0.0596 Mpa,0.00257 Mpa,0.00621 Mpa,0.0298 Mpa,1643 RPM
2026-08-21 03:00:00,0.00301 Mpa,0.00112 Mpa,0.0265 Mpa,0.00436 Mpa,0 Mpa,6.10 Mpa,0.000275 Mpa,0.000360 Mpa,6.10 Mpa,0 Mpa,0.0297 Mpa,0.0268 Mpa,0.0393 Mpa,0.0225 Mpa,0 Mpa,0.171 Mpa,0.177 Mpa,0.171 Mpa,0.191 Mpa,0 Mpa,0.0129 Mpa,0.0300 Mpa,0.0275 Mpa,0.0114 Mpa,0 Mpa,0.00126 Mpa,0.000888 Mpa,0.000931 Mpa,0.000823 Mpa,0 Mpa,0.0204 Mpa,0.103 Mpa,0.00356 Mpa,0.135 Mpa,0 Mpa,,,,,,,,,,,0.0417 Mpa,0.0374 Mpa,0.00317 Mpa,0.00703 Mpa,0.0135 Mpa,1632 RPM
2026-08-21 05:00:00,0.00591 Mpa,0.00213 Mpa,0.0281 Mpa,0.00756 Mpa,0.00760 Mpa,6.10 Mpa,0.000143 Mpa,0.000286 Mpa,6.10 Mpa,0 Mpa,0.0286 Mpa,0.0186 Mpa,0.0379 Mpa,0.0154 Mpa,0 Mpa,0.155 Mpa,0.159 Mpa,0.155 Mpa,0.172 Mpa,0 Mpa,0.00979 Mpa,0.0251 Mpa,0.0230 Mpa,0.00820 Mpa,0 Mpa,0.00136 Mpa,0.00184 Mpa,0.000575 Mpa,0.000690 Mpa,0 Mpa,0.0188 Mpa,0.0562 Mpa,0.00470 Mpa,0.104 Mpa,0 Mpa,,,,,,,,,,,0.0327 Mpa,0.0202 Mpa,0.00276 Mpa,0.00614 Mpa,0 Mpa,1710 RPM
2026-08-21 07:00:00,0.00563 Mpa,0.00207 Mpa,0.0262 Mpa,0.00751 Mpa,0 Mpa,6.10 Mpa,0.000228 Mpa,0.000263 Mpa,6.10 Mpa,0 Mpa,0.0251 Mpa,0.0139 Mpa,0.0316 Mpa,0.00858 Mpa,0 Mpa,0.196 Mpa,0.199 Mpa,0.195 Mpa,0.212 Mpa,0 Mpa,0.00873 Mpa,0.0209 Mpa,0.0184 Mpa,0.00701 Mpa,0 Mpa,0.00127 Mpa,0.00108 Mpa,0.000710 Mpa,0.000575 Mpa,0 Mpa,0.0165 Mpa,0.0408 Mpa,0.00372 Mpa,0.0422 Mpa,0 Mpa,,,,,,,,,,,0.0298 Mpa,0.0176 Mpa,0.00220 Mpa,0.00387 Mpa,0 Mpa,1783 RPM
2026-08-21 09:00:00,0.00456 Mpa,0.00133 Mpa,0.0281 Mpa,0.00731 Mpa,0 Mpa,6.10 Mpa,0.000237 Mpa,0.000456 Mpa,6.10 Mpa,0 Mpa,0.0243 Mpa,0.0151 Mpa,0.0301 Mpa,0.00989 Mpa,0.00953 Mpa,0.192 Mpa,0.195 Mpa,0.190 Mpa,0.208 Mpa,0 Mpa,0.00790 Mpa,0.0230 Mpa,0.0175 Mpa,0.00730 Mpa,0 Mpa,0.000973 Mpa,0.000584 Mpa,0.000603 Mpa,0.000545 Mpa,0.0129 Mpa,0.0211 Mpa,0.0365 Mpa,0.00415 Mpa,0.0613 Mpa,0 Mpa,,,,,,,,,,,0.0299 Mpa,0.0197 Mpa,0.00253 Mpa,0.00559 Mpa,0 Mpa,1729 RPM
2026-08-21 11:00:00,0.00516 Mpa,0.00193 Mpa,0.0290 Mpa,0.00861 Mpa,0.0251 Mpa,6.10 Mpa,0.000120 Mpa,0.000120 Mpa,6.10 Mpa,0 Mpa,0.0236 Mpa,0.0126 Mpa,0.0299 Mpa,0.00673 Mpa,0 Mpa,0.187 Mpa,0.189 Mpa,0.186 Mpa,0.206 Mpa,0 Mpa,0.00741 Mpa,0.0226 Mpa,0.0150 Mpa,0.00607 Mpa,0 Mpa,0.00235 Mpa,0.00503 Mpa,0.000839 Mpa,0.00185 Mpa,0.0537 Mpa,0.0196 Mpa,0.0364 Mpa,0.00475 Mpa,0.0637 Mpa,0 Mpa,,,,,,,,,,,0.0276 Mpa,0.0137 Mpa,0.00158 Mpa,0.00615 Mpa,0 Mpa,1738 RPM
2026-08-21 13:00:00,0.00323 Mpa,0.00115 Mpa,0.0265 Mpa,0.00618 Mpa,0 Mpa,6.10 Mpa,0.000243 Mpa,0.000324 Mpa,6.10 Mpa,0 Mpa,0.0220 Mpa,0.00959 Mpa,0.0281 Mpa,0.00584 Mpa,0 Mpa,0.237 Mpa,0.240 Mpa,0.237 Mpa,0.255 Mpa,0 Mpa,0.0240 Mpa,0.0480 Mpa,0.0468 Mpa,0.0240 Mpa,0 Mpa,0 Mpa,0 Mpa,0 Mpa,0 Mpa,0 Mpa,0.0187 Mpa,0.0343 Mpa,0.00485 Mpa,0.0676 Mpa,0.0162 Mpa,,,,,,,,,,,0.0292 Mpa,0.0177 Mpa,0.00150 Mpa,0.00607 Mpa,0 Mpa,1579 RPM
2026-08-21 15:00:00,0.00315 Mpa,0.000649 Mpa,0.0252 Mpa,0.00437 Mpa,0 Mpa,6.10 Mpa,0.000531 Mpa,0.000708 Mpa,6.10 Mpa,0 Mpa,0.0207 Mpa,0.0108 Mpa,0.0278 Mpa,0.00755 Mpa,0 Mpa,0.192 Mpa,0.197 Mpa,0.192 Mpa,0.212 Mpa,0 Mpa,0.0106 Mpa,0.0295 Mpa,0.0223 Mpa,0.0106 Mpa,0 Mpa,0.000481 Mpa,0.000561 Mpa,0.000160 Mpa,0.000240 Mpa,0 Mpa,,,,,,,,,,,,,,,,0.0294 Mpa,0.0216 Mpa,0.00178 Mpa,0.00613 Mpa,0 Mpa,1750 RPM
2026-08-21 17:00:00,0.00394 Mpa,0.00135 Mpa,0.0263 Mpa,0.00592 Mpa,0.0108 Mpa,6.10 Mpa,0.000337 Mpa,0.000547 Mpa,6.10 Mpa,0 Mpa,0.0240 Mpa,0.0126 Mpa,0.0295 Mpa,0.00777 Mpa,0 Mpa,0.214 Mpa,0.221 Mpa,0.214 Mpa,0.236 Mpa,0 Mpa,0.0247 Mpa,0.0485 Mpa,0.0432 Mpa,0.0246 Mpa,0 Mpa,0.00107 Mpa,0.00172 Mpa,0.000249 Mpa,0.000402 Mpa,0 Mpa,,,,,,,,,,,,,,,,0.0301 Mpa,0.0259 Mpa,0.00142 Mpa,0.00547 Mpa,0 Mpa,1523 RPM
2026-08-21 19:00:00,0.00393 Mpa,0.00177 Mpa,0.0191 Mpa,0.00622 Mpa,0 Mpa,6.10 Mpa,0.000222 Mpa,0.000291 Mpa,6.10 Mpa,0 Mpa,0.0214 Mpa,0.0114 Mpa,0.0284 Mpa,0.00642 Mpa,0 Mpa,0.215 Mpa,0.223 Mpa,0.214 Mpa,0.238 Mpa,0.0212 Mpa,0.0242 Mpa,0.0483 Mpa,0.0481 Mpa,0.0241 Mpa,0 Mpa,0.00109 Mpa,0.000944 Mpa,0.000581 Mpa,0.000526 Mpa,0 Mpa,,,,,,,,,,,,,,,,0.0321 Mpa,0.0319 Mpa,0.00187 Mpa,0.00657 Mpa,0 Mpa,1582 RPM
