"Time","B_1 - I38","B_2 - I38","B_3 - I38","B_4 - I38","Center - I38","B_1 - I39","B_2 - I39","B_3 - I39","B_4 - I39","Center - I39","B_1 - I40","B_2 - I40","B_3 - I40","B_4 - I40","Center - I40","B_1 - I41","B_2 - I41","B_3 - I41","B_4 - I41","Center - I41","B_1 - I42","B_2 - I42","B_3 - I42","B_4 - I42","Center - I42","B_1 - I43","B_2 - I43","B_3 - I43","B_4 - I43","Center - I43","B_1 - I44","B_2 - I44","B_3 - I44","B_4 - I44","Center - I44","B_1 - I46","B_2 - I46","B_3 - I46","B_4 - I46","Center - I46","B_1 - I47","B_2 - I47","B_3 - I47","B_4 - I47","Center - I47","B_1 - I48","B_2 - I48","B_3 - I48","B_4 - I48","Center - I48","RPM "
2026-06-12 13:00:00,0.0701 Mpa,0.0529 Mpa,0.0707 Mpa,0.0760 Mpa,0 Mpa,0.00512 Mpa,6.10 Mpa,6.10 Mpa,0.00458 Mpa,0 Mpa,0.0191 Mpa,0.0227 Mpa,0.0361 Mpa,0.0162 Mpa,0 Mpa,0.106 Mpa,0.131 Mpa,0.426 Mpa,0.192 Mpa,0 Mpa,0 Mpa,0.0480 Mpa,0.0480 Mpa,0 Mpa,0 Mpa,0.00971 Mpa,0.00728 Mpa,0.00620 Mpa,0.00674 Mpa,0 Mpa,0.0173 Mpa,0.0114 Mpa,0.00505 Mpa,0.0345 Mpa,0 Mpa,,,,,,0 Mpa,0 Mpa,0.0240 Mpa,0.0240 Mpa,0 Mpa,,,,,,1556 RPM
2026-06-12 15:00:00,0.0716 Mpa,0.0564 Mpa,0.0714 Mpa,0.0781 Mpa,0 Mpa,0.00724 Mpa,6.10 Mpa,6.10 Mpa,0.00687 Mpa,0 Mpa,0.0214 Mpa,0.0218 Mpa,0.0309 Mpa,0.0131 Mpa,0 Mpa,0.132 Mpa,0.130 Mpa,0.338 Mpa,0.163 Mpa,0.0167 Mpa,0.00521 Mpa,0.0370 Mpa,0.0339 Mpa,0.00151 Mpa,0 Mpa,0.00890 Mpa,0.00720 Mpa,0.00453 Mpa,0.00586 Mpa,0 Mpa,0.0163 Mpa,0.00731 Mpa,0.00396 Mpa,0.106 Mpa,0 Mpa,,,,,,0 Mpa,0 Mpa,0.0237 Mpa,0.0237 Mpa,0.0789 Mpa,,,,,,1642 RPM
2026-06-12 17:00:00,0.0366 Mpa,0.0285 Mpa,0.0410 Mpa,0.0522 Mpa,0.0433 Mpa,0.00290 Mpa,6.10 Mpa,6.10 Mpa,0.00269 Mpa,0 Mpa,0.0222 Mpa,0.0198 Mpa,0.0316 Mpa,0.0136 Mpa,0 Mpa,0.107 Mpa,0.0906 Mpa,0.111 Mpa,0.0920 Mpa,0.0132 Mpa,0.00630 Mpa,0.0377 Mpa,0.0348 Mpa,0.00181 Mpa,0 Mpa,0.00684 Mpa,0.00580 Mpa,0.00302 Mpa,0.00429 Mpa,0 Mpa,0.0158 Mpa,0.00655 Mpa,0.00330 Mpa,0.0966 Mpa,0 Mpa,,,,,,,,,,,,,,,,1542 RPM
2026-06-12 19:00:00,0.0367 Mpa,0.0240 Mpa,0.0475 Mpa,0.0480 Mpa,0 Mpa,0.00299 Mpa,6.10 Mpa,6.10 Mpa,0.00293 Mpa,0 Mpa,0.0200 Mpa,0.0154 Mpa,0.0295 Mpa,0.00947 Mpa,0 Mpa,0.115 Mpa,0.0975 Mpa,0.150 Mpa,0.113 Mpa,0 Mpa,0.00637 Mpa,0.0361 Mpa,0.0343 Mpa,0.00184 Mpa,0 Mpa,0.00976 Mpa,0.00790 Mpa,0.00436 Mpa,0.00564 Mpa,0 Mpa,0.0139 Mpa,0.00670 Mpa,0.00353 Mpa,0.105 Mpa,0 Mpa,,,,,,,,,,,,,,,,1717 RPM
2026-06-12 21:00:00,0.0646 Mpa,0.0625 Mpa,0.0693 Mpa,0.0722 Mpa,0.0473 Mpa,0.000709 Mpa,6.10 Mpa,6.10 Mpa,0.00104 Mpa,0 Mpa,0.0194 Mpa,0.0160 Mpa,0.0312 Mpa,0.0104 Mpa,0 Mpa,0.100 Mpa,0.0814 Mpa,0.189 Mpa,0.147 Mpa,0 Mpa,0.00586 Mpa,0.0427 Mpa,0.0376 Mpa,0.00199 Mpa,0 Mpa,0.0104 Mpa,0.00861 Mpa,0.00493 Mpa,0.00646 Mpa,0 Mpa,0.0159 Mpa,0.00697 Mpa,0.00351 Mpa,0.0943 Mpa,0 Mpa,,,,,,0.000112 Mpa,0.0000558 Mpa,0.0238 Mpa,0.0254 Mpa,0.0870 Mpa,,,,,,1657 RPM
2026-06-12 23:00:00,0.0465 Mpa,0.0425 Mpa,0.0488 Mpa,0.0540 Mpa,0.0177 Mpa,0.00206 Mpa,6.10 Mpa,6.10 Mpa,0.00213 Mpa,0 Mpa,0.0204 Mpa,0.0184 Mpa,0.0325 Mpa,0.0103 Mpa,0 Mpa,0.0926 Mpa,0.0758 Mpa,0.237 Mpa,0.204 Mpa,0 Mpa,0.00634 Mpa,0.0413 Mpa,0.0382 Mpa,0.00239 Mpa,0 Mpa,0.0146 Mpa,0.0129 Mpa,0.00535 Mpa,0.00770 Mpa,0 Mpa,0.0134 Mpa,0.00547 Mpa,0.00289 Mpa,0.139 Mpa,0 Mpa,,,,,,,,,,,,,,,,1532 RPM
2026-06-13 01:00:00,0.0448 Mpa,0.0352 Mpa,0.0447 Mpa,0.0560 Mpa,0 Mpa,0.00239 Mpa,6.10 Mpa,6.10 Mpa,0.00280 Mpa,0 Mpa,0.0230 Mpa,0.0225 Mpa,0.0319 Mpa,0.0125 Mpa,0 Mpa,0.100 Mpa,0.0886 Mpa,0.192 Mpa,0.164 Mpa,0 Mpa,0.00188 Mpa,0.0461 Mpa,0.0446 Mpa,0.000861 Mpa,0 Mpa,0.0107 Mpa,0.00965 Mpa,0.00573 Mpa,0.00716 Mpa,0 Mpa,0.00880 Mpa,0.00236 Mpa,0.00109 Mpa,0.0786 Mpa,0 Mpa,,,,,,,,,,,,,,,,1449 RPM
2026-06-13 03:00:00,0.0450 Mpa,0.0352 Mpa,0.0439 Mpa,0.0548 Mpa,0 Mpa,0.00269 Mpa,6.10 Mpa,6.10 Mpa,0.00238 Mpa,0 Mpa,0.0225 Mpa,0.0258 Mpa,0.0341 Mpa,0.0152 Mpa,0 Mpa,0.108 Mpa,0.0931 Mpa,0.147 Mpa,0.106 Mpa,0 Mpa,0.00459 Mpa,0.0475 Mpa,0.0425 Mpa,0.00212 Mpa,0 Mpa,0.0130 Mpa,0.0129 Mpa,0.00674 Mpa,0.00884 Mpa,0 Mpa,0.0118 Mpa,0.00403 Mpa,0.00156 Mpa,0.0540 Mpa,0 Mpa,,,,,,,,,,,,,,,,1590 RPM
2026-06-13 05:00:00,0.0401 Mpa,0.0307 Mpa,0.0386 Mpa,0.0494 Mpa,0.00718 Mpa,0.00234 Mpa,6.10 Mpa,6.10 Mpa,0.00245 Mpa,0 Mpa,0.0269 Mpa,0.0276 Mpa,0.0349 Mpa,0.0188 Mpa,0 Mpa,0.101 Mpa,0.0804 Mpa,0.171 Mpa,0.0937 Mpa,0 Mpa,0.00616 Mpa,0.0524 Mpa,0.0471 Mpa,0.00337 Mpa,0.00882 Mpa,0.0133 Mpa,0.0127 Mpa,0.00523 Mpa,0.00696 Mpa,0 Mpa,0.00975 Mpa,0.00366 Mpa,0.00158 Mpa,0.103 Mpa,0 Mpa,,,,,,,,,,,,,,,,1438 RPM
2026-06-13 07:00:00,0.0352 Mpa,0.0235 Mpa,0.0345 Mpa,0.0461 Mpa,0 Mpa,0.00216 Mpa,6.10 Mpa,6.10 Mpa,0.00198 Mpa,0 Mpa,0.0239 Mpa,0.0233 Mpa,0.0363 Mpa,0.0151 Mpa,0 Mpa,0.117 Mpa,0.0993 Mpa,0.134 Mpa,0.104 Mpa,0 Mpa,0.00549 Mpa,0.0422 Mpa,0.0381 Mpa,0.00274 Mpa,0 Mpa,0.0151 Mpa,0.0136 Mpa,0.00831 Mpa,0.00901 Mpa,0 Mpa,0.0123 Mpa,0.00226 Mpa,0.00133 Mpa,0.137 Mpa,0 Mpa,,,,,,,,,,,,,,,,1565 RPM
2026-06-13 09:00:00,0.0239 Mpa,0.0131 Mpa,0.0224 Mpa,0.0314 Mpa,0 Mpa,0.00335 Mpa,6.10 Mpa,6.10 Mpa,0.00291 Mpa,0 Mpa,0.0135 Mpa,0.0170 Mpa,0.0336 Mpa,0.00996 Mpa,0 Mpa,0.122 Mpa,0.101 Mpa,0.161 Mpa,0.149 Mpa,0 Mpa,0.00524 Mpa,0.0449 Mpa,0.0432 Mpa,0.00195 Mpa,0 Mpa,0.0133 Mpa,0.0102 Mpa,0.00627 Mpa,0.00691 Mpa,0 Mpa,0.0143 Mpa,0.00635 Mpa,0.00392 Mpa,0.118 Mpa,0 Mpa,,,,,,,,,,,,,,,,1615 RPM
2026-06-13 11:00:00,0.0386 Mpa,0.0256 Mpa,0.0389 Mpa,0.0464 Mpa,0 Mpa,0.000981 Mpa,6.10 Mpa,6.10 Mpa,0.00124 Mpa,0 Mpa,0.0111 Mpa,0.0130 Mpa,0.0272 Mpa,0.00786 Mpa,0 Mpa,0.120 Mpa,0.103 Mpa,0.184 Mpa,0.148 Mpa,0 Mpa,0.00523 Mpa,0.0384 Mpa,0.0332 Mpa,0.00247 Mpa,0 Mpa,0.0233 Mpa,0.0231 Mpa,0.0000676 Mpa,0.00550 Mpa,0.00749 Mpa,0.0137 Mpa,0.00517 Mpa,0.00322 Mpa,0.0766 Mpa,0.0258 Mpa,,,,,,,,,,,,,,,,1484 RPM
2026-06-13 13:00:00,0.0403 Mpa,0.0290 Mpa,0.0428 Mpa,0.0502 Mpa,0 Mpa,0.00191 Mpa,6.10 Mpa,6.10 Mpa,0.00171 Mpa,0 Mpa,0.00792 Mpa,0.0132 Mpa,0.0303 Mpa,0.0100 Mpa,0.0106 Mpa,0.101 Mpa,0.0868 Mpa,0.157 Mpa,0.0916 Mpa,0.0624 Mpa,0.00452 Mpa,0.0341 Mpa,0.0298 Mpa,0.00226 Mpa,0.00471 Mpa,0.0241 Mpa,0.0244 Mpa,0.00144 Mpa,0.0112 Mpa,0 Mpa,0.0111 Mpa,0.00484 Mpa,0.00249 Mpa,0.0933 Mpa,0 Mpa,,,,,,,,,,,,,,,,1440 RPM
2026-06-13 15:00:00,0.0405 Mpa,0.0302 Mpa,0.0437 Mpa,0.0498 Mpa,0 Mpa,0.00138 Mpa,6.10 Mpa,6.10 Mpa,0.00127 Mpa,0 Mpa,0.0147 Mpa,0.0117 Mpa,0.0253 Mpa,0.00988 Mpa,0 Mpa,0.106 Mpa,0.0887 Mpa,0.158 Mpa,0.124 Mpa,0 Mpa,0.00429 Mpa,0.0319 Mpa,0.0268 Mpa,0.00183 Mpa,0 Mpa,0.0166 Mpa,0.0125 Mpa,0.00682 Mpa,0.00693 Mpa,0 Mpa,0.0101 Mpa,0.00393 Mpa,0.00222 Mpa,0.0773 Mpa,0 Mpa,0.0588 Mpa,0.0341 Mpa,0.103 Mpa,0.0770 Mpa,0 Mpa,,,,,,,,,,,1714 RPM
2026-06-13 17:00:00,0.0544 Mpa,0.0480 Mpa,0.0576 Mpa,0.0666 Mpa,0.00811 Mpa,0.00133 Mpa,6.10 Mpa,6.10 Mpa,0.00142 Mpa,0 Mpa,0.00923 Mpa,0.0117 Mpa,0.0276 Mpa,0.00969 Mpa,0 Mpa,0.141 Mpa,0.140 Mpa,0.207 Mpa,0.179 Mpa,0 Mpa,0.00165 Mpa,0.0319 Mpa,0.0291 Mpa,0.00103 Mpa,0.0517 Mpa,0.0116 Mpa,0.00852 Mpa,0.00682 Mpa,0.00678 Mpa,0 Mpa,0.00805 Mpa,0.00341 Mpa,0.00164 Mpa,0.0897 Mpa,0 Mpa,0.0596 Mpa,0.0284 Mpa,0.0995 Mpa,0.0815 Mpa,0.0110 Mpa,,,,,,,,,,,1524 RPM
2026-06-13 19:00:00,0.0669 Mpa,0.0616 Mpa,0.0724 Mpa,0.0775 Mpa,0 Mpa,0.00169 Mpa,6.10 Mpa,6.10 Mpa,0.00209 Mpa,0 Mpa,0.0113 Mpa,0.0221 Mpa,0.0328 Mpa,0.0152 Mpa,0 Mpa,0.124 Mpa,0.124 Mpa,0.203 Mpa,0.165 Mpa,0 Mpa,0.00939 Mpa,0.0480 Mpa,0.0480 Mpa,0 Mpa,0.0274 Mpa,0.0127 Mpa,0.00977 Mpa,0.00714 Mpa,0.00803 Mpa,0 Mpa,0.0115 Mpa,0.00598 Mpa,0.00262 Mpa,0.130 Mpa,0 Mpa,0.0531 Mpa,0.0230 Mpa,0.0962 Mpa,0.0748 Mpa,0 Mpa,,,,,,,,,,,1627 RPM
2026-06-13 21:00:00,0.0522 Mpa,0.0482 Mpa,0.0605 Mpa,0.0670 Mpa,0 Mpa,0.00424 Mpa,6.10 Mpa,6.10 Mpa,0.00350 Mpa,0 Mpa,0.0127 Mpa,0.0238 Mpa,0.0330 Mpa,0.0159 Mpa,0 Mpa,0.123 Mpa,0.142 Mpa,0.227 Mpa,0.261 Mpa,0 Mpa,0.0240 Mpa,0.0689 Mpa,0.0493 Mpa,0.000150 Mpa,0.0780 Mpa,0.0129 Mpa,0.0106 Mpa,0.00733 Mpa,0.00778 Mpa,0 Mpa,0.00958 Mpa,0.00618 Mpa,0.00312 Mpa,0.125 Mpa,0 Mpa,,,,,,,,,,,,,,,,1465 RPM
2026-06-13 23:00:00,0.0461 Mpa,0.0386 Mpa,0.0523 Mpa,0.0548 Mpa,0.00864 Mpa,0.00399 Mpa,6.10 Mpa,6.10 Mpa,0.00392 Mpa,0 Mpa,0.0146 Mpa,0.0196 Mpa,0.0329 Mpa,0.0133 Mpa,0 Mpa,0.192 Mpa,0.186 Mpa,0.252 Mpa,0.221 Mpa,0 Mpa,0.0141 Mpa,0.0588 Mpa,0.0504 Mpa,0.00263 Mpa,0 Mpa,0.0143 Mpa,0.0120 Mpa,0.00780 Mpa,0.00970 Mpa,0 Mpa,0.0100 Mpa,0.00443 Mpa,0.00202 Mpa,0.116 Mpa,0 Mpa,,,,,,0 Mpa,0 Mpa,0.0239 Mpa,0.0248 Mpa,0.0218 Mpa,,,,,,1531 RPM
2026-06-14 01:00:00,0.0355 Mpa,0.0253 Mpa,0.0387 Mpa,0.0440 Mpa,0 Mpa,0.00510 Mpa,6.10 Mpa,6.10 Mpa,0.00504 Mpa,0.0225 Mpa,0.0127 Mpa,0.0206 Mpa,0.0311 Mpa,0.0126 Mpa,0 Mpa,0.130 Mpa,0.123 Mpa,0.267 Mpa,0.265 Mpa,0 Mpa,0.00726 Mpa,0.0438 Mpa,0.0379 Mpa,0.00210 Mpa,0 Mpa,0.0122 Mpa,0.00955 Mpa,0.00667 Mpa,0.00768 Mpa,0 Mpa,0.0108 Mpa,0.00548 Mpa,0.00267 Mpa,0.0482 Mpa,0 Mpa,,,,,,,,,,,,,,,,1573 RPM
2026-06-14 03:00:00,0.0557 Mpa,0.0490 Mpa,0.0592 Mpa,0.0682 Mpa,0 Mpa,0.00628 Mpa,6.10 Mpa,6.10 Mpa,0.00516 Mpa,0 Mpa,0.0158 Mpa,0.0217 Mpa,0.0329 Mpa,0.0143 Mpa,0 Mpa,0.190 Mpa,0.171 Mpa,0.259 Mpa,0.271 Mpa,0 Mpa,0.00803 Mpa,0.0445 Mpa,0.0380 Mpa,0.00277 Mpa,0 Mpa,0.0136 Mpa,0.0122 Mpa,0.00669 Mpa,0.0102 Mpa,0 Mpa,0.0119 Mpa,0.00595 Mpa,0.00320 Mpa,0.0568 Mpa,0 Mpa,,,,,,0 Mpa,0 Mpa,0.0239 Mpa,0.0249 Mpa,0.0293 Mpa,,,,,,1658 RPM
2026-06-14 05:00:00,0.0530 Mpa,0.0455 Mpa,0.0558 Mpa,0.0632 Mpa,0.00784 Mpa,0.00146 Mpa,6.10 Mpa,6.10 Mpa,0.00152 Mpa,0 Mpa,0.0163 Mpa,0.0267 Mpa,0.0328 Mpa,0.0208 Mpa,0 Mpa,0.133 Mpa,0.115 Mpa,0.224 Mpa,0.209 Mpa,0 Mpa,0.00938 Mpa,0.0431 Mpa,0.0393 Mpa,0.00332 Mpa,0 Mpa,0.0139 Mpa,0.0113 Mpa,0.00597 Mpa,0.00892 Mpa,0 Mpa,0.00934 Mpa,0.00425 Mpa,0.00228 Mpa,0.0514 Mpa,0 Mpa,,,,,,0.000116 Mpa,0.000186 Mpa,0.0233 Mpa,0.0247 Mpa,0.0116 Mpa,,,,,,1489 RPM
2026-06-14 07:00:00,0.0480 Mpa,0.0404 Mpa,0.0504 Mpa,0.0620 Mpa,0 Mpa,0.00207 Mpa,6.10 Mpa,6.10 Mpa,0.00189 Mpa,0 Mpa,0.0227 Mpa,0.0263 Mpa,0.0370 Mpa,0.0185 Mpa,0 Mpa,0.205 Mpa,0.188 Mpa,0.335 Mpa,0.246 Mpa,0 Mpa,0.00697 Mpa,0.0380 Mpa,0.0338 Mpa,0.00197 Mpa,0 Mpa,0.0165 Mpa,0.0127 Mpa,0.00802 Mpa,0.00925 Mpa,0 Mpa,0.0120 Mpa,0.00531 Mpa,0.00251 Mpa,0.0543 Mpa,0 Mpa,,,,,,0.000369 Mpa,0.000878 Mpa,0.00780 Mpa,0.0121 Mpa,0 Mpa,,,,,,1709 RPM
2026-06-14 09:00:00,0.0507 Mpa,0.0396 Mpa,0.0546 Mpa,0.0604 Mpa,0 Mpa,0.00199 Mpa,6.10 Mpa,6.10 Mpa,0.00197 Mpa,0 Mpa,0.0229 Mpa,0.0237 Mpa,0.0256 Mpa,0.00560 Mpa,0.0161 Mpa,0.193 Mpa,0.172 Mpa,0.323 Mpa,0.265 Mpa,0 Mpa,0.00655 Mpa,0.0357 Mpa,0.0315 Mpa,0.00217 Mpa,0 Mpa,0.0167 Mpa,0.0124 Mpa,0.00899 Mpa,0.00945 Mpa,0 Mpa,0.0141 Mpa,0.00480 Mpa,0.00232 Mpa,0.0829 Mpa,0.00975 Mpa,,,,,,0.000610 Mpa,0.00126 Mpa,0.00248 Mpa,0.00641 Mpa,0 Mpa,,,,,,1628 RPM
2026-06-14 11:00:00,0.0250 Mpa,0.0191 Mpa,0.0262 Mpa,0.0330 Mpa,0 Mpa,0.00307 Mpa,6.10 Mpa,6.10 Mpa,0.00242 Mpa,0 Mpa,0.0268 Mpa,0.0279 Mpa,0.0458 Mpa,0.0258 Mpa,0.00747 Mpa,0.202 Mpa,0.184 Mpa,0.353 Mpa,0.326 Mpa,0 Mpa,0.00551 Mpa,0.0378 Mpa,0.0289 Mpa,0.00218 Mpa,0 Mpa,0.0139 Mpa,0.00857 Mpa,0.00650 Mpa,0.00627 Mpa,0 Mpa,0.0152 Mpa,0.00455 Mpa,0.00233 Mpa,0.0753 Mpa,0 Mpa,,,,,,0.00220 Mpa,0.00444 Mpa,0.00945 Mpa,0.0160 Mpa,0 Mpa,,,,,,1574 RPM
2026-06-14 13:00:00,0.00467 Mpa,0.00295 Mpa,0.00886 Mpa,0.0218 Mpa,0 Mpa,0.00255 Mpa,6.10 Mpa,6.10 Mpa,0.00206 Mpa,0 Mpa,0.0276 Mpa,0.0261 Mpa,0.0364 Mpa,0.0161 Mpa,0 Mpa,0.171 Mpa,0.150 Mpa,0.251 Mpa,0.268 Mpa,0.00826 Mpa,0.00539 Mpa,0.0388 Mpa,0.0329 Mpa,0.00160 Mpa,0.0376 Mpa,0.0137 Mpa,0.0103 Mpa,0.00650 Mpa,0.00752 Mpa,0.0203 Mpa,0.0155 Mpa,0.00516 Mpa,0.00322 Mpa,0.0709 Mpa,0 Mpa,,,,,,0.00340 Mpa,0.00518 Mpa,0.0110 Mpa,0.0158 Mpa,0 Mpa,,,,,,1609 RPM
2026-06-14 15:00:00,0.0265 Mpa,0.0193 Mpa,0.0303 Mpa,0.0381 Mpa,0 Mpa,0.00335 Mpa,6.10 Mpa,6.10 Mpa,0.00268 Mpa,0 Mpa,0.0273 Mpa,0.0218 Mpa,0.0351 Mpa,0.0141 Mpa,0 Mpa,0.201 Mpa,0.182 Mpa,0.287 Mpa,0.271 Mpa,0 Mpa,0.00351 Mpa,0.0458 Mpa,0.0272 Mpa,0.00216 Mpa,0.437 Mpa,0.00889 Mpa,0.00712 Mpa,0.00456 Mpa,0.00522 Mpa,0 Mpa,0.0133 Mpa,0.00589 Mpa,0.00264 Mpa,0.0864 Mpa,0 Mpa,,,,,,0.00206 Mpa,0.00300 Mpa,0.0120 Mpa,0.0200 Mpa,0.0107 Mpa,,,,,,1671 RPM
2026-06-14 17:00:00,0.0312 Mpa,0.0239 Mpa,0.0382 Mpa,0.0456 Mpa,0.00707 Mpa,0.00779 Mpa,6.10 Mpa,6.10 Mpa,0.00660 Mpa,0 Mpa,0.0221 Mpa,0.0213 Mpa,0.0342 Mpa,0.0137 Mpa,0 Mpa,0.156 Mpa,0.139 Mpa,0.314 Mpa,0.191 Mpa,0 Mpa,0.00479 Mpa,0.0316 Mpa,0.0187 Mpa,0.00221 Mpa,0 Mpa,0.0180 Mpa,0.0165 Mpa,0.00540 Mpa,0.00771 Mpa,0 Mpa,0.00784 Mpa,0.00303 Mpa,0.00115 Mpa,0.132 Mpa,0 Mpa,,,,,,0.00228 Mpa,0.00477 Mpa,0.0114 Mpa,0.0178 Mpa,0 Mpa,,,,,,1571 RPM
2026-06-14 19:00:00,0.0541 Mpa,0.0455 Mpa,0.0579 Mpa,0.0653 Mpa,0 Mpa,0.00340 Mpa,6.10 Mpa,6.10 Mpa,0.00329 Mpa,0 Mpa,0.0169 Mpa,0.0219 Mpa,0.0346 Mpa,0.0146 Mpa,0 Mpa,0.219 Mpa,0.203 Mpa,0.319 Mpa,0.267 Mpa,0 Mpa,0.00378 Mpa,0.0265 Mpa,0.0152 Mpa,0.00192 Mpa,0 Mpa,0.0113 Mpa,0.00867 Mpa,0.00605 Mpa,0.00795 Mpa,0 Mpa,0.00771 Mpa,0.00339 Mpa,0.00134 Mpa,0.0595 Mpa,0 Mpa,,,,,,0.00182 Mpa,0.00465 Mpa,0.00992 Mpa,0.0170 Mpa,0 Mpa,,,,,,1636 RPM
2026-06-14 21:00:00,0.0585 Mpa,0.0496 Mpa,0.0601 Mpa,0.0702 Mpa,0 Mpa,0.00382 Mpa,6.10 Mpa,6.10 Mpa,0.00327 Mpa,0.0120 Mpa,0.0146 Mpa,0.0217 Mpa,0.0347 Mpa,0.0158 Mpa,0 Mpa,0.187 Mpa,0.167 Mpa,0.332 Mpa,0.337 Mpa,0 Mpa,0.00396 Mpa,0.0252 Mpa,0.0165 Mpa,0.00175 Mpa,0 Mpa,0.00948 Mpa,0.00665 Mpa,0.00535 Mpa,0.00682 Mpa,0 Mpa,0.0111 Mpa,0.00448 Mpa,0.00193 Mpa,0.0535 Mpa,0 Mpa,,,,,,0.00204 Mpa,0.00485 Mpa,0.0116 Mpa,0.0186 Mpa,0 Mpa,,,,,,1670 RPM
2026-06-14 23:00:00,0.0455 Mpa,0.0389 Mpa,0.0500 Mpa,0.0577 Mpa,0.00787 Mpa,0.00399 Mpa,6.10 Mpa,6.10 Mpa,0.00389 Mpa,0 Mpa,0.0155 Mpa,0.0211 Mpa,0.0347 Mpa,0.0151 Mpa,0 Mpa,0.225 Mpa,0.217 Mpa,0.333 Mpa,0.353 Mpa,0 Mpa,0.00404 Mpa,0.0281 Mpa,0.0195 Mpa,0.00177 Mpa,0 Mpa,0.0111 Mpa,0.0103 Mpa,0.00549 Mpa,0.00948 Mpa,0 Mpa,0.0132 Mpa,0.00764 Mpa,0.00274 Mpa,0.0578 Mpa,0 Mpa,,,,,,0.00149 Mpa,0.00316 Mpa,0.00798 Mpa,0.0141 Mpa,0 Mpa,,,,,,1697 RPM
2026-06-15 01:00:00,0.0544 Mpa,0.0484 Mpa,0.0598 Mpa,0.0671 Mpa,0.00810 Mpa,0.00555 Mpa,6.10 Mpa,6.10 Mpa,0.00434 Mpa,0 Mpa,0.0137 Mpa,0.0241 Mpa,0.0348 Mpa,0.0179 Mpa,0 Mpa,0.126 Mpa,0.112 Mpa,0.260 Mpa,0.321 Mpa,0 Mpa,0.00375 Mpa,0.0241 Mpa,0.00997 Mpa,0.00191 Mpa,0 Mpa,0.0112 Mpa,0.0100 Mpa,0.00622 Mpa,0.00939 Mpa,0 Mpa,0.00943 Mpa,0.00734 Mpa,0.00213 Mpa,0.0397 Mpa,0 Mpa,,,,,,0.00351 Mpa,0.00518 Mpa,0.0111 Mpa,0.0201 Mpa,0 Mpa,,,,,,1593 RPM
2026-06-15 03:00:00,0.0504 Mpa,0.0450 Mpa,0.0562 Mpa,0.0628 Mpa,0 Mpa,0.00171 Mpa,6.10 Mpa,6.10 Mpa,0.00164 Mpa,0 Mpa,0.0159 Mpa,0.0220 Mpa,0.0356 Mpa,0.0167 Mpa,0 Mpa,0.134 Mpa,0.231 Mpa,0.211 Mpa,0.235 Mpa,0 Mpa,0.00345 Mpa,0.0269 Mpa,0.0193 Mpa,0.00134 Mpa,0 Mpa,0.0130 Mpa,0.0150 Mpa,0.00726 Mpa,0.0113 Mpa,0 Mpa,0.0118 Mpa,0.00615 Mpa,0.00281 Mpa,0.0369 Mpa,0 Mpa,,,,,,0.00207 Mpa,0.00319 Mpa,0.00900 Mpa,0.0155 Mpa,0 Mpa,,,,,,1641 RPM
2026-06-15 05:00:00,0.0673 Mpa,0.0600 Mpa,0.0700 Mpa,0.0795 Mpa,0.00767 Mpa,0.00135 Mpa,6.10 Mpa,6.10 Mpa,0.00152 Mpa,0 Mpa,0.0136 Mpa,0.0238 Mpa,0.0346 Mpa,0.0174 Mpa,0 Mpa,0.110 Mpa,0.186 Mpa,0.164 Mpa,0.210 Mpa,0 Mpa,0.00378 Mpa,0.0292 Mpa,0.0228 Mpa,0.00133 Mpa,0 Mpa,0.0122 Mpa,0.0125 Mpa,0.00529 Mpa,0.00887 Mpa,0 Mpa,0.0111 Mpa,0.00503 Mpa,0.00183 Mpa,0.0441 Mpa,0 Mpa,,,,,,0.00252 Mpa,0.00497 Mpa,0.0112 Mpa,0.0171 Mpa,0 Mpa,,,,,,1576 RPM
2026-06-15 07:00:00,0.0467 Mpa,0.0339 Mpa,0.0486 Mpa,0.0562 Mpa,0 Mpa,0.00331 Mpa,6.10 Mpa,6.10 Mpa,0.00280 Mpa,0 Mpa,0.0141 Mpa,0.0216 Mpa,0.0360 Mpa,0.0162 Mpa,0 Mpa,0.133 Mpa,0.151 Mpa,0.188 Mpa,0.173 Mpa,0 Mpa,0.00434 Mpa,0.0280 Mpa,0.0224 Mpa,0.00201 Mpa,0 Mpa,0.0149 Mpa,0.0131 Mpa,0.00742 Mpa,0.00999 Mpa,0 Mpa,0.00597 Mpa,0.00241 Mpa,0.00114 Mpa,0.0507 Mpa,0.0554 Mpa,,,,,,0.00282 Mpa,0.00612 Mpa,0.0126 Mpa,0.0191 Mpa,0 Mpa,,,,,,1663 RPM
2026-06-15 09:00:00,0.0579 Mpa,0.0425 Mpa,0.0585 Mpa,0.0647 Mpa,0 Mpa,0.00230 Mpa,6.10 Mpa,6.10 Mpa,0.00200 Mpa,0 Mpa,0.0134 Mpa,0.0127 Mpa,0.0295 Mpa,0.0100 Mpa,0 Mpa,0.178 Mpa,0.191 Mpa,0.202 Mpa,0.221 Mpa,0.0290 Mpa,0.00388 Mpa,0.0217 Mpa,0.0149 Mpa,0.00188 Mpa,0 Mpa,0.0142 Mpa,0.0110 Mpa,0.00672 Mpa,0.00739 Mpa,0 Mpa,0.0000787 Mpa,0.0000787 Mpa,0 Mpa,0.0478 Mpa,0.0328 Mpa,,,,,,0.00248 Mpa,0.00551 Mpa,0.0128 Mpa,0.0202 Mpa,0 Mpa,,,,,,1565 RPM
