sep=,
"Time","I38 - BOYA","I39 - BOYA","I40 - BOYA","I41 - BOYA","I42 - BOYA","I43 - BOYA","I44 - BOYA","I46 - BOYA","I47 - BOYA","I48 - BOYA"
2026-06-18 03:00:00,,,Full,LLeno,0.299,Medio +,Medio +,,Full,
2026-06-18 05:00:00,,Full,Full,LLeno,2.58,Medio +,Medio +,,Full,
2026-06-18 07:00:00,,6.38,Full,4.70,4.21,Medio +,Medio +,,Full,
2026-06-18 09:00:00,,6.00,Full,0.468,4.49,Medio +,Medio +,,Full,
2026-06-18 11:00:00,,LLeno,Full,Vacio,4.94,5.29,Medio +,,Full,
2026-06-18 13:00:00,,5.96,Full,2.20,6.34,6.46,4.90,,Full,
2026-06-18 15:00:00,Full,5.74,Full,6.66,LLeno,LLeno,6.87,,Full,
2026-06-18 17:00:00,5.95,5.61,Full,5.95,5.94,LLeno,6.04,,Full,
2026-06-18 19:00:00,6.01,Medio +,Full,LLeno,LLeno,LLeno,LLeno,,Full,
2026-06-18 21:00:00,LLeno,Medio +,Full,LLeno,LLeno,5.80,LLeno,,Full,
2026-06-18 23:00:00,LLeno,Medio +,Full,5.83,4.78,Medio +,5.82,,Full,
2026-06-19 01:00:00,6.35,5.07,Full,1.44,4.33,Medio +,Medio +,,Full,
2026-06-19 03:00:00,6.72,6.21,Full,,4.29,Medio +,Medio +,,Full,
2026-06-19 05:00:00,6.03,LLeno,Full,2.51,4.65,Medio +,Medio +,,Full,
2026-06-19 07:00:00,LLeno,5.95,Full,0.616,4.94,Medio +,Medio +,,Full,
2026-06-19 09:00:00,LLeno,5.41,Full,0.890,Medio +,4.54,Medio +,,Full,
2026-06-19 11:00:00,LLeno,LLeno,Full,6.28,4.22,3.94,4.32,,6.98,
2026-06-19 13:00:00,5.16,LLeno,Full,LLeno,3.76,6.86,3.10,,6.99,
2026-06-19 15:00:00,Medio +,LLeno,Full,LLeno,6.20,6.00,6.25,,Full,
2026-06-19 17:00:00,4.97,LLeno,Full,5.91,5.95,LLeno,LLeno,,Full,
