sep=,
"Time","I38 - BOYA","I39 - BOYA","I40 - BOYA","I41 - BOYA","I42 - BOYA","I43 - BOYA","I44 - BOYA","I48 - BOYA"
2026-09-09 10:18:40,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:19:00,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:19:20,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:19:40,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:20:00,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:20:20,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:20:40,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:21:00,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:21:20,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:21:40,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:22:00,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:22:20,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:22:40,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:23:00,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:23:20,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:23:40,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:24:00,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:24:20,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:24:40,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:25:00,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:25:20,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:25:40,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:26:00,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:26:20,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:26:40,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:27:00,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
