"Time","P_BW - I45","P_BW - I49","P_BW - I50","P_BW - I52","P_BW - I53","P_BW - I54","P_BW - I55","P_BW - I56","P_BW - I57","P_BW - I58","%BW - I45","%BW - I49","%BW - I50","%BW - I52","%BW - I53","%BW - I54","%BW - I55","%BW - I56","%BW - I57","%BW - I58"
2026-07-10 07:00:00,0.218 Mpa,0.147 Mpa,0.178 Mpa,0.262 Mpa,0.0924 Mpa,0.170 Mpa,0.0911 Mpa,0.0562 Mpa,0.180 Mpa,0.0609 Mpa,6.44%,7.12%,5.97%,8.39%,3.13%,4.42%,5.69%,1.80%,5.34%,1.78%
2026-07-10 09:00:00,0.221 Mpa,0.140 Mpa,0.101 Mpa,0.110 Mpa,0.151 Mpa,0.151 Mpa,0.112 Mpa,0.0963 Mpa,0.0900 Mpa,0.139 Mpa,6.50%,6.56%,3.10%,3.78%,5.04%,3.38%,6.15%,3.00%,2.48%,4.19%
2026-07-10 11:00:00,0.155 Mpa,0.126 Mpa,0.226 Mpa,0.0827 Mpa,0.102 Mpa,0.125 Mpa,0.0682 Mpa,0.0610 Mpa,0.0627 Mpa,0.342 Mpa,4.58%,4.88%,7.35%,2.51%,3.55%,3.01%,5.06%,2.02%,1.76%,10.2%
2026-07-10 13:00:00,0.197 Mpa,0.129 Mpa,0.0423 Mpa,0.368 Mpa,0.873 Mpa,0.295 Mpa,0.219 Mpa,0.0955 Mpa,0.107 Mpa,0.0362 Mpa,5.57%,5.11%,1.46%,10.7%,26.2%,8.64%,8.06%,3.93%,3.29%,1.12%
2026-07-10 15:00:00,0.0987 Mpa,0.0681 Mpa,0.116 Mpa,0.117 Mpa,0.0541 Mpa,0.192 Mpa,0.142 Mpa,0.300 Mpa,0.0734 Mpa,0.0823 Mpa,3.01%,3.11%,3.40%,3.96%,1.60%,6.61%,5.97%,9.72%,2.11%,2.51%
2026-07-10 17:00:00,0.0539 Mpa,0.165 Mpa,0.0910 Mpa,0.133 Mpa,0.163 Mpa,0.221 Mpa,0.155 Mpa,0.0910 Mpa,0.0635 Mpa,0.0717 Mpa,1.84%,5.91%,2.70%,4.44%,6.22%,5.80%,6.31%,2.89%,1.74%,2.05%
2026-07-10 19:00:00,0.0490 Mpa,,0.142 Mpa,0.129 Mpa,0.102 Mpa,0.205 Mpa,0.0128 Mpa,0.0501 Mpa,0.0351 Mpa,0.0316 Mpa,1.39%,,4.03%,4.01%,4.36%,4.77%,1.07%,1.42%,1.19%,0.920%
2026-07-10 21:00:00,0.0669 Mpa,0.246 Mpa,0.0896 Mpa,0.0646 Mpa,0.0873 Mpa,0.168 Mpa,0.0872 Mpa,0.613 Mpa,0.0390 Mpa,0.113 Mpa,2.05%,7.66%,2.45%,1.88%,3.40%,3.91%,4.78%,17.0%,1.00%,3.15%
2026-07-10 23:00:00,0.114 Mpa,0.0462 Mpa,0.0526 Mpa,0.106 Mpa,0.0428 Mpa,0.255 Mpa,0.216 Mpa,0.0785 Mpa,0.160 Mpa,0.0656 Mpa,3.46%,2.30%,1.22%,3.17%,1.59%,7.17%,8.64%,2.27%,4.73%,1.79%
2026-07-11 01:00:00,0.0519 Mpa,0.0821 Mpa,0.0922 Mpa,0.0486 Mpa,0.153 Mpa,0.322 Mpa,0.120 Mpa,0.0877 Mpa,0.0550 Mpa,0.0684 Mpa,1.38%,3.38%,2.42%,1.46%,5.72%,8.99%,6.37%,2.47%,1.52%,1.94%
2026-07-11 03:00:00,0.0168 Mpa,0.121 Mpa,0.0852 Mpa,0.156 Mpa,0.0688 Mpa,0.125 Mpa,0.104 Mpa,0.0394 Mpa,0.0273 Mpa,0.0576 Mpa,0.418%,4.88%,2.44%,4.98%,2.25%,3.05%,5.98%,1.16%,0.625%,1.66%
2026-07-11 05:00:00,0.172 Mpa,0.123 Mpa,0.116 Mpa,0.176 Mpa,0.0775 Mpa,0.265 Mpa,0.102 Mpa,0.137 Mpa,0.0859 Mpa,0.137 Mpa,5.29%,5.08%,3.35%,5.45%,2.75%,7.10%,5.88%,4.04%,2.38%,3.89%
2026-07-11 07:00:00,0.139 Mpa,0.0920 Mpa,0.142 Mpa,0.311 Mpa,0.0740 Mpa,0.145 Mpa,0.0410 Mpa,0.196 Mpa,0.0996 Mpa,0.127 Mpa,4.18%,3.58%,4.11%,9.90%,2.72%,3.38%,3.81%,5.69%,2.84%,3.85%
2026-07-11 09:00:00,0.136 Mpa,0.0845 Mpa,0.112 Mpa,0.359 Mpa,0.0426 Mpa,0.204 Mpa,0.0608 Mpa,0.115 Mpa,0.0585 Mpa,0.0742 Mpa,4.14%,3.73%,3.20%,11.1%,1.53%,5.17%,4.40%,3.39%,1.67%,2.22%
2026-07-11 11:00:00,0.112 Mpa,0.0677 Mpa,0.482 Mpa,0.130 Mpa,0.0812 Mpa,0.109 Mpa,0.167 Mpa,0.0760 Mpa,0.151 Mpa,0.0617 Mpa,3.41%,3.27%,14.2%,3.93%,2.92%,2.58%,7.23%,2.25%,4.35%,1.94%
2026-07-11 13:00:00,0.178 Mpa,0.0759 Mpa,0 Mpa,0.118 Mpa,0.236 Mpa,0.0841 Mpa,0.131 Mpa,0.178 Mpa,0.116 Mpa,0.134 Mpa,5.56%,3.12%,0.760%,3.61%,8.78%,1.74%,6.47%,5.06%,3.48%,4.00%
2026-07-11 15:00:00,0.216 Mpa,0.0374 Mpa,0 Mpa,0.399 Mpa,0.128 Mpa,0.112 Mpa,0.0441 Mpa,0.0872 Mpa,0.0903 Mpa,0.159 Mpa,6.32%,1.92%,0.113%,12.0%,4.91%,2.42%,4.34%,2.57%,2.67%,4.68%
2026-07-11 17:00:00,,0.0951 Mpa,0.0722 Mpa,0.174 Mpa,0.106 Mpa,0.171 Mpa,0.0813 Mpa,0.0327 Mpa,0.182 Mpa,0.140 Mpa,,3.88%,1.98%,5.24%,4.09%,4.25%,4.75%,0.928%,5.41%,4.07%
2026-07-11 19:00:00,,0.159 Mpa,0.289 Mpa,0.0644 Mpa,0.0766 Mpa,0.101 Mpa,0.120 Mpa,0.187 Mpa,,0.109 Mpa,,7.45%,8.81%,2.00%,2.72%,3.95%,5.92%,5.81%,,3.24%
2026-07-11 21:00:00,0.0196 Mpa,0.0840 Mpa,0.00526 Mpa,0.0761 Mpa,0.0911 Mpa,0.199 Mpa,0.0841 Mpa,0.127 Mpa,0.312 Mpa,0.146 Mpa,0%,4.59%,1.21%,2.36%,3.36%,5.72%,4.86%,3.77%,8.86%,4.34%
2026-07-11 23:00:00,0.0215 Mpa,0.263 Mpa,0.0655 Mpa,0.196 Mpa,0.115 Mpa,0.136 Mpa,0.174 Mpa,0.125 Mpa,0.138 Mpa,0.178 Mpa,0.00887%,9.94%,1.90%,5.91%,4.03%,3.40%,7.59%,4.01%,3.98%,4.88%
2026-07-12 01:00:00,,0.150 Mpa,0.119 Mpa,0.00781 Mpa,0.0930 Mpa,0.129 Mpa,0.0881 Mpa,0.0983 Mpa,0.0842 Mpa,0 Mpa,,5.61%,3.56%,0.389%,3.38%,3.30%,4.75%,3.05%,2.49%,0%
2026-07-12 03:00:00,,0.336 Mpa,0.0656 Mpa,0.0669 Mpa,0.142 Mpa,0.0969 Mpa,0.237 Mpa,0.0943 Mpa,0.0888 Mpa,0.0518 Mpa,,11.2%,1.70%,2.00%,5.10%,2.09%,8.85%,3.37%,2.51%,1.40%
2026-07-12 05:00:00,,0.247 Mpa,0.409 Mpa,0.0621 Mpa,0.107 Mpa,0.753 Mpa,0.108 Mpa,0.0612 Mpa,0.104 Mpa,0.121 Mpa,,8.62%,11.3%,1.93%,4.11%,21.1%,5.25%,2.08%,2.85%,3.44%
2026-07-12 07:00:00,,0.0805 Mpa,0.00172 Mpa,0.0922 Mpa,0.186 Mpa,0.155 Mpa,0.122 Mpa,0.0389 Mpa,0.0569 Mpa,0.0946 Mpa,,3.11%,0.503%,2.83%,7.43%,3.52%,6.01%,1.03%,1.54%,2.72%
2026-07-12 09:00:00,,0.0812 Mpa,0.000852 Mpa,0.120 Mpa,0.311 Mpa,0.0860 Mpa,0.0886 Mpa,0.0915 Mpa,0.0955 Mpa,0.103 Mpa,,3.22%,0.458%,3.73%,11.5%,1.85%,5.03%,2.55%,2.60%,3.15%
2026-07-12 11:00:00,,0.123 Mpa,0.0237 Mpa,0.109 Mpa,0.164 Mpa,0.114 Mpa,0.0569 Mpa,0.0487 Mpa,0.125 Mpa,0.129 Mpa,,4.34%,0.00362%,3.42%,6.29%,2.38%,4.24%,1.27%,3.53%,3.57%
2026-07-12 13:00:00,,0.0316 Mpa,0.280 Mpa,0.0583 Mpa,0.119 Mpa,0.288 Mpa,0.0637 Mpa,0.0753 Mpa,0.0859 Mpa,0.104 Mpa,,1.51%,7.39%,1.81%,4.35%,7.31%,4.45%,2.29%,2.39%,3.09%
2026-07-12 15:00:00,,0.174 Mpa,0.0701 Mpa,0.0414 Mpa,0.374 Mpa,0.289 Mpa,0.0722 Mpa,0.0552 Mpa,0.0830 Mpa,0.111 Mpa,,6.10%,2.34%,1.20%,12.7%,7.92%,4.56%,1.50%,2.34%,3.25%
2026-07-12 17:00:00,,0.179 Mpa,0.130 Mpa,0.0826 Mpa,0.263 Mpa,0.111 Mpa,0.0898 Mpa,0.116 Mpa,0.0703 Mpa,0.202 Mpa,,7.75%,4.50%,2.71%,9.38%,2.83%,5.08%,3.58%,1.94%,5.70%
2026-07-12 19:00:00,,0.364 Mpa,0.0945 Mpa,0.110 Mpa,0.0946 Mpa,0.145 Mpa,0.0621 Mpa,0.0727 Mpa,0.104 Mpa,0.103 Mpa,,13.4%,2.65%,3.64%,3.27%,3.64%,4.27%,2.28%,2.96%,2.98%
2026-07-12 21:00:00,,0.0550 Mpa,0.0956 Mpa,0.137 Mpa,0.0768 Mpa,0.184 Mpa,0.190 Mpa,0.0802 Mpa,0.0961 Mpa,0.0880 Mpa,,2.97%,3.00%,4.75%,2.65%,4.16%,7.80%,2.44%,2.84%,2.57%
2026-07-12 23:00:00,,0.192 Mpa,0.206 Mpa,0.149 Mpa,0.0855 Mpa,0.238 Mpa,0.268 Mpa,0.0762 Mpa,0.0980 Mpa,0.0647 Mpa,,7.56%,6.38%,4.64%,3.17%,5.89%,9.72%,2.34%,2.93%,1.97%
2026-07-13 01:00:00,,0.106 Mpa,0.122 Mpa,0.0912 Mpa,0.106 Mpa,0.199 Mpa,0.0815 Mpa,0.0742 Mpa,0.105 Mpa,0.0960 Mpa,,4.75%,3.96%,2.83%,3.90%,5.34%,4.39%,2.20%,3.06%,2.59%
2026-07-13 03:00:00,0.000289 Mpa,0.0962 Mpa,0.0684 Mpa,0.0742 Mpa,0.101 Mpa,0.135 Mpa,0.0858 Mpa,0.0802 Mpa,0.125 Mpa,0.0568 Mpa,0%,4.73%,2.25%,2.53%,3.65%,3.44%,4.82%,2.39%,3.79%,1.43%
2026-07-13 05:00:00,0 Mpa,0.174 Mpa,0.129 Mpa,0.0873 Mpa,0.0882 Mpa,0.163 Mpa,0.132 Mpa,0.115 Mpa,0.218 Mpa,0.0887 Mpa,0%,6.39%,4.09%,2.82%,3.09%,4.41%,6.00%,3.45%,6.76%,2.49%
2026-07-13 07:00:00,0.000177 Mpa,0.164 Mpa,0.144 Mpa,0.130 Mpa,0.161 Mpa,0.0702 Mpa,0.0628 Mpa,0.0661 Mpa,0.143 Mpa,0.111 Mpa,0.00738%,5.88%,4.41%,4.16%,5.56%,1.33%,4.59%,1.86%,3.93%,3.35%
2026-07-13 09:00:00,0.0664 Mpa,0.128 Mpa,0.283 Mpa,0.358 Mpa,0.114 Mpa,0.0856 Mpa,0.0728 Mpa,0.0946 Mpa,0.145 Mpa,0.158 Mpa,1.53%,4.51%,8.97%,10.7%,4.00%,1.74%,4.79%,2.86%,4.27%,4.63%
2026-07-13 11:00:00,0.0822 Mpa,0.304 Mpa,0.0963 Mpa,0.0953 Mpa,0.117 Mpa,0.121 Mpa,0.0540 Mpa,0.108 Mpa,0.121 Mpa,0.250 Mpa,2.75%,10.2%,3.09%,2.80%,4.49%,2.58%,3.49%,3.26%,3.69%,7.18%
2026-07-13 13:00:00,0.0742 Mpa,0.0880 Mpa,0.165 Mpa,0.0502 Mpa,0.107 Mpa,0.0975 Mpa,0.122 Mpa,0.158 Mpa,0.0946 Mpa,0.152 Mpa,2.37%,3.86%,5.06%,1.45%,3.95%,1.50%,5.92%,4.52%,2.84%,4.30%
2026-07-13 15:00:00,0.0793 Mpa,0.193 Mpa,0.124 Mpa,0.158 Mpa,0.105 Mpa,0.202 Mpa,0.0988 Mpa,0.220 Mpa,0.0792 Mpa,0.0999 Mpa,3.06%,7.01%,3.53%,4.64%,3.69%,4.95%,5.09%,6.37%,2.35%,3.33%
2026-07-13 17:00:00,0.0796 Mpa,0.144 Mpa,0.0681 Mpa,0.0822 Mpa,0.0387 Mpa,0.171 Mpa,0.0931 Mpa,0.176 Mpa,0.145 Mpa,0.147 Mpa,2.94%,6.09%,2.00%,2.61%,1.43%,4.35%,4.66%,5.34%,4.43%,4.34%
2026-07-13 19:00:00,0.0406 Mpa,0.0801 Mpa,0.107 Mpa,0.189 Mpa,0.153 Mpa,0.177 Mpa,0.111 Mpa,0.0959 Mpa,0.137 Mpa,0.113 Mpa,1.41%,4.78%,3.22%,5.90%,5.34%,4.45%,5.37%,3.07%,4.25%,3.18%
2026-07-13 21:00:00,0.0509 Mpa,0.270 Mpa,0.0790 Mpa,0.000156 Mpa,0.0347 Mpa,0.210 Mpa,0.0973 Mpa,0.0232 Mpa,0.184 Mpa,0.0956 Mpa,1.87%,10.0%,2.44%,0%,1.15%,5.58%,5.01%,0.656%,5.59%,2.88%
2026-07-13 23:00:00,0.303 Mpa,0.0938 Mpa,0.384 Mpa,0.112 Mpa,0.142 Mpa,0.134 Mpa,0.0993 Mpa,0.0246 Mpa,0.145 Mpa,0.117 Mpa,8.97%,4.81%,12.5%,3.21%,5.12%,3.23%,5.12%,0.711%,4.31%,3.59%
2026-07-14 01:00:00,0.0403 Mpa,0.232 Mpa,0.0431 Mpa,0.139 Mpa,0.0897 Mpa,0.0863 Mpa,0.139 Mpa,0.0382 Mpa,0.218 Mpa,0.0890 Mpa,1.13%,8.07%,1.63%,4.80%,3.36%,1.96%,6.22%,1.14%,6.50%,2.71%
2026-07-14 03:00:00,0.0553 Mpa,0.0985 Mpa,0.0527 Mpa,0.0721 Mpa,0.0574 Mpa,0.154 Mpa,0.0592 Mpa,0.169 Mpa,0.254 Mpa,0.0492 Mpa,1.98%,3.91%,1.43%,2.31%,1.81%,3.85%,4.13%,5.05%,7.80%,1.49%
2026-07-14 05:00:00,0.0796 Mpa,0.0646 Mpa,0.155 Mpa,0.0515 Mpa,0.0929 Mpa,0.126 Mpa,0.109 Mpa,0.141 Mpa,0.188 Mpa,0.0670 Mpa,2.91%,3.12%,4.85%,1.61%,3.36%,3.15%,5.99%,4.37%,5.66%,2.02%
2026-07-14 07:00:00,0.0852 Mpa,0.0806 Mpa,0.102 Mpa,0.0969 Mpa,0.121 Mpa,0.497 Mpa,0.159 Mpa,0.124 Mpa,0.0430 Mpa,0.0259 Mpa,2.54%,3.77%,3.16%,2.75%,4.49%,13.7%,7.67%,3.81%,0.905%,0.621%
2026-07-14 09:00:00,0.264 Mpa,0.119 Mpa,0.0594 Mpa,0.0204 Mpa,0.0950 Mpa,0.279 Mpa,0.0798 Mpa,0.0588 Mpa,0.0911 Mpa,0.126 Mpa,7.73%,5.00%,1.87%,0.566%,3.44%,7.33%,5.18%,1.66%,2.58%,3.52%
2026-07-14 11:00:00,0.320 Mpa,0.0610 Mpa,0.0632 Mpa,0.0947 Mpa,0.0789 Mpa,0.228 Mpa,0.0611 Mpa,0.0620 Mpa,0.333 Mpa,0.0881 Mpa,9.34%,2.96%,1.99%,2.79%,2.90%,6.10%,4.63%,1.87%,10.2%,2.39%
2026-07-14 13:00:00,0.359 Mpa,0.0874 Mpa,0.0718 Mpa,0.0689 Mpa,0.217 Mpa,,0.137 Mpa,0.105 Mpa,0.122 Mpa,0.0436 Mpa,10.9%,4.01%,2.18%,2.02%,7.71%,,6.52%,3.09%,3.63%,1.14%
2026-07-14 15:00:00,0.0826 Mpa,0.0647 Mpa,0.0240 Mpa,0.136 Mpa,0.209 Mpa,0.418 Mpa,0 Mpa,0.0825 Mpa,0.158 Mpa,0.0541 Mpa,2.24%,2.92%,0.593%,4.08%,7.22%,11.6%,2.13%,2.40%,4.67%,1.53%
2026-07-14 17:00:00,0.122 Mpa,0.201 Mpa,0.285 Mpa,0.120 Mpa,0.171 Mpa,0.142 Mpa,0.209 Mpa,0.164 Mpa,0.0787 Mpa,0.0630 Mpa,3.41%,7.34%,8.54%,3.63%,6.03%,3.71%,7.74%,4.89%,2.03%,1.79%
2026-07-14 19:00:00,0.0439 Mpa,0.0745 Mpa,0.161 Mpa,0.0768 Mpa,0.142 Mpa,0.272 Mpa,0.0653 Mpa,0.0505 Mpa,0.194 Mpa,0.0643 Mpa,1.24%,2.84%,4.63%,2.40%,5.04%,7.39%,3.92%,1.26%,5.74%,2.01%
2026-07-14 21:00:00,0.0143 Mpa,0.0710 Mpa,0.155 Mpa,0.0173 Mpa,0.0485 Mpa,0.181 Mpa,0.105 Mpa,0.0837 Mpa,0.170 Mpa,0.0841 Mpa,0.173%,3.19%,4.58%,0.526%,2.02%,4.64%,5.37%,2.44%,5.03%,2.41%
2026-07-14 23:00:00,0.0943 Mpa,0.115 Mpa,0.122 Mpa,0.156 Mpa,0.225 Mpa,0.101 Mpa,0.0236 Mpa,0.0828 Mpa,0.0796 Mpa,0.0384 Mpa,3.28%,4.35%,3.63%,4.57%,7.06%,2.19%,3.95%,2.28%,2.75%,1.11%
2026-07-15 01:00:00,0.0898 Mpa,0.156 Mpa,0.117 Mpa,0.0500 Mpa,0.173 Mpa,0.235 Mpa,0.0484 Mpa,0.114 Mpa,0.0991 Mpa,0.0900 Mpa,3.04%,5.27%,4.54%,1.43%,6.84%,6.35%,4.06%,3.20%,2.86%,2.59%
2026-07-15 03:00:00,0.0176 Mpa,0.0987 Mpa,0.0899 Mpa,0.0714 Mpa,0.271 Mpa,0.0879 Mpa,0.120 Mpa,0.0676 Mpa,0.166 Mpa,0.229 Mpa,0.364%,4.00%,2.98%,2.21%,10.0%,1.86%,6.54%,1.94%,5.08%,6.74%
2026-07-15 05:00:00,0.105 Mpa,0.120 Mpa,0.0407 Mpa,0.132 Mpa,0.334 Mpa,0.125 Mpa,0.0768 Mpa,0.113 Mpa,0.0942 Mpa,0.139 Mpa,2.97%,4.93%,1.11%,3.97%,11.8%,2.90%,5.57%,3.44%,2.52%,4.01%
2026-07-15 07:00:00,0.146 Mpa,0.0520 Mpa,0.0809 Mpa,0.106 Mpa,0.395 Mpa,0.153 Mpa,0.0766 Mpa,0.104 Mpa,0.131 Mpa,0.0995 Mpa,4.71%,2.75%,2.20%,3.07%,13.3%,3.76%,5.56%,3.33%,3.57%,2.70%
2026-07-15 09:00:00,0.0623 Mpa,0.0749 Mpa,0.0964 Mpa,0.134 Mpa,0.352 Mpa,0.336 Mpa,0.0806 Mpa,0.0787 Mpa,0.0544 Mpa,0.0729 Mpa,2.13%,3.24%,2.65%,4.08%,11.8%,8.63%,5.40%,2.35%,1.37%,1.97%
2026-07-15 11:00:00,0.165 Mpa,0.0850 Mpa,0.216 Mpa,0.0842 Mpa,0.319 Mpa,,0.0927 Mpa,0.102 Mpa,0.0500 Mpa,0.225 Mpa,5.86%,3.49%,6.64%,2.60%,10.6%,,5.50%,3.25%,1.38%,6.23%
2026-07-15 13:00:00,0.0603 Mpa,0.357 Mpa,0.113 Mpa,0.0498 Mpa,0.319 Mpa,0.137 Mpa,0.106 Mpa,0.165 Mpa,0.0414 Mpa,0.101 Mpa,1.66%,11.7%,3.37%,1.47%,11.2%,2.95%,6.03%,5.12%,0.987%,2.81%
2026-07-15 15:00:00,0.0890 Mpa,0.0934 Mpa,0.111 Mpa,0.157 Mpa,0.408 Mpa,0.379 Mpa,0.108 Mpa,0.110 Mpa,0.0227 Mpa,0.0976 Mpa,2.66%,3.83%,3.23%,4.91%,14.3%,10.4%,5.85%,3.33%,0.309%,2.68%
2026-07-15 17:00:00,0.0588 Mpa,0.0698 Mpa,0.0769 Mpa,0.0268 Mpa,0.0954 Mpa,0.147 Mpa,0.0470 Mpa,0.0715 Mpa,0.0841 Mpa,0.132 Mpa,1.93%,3.07%,2.30%,0.919%,3.35%,3.24%,4.35%,2.24%,2.24%,3.81%
2026-07-15 19:00:00,0.0757 Mpa,0.130 Mpa,0.0637 Mpa,0.0955 Mpa,0.107 Mpa,0.211 Mpa,0.0656 Mpa,0.0716 Mpa,0.0878 Mpa,0.102 Mpa,3.31%,4.78%,2.06%,2.87%,3.81%,5.79%,5.16%,2.29%,2.44%,2.77%
2026-07-15 21:00:00,0.0750 Mpa,0.0629 Mpa,0.287 Mpa,0.0520 Mpa,0.0957 Mpa,0.208 Mpa,0.0511 Mpa,0.0592 Mpa,0.112 Mpa,0.168 Mpa,2.39%,3.11%,8.64%,1.90%,3.48%,5.63%,4.15%,1.80%,3.41%,4.70%
2026-07-15 23:00:00,0.155 Mpa,0.0618 Mpa,0.0645 Mpa,0.110 Mpa,0.107 Mpa,0.336 Mpa,0.174 Mpa,0.0576 Mpa,0.0683 Mpa,0.126 Mpa,4.63%,2.44%,1.92%,3.71%,3.44%,9.16%,7.54%,1.70%,2.12%,3.48%
2026-07-16 01:00:00,0.0262 Mpa,0.0926 Mpa,0.354 Mpa,0.168 Mpa,0.104 Mpa,0.0804 Mpa,0.0569 Mpa,0.0761 Mpa,0.132 Mpa,0.0589 Mpa,0.624%,3.42%,10.6%,5.56%,3.14%,1.73%,4.36%,2.37%,4.02%,1.64%
2026-07-16 03:00:00,0.0779 Mpa,0.0405 Mpa,0.335 Mpa,0.0861 Mpa,0.0896 Mpa,0.246 Mpa,0.121 Mpa,0.0680 Mpa,0.0720 Mpa,0.0745 Mpa,2.38%,1.87%,9.52%,2.60%,3.10%,6.70%,6.26%,2.23%,2.06%,1.95%
2026-07-16 05:00:00,0.0637 Mpa,0.170 Mpa,0.461 Mpa,0.0404 Mpa,0.157 Mpa,0.297 Mpa,0.115 Mpa,0.0668 Mpa,0.112 Mpa,0.0853 Mpa,1.78%,6.14%,13.9%,1.27%,5.81%,8.14%,5.93%,1.91%,3.35%,2.20%
2026-07-16 07:00:00,0.0713 Mpa,0.0299 Mpa,0.0725 Mpa,0.113 Mpa,0.246 Mpa,0.242 Mpa,0.123 Mpa,0.111 Mpa,0.207 Mpa,0.0722 Mpa,1.86%,1.67%,2.08%,3.35%,8.64%,5.92%,5.99%,3.20%,6.03%,1.94%
2026-07-16 09:00:00,0.0676 Mpa,0.148 Mpa,0.0668 Mpa,0.102 Mpa,0.0750 Mpa,0.321 Mpa,0.0337 Mpa,0.278 Mpa,0.175 Mpa,0.109 Mpa,1.82%,5.25%,1.98%,3.10%,2.85%,8.90%,4.28%,8.09%,5.45%,3.08%
2026-07-16 11:00:00,0.156 Mpa,0.104 Mpa,0.0651 Mpa,0.0769 Mpa,0.120 Mpa,0.132 Mpa,0.0946 Mpa,0.0727 Mpa,0.219 Mpa,0.127 Mpa,4.43%,3.91%,2.33%,2.27%,4.99%,2.87%,5.27%,2.13%,6.94%,3.49%
2026-07-16 13:00:00,0.200 Mpa,0.111 Mpa,0.106 Mpa,0.155 Mpa,0.0873 Mpa,0.130 Mpa,0.0862 Mpa,0.173 Mpa,0.292 Mpa,0.235 Mpa,6.19%,4.11%,3.53%,4.59%,3.44%,2.45%,4.72%,5.18%,8.77%,6.52%
2026-07-16 15:00:00,0.144 Mpa,0.0732 Mpa,0.108 Mpa,0.101 Mpa,0.247 Mpa,0.213 Mpa,0.137 Mpa,0.0675 Mpa,0.278 Mpa,0.149 Mpa,5.05%,3.16%,3.27%,3.15%,8.85%,5.81%,6.65%,1.96%,8.31%,4.30%
2026-07-16 17:00:00,0.151 Mpa,0.0923 Mpa,0.178 Mpa,0.0853 Mpa,0.179 Mpa,0.0890 Mpa,0.136 Mpa,0.126 Mpa,0.115 Mpa,0.0910 Mpa,4.63%,3.53%,5.70%,2.61%,6.56%,2.00%,6.78%,3.62%,3.24%,2.43%
2026-07-16 19:00:00,0.117 Mpa,0.117 Mpa,0.112 Mpa,0.0650 Mpa,0.325 Mpa,0.0856 Mpa,0.0682 Mpa,0.107 Mpa,0.150 Mpa,0.0655 Mpa,3.33%,4.68%,3.53%,2.23%,11.1%,1.36%,5.17%,3.35%,4.60%,1.76%
2026-07-16 21:00:00,0.102 Mpa,0.100 Mpa,0.164 Mpa,0.0712 Mpa,0.437 Mpa,0.270 Mpa,0.0733 Mpa,0.160 Mpa,0.172 Mpa,0.0686 Mpa,3.00%,4.21%,4.65%,2.19%,15.0%,7.22%,5.61%,5.15%,5.11%,1.80%
2026-07-16 23:00:00,0.362 Mpa,0.119 Mpa,0.0947 Mpa,0.108 Mpa,0.158 Mpa,0.355 Mpa,0.184 Mpa,0.167 Mpa,0.123 Mpa,0.0587 Mpa,11.7%,5.06%,2.56%,3.43%,5.61%,9.97%,8.22%,5.39%,3.67%,1.65%
2026-07-17 01:00:00,0.0509 Mpa,0.233 Mpa,0.307 Mpa,0.0700 Mpa,0.154 Mpa,0.374 Mpa,0.225 Mpa,0.157 Mpa,0.195 Mpa,0.0432 Mpa,1.53%,8.90%,9.58%,2.11%,5.85%,10.6%,9.05%,5.09%,5.72%,1.14%
2026-07-17 03:00:00,0.0803 Mpa,0.119 Mpa,0.609 Mpa,0.0423 Mpa,0.321 Mpa,0.0963 Mpa,0.145 Mpa,0.0750 Mpa,0.109 Mpa,0.0893 Mpa,2.61%,4.93%,17.2%,1.66%,11.7%,2.05%,7.91%,2.55%,3.12%,2.51%
2026-07-17 05:00:00,0.0723 Mpa,0.105 Mpa,,0.0768 Mpa,0.118 Mpa,0.133 Mpa,0.151 Mpa,0.0390 Mpa,0.176 Mpa,0.0814 Mpa,1.95%,4.07%,,2.22%,4.61%,3.14%,7.35%,1.18%,5.16%,2.28%
2026-07-17 07:00:00,0.115 Mpa,0.0896 Mpa,,0.167 Mpa,0.337 Mpa,0.114 Mpa,0.183 Mpa,0.0157 Mpa,0.194 Mpa,0.102 Mpa,3.36%,3.66%,,5.18%,10.7%,2.11%,8.25%,0.421%,5.92%,2.89%
2026-07-17 09:00:00,0.0793 Mpa,0.124 Mpa,,0.0760 Mpa,0.270 Mpa,0.215 Mpa,0.104 Mpa,0.0563 Mpa,0.161 Mpa,0.0870 Mpa,2.08%,4.80%,,2.24%,10.2%,4.53%,6.45%,1.64%,4.68%,2.53%
2026-07-17 11:00:00,0.100 Mpa,0.0962 Mpa,,0.0965 Mpa,0.308 Mpa,0.263 Mpa,0.0606 Mpa,0.0908 Mpa,0.141 Mpa,0.133 Mpa,2.71%,3.82%,,2.90%,11.7%,6.23%,5.28%,2.68%,4.34%,3.74%
2026-07-17 13:00:00,0.950 Mpa,0.0968 Mpa,,0.0604 Mpa,0.247 Mpa,0.201 Mpa,0.0770 Mpa,0.349 Mpa,0.0944 Mpa,0.0385 Mpa,26.1%,3.71%,,1.95%,9.44%,5.00%,5.35%,10.3%,2.85%,1.05%
2026-07-17 15:00:00,0.0706 Mpa,0.0995 Mpa,,0.103 Mpa,0.311 Mpa,0.121 Mpa,0.0350 Mpa,0.0533 Mpa,0.178 Mpa,0.154 Mpa,1.84%,3.95%,,3.41%,11.8%,1.80%,4.55%,1.52%,5.50%,4.28%
