"Time","P_BW - I45","P_BW - I49","P_BW - I50","P_BW - I52","P_BW - I53","P_BW - I54","P_BW - I55","P_BW - I56","P_BW - I57","P_BW - I58","%BW - I45","%BW - I49","%BW - I50","%BW - I52","%BW - I53","%BW - I54","%BW - I55","%BW - I56","%BW - I57","%BW - I58"
2026-06-29 17:00:00,0.104 Mpa,0.199 Mpa,0.186 Mpa,0.0495 Mpa,0.0756 Mpa,0.197 Mpa,0.187 Mpa,0.127 Mpa,0.193 Mpa,,3.50%,6.85%,5.63%,1.61%,2.67%,5.15%,7.82%,3.88%,5.72%,
2026-06-29 19:00:00,0.104 Mpa,0.159 Mpa,0.0404 Mpa,0.0184 Mpa,0.264 Mpa,0.186 Mpa,0.108 Mpa,0.0910 Mpa,0.115 Mpa,,3.63%,5.69%,1.55%,0.610%,9.62%,4.52%,5.74%,2.98%,3.21%,
2026-06-29 21:00:00,0.157 Mpa,0.0362 Mpa,0.141 Mpa,0 Mpa,0.307 Mpa,0.119 Mpa,0.158 Mpa,0.0733 Mpa,0.115 Mpa,,4.62%,1.32%,4.85%,0.166%,11.2%,2.64%,7.27%,2.61%,3.37%,
2026-06-29 23:00:00,0.188 Mpa,0.0884 Mpa,0.178 Mpa,0.152 Mpa,0.264 Mpa,0.148 Mpa,0.145 Mpa,0.0486 Mpa,0.218 Mpa,,5.39%,3.44%,5.73%,4.28%,9.98%,3.43%,5.93%,2.22%,6.42%,
2026-06-30 01:00:00,0.0444 Mpa,0.0757 Mpa,0.128 Mpa,0.172 Mpa,0.313 Mpa,0.0597 Mpa,0.171 Mpa,0.0653 Mpa,0.0831 Mpa,,1.25%,2.97%,4.60%,5.40%,12.0%,0.912%,6.30%,2.32%,2.29%,
2026-06-30 03:00:00,0.168 Mpa,0.0685 Mpa,0.0144 Mpa,0.0990 Mpa,0.279 Mpa,,0.123 Mpa,0.0301 Mpa,0.0879 Mpa,,4.97%,2.68%,0.979%,3.00%,9.43%,,6.22%,0.880%,2.52%,
2026-06-30 05:00:00,0.0917 Mpa,0.134 Mpa,0.0511 Mpa,0.133 Mpa,0.128 Mpa,,0.0740 Mpa,0.189 Mpa,0.0330 Mpa,,2.76%,5.25%,1.64%,4.00%,4.50%,,4.92%,5.81%,1.07%,
2026-06-30 07:00:00,0.0972 Mpa,0.380 Mpa,0.0562 Mpa,0.112 Mpa,0.284 Mpa,1.46 Mpa,0.0642 Mpa,0.273 Mpa,0.128 Mpa,,3.00%,13.3%,2.08%,3.39%,9.94%,41.6%,4.44%,8.22%,3.73%,
2026-06-30 09:00:00,0.0784 Mpa,0 Mpa,0.106 Mpa,0.0632 Mpa,0.0179 Mpa,0.0506 Mpa,0.0590 Mpa,0.0606 Mpa,0.100 Mpa,,2.41%,1.26%,3.29%,1.93%,0.620%,0.590%,4.46%,1.68%,2.96%,
2026-06-30 11:00:00,0.0594 Mpa,0.247 Mpa,0.0857 Mpa,0.0582 Mpa,0.139 Mpa,,0.0523 Mpa,0.133 Mpa,0.0632 Mpa,,1.92%,9.77%,2.92%,1.88%,5.00%,,3.89%,3.78%,1.70%,
2026-06-30 13:00:00,0.124 Mpa,0.234 Mpa,0.142 Mpa,0.137 Mpa,0.171 Mpa,,0.277 Mpa,0.210 Mpa,0.265 Mpa,,3.84%,8.16%,4.05%,4.85%,5.78%,,11.0%,6.78%,8.12%,
2026-06-30 15:00:00,0.0839 Mpa,0.260 Mpa,0.0567 Mpa,0.0460 Mpa,0.0565 Mpa,,0.0436 Mpa,0.328 Mpa,0.0998 Mpa,,2.89%,9.77%,1.56%,1.65%,1.85%,,3.96%,9.59%,3.03%,
2026-06-30 17:00:00,0.119 Mpa,0.150 Mpa,0.0235 Mpa,0.0626 Mpa,0.199 Mpa,,0.110 Mpa,0.190 Mpa,0.148 Mpa,,3.48%,5.66%,0.0360%,1.92%,7.41%,,5.87%,5.74%,4.46%,
2026-06-30 19:00:00,0.0464 Mpa,0.184 Mpa,0.0713 Mpa,0.0842 Mpa,0.0517 Mpa,,0.0941 Mpa,0.156 Mpa,0.0974 Mpa,,1.48%,6.58%,1.83%,2.62%,1.78%,,5.36%,4.58%,2.75%,
