"Time","P_FW - I38","P_FW - I39","P_FW - I40","P_FW - I41","P_FW - I42","P_FW - I43","P_FW - I44","P_FW - I47","P_FW - I48","%FW - I38","%FW - I39","%FW - I40","%FW - I41","%FW - I42","%FW - I43","%FW - I44","%FW - I47","%FW - I48"
2026-06-26 13:00:00,0.119 Mpa,0.456 Mpa,,0.485 Mpa,0.0599 Mpa,0.939 Mpa,0.669 Mpa,0.255 Mpa,,5.38%,0%,,10.6%,2.33%,19.9%,15.4%,3.53%,
2026-06-26 15:00:00,0.0985 Mpa,0.0164 Mpa,,0.269 Mpa,0.200 Mpa,0.836 Mpa,0.318 Mpa,0.431 Mpa,,4.18%,11.4%,,4.77%,6.73%,18.7%,5.10%,10.0%,
2026-06-26 17:00:00,0.0598 Mpa,0.00878 Mpa,,0.294 Mpa,0.174 Mpa,0.657 Mpa,0.363 Mpa,0.374 Mpa,,7.37%,10.2%,,5.79%,4.97%,13.4%,6.67%,11.1%,
2026-06-26 19:00:00,0.214 Mpa,0.0888 Mpa,,0.188 Mpa,0.0791 Mpa,0.223 Mpa,0.213 Mpa,0.324 Mpa,,16.7%,9.95%,,3.53%,2.90%,0.700%,3.37%,8.36%,
2026-06-26 21:00:00,0.111 Mpa,0.0201 Mpa,,0.327 Mpa,0.0650 Mpa,0.789 Mpa,0.195 Mpa,,,14.4%,5.30%,,5.85%,2.05%,16.2%,1.61%,,
2026-06-26 23:00:00,0.276 Mpa,0.00175 Mpa,0.0304 Mpa,0.314 Mpa,0.0323 Mpa,0.283 Mpa,0.138 Mpa,0.437 Mpa,,8.06%,0.326%,2.20%,5.26%,1.06%,4.12%,1.37%,11.3%,
2026-06-27 01:00:00,0.216 Mpa,0.117 Mpa,,0.509 Mpa,0.0471 Mpa,0.396 Mpa,0.211 Mpa,0.484 Mpa,,25.3%,10.4%,,10.9%,16.8%,7.66%,3.95%,13.7%,
2026-06-27 03:00:00,0.0388 Mpa,,,0.183 Mpa,0.0583 Mpa,0.394 Mpa,0.422 Mpa,0.360 Mpa,,11.8%,,,1.93%,25.6%,4.96%,10.5%,9.87%,
2026-06-27 05:00:00,0.0263 Mpa,,,0.238 Mpa,0.115 Mpa,0.234 Mpa,0.169 Mpa,0.465 Mpa,,6.14%,,,3.66%,7.52%,1.30%,3.25%,12.1%,
2026-06-27 07:00:00,0.0786 Mpa,,,0.266 Mpa,0.0410 Mpa,0.277 Mpa,0.508 Mpa,0.248 Mpa,,1.67%,,,4.63%,1.14%,2.70%,10.8%,4.06%,
2026-06-27 09:00:00,0.229 Mpa,,,0.189 Mpa,0.112 Mpa,0.251 Mpa,0.227 Mpa,0.424 Mpa,,6.97%,,,2.34%,4.06%,2.61%,3.41%,9.75%,
2026-06-27 11:00:00,0.102 Mpa,,,0.149 Mpa,0.0288 Mpa,0.534 Mpa,0.211 Mpa,0.367 Mpa,,3.66%,,,1.31%,1.55%,9.41%,1.87%,6.24%,
2026-06-27 13:00:00,0.0519 Mpa,,0.0885 Mpa,0.130 Mpa,0.200 Mpa,0.393 Mpa,0.277 Mpa,0.265 Mpa,,4.83%,,1.78%,0.967%,12.6%,5.60%,4.51%,8.35%,
2026-06-27 15:00:00,0.560 Mpa,,0.142 Mpa,0.717 Mpa,0.580 Mpa,0.508 Mpa,0.282 Mpa,0.279 Mpa,,15.3%,,4.41%,16.5%,16.9%,9.24%,3.95%,3.34%,
2026-06-27 17:00:00,0.335 Mpa,,0.217 Mpa,0.186 Mpa,0.127 Mpa,0.294 Mpa,0.198 Mpa,0.226 Mpa,,10.2%,,8.81%,1.99%,4.48%,4.61%,1.77%,3.62%,
2026-06-27 19:00:00,1.55 Mpa,,0.412 Mpa,0.269 Mpa,0.438 Mpa,0.538 Mpa,0.610 Mpa,0.305 Mpa,,41.4%,,10.7%,4.27%,12.6%,9.03%,14.1%,6.31%,
2026-06-27 21:00:00,0.273 Mpa,,0.739 Mpa,1.04 Mpa,0.0711 Mpa,0.620 Mpa,0.427 Mpa,0.388 Mpa,,8.99%,,20.5%,24.9%,2.63%,11.7%,9.91%,7.29%,
2026-06-27 23:00:00,0.339 Mpa,,0.110 Mpa,0.115 Mpa,0.0368 Mpa,0.556 Mpa,0.172 Mpa,0.258 Mpa,,9.27%,,2.81%,0.442%,1.67%,10.8%,8.58%,2.49%,
2026-06-28 01:00:00,0.507 Mpa,,0.0864 Mpa,0.167 Mpa,0.124 Mpa,0.389 Mpa,0.259 Mpa,0.332 Mpa,,12.9%,,2.37%,13.5%,3.58%,4.62%,3.95%,5.60%,
2026-06-28 03:00:00,0.316 Mpa,,0.119 Mpa,0.360 Mpa,0.122 Mpa,0.247 Mpa,0.135 Mpa,0.442 Mpa,,8.23%,,3.57%,6.69%,3.52%,2.40%,1.57%,9.37%,
2026-06-28 05:00:00,0.0999 Mpa,,0.169 Mpa,0.223 Mpa,0.151 Mpa,0.323 Mpa,0.325 Mpa,0.372 Mpa,,2.36%,,4.63%,2.82%,4.92%,3.99%,6.18%,6.28%,
2026-06-28 07:00:00,0.129 Mpa,,0.406 Mpa,0.279 Mpa,0.0447 Mpa,0.273 Mpa,0.446 Mpa,0.400 Mpa,,22.1%,,13.0%,4.49%,2.39%,1.90%,9.18%,7.50%,
2026-06-28 09:00:00,0.0926 Mpa,,0.183 Mpa,0.168 Mpa,0.169 Mpa,0.272 Mpa,0.119 Mpa,0.340 Mpa,,9.58%,,6.34%,3.90%,6.84%,2.59%,3.42%,5.57%,
2026-06-28 11:00:00,0.155 Mpa,,0.457 Mpa,,0.609 Mpa,0.293 Mpa,0.304 Mpa,0.570 Mpa,,12.7%,,13.6%,,18.4%,2.54%,5.92%,13.6%,
2026-06-28 13:00:00,0.309 Mpa,,0.300 Mpa,0.0720 Mpa,0.129 Mpa,0.390 Mpa,0.622 Mpa,0.292 Mpa,,8.26%,,9.20%,1.21%,3.66%,5.05%,13.7%,13.7%,
2026-06-28 15:00:00,0.223 Mpa,,0.0882 Mpa,0.252 Mpa,0.173 Mpa,0.513 Mpa,0.821 Mpa,0.273 Mpa,,7.12%,,3.58%,3.82%,5.02%,8.98%,22.2%,5.83%,
2026-06-28 17:00:00,0.379 Mpa,,0.103 Mpa,0.273 Mpa,0.167 Mpa,0.246 Mpa,0.577 Mpa,0.254 Mpa,,11.3%,,3.42%,4.33%,4.98%,2.36%,13.5%,4.72%,
2026-06-28 19:00:00,0.538 Mpa,,0.149 Mpa,0.190 Mpa,0.465 Mpa,0.498 Mpa,0.558 Mpa,0.360 Mpa,,14.8%,,5.41%,1.90%,13.7%,8.32%,12.5%,7.19%,
2026-06-28 21:00:00,1.07 Mpa,,0.143 Mpa,0.209 Mpa,0.293 Mpa,0.251 Mpa,0.453 Mpa,0.278 Mpa,,29.7%,,3.57%,2.05%,9.06%,1.43%,8.76%,7.38%,
2026-06-28 23:00:00,0.0560 Mpa,,0.265 Mpa,0.209 Mpa,0.101 Mpa,0.303 Mpa,1.85 Mpa,0.384 Mpa,,4.32%,,7.95%,1.95%,5.04%,3.19%,55.3%,8.03%,
2026-06-29 01:00:00,0.139 Mpa,,0.308 Mpa,0.259 Mpa,0.121 Mpa,0.352 Mpa,0.900 Mpa,0.745 Mpa,,3.70%,,8.41%,4.08%,3.89%,4.62%,21.4%,18.7%,
2026-06-29 03:00:00,0.227 Mpa,,0.165 Mpa,0.232 Mpa,0.0875 Mpa,0.227 Mpa,0.583 Mpa,0.321 Mpa,,6.41%,,4.53%,3.29%,2.46%,1.74%,13.9%,17.1%,
2026-06-29 05:00:00,0.0427 Mpa,,0.220 Mpa,0.223 Mpa,0.131 Mpa,0.232 Mpa,0.459 Mpa,0.397 Mpa,,5.32%,,6.12%,3.30%,3.39%,2.61%,10.8%,9.59%,
2026-06-29 07:00:00,0.000131 Mpa,,0.295 Mpa,0.262 Mpa,0.280 Mpa,0.246 Mpa,0.415 Mpa,0.335 Mpa,,26.1%,,8.88%,3.82%,8.13%,1.39%,9.30%,5.54%,
2026-06-29 09:00:00,0.0921 Mpa,,0.391 Mpa,0.0951 Mpa,0.475 Mpa,0.241 Mpa,0.868 Mpa,0.391 Mpa,,3.57%,,11.7%,1.19%,34.1%,2.23%,22.3%,6.86%,
2026-06-29 11:00:00,0.117 Mpa,,0.174 Mpa,0.208 Mpa,0.180 Mpa,0.232 Mpa,0.249 Mpa,0.642 Mpa,,4.62%,,5.97%,2.39%,24.2%,2.21%,4.00%,15.2%,
2026-06-29 13:00:00,0.108 Mpa,,0.273 Mpa,0.256 Mpa,0.172 Mpa,0.251 Mpa,0.151 Mpa,0.210 Mpa,,6.37%,,7.48%,4.14%,6.24%,2.75%,0.840%,1.43%,
2026-06-29 15:00:00,0.139 Mpa,,0.0987 Mpa,0.179 Mpa,0.0862 Mpa,0.262 Mpa,0.166 Mpa,0.300 Mpa,,5.74%,,2.60%,1.67%,6.27%,1.77%,1.62%,4.11%,
2026-06-29 17:00:00,0.169 Mpa,,0.444 Mpa,0.186 Mpa,0.243 Mpa,0.293 Mpa,0.233 Mpa,0.316 Mpa,,7.81%,,12.7%,1.96%,8.56%,2.95%,3.64%,5.92%,
2026-06-29 19:00:00,0.0907 Mpa,,0.527 Mpa,0.167 Mpa,0.107 Mpa,0.336 Mpa,0.792 Mpa,0.403 Mpa,,4.77%,,14.9%,1.34%,3.26%,3.94%,19.2%,9.23%,
2026-06-29 21:00:00,0.970 Mpa,,0.0854 Mpa,0.211 Mpa,0.332 Mpa,0.300 Mpa,0.985 Mpa,0.805 Mpa,,25.9%,,1.76%,2.35%,9.86%,5.27%,24.9%,20.2%,
2026-06-29 23:00:00,0.0999 Mpa,,0.378 Mpa,0.177 Mpa,0.112 Mpa,0.243 Mpa,1.17 Mpa,0.227 Mpa,,3.93%,,9.90%,1.79%,4.23%,21.2%,29.7%,17.2%,
2026-06-30 01:00:00,0.354 Mpa,,0.114 Mpa,0.189 Mpa,0.144 Mpa,0.418 Mpa,1.14 Mpa,0.296 Mpa,,9.61%,,2.32%,2.02%,4.41%,7.49%,28.8%,5.35%,
2026-06-30 03:00:00,0.0858 Mpa,,0.406 Mpa,0.190 Mpa,0.0251 Mpa,0.238 Mpa,0.215 Mpa,0.522 Mpa,,4.43%,,11.5%,2.24%,3.60%,3.10%,9.35%,12.1%,
2026-06-30 05:00:00,0.0851 Mpa,,0.173 Mpa,0.180 Mpa,0.210 Mpa,0.283 Mpa,0.404 Mpa,0.330 Mpa,,2.74%,,5.69%,2.13%,7.36%,2.73%,14.4%,5.57%,
2026-06-30 07:00:00,0.226 Mpa,,0.412 Mpa,0.242 Mpa,0.0139 Mpa,0.373 Mpa,0.253 Mpa,0.352 Mpa,,7.24%,,12.8%,3.21%,21.5%,5.48%,11.2%,4.93%,
2026-06-30 09:00:00,0.345 Mpa,,2.88 Mpa,0.525 Mpa,0.136 Mpa,0.364 Mpa,0.476 Mpa,0.320 Mpa,,9.05%,,77.7%,11.3%,5.33%,8.70%,10.4%,4.91%,
2026-06-30 11:00:00,0.159 Mpa,,1.01 Mpa,0.270 Mpa,0.0638 Mpa,0.311 Mpa,0.298 Mpa,0.474 Mpa,,3.81%,,28.8%,4.21%,3.23%,4.15%,5.05%,10.8%,
2026-06-30 13:00:00,0.271 Mpa,,0.0965 Mpa,0.137 Mpa,0.0608 Mpa,0.355 Mpa,0.0243 Mpa,0.351 Mpa,,8.50%,,3.07%,0.809%,2.62%,5.19%,31.8%,5.75%,
2026-06-30 15:00:00,0.0968 Mpa,,0.159 Mpa,0.170 Mpa,0.432 Mpa,0.290 Mpa,0.221 Mpa,0.269 Mpa,,4.09%,,4.03%,1.53%,13.2%,2.83%,8.27%,3.17%,
2026-06-30 17:00:00,0.179 Mpa,,0.301 Mpa,0.209 Mpa,0.158 Mpa,0.259 Mpa,0.359 Mpa,0.307 Mpa,,5.93%,,9.05%,2.74%,5.93%,2.95%,6.82%,5.57%,
2026-06-30 19:00:00,0.190 Mpa,,0.536 Mpa,0.157 Mpa,0.381 Mpa,0.238 Mpa,0.497 Mpa,0.345 Mpa,,5.23%,,15.0%,0.944%,11.9%,1.28%,10.3%,6.91%,
2026-06-30 21:00:00,0.277 Mpa,,0.528 Mpa,0.124 Mpa,0.241 Mpa,0.250 Mpa,1.92 Mpa,0.367 Mpa,,10.6%,,14.9%,29.3%,8.62%,1.95%,52.0%,7.71%,
2026-06-30 23:00:00,0.173 Mpa,,0.566 Mpa,0.193 Mpa,0.188 Mpa,0.242 Mpa,0.197 Mpa,2.73 Mpa,,6.78%,,16.5%,3.85%,7.50%,1.55%,2.65%,76.6%,
2026-07-01 01:00:00,0.0965 Mpa,,0.188 Mpa,0.259 Mpa,0.240 Mpa,0.345 Mpa,0.295 Mpa,,,5.80%,,5.45%,3.41%,7.37%,3.16%,4.40%,,
2026-07-01 03:00:00,0.310 Mpa,,0.138 Mpa,0.306 Mpa,0.132 Mpa,0.237 Mpa,0.240 Mpa,,,8.40%,,3.73%,5.11%,4.68%,0.380%,2.51%,,
2026-07-01 05:00:00,0.206 Mpa,,0.121 Mpa,0.254 Mpa,0.246 Mpa,0.278 Mpa,0.206 Mpa,,,7.97%,,3.29%,3.70%,7.46%,2.55%,2.32%,,
2026-07-01 07:00:00,0.204 Mpa,,0.171 Mpa,0.163 Mpa,0.264 Mpa,0.335 Mpa,0.129 Mpa,,,6.43%,,4.19%,1.12%,11.1%,3.86%,1.46%,,
2026-07-01 09:00:00,0.446 Mpa,,1.05 Mpa,0.169 Mpa,0.0277 Mpa,0.646 Mpa,0.317 Mpa,,,13.0%,,29.4%,1.20%,22.1%,12.9%,4.53%,,
2026-07-01 11:00:00,0.196 Mpa,,0.147 Mpa,0.330 Mpa,0.214 Mpa,0.333 Mpa,0.346 Mpa,0.773 Mpa,,5.93%,,4.47%,5.45%,6.78%,4.03%,5.94%,18.8%,
2026-07-01 13:00:00,0.0966 Mpa,,0.272 Mpa,0.328 Mpa,0.212 Mpa,0.368 Mpa,0.305 Mpa,,,4.83%,,8.06%,6.40%,8.00%,5.90%,12.6%,,
2026-07-01 15:00:00,0.113 Mpa,,0.0851 Mpa,0.0759 Mpa,0.0589 Mpa,0.287 Mpa,0.460 Mpa,,,3.45%,,2.33%,1.26%,3.24%,2.77%,9.63%,,
2026-07-01 17:00:00,0.142 Mpa,,0.128 Mpa,0.242 Mpa,0.134 Mpa,0.387 Mpa,0.316 Mpa,,,5.85%,,4.16%,4.39%,4.97%,4.80%,7.11%,,
2026-07-01 19:00:00,0.0386 Mpa,,0.129 Mpa,0.475 Mpa,0.379 Mpa,0.301 Mpa,0.249 Mpa,0.179 Mpa,,7.25%,,4.02%,9.65%,11.9%,2.28%,3.14%,1.09%,
2026-07-01 21:00:00,0.116 Mpa,,0.197 Mpa,0.357 Mpa,0.135 Mpa,0.259 Mpa,0.179 Mpa,,,11.0%,,5.31%,6.85%,4.62%,1.43%,2.04%,,
2026-07-01 23:00:00,0.158 Mpa,,0.122 Mpa,0.261 Mpa,0.250 Mpa,0.293 Mpa,0.466 Mpa,,,8.59%,,3.42%,3.72%,6.82%,3.17%,11.2%,,
2026-07-02 01:00:00,0.365 Mpa,,0.165 Mpa,0.232 Mpa,0.383 Mpa,0.585 Mpa,0.229 Mpa,,,11.2%,,3.56%,2.84%,11.5%,10.5%,6.07%,,
2026-07-02 03:00:00,0.0853 Mpa,,0.578 Mpa,0.431 Mpa,0.832 Mpa,0.225 Mpa,0.985 Mpa,,,4.55%,,14.5%,8.67%,24.4%,0.0462%,25.0%,,
2026-07-02 05:00:00,0.103 Mpa,,0.166 Mpa,0.198 Mpa,0.0806 Mpa,0.260 Mpa,0.246 Mpa,,,6.64%,,5.41%,2.52%,3.97%,1.84%,17.5%,,
2026-07-02 07:00:00,0.403 Mpa,,0.107 Mpa,0.142 Mpa,0.289 Mpa,0.259 Mpa,0.257 Mpa,,,11.5%,,3.07%,0.784%,8.80%,1.08%,16.3%,,
2026-07-02 09:00:00,0.149 Mpa,,0.269 Mpa,0.192 Mpa,0.204 Mpa,0.289 Mpa,0.949 Mpa,,,8.57%,,8.16%,2.24%,7.69%,1.98%,56.1%,,
2026-07-02 11:00:00,0.0865 Mpa,,0.101 Mpa,0.143 Mpa,0.0268 Mpa,0.311 Mpa,0.167 Mpa,,,7.08%,,2.99%,0.867%,2.11%,3.74%,8.31%,,
2026-07-02 13:00:00,0.101 Mpa,,0.0618 Mpa,0.145 Mpa,0.108 Mpa,0.301 Mpa,0.266 Mpa,,,4.54%,,0.981%,0.801%,4.06%,3.98%,13.5%,,
2026-07-02 15:00:00,0.0946 Mpa,,0.886 Mpa,0.416 Mpa,0.257 Mpa,0.251 Mpa,0.145 Mpa,,,4.67%,,23.9%,9.31%,9.04%,0.901%,1.45%,,
2026-07-02 17:00:00,0.0916 Mpa,,0.212 Mpa,0.953 Mpa,0.137 Mpa,0.411 Mpa,0.217 Mpa,,,2.13%,,5.72%,21.9%,4.96%,6.74%,3.39%,,
2026-07-02 19:00:00,0.194 Mpa,,0.185 Mpa,0.269 Mpa,0.141 Mpa,0.358 Mpa,0.539 Mpa,,,4.40%,,8.76%,3.83%,4.86%,4.58%,12.1%,,
2026-07-02 21:00:00,0.411 Mpa,,0.301 Mpa,0.0954 Mpa,0.107 Mpa,0.301 Mpa,0.312 Mpa,,,12.5%,,8.74%,1.07%,5.72%,4.95%,5.67%,,
2026-07-02 23:00:00,0.105 Mpa,,0.0904 Mpa,,0.106 Mpa,0.306 Mpa,0.273 Mpa,,,3.49%,,2.36%,,5.63%,2.62%,3.99%,,
2026-07-03 01:00:00,0.934 Mpa,,0.0563 Mpa,,0.203 Mpa,0.648 Mpa,0.649 Mpa,,,23.6%,,3.39%,,7.25%,12.1%,17.0%,,
2026-07-03 03:00:00,0.254 Mpa,,0.139 Mpa,0.385 Mpa,0.187 Mpa,0.536 Mpa,0.277 Mpa,,,6.98%,,5.09%,8.52%,5.90%,9.21%,8.06%,,
2026-07-03 05:00:00,0.123 Mpa,,0.146 Mpa,0.332 Mpa,0.137 Mpa,0.912 Mpa,0.369 Mpa,,,4.84%,,3.79%,6.07%,5.41%,20.5%,7.83%,,
2026-07-03 07:00:00,0.0772 Mpa,,0.224 Mpa,0.305 Mpa,0.0914 Mpa,0.405 Mpa,0.232 Mpa,,,9.51%,,6.09%,4.78%,4.13%,6.62%,2.93%,,
2026-07-03 09:00:00,0.434 Mpa,,0.212 Mpa,0.595 Mpa,0.118 Mpa,0.621 Mpa,0.229 Mpa,,,12.6%,,6.20%,12.7%,5.08%,11.9%,3.53%,,
2026-07-03 11:00:00,0.244 Mpa,,0.158 Mpa,0.191 Mpa,0.190 Mpa,0.682 Mpa,0.396 Mpa,,,7.90%,,3.90%,1.39%,6.45%,13.4%,7.66%,,
2026-07-03 13:00:00,0.125 Mpa,,0.155 Mpa,0.579 Mpa,0.300 Mpa,0.730 Mpa,0.310 Mpa,,,4.79%,,4.01%,12.1%,10.2%,14.0%,6.68%,,
2026-07-03 15:00:00,0.185 Mpa,,0.186 Mpa,0.310 Mpa,0.204 Mpa,0.800 Mpa,0.343 Mpa,,,6.09%,,5.60%,4.79%,7.66%,16.8%,7.05%,,
2026-07-03 17:00:00,0.0889 Mpa,,0.137 Mpa,0.179 Mpa,0.189 Mpa,0.498 Mpa,0.250 Mpa,,,2.14%,,2.78%,1.59%,5.93%,9.75%,3.65%,,
2026-07-03 19:00:00,0.0978 Mpa,,0.350 Mpa,0.167 Mpa,0.278 Mpa,0.423 Mpa,0.242 Mpa,,,4.22%,,9.68%,1.71%,8.35%,6.64%,3.16%,,
2026-07-03 21:00:00,0.229 Mpa,,0.0918 Mpa,0.344 Mpa,0.0798 Mpa,0.382 Mpa,0.578 Mpa,,,5.89%,,4.19%,5.37%,60.1%,5.37%,13.8%,,
2026-07-03 23:00:00,0.0185 Mpa,,0.116 Mpa,0.253 Mpa,0.0677 Mpa,0.771 Mpa,0.593 Mpa,,,0.582%,,3.47%,2.94%,2.88%,16.3%,13.9%,,
2026-07-04 01:00:00,0.00177 Mpa,,0.247 Mpa,0.361 Mpa,0.196 Mpa,0.337 Mpa,0.178 Mpa,,,0.0518%,,6.83%,5.75%,12.3%,9.26%,20.2%,,
2026-07-04 03:00:00,,,0.147 Mpa,0.180 Mpa,0.131 Mpa,0.814 Mpa,0.568 Mpa,,,,,4.70%,0.971%,3.96%,16.9%,12.4%,,
2026-07-04 05:00:00,,,0.166 Mpa,0.237 Mpa,0.118 Mpa,0.395 Mpa,0.193 Mpa,,,,,6.08%,2.74%,3.48%,4.73%,2.62%,,
2026-07-04 07:00:00,,,0.273 Mpa,0.221 Mpa,0.195 Mpa,0.489 Mpa,0.564 Mpa,,,,,8.22%,2.18%,6.24%,9.30%,15.1%,,
2026-07-04 09:00:00,0.0920 Mpa,,0.0624 Mpa,0.502 Mpa,0.288 Mpa,0.239 Mpa,0.232 Mpa,,,2.44%,,3.70%,9.41%,9.38%,0.254%,3.82%,,
2026-07-04 11:00:00,0.166 Mpa,,0.142 Mpa,0.566 Mpa,0.0676 Mpa,1.14 Mpa,0.650 Mpa,,,7.09%,,3.99%,11.6%,1.74%,26.1%,15.4%,,
2026-07-04 13:00:00,0.127 Mpa,,0.447 Mpa,0.558 Mpa,0.0683 Mpa,1.08 Mpa,0.751 Mpa,,,5.50%,,13.6%,11.6%,2.24%,25.1%,18.1%,,
2026-07-04 15:00:00,0.230 Mpa,,0.729 Mpa,0.228 Mpa,0.312 Mpa,0.673 Mpa,0.431 Mpa,,,8.07%,,21.2%,2.58%,9.75%,13.6%,10.0%,,
2026-07-04 17:00:00,0.178 Mpa,,0.0844 Mpa,0.231 Mpa,0.128 Mpa,0.735 Mpa,0.519 Mpa,,,7.34%,,2.71%,6.89%,4.68%,15.8%,14.2%,,
2026-07-04 19:00:00,0.344 Mpa,,0.100 Mpa,0.425 Mpa,0.234 Mpa,0.231 Mpa,0.190 Mpa,,,8.91%,,3.16%,7.75%,7.82%,5.26%,0.915%,,
2026-07-04 21:00:00,0.257 Mpa,,0.303 Mpa,0.336 Mpa,0.225 Mpa,0.189 Mpa,0.355 Mpa,,,10.2%,,8.60%,5.18%,7.35%,5.60%,6.65%,,
2026-07-04 23:00:00,0.0672 Mpa,,0.565 Mpa,1.07 Mpa,0.475 Mpa,0.228 Mpa,0.168 Mpa,0.630 Mpa,,4.63%,,14.3%,25.1%,14.4%,4.85%,0.799%,18.0%,
2026-07-05 01:00:00,0.337 Mpa,,0.0470 Mpa,0.519 Mpa,0.0510 Mpa,0.263 Mpa,0.211 Mpa,,,27.0%,,39.8%,10.2%,1.78%,5.35%,2.13%,,
2026-07-05 03:00:00,0.0907 Mpa,,0.0678 Mpa,0.185 Mpa,0.338 Mpa,0.253 Mpa,0.262 Mpa,,,10.4%,,0.505%,0.985%,10.9%,4.74%,3.50%,,
2026-07-05 05:00:00,0.172 Mpa,,0.0833 Mpa,0.226 Mpa,0.169 Mpa,0.364 Mpa,0.317 Mpa,,,6.45%,,0.922%,2.74%,5.40%,5.01%,5.00%,,
2026-07-05 07:00:00,0.301 Mpa,,0.250 Mpa,1.81 Mpa,0.185 Mpa,0.342 Mpa,0.317 Mpa,,,9.21%,,6.61%,44.7%,6.46%,3.78%,5.70%,,
2026-07-05 09:00:00,0.0939 Mpa,,0.251 Mpa,0.280 Mpa,0.128 Mpa,0.245 Mpa,0.212 Mpa,,,5.83%,,7.94%,4.38%,5.31%,0.928%,5.88%,,
2026-07-05 11:00:00,0.326 Mpa,,0.113 Mpa,0.258 Mpa,0.214 Mpa,0.281 Mpa,0.786 Mpa,,,10.3%,,3.76%,3.57%,7.31%,2.02%,19.2%,,
2026-07-05 13:00:00,0.206 Mpa,,0.184 Mpa,0.512 Mpa,0.248 Mpa,0.569 Mpa,0.233 Mpa,,,5.82%,,6.80%,9.92%,8.88%,13.4%,2.96%,,
2026-07-05 15:00:00,0.516 Mpa,,0.179 Mpa,0.666 Mpa,0.102 Mpa,0.404 Mpa,0.256 Mpa,,,13.7%,,6.59%,14.3%,4.41%,9.35%,5.37%,,
2026-07-05 17:00:00,0.233 Mpa,,0.262 Mpa,0.172 Mpa,0.151 Mpa,0.354 Mpa,0.253 Mpa,,,11.6%,,7.27%,9.39%,4.48%,8.92%,4.43%,,
2026-07-05 19:00:00,0.328 Mpa,,0.217 Mpa,0.296 Mpa,0.291 Mpa,0.232 Mpa,0.252 Mpa,,,15.4%,,5.22%,5.66%,8.37%,1.51%,3.79%,,
2026-07-05 21:00:00,0.0699 Mpa,,0.169 Mpa,0.175 Mpa,0.0373 Mpa,0.247 Mpa,0.297 Mpa,,,7.14%,,4.98%,1.22%,1.59%,2.34%,4.03%,,
2026-07-05 23:00:00,0.334 Mpa,,0.134 Mpa,0.262 Mpa,0.0322 Mpa,0.754 Mpa,0.155 Mpa,,,9.25%,,2.90%,9.49%,1.39%,16.2%,0.770%,,
2026-07-06 01:00:00,0.0781 Mpa,,0.161 Mpa,0.200 Mpa,0.0551 Mpa,0.966 Mpa,0.286 Mpa,,,5.67%,,48.2%,12.8%,2.07%,23.1%,4.78%,,
2026-07-06 03:00:00,0.114 Mpa,,0.111 Mpa,0.265 Mpa,0.0705 Mpa,0.380 Mpa,0.341 Mpa,,,13.6%,,4.29%,7.93%,2.04%,6.56%,6.36%,,
2026-07-06 05:00:00,0.0699 Mpa,,0.240 Mpa,0.289 Mpa,0.102 Mpa,0.468 Mpa,0.172 Mpa,,,5.19%,,7.36%,7.18%,3.79%,9.35%,2.88%,,
2026-07-06 07:00:00,0.0481 Mpa,,0.203 Mpa,0.246 Mpa,0.300 Mpa,0.365 Mpa,0.271 Mpa,,,2.27%,,5.11%,2.85%,9.35%,6.10%,4.17%,,
2026-07-06 09:00:00,0.0426 Mpa,,0.205 Mpa,0.248 Mpa,0.337 Mpa,0.266 Mpa,0.367 Mpa,,,0.265%,,6.69%,2.88%,10.3%,1.55%,7.09%,,
2026-07-06 11:00:00,0.543 Mpa,,0.259 Mpa,0.304 Mpa,0.137 Mpa,0.271 Mpa,0.212 Mpa,2.41 Mpa,,14.4%,,8.60%,4.66%,4.75%,2.68%,2.76%,66.8%,
2026-07-06 13:00:00,0.152 Mpa,,0.208 Mpa,0.336 Mpa,0.340 Mpa,0.405 Mpa,0.330 Mpa,2.15 Mpa,,5.35%,,6.59%,5.27%,10.5%,6.24%,7.32%,59.1%,
2026-07-06 15:00:00,0.0758 Mpa,,0.286 Mpa,0.407 Mpa,1.32 Mpa,0.886 Mpa,0.406 Mpa,2.40 Mpa,,3.90%,,8.51%,7.89%,35.3%,20.1%,9.17%,67.0%,
2026-07-06 17:00:00,0.176 Mpa,,0.208 Mpa,0.187 Mpa,0.529 Mpa,0.277 Mpa,0.171 Mpa,,,4.37%,,5.83%,1.31%,14.9%,4.90%,13.1%,,
2026-07-06 19:00:00,0.0406 Mpa,,0.574 Mpa,0.221 Mpa,0.132 Mpa,0.287 Mpa,0.232 Mpa,,,3.63%,,15.7%,2.86%,4.22%,5.20%,3.03%,,
2026-07-06 21:00:00,0.211 Mpa,,0.113 Mpa,0.236 Mpa,0.109 Mpa,0.231 Mpa,0.265 Mpa,,,8.55%,,1.88%,3.03%,3.65%,3.33%,3.84%,,
2026-07-06 23:00:00,0.121 Mpa,,0.530 Mpa,0.441 Mpa,0.0891 Mpa,0.257 Mpa,0.275 Mpa,,,6.83%,,14.0%,8.78%,2.56%,4.52%,4.11%,,
2026-07-07 01:00:00,0.0590 Mpa,,0.0816 Mpa,0.238 Mpa,0.0764 Mpa,0.271 Mpa,0.356 Mpa,,,13.6%,,28.4%,2.78%,4.47%,5.10%,5.72%,,
