"Time","P_FW - I45","P_FW - I49","P_FW - I50","P_FW - I52","P_FW - I53","P_FW - I54","P_FW - I55","P_FW - I56","P_FW - I57","P_FW - I58","%FW - I45","%FW - I49","%FW - I50","%FW - I52","%FW - I53","%FW - I54","%FW - I55","%FW - I56","%FW - I57","%FW - I58"
2026-07-10 09:00:00,0.201 Mpa,0.0925 Mpa,0.116 Mpa,0.180 Mpa,0.150 Mpa,0.201 Mpa,0.133 Mpa,0.0627 Mpa,0.144 Mpa,0.0700 Mpa,9.49%,3.22%,4.06%,10.4%,6.67%,7.08%,3.77%,2.99%,5.04%,6.37%
2026-07-10 11:00:00,0.143 Mpa,0.0975 Mpa,0.469 Mpa,0.0353 Mpa,0.0425 Mpa,0.169 Mpa,0.0806 Mpa,0.0772 Mpa,0.0301 Mpa,0.149 Mpa,6.54%,3.16%,15.2%,6.45%,3.02%,6.63%,2.20%,3.27%,1.20%,7.90%
2026-07-10 13:00:00,0.221 Mpa,0.0960 Mpa,0.0352 Mpa,0.0699 Mpa,0.624 Mpa,0.164 Mpa,0.325 Mpa,0.0660 Mpa,0.171 Mpa,0.202 Mpa,8.76%,3.06%,2.03%,6.95%,21.6%,8.20%,8.88%,2.79%,6.88%,9.76%
2026-07-10 15:00:00,0.127 Mpa,0.0322 Mpa,0.0903 Mpa,0.208 Mpa,0.0945 Mpa,0.695 Mpa,0.675 Mpa,0.218 Mpa,0.0803 Mpa,0.0249 Mpa,6.29%,0.990%,4.53%,11.1%,4.73%,22.1%,18.2%,7.37%,3.82%,5.20%
2026-07-10 17:00:00,0.0590 Mpa,0.0549 Mpa,0.0227 Mpa,0.134 Mpa,0.125 Mpa,0.837 Mpa,0.538 Mpa,0.223 Mpa,0.0557 Mpa,0.115 Mpa,17.4%,1.87%,3.28%,9.09%,5.71%,34.3%,14.6%,8.37%,2.49%,8.04%
2026-07-10 19:00:00,0.0796 Mpa,,0.0973 Mpa,0.212 Mpa,0.0973 Mpa,0.145 Mpa,2.68 Mpa,0.142 Mpa,0.0136 Mpa,0.00640 Mpa,4.42%,,5.81%,11.7%,4.58%,5.14%,72.7%,7.00%,1.13%,4.63%
2026-07-10 21:00:00,0.0673 Mpa,0.828 Mpa,0.0717 Mpa,0.474 Mpa,0.152 Mpa,0.131 Mpa,0.255 Mpa,0.258 Mpa,0.0420 Mpa,0.0661 Mpa,4.64%,24.7%,5.61%,19.3%,6.56%,4.68%,6.88%,10.4%,2.93%,6.28%
2026-07-10 23:00:00,0.116 Mpa,0.0679 Mpa,0.242 Mpa,0.101 Mpa,0.0490 Mpa,0.456 Mpa,0.167 Mpa,0.0427 Mpa,0.0800 Mpa,0.141 Mpa,5.69%,2.01%,9.70%,8.40%,2.93%,15.7%,4.76%,2.53%,3.30%,8.55%
2026-07-11 01:00:00,0.104 Mpa,0.0430 Mpa,0.0494 Mpa,0.0862 Mpa,0.536 Mpa,0.311 Mpa,0.260 Mpa,0.0934 Mpa,0.0849 Mpa,0.0872 Mpa,5.75%,1.32%,13.5%,8.54%,20.0%,10.7%,6.99%,4.08%,3.08%,7.13%
2026-07-11 03:00:00,0.0331 Mpa,0.192 Mpa,0.0877 Mpa,0.629 Mpa,0.0848 Mpa,0.140 Mpa,0.0680 Mpa,0.0306 Mpa,0.0157 Mpa,0.0398 Mpa,3.50%,5.83%,8.09%,22.6%,4.25%,5.39%,1.78%,2.26%,2.44%,10.5%
2026-07-11 05:00:00,0.206 Mpa,0.0981 Mpa,0.106 Mpa,0.285 Mpa,0.358 Mpa,0.326 Mpa,0.0610 Mpa,0.146 Mpa,0.0539 Mpa,0.113 Mpa,8.05%,3.21%,6.59%,14.0%,13.7%,24.2%,2.00%,6.29%,3.43%,7.34%
2026-07-11 07:00:00,0.125 Mpa,0.110 Mpa,0.0405 Mpa,0.394 Mpa,0.194 Mpa,0.298 Mpa,0.0670 Mpa,0.130 Mpa,0.451 Mpa,0.108 Mpa,6.01%,3.92%,4.29%,15.8%,8.09%,20.0%,1.92%,5.04%,14.2%,7.26%
2026-07-11 09:00:00,0.327 Mpa,0.0695 Mpa,0.0233 Mpa,0.373 Mpa,0.0491 Mpa,0.677 Mpa,0.0294 Mpa,0.277 Mpa,0.0322 Mpa,0.0456 Mpa,12.1%,2.28%,4.22%,15.7%,2.93%,27.9%,0.833%,9.81%,1.16%,5.96%
2026-07-11 11:00:00,0.187 Mpa,0.0726 Mpa,0.00101 Mpa,0.510 Mpa,0.0283 Mpa,0.170 Mpa,0.0653 Mpa,0.132 Mpa,0.133 Mpa,0.152 Mpa,7.59%,2.30%,2.72%,19.8%,2.24%,42.0%,2.35%,5.41%,4.30%,8.65%
2026-07-11 13:00:00,0.315 Mpa,0.142 Mpa,0 Mpa,0.738 Mpa,0.407 Mpa,0.994 Mpa,0.347 Mpa,0.0824 Mpa,0.0897 Mpa,0.0821 Mpa,10.8%,4.33%,0.201%,25.9%,16.2%,48.1%,9.99%,7.87%,3.17%,7.05%
2026-07-11 15:00:00,1.59 Mpa,0.0613 Mpa,0 Mpa,0.268 Mpa,0.0727 Mpa,0.407 Mpa,0.0256 Mpa,0.276 Mpa,0.0507 Mpa,0.0699 Mpa,46.2%,2.03%,2.97%,12.8%,4.42%,22.7%,0.876%,9.78%,2.07%,6.61%
2026-07-11 17:00:00,,0.0942 Mpa,0.501 Mpa,0.804 Mpa,0.0607 Mpa,0.128 Mpa,0.0533 Mpa,0.0759 Mpa,0.0562 Mpa,0.0680 Mpa,,3.10%,28.5%,28.0%,3.52%,17.3%,1.50%,4.25%,2.28%,8.34%
2026-07-11 19:00:00,,0.0831 Mpa,0.0110 Mpa,0.332 Mpa,0.0536 Mpa,0.0988 Mpa,0.0807 Mpa,0.275 Mpa,,0.186 Mpa,,2.76%,6.28%,14.8%,3.35%,5.95%,2.29%,8.87%,,9.14%
2026-07-11 21:00:00,0.529 Mpa,0.0752 Mpa,0.0560 Mpa,0.274 Mpa,0.0278 Mpa,0.304 Mpa,0.0532 Mpa,0.132 Mpa,0.100 Mpa,0.125 Mpa,17.3%,2.87%,1.97%,13.2%,2.24%,20.4%,1.44%,5.20%,4.23%,7.74%
2026-07-11 23:00:00,0.0178 Mpa,0.573 Mpa,0.184 Mpa,0.0477 Mpa,0.0643 Mpa,0.346 Mpa,0.0762 Mpa,0.325 Mpa,0.0733 Mpa,0.0852 Mpa,1.95%,17.3%,33.1%,6.78%,3.62%,27.9%,2.13%,10.8%,2.92%,7.49%
2026-07-12 01:00:00,,0.751 Mpa,0.0560 Mpa,0.212 Mpa,0.101 Mpa,0.0594 Mpa,0.0839 Mpa,0.162 Mpa,0.0345 Mpa,0 Mpa,,22.3%,3.44%,11.5%,5.04%,16.2%,2.34%,6.81%,1.98%,5.66%
2026-07-12 03:00:00,,0.766 Mpa,0.0829 Mpa,0.445 Mpa,0.104 Mpa,0.537 Mpa,0.135 Mpa,0.111 Mpa,0.0435 Mpa,0.0424 Mpa,,24.1%,4.55%,18.1%,5.68%,17.2%,3.74%,4.80%,3.17%,6.29%
2026-07-12 05:00:00,,0.107 Mpa,0.00206 Mpa,0.0688 Mpa,0.223 Mpa,0.0687 Mpa,0.112 Mpa,0.0928 Mpa,0.0631 Mpa,0.0525 Mpa,,3.66%,3.23%,7.67%,9.31%,6.75%,3.08%,4.31%,2.72%,6.46%
2026-07-12 07:00:00,,0.657 Mpa,0 Mpa,0.102 Mpa,0.224 Mpa,0.694 Mpa,0.269 Mpa,0.0443 Mpa,0.0695 Mpa,0.129 Mpa,,20.3%,1.55%,9.06%,9.48%,25.3%,7.44%,2.72%,4.50%,8.13%
2026-07-12 09:00:00,,0.0207 Mpa,0.000351 Mpa,0.0947 Mpa,0.135 Mpa,0.159 Mpa,0.0665 Mpa,0.212 Mpa,0.0615 Mpa,0.0327 Mpa,,5.83%,0%,8.56%,6.31%,32.8%,2.09%,7.66%,3.56%,5.96%
2026-07-12 11:00:00,,1.12 Mpa,0.0130 Mpa,0.188 Mpa,0.130 Mpa,0.235 Mpa,0.0513 Mpa,0.0201 Mpa,0.153 Mpa,0.133 Mpa,,33.9%,0.0199%,11.1%,6.47%,8.44%,1.79%,1.95%,4.86%,7.99%
2026-07-12 13:00:00,,0.0592 Mpa,0.122 Mpa,0.0680 Mpa,0.108 Mpa,0.264 Mpa,0.0549 Mpa,0.0635 Mpa,0.0299 Mpa,0.122 Mpa,,2.08%,4.34%,8.13%,5.94%,8.85%,1.51%,3.12%,5.32%,8.38%
2026-07-12 15:00:00,,0.0391 Mpa,0.0506 Mpa,0.0343 Mpa,0.558 Mpa,0.239 Mpa,0.0553 Mpa,0.0139 Mpa,0.0968 Mpa,0.139 Mpa,,1.57%,2.80%,6.95%,20.8%,8.62%,1.53%,2.14%,4.65%,9.11%
2026-07-12 17:00:00,,0.181 Mpa,0.0619 Mpa,0.0468 Mpa,0.0955 Mpa,0.118 Mpa,0.0688 Mpa,0.0859 Mpa,0.0591 Mpa,0.143 Mpa,,5.78%,3.60%,6.71%,4.68%,11.4%,1.91%,4.31%,2.44%,9.36%
2026-07-12 19:00:00,,0.120 Mpa,0.238 Mpa,0.900 Mpa,0.715 Mpa,0.191 Mpa,0.0419 Mpa,0.0595 Mpa,0.104 Mpa,0.155 Mpa,,3.91%,9.60%,30.0%,26.2%,14.1%,1.17%,3.13%,4.29%,8.64%
2026-07-12 21:00:00,,0.314 Mpa,0.145 Mpa,0.379 Mpa,0.223 Mpa,0.210 Mpa,0.108 Mpa,0.0677 Mpa,0.0541 Mpa,0.0229 Mpa,,9.40%,6.05%,15.5%,9.37%,12.1%,2.98%,3.27%,2.59%,5.11%
2026-07-12 23:00:00,,0.189 Mpa,0.0442 Mpa,0.192 Mpa,0.323 Mpa,0.197 Mpa,0.140 Mpa,0.0407 Mpa,0.123 Mpa,0.144 Mpa,,6.14%,11.3%,10.6%,12.7%,8.27%,3.91%,2.27%,4.46%,7.83%
2026-07-13 01:00:00,,0.145 Mpa,0.160 Mpa,0.0972 Mpa,0.118 Mpa,0.453 Mpa,0.299 Mpa,0.0784 Mpa,0.240 Mpa,0.0586 Mpa,,4.70%,7.20%,8.37%,5.91%,22.9%,8.02%,3.93%,7.83%,4.67%
2026-07-13 03:00:00,0.000289 Mpa,0.437 Mpa,0.155 Mpa,0.0748 Mpa,0.108 Mpa,0.530 Mpa,0.0558 Mpa,0.0248 Mpa,0.287 Mpa,0.117 Mpa,1.37%,13.9%,11.7%,6.90%,5.53%,20.8%,1.56%,2.86%,9.42%,6.57%
2026-07-13 05:00:00,0 Mpa,0.458 Mpa,0.107 Mpa,0.102 Mpa,0.235 Mpa,0.127 Mpa,0.105 Mpa,0.101 Mpa,0.340 Mpa,0.0517 Mpa,1.23%,14.0%,5.60%,8.50%,9.53%,6.56%,4.41%,4.60%,10.5%,5.58%
2026-07-13 07:00:00,0 Mpa,0.189 Mpa,0.0544 Mpa,0.906 Mpa,0.262 Mpa,0.149 Mpa,0.0447 Mpa,0.170 Mpa,0.533 Mpa,0.151 Mpa,1.33%,5.89%,3.72%,29.5%,10.3%,14.4%,1.32%,6.40%,16.6%,8.60%
2026-07-13 09:00:00,0.649 Mpa,0.348 Mpa,0.257 Mpa,0.288 Mpa,0.0816 Mpa,0.0263 Mpa,0.0403 Mpa,0.0999 Mpa,0.118 Mpa,0.124 Mpa,19.3%,11.1%,10.7%,13.2%,3.87%,3.41%,1.20%,4.59%,4.30%,8.27%
2026-07-13 11:00:00,0.960 Mpa,0.234 Mpa,0.0997 Mpa,0.957 Mpa,0.144 Mpa,0.0885 Mpa,0.0177 Mpa,0.176 Mpa,0.101 Mpa,0.275 Mpa,28.4%,7.84%,5.07%,31.6%,6.84%,28.0%,0.588%,7.00%,4.13%,12.0%
2026-07-13 13:00:00,1.72 Mpa,0.123 Mpa,0.0646 Mpa,0.0639 Mpa,0.649 Mpa,0.0492 Mpa,0.0776 Mpa,0.0440 Mpa,0.0896 Mpa,0.171 Mpa,51.6%,4.41%,4.70%,7.88%,24.4%,12.6%,2.21%,2.65%,11.2%,9.27%
2026-07-13 15:00:00,0.496 Mpa,0.104 Mpa,0.122 Mpa,0.0428 Mpa,0.0650 Mpa,0.234 Mpa,0.0450 Mpa,0.682 Mpa,0.0736 Mpa,0.100 Mpa,19.2%,3.56%,6.27%,6.76%,3.74%,20.2%,1.23%,21.1%,3.16%,7.68%
2026-07-13 17:00:00,0.115 Mpa,0.116 Mpa,0.00493 Mpa,0.0721 Mpa,0.0323 Mpa,0.147 Mpa,0.0943 Mpa,0.216 Mpa,0.0466 Mpa,0.181 Mpa,5.92%,3.74%,5.60%,7.64%,2.66%,26.2%,2.63%,7.74%,1.94%,9.96%
2026-07-13 19:00:00,0.0608 Mpa,0.0831 Mpa,0.112 Mpa,0.241 Mpa,0.227 Mpa,0.392 Mpa,0.259 Mpa,0.192 Mpa,0.138 Mpa,0.124 Mpa,3.38%,2.94%,14.0%,12.0%,9.62%,17.6%,7.18%,11.7%,5.15%,7.90%
2026-07-13 21:00:00,0.0592 Mpa,0.439 Mpa,0.200 Mpa,0.636 Mpa,0.0117 Mpa,0.119 Mpa,0.133 Mpa,0.393 Mpa,0.304 Mpa,0.132 Mpa,3.86%,14.2%,8.40%,23.8%,2.05%,4.78%,3.71%,12.5%,10.1%,8.15%
2026-07-13 23:00:00,0.277 Mpa,0.112 Mpa,0.377 Mpa,0.147 Mpa,0.0674 Mpa,0.222 Mpa,0.233 Mpa,0.0217 Mpa,0.102 Mpa,0.122 Mpa,9.72%,3.92%,13.2%,9.54%,3.71%,15.6%,6.37%,2.24%,3.83%,7.93%
2026-07-14 01:00:00,0.0256 Mpa,0.279 Mpa,0.285 Mpa,0.414 Mpa,0.0250 Mpa,0.836 Mpa,0.123 Mpa,0.0285 Mpa,0.198 Mpa,0.0329 Mpa,2.24%,9.05%,11.2%,16.2%,2.57%,27.6%,3.36%,2.52%,7.86%,4.84%
2026-07-14 03:00:00,0.0140 Mpa,0.0103 Mpa,0.107 Mpa,0.0463 Mpa,0.0644 Mpa,0.909 Mpa,0.0311 Mpa,0.145 Mpa,0.344 Mpa,0.0246 Mpa,2.90%,0.308%,5.08%,6.83%,3.05%,38.6%,0.795%,6.56%,12.5%,4.86%
2026-07-14 05:00:00,0.0812 Mpa,0.353 Mpa,0.126 Mpa,0.0353 Mpa,0.0608 Mpa,0.0688 Mpa,0.0814 Mpa,0.255 Mpa,0.0706 Mpa,0.0168 Mpa,4.25%,10.7%,5.85%,6.70%,3.91%,9.27%,2.17%,9.27%,2.94%,3.73%
2026-07-14 07:00:00,1.29 Mpa,0.0273 Mpa,0.149 Mpa,0.111 Mpa,0.0824 Mpa,0.527 Mpa,0.307 Mpa,0.355 Mpa,0.00507 Mpa,0.00417 Mpa,39.8%,0.886%,6.42%,9.93%,4.63%,17.2%,8.67%,12.3%,0.695%,4.25%
2026-07-14 09:00:00,0.580 Mpa,0.259 Mpa,0.347 Mpa,0.0143 Mpa,0.0840 Mpa,0.439 Mpa,0.0284 Mpa,0.0482 Mpa,0.228 Mpa,0.0691 Mpa,18.5%,8.79%,12.5%,6.84%,4.46%,14.7%,0.874%,3.05%,7.41%,6.15%
2026-07-14 11:00:00,0.279 Mpa,0.0667 Mpa,0.0369 Mpa,0.0933 Mpa,0.250 Mpa,0.222 Mpa,0.0317 Mpa,0.0625 Mpa,0.356 Mpa,0.250 Mpa,10.3%,2.01%,3.20%,8.37%,10.2%,7.99%,1.22%,3.23%,12.1%,11.5%
2026-07-14 13:00:00,1.17 Mpa,0.0845 Mpa,0.0440 Mpa,0.174 Mpa,0.0309 Mpa,,0.0933 Mpa,0.0746 Mpa,0.159 Mpa,0.00791 Mpa,35.2%,2.89%,3.15%,10.7%,2.18%,,2.68%,3.79%,5.91%,4.96%
2026-07-14 15:00:00,0.128 Mpa,0.124 Mpa,0.00700 Mpa,0.129 Mpa,1.40 Mpa,0.273 Mpa,0.0932 Mpa,0.165 Mpa,0.370 Mpa,0.00909 Mpa,5.71%,4.24%,2.39%,9.60%,50.3%,9.61%,2.48%,7.18%,12.3%,4.22%
2026-07-14 17:00:00,0.0926 Mpa,0.184 Mpa,0.0173 Mpa,0.258 Mpa,0.418 Mpa,0.0714 Mpa,0.203 Mpa,0.0915 Mpa,0.0570 Mpa,0.0420 Mpa,4.30%,6.15%,2.86%,12.8%,16.3%,7.76%,5.54%,5.08%,2.14%,5.84%
2026-07-14 19:00:00,0.144 Mpa,0.0918 Mpa,0.0955 Mpa,0.0915 Mpa,0.699 Mpa,0.259 Mpa,0.00917 Mpa,0.0739 Mpa,0.310 Mpa,0.0368 Mpa,6.57%,3.59%,4.76%,8.51%,25.2%,9.00%,0.208%,3.47%,9.91%,5.87%
2026-07-14 21:00:00,0.0415 Mpa,0.338 Mpa,0.170 Mpa,0.0460 Mpa,0.0328 Mpa,0.163 Mpa,0.288 Mpa,0.522 Mpa,0.164 Mpa,0.0380 Mpa,3.73%,10.9%,6.12%,7.54%,2.15%,21.6%,8.01%,16.4%,5.47%,6.10%
2026-07-14 23:00:00,0.0898 Mpa,0.399 Mpa,0.0732 Mpa,0.108 Mpa,0.792 Mpa,0.0142 Mpa,0.0889 Mpa,0.0341 Mpa,0.153 Mpa,0.0128 Mpa,4.98%,13.1%,3.77%,8.76%,24.7%,21.8%,2.57%,2.15%,4.75%,5.09%
2026-07-15 01:00:00,0.295 Mpa,0.170 Mpa,0.155 Mpa,0.0116 Mpa,0.148 Mpa,0.493 Mpa,0.0535 Mpa,0.145 Mpa,0.135 Mpa,0.0732 Mpa,11.4%,5.45%,5.48%,6.18%,6.78%,15.8%,1.56%,5.68%,4.89%,6.13%
2026-07-15 03:00:00,0.0133 Mpa,0.0819 Mpa,0.0611 Mpa,0.0944 Mpa,0.754 Mpa,0.747 Mpa,0.172 Mpa,0.0758 Mpa,0.158 Mpa,0.576 Mpa,3.36%,2.58%,2.50%,8.44%,27.7%,43.4%,4.78%,3.93%,5.58%,19.7%
2026-07-15 05:00:00,0.0772 Mpa,0.0956 Mpa,0.0691 Mpa,0.137 Mpa,0.357 Mpa,0.143 Mpa,0.258 Mpa,0.0706 Mpa,0.0900 Mpa,0.115 Mpa,4.00%,3.23%,3.69%,9.00%,14.0%,5.68%,7.04%,3.47%,3.23%,7.17%
2026-07-15 07:00:00,0.730 Mpa,0.00347 Mpa,0.0866 Mpa,0.239 Mpa,0.568 Mpa,1.05 Mpa,0.100 Mpa,0.0666 Mpa,0.237 Mpa,0.0743 Mpa,26.9%,0.00815%,5.37%,12.5%,22.5%,33.3%,2.85%,3.18%,7.75%,6.13%
2026-07-15 09:00:00,0.0560 Mpa,0.0251 Mpa,0.0878 Mpa,0.299 Mpa,0.540 Mpa,0.344 Mpa,0.0563 Mpa,0.0608 Mpa,0.00267 Mpa,0.129 Mpa,3.91%,0.676%,5.71%,14.5%,21.5%,11.8%,1.49%,3.15%,0.622%,8.29%
2026-07-15 11:00:00,0.149 Mpa,0.125 Mpa,0.154 Mpa,0.119 Mpa,0.323 Mpa,,0.0587 Mpa,0.0728 Mpa,0.171 Mpa,0.261 Mpa,7.07%,4.00%,7.81%,9.29%,13.1%,,2.95%,3.47%,5.69%,11.6%
2026-07-15 13:00:00,0.0699 Mpa,0.177 Mpa,0.124 Mpa,0.0319 Mpa,0.315 Mpa,0.356 Mpa,0.121 Mpa,0.105 Mpa,0.00820 Mpa,0.0781 Mpa,3.78%,5.68%,6.70%,6.73%,13.3%,12.5%,3.44%,4.62%,1.18%,6.29%
2026-07-15 15:00:00,0.213 Mpa,0.0379 Mpa,0.0989 Mpa,0.560 Mpa,0.384 Mpa,0.494 Mpa,0.0507 Mpa,0.153 Mpa,0.00238 Mpa,0.0453 Mpa,7.99%,1.28%,6.54%,21.4%,15.4%,16.5%,1.37%,6.24%,0.934%,5.06%
2026-07-15 17:00:00,0.0441 Mpa,0.0578 Mpa,0.0355 Mpa,1.49 Mpa,0.0900 Mpa,0.164 Mpa,0.0383 Mpa,0.0569 Mpa,0.103 Mpa,0.133 Mpa,2.90%,1.79%,2.73%,47.4%,4.61%,14.7%,1.05%,3.01%,11.3%,8.66%
2026-07-15 19:00:00,0.0513 Mpa,0.132 Mpa,0.0528 Mpa,0.0786 Mpa,0.121 Mpa,0.334 Mpa,0.127 Mpa,0.0794 Mpa,0.136 Mpa,0.758 Mpa,3.03%,4.59%,2.45%,7.62%,5.80%,13.8%,3.58%,3.27%,6.30%,24.3%
2026-07-15 21:00:00,0.110 Mpa,0.0218 Mpa,0.0267 Mpa,0.114 Mpa,0.0794 Mpa,0.142 Mpa,0.0702 Mpa,0.0443 Mpa,0.282 Mpa,0.249 Mpa,4.72%,0.777%,1.58%,8.48%,4.11%,29.8%,1.95%,3.10%,10.4%,11.2%
2026-07-15 23:00:00,0.118 Mpa,0.0620 Mpa,0.0983 Mpa,0.110 Mpa,0.871 Mpa,0.325 Mpa,0.0767 Mpa,0.0654 Mpa,0.0453 Mpa,0.309 Mpa,4.90%,2.17%,3.79%,8.25%,26.8%,29.2%,2.04%,3.49%,8.81%,12.2%
2026-07-16 01:00:00,0.00346 Mpa,0.0489 Mpa,0.212 Mpa,0.191 Mpa,0.153 Mpa,0.0777 Mpa,0.151 Mpa,0.0895 Mpa,0.0895 Mpa,0.304 Mpa,1.78%,1.60%,6.27%,10.2%,5.88%,13.6%,4.02%,3.98%,3.44%,12.7%
2026-07-16 03:00:00,0.103 Mpa,0.00834 Mpa,0.198 Mpa,0.0783 Mpa,0.116 Mpa,0.132 Mpa,0.0680 Mpa,0.0665 Mpa,0.0365 Mpa,0.0773 Mpa,4.36%,0.241%,7.71%,7.89%,5.58%,6.13%,1.87%,12.9%,2.01%,7.20%
2026-07-16 05:00:00,0.0734 Mpa,0.126 Mpa,0.162 Mpa,0.0590 Mpa,0.152 Mpa,0.0763 Mpa,0.111 Mpa,0.0860 Mpa,0.0709 Mpa,0.0597 Mpa,3.68%,3.88%,6.72%,7.08%,6.39%,10.8%,3.10%,4.36%,3.07%,6.74%
2026-07-16 07:00:00,0.0617 Mpa,0.0887 Mpa,0.0470 Mpa,0.119 Mpa,0.832 Mpa,0.309 Mpa,0.0607 Mpa,0.0980 Mpa,0.206 Mpa,0.0456 Mpa,3.60%,2.56%,2.63%,8.93%,28.3%,10.7%,1.71%,4.58%,6.91%,6.32%
2026-07-16 09:00:00,0.0245 Mpa,0.113 Mpa,0.0173 Mpa,0.106 Mpa,0.764 Mpa,0.621 Mpa,0.0156 Mpa,0.240 Mpa,0.196 Mpa,0.219 Mpa,2.17%,3.40%,1.93%,8.73%,25.0%,20.6%,0.390%,8.47%,6.78%,10.7%
2026-07-16 11:00:00,0.225 Mpa,0.168 Mpa,0.0784 Mpa,0.153 Mpa,0.123 Mpa,0.108 Mpa,0.0587 Mpa,0.321 Mpa,0.174 Mpa,0.145 Mpa,8.30%,5.13%,3.14%,10.3%,5.65%,5.12%,1.69%,10.7%,5.94%,8.44%
2026-07-16 13:00:00,0.128 Mpa,0.0505 Mpa,0.0940 Mpa,0.183 Mpa,1.52 Mpa,0.119 Mpa,0.139 Mpa,0.328 Mpa,0.0792 Mpa,0.993 Mpa,14.0%,1.55%,5.16%,11.3%,53.2%,4.26%,4.09%,11.2%,3.56%,30.9%
2026-07-16 15:00:00,0.0888 Mpa,0.134 Mpa,0.0578 Mpa,0.377 Mpa,0.347 Mpa,0.466 Mpa,0.121 Mpa,0.0122 Mpa,0.0913 Mpa,0.157 Mpa,4.33%,4.47%,2.98%,16.5%,12.3%,15.3%,3.40%,2.09%,3.54%,9.44%
2026-07-16 17:00:00,0.165 Mpa,0.0347 Mpa,0.716 Mpa,0.0600 Mpa,0.212 Mpa,0.430 Mpa,0.109 Mpa,0.0395 Mpa,0.0871 Mpa,0.0651 Mpa,7.14%,1.29%,24.7%,7.77%,8.86%,14.3%,3.04%,2.52%,2.77%,7.00%
2026-07-16 19:00:00,0.0861 Mpa,0.129 Mpa,0.0924 Mpa,0.0932 Mpa,0.413 Mpa,0.0419 Mpa,0.0408 Mpa,0.132 Mpa,0.0912 Mpa,0.0550 Mpa,4.13%,4.46%,4.85%,8.15%,16.5%,1.94%,1.02%,4.79%,3.13%,7.02%
2026-07-16 21:00:00,0.104 Mpa,0.0169 Mpa,0.0985 Mpa,0.0906 Mpa,0.289 Mpa,0.723 Mpa,0.0584 Mpa,0.683 Mpa,0.139 Mpa,0.0301 Mpa,4.57%,0.599%,6.18%,8.34%,11.8%,23.1%,1.55%,20.5%,4.78%,6.11%
2026-07-16 23:00:00,0.520 Mpa,0.115 Mpa,0.0168 Mpa,0.137 Mpa,0.373 Mpa,0.324 Mpa,0.151 Mpa,0.202 Mpa,0.160 Mpa,0.0768 Mpa,17.0%,4.01%,3.11%,9.49%,14.7%,11.2%,4.21%,7.29%,5.30%,7.35%
2026-07-17 01:00:00,0.134 Mpa,0.142 Mpa,0.0296 Mpa,0.166 Mpa,0.459 Mpa,0.378 Mpa,0.192 Mpa,0.740 Mpa,0.233 Mpa,0.0260 Mpa,5.85%,4.90%,1.99%,10.7%,17.8%,12.6%,5.50%,22.2%,7.51%,5.49%
2026-07-17 03:00:00,0.0350 Mpa,0.118 Mpa,0.000706 Mpa,0.0121 Mpa,0.430 Mpa,0.108 Mpa,0.178 Mpa,0.0495 Mpa,0.0621 Mpa,0.0150 Mpa,2.68%,3.99%,1.17%,5.65%,17.0%,4.11%,4.90%,2.60%,2.38%,5.56%
2026-07-17 05:00:00,0.0698 Mpa,0.0643 Mpa,,0.0633 Mpa,0.184 Mpa,0.491 Mpa,0.151 Mpa,0.0335 Mpa,0.108 Mpa,0.100 Mpa,3.77%,1.93%,,7.53%,8.44%,15.7%,4.73%,2.16%,3.66%,8.15%
2026-07-17 07:00:00,0.118 Mpa,0.0954 Mpa,,0.127 Mpa,0.907 Mpa,0.0660 Mpa,0.138 Mpa,0.0138 Mpa,0.134 Mpa,0.102 Mpa,4.92%,3.01%,,9.01%,28.5%,2.96%,4.02%,1.49%,4.41%,7.68%
2026-07-17 09:00:00,0.131 Mpa,0.119 Mpa,,0.0766 Mpa,0.295 Mpa,0.201 Mpa,0.145 Mpa,0.0695 Mpa,0.119 Mpa,0.102 Mpa,5.33%,3.63%,,8.15%,11.9%,6.86%,3.91%,3.53%,4.36%,7.25%
2026-07-17 11:00:00,0.204 Mpa,0.147 Mpa,,0.114 Mpa,0.336 Mpa,0.381 Mpa,0.0564 Mpa,0.114 Mpa,0.160 Mpa,0.0722 Mpa,7.58%,4.53%,,9.37%,13.6%,12.9%,1.57%,4.72%,5.75%,7.15%
2026-07-17 13:00:00,0.493 Mpa,0.0685 Mpa,,0.0214 Mpa,0.316 Mpa,0.0132 Mpa,0.0418 Mpa,0.0618 Mpa,0.159 Mpa,0.0808 Mpa,15.4%,2.35%,,6.72%,12.6%,2.24%,1.85%,3.02%,5.14%,7.81%
2026-07-17 15:00:00,0.0674 Mpa,0.123 Mpa,,0.104 Mpa,0.254 Mpa,0.107 Mpa,0.0131 Mpa,0.169 Mpa,0.0422 Mpa,0.0732 Mpa,3.43%,3.99%,,8.42%,10.5%,3.71%,0.374%,6.60%,1.81%,6.26%
2026-07-17 17:00:00,0.0760 Mpa,0.0244 Mpa,0 Mpa,0.0742 Mpa,0.0719 Mpa,0.240 Mpa,0.220 Mpa,0.114 Mpa,0.128 Mpa,0.160 Mpa,4.12%,0.788%,3.90%,7.84%,4.15%,8.48%,6.19%,4.97%,4.56%,8.30%
2026-07-17 19:00:00,0.109 Mpa,0.279 Mpa,,0.102 Mpa,0.834 Mpa,0.0976 Mpa,0.228 Mpa,0.175 Mpa,0.143 Mpa,0.0740 Mpa,4.81%,9.25%,,8.84%,30.1%,3.52%,6.39%,6.93%,4.89%,6.54%
