"Time","P_FW - I45","P_FW - I49","P_FW - I50","P_FW - I52","P_FW - I53","P_FW - I54","P_FW - I55","P_FW - I56","P_FW - I57","P_FW - I58","%FW - I45","%FW - I49","%FW - I50","%FW - I52","%FW - I53","%FW - I54","%FW - I55","%FW - I56","%FW - I57","%FW - I58"
2026-06-19 03:00:00,0.484 Mpa,0.122 Mpa,0.211 Mpa,0.0745 Mpa,0.0415 Mpa,1.02 Mpa,,0.241 Mpa,0.129 Mpa,,15.7%,4.26%,7.12%,7.37%,2.67%,31.3%,,8.14%,4.09%,
2026-06-19 05:00:00,0.0882 Mpa,0.121 Mpa,0.0260 Mpa,0.0606 Mpa,0.133 Mpa,1.83 Mpa,,0.0733 Mpa,0.177 Mpa,,4.42%,3.90%,1.19%,6.77%,5.81%,55.9%,,3.87%,6.32%,
2026-06-19 07:00:00,0.0670 Mpa,0.0928 Mpa,0.0923 Mpa,0.103 Mpa,0.226 Mpa,0.776 Mpa,,0.0728 Mpa,0.110 Mpa,,6.98%,2.91%,3.98%,8.12%,9.26%,24.5%,,3.58%,3.76%,
2026-06-19 09:00:00,0.109 Mpa,0.119 Mpa,0.241 Mpa,0.0993 Mpa,0.0393 Mpa,0.0952 Mpa,,0.111 Mpa,0.0835 Mpa,,4.71%,3.97%,9.48%,7.94%,2.60%,3.59%,,4.82%,3.87%,
2026-06-19 11:00:00,0.0387 Mpa,0.150 Mpa,0.0684 Mpa,0.0334 Mpa,0.139 Mpa,0.0792 Mpa,,0.0900 Mpa,0.102 Mpa,,2.76%,4.90%,4.24%,6.24%,5.86%,3.28%,,4.25%,4.41%,
2026-06-19 13:00:00,0.00956 Mpa,0.100 Mpa,0.0101 Mpa,0.160 Mpa,0 Mpa,0.0649 Mpa,,0.0301 Mpa,0.0742 Mpa,,30.9%,3.11%,3.08%,9.90%,2.80%,3.64%,,2.85%,3.23%,
2026-06-19 15:00:00,0.0467 Mpa,0.141 Mpa,0.173 Mpa,0.0658 Mpa,0.173 Mpa,0.0437 Mpa,,0.195 Mpa,0.0722 Mpa,,3.69%,4.46%,6.20%,7.35%,7.67%,2.40%,,7.18%,2.67%,
2026-06-19 17:00:00,0.684 Mpa,0.222 Mpa,0.0560 Mpa,0.176 Mpa,0.107 Mpa,0.106 Mpa,0 Mpa,0.0359 Mpa,0.00290 Mpa,,21.1%,6.87%,4.20%,10.1%,5.26%,4.39%,0%,2.49%,0.304%,
2026-06-19 19:00:00,0.528 Mpa,0.0218 Mpa,0.0126 Mpa,0.146 Mpa,0.174 Mpa,0.0708 Mpa,0.494 Mpa,0.0770 Mpa,,,16.6%,0.638%,0.689%,12.1%,8.10%,3.09%,0%,4.43%,,
2026-06-19 21:00:00,0.0875 Mpa,0.278 Mpa,0.00429 Mpa,0.103 Mpa,0.0591 Mpa,0.229 Mpa,0.0000402 Mpa,0.0924 Mpa,,,4.58%,9.00%,2.10%,8.13%,3.88%,7.91%,0.000669%,3.98%,,
2026-06-19 23:00:00,0.0823 Mpa,0.101 Mpa,0.00195 Mpa,0.0235 Mpa,0.0477 Mpa,0.330 Mpa,0.317 Mpa,0.138 Mpa,0.681 Mpa,,4.19%,3.38%,3.73%,5.96%,3.23%,10.5%,9.49%,5.21%,19.8%,
2026-06-20 01:00:00,0.220 Mpa,0.392 Mpa,0.00269 Mpa,0.132 Mpa,0.0641 Mpa,0.118 Mpa,0.178 Mpa,0.0776 Mpa,0.0367 Mpa,,8.54%,13.1%,2.09%,9.43%,3.08%,4.42%,4.95%,3.26%,1.30%,
2026-06-20 03:00:00,0.237 Mpa,0.155 Mpa,0.00459 Mpa,0.132 Mpa,0.0620 Mpa,0.108 Mpa,0.144 Mpa,0.0298 Mpa,0.0759 Mpa,,9.27%,4.67%,1.77%,9.12%,3.51%,4.37%,4.45%,2.46%,2.91%,
2026-06-20 05:00:00,0.176 Mpa,0.162 Mpa,0.0657 Mpa,0.0432 Mpa,0.158 Mpa,0.108 Mpa,0.109 Mpa,0.0402 Mpa,0.0964 Mpa,,6.74%,5.60%,3.74%,11.5%,7.49%,4.20%,3.26%,2.72%,3.31%,
2026-06-20 07:00:00,0.212 Mpa,0.432 Mpa,0.134 Mpa,0.293 Mpa,0.0893 Mpa,0.0517 Mpa,0.349 Mpa,0.0284 Mpa,0.381 Mpa,,32.8%,13.7%,7.00%,13.6%,5.20%,9.14%,9.74%,1.71%,14.1%,
2026-06-20 09:00:00,0.171 Mpa,0.143 Mpa,0.418 Mpa,0.123 Mpa,0.172 Mpa,0.107 Mpa,0.247 Mpa,0.219 Mpa,0.0942 Mpa,,10.3%,4.77%,15.1%,8.75%,7.68%,13.1%,7.05%,7.39%,10.6%,
2026-06-20 11:00:00,0.221 Mpa,0.307 Mpa,0.165 Mpa,0.185 Mpa,0.255 Mpa,0.106 Mpa,0.478 Mpa,0.0604 Mpa,0.0378 Mpa,,11.8%,9.98%,7.50%,10.8%,10.7%,21.8%,14.0%,2.92%,4.93%,
2026-06-20 13:00:00,0.598 Mpa,0.236 Mpa,0.0262 Mpa,0.0967 Mpa,0.488 Mpa,0.172 Mpa,0.441 Mpa,0.183 Mpa,0.0833 Mpa,,22.2%,7.97%,2.81%,8.52%,19.4%,11.9%,12.3%,7.18%,3.12%,
2026-06-20 15:00:00,0.0550 Mpa,0.460 Mpa,0.513 Mpa,0.418 Mpa,0.578 Mpa,0.0707 Mpa,0.0971 Mpa,0.291 Mpa,0.103 Mpa,,3.02%,14.2%,18.6%,17.0%,22.0%,7.82%,2.69%,9.95%,4.84%,
2026-06-20 17:00:00,0.0930 Mpa,0.346 Mpa,0.0969 Mpa,0.111 Mpa,0.0449 Mpa,0.0889 Mpa,0.246 Mpa,1.05 Mpa,0.109 Mpa,,4.52%,10.8%,3.58%,8.57%,3.05%,6.84%,7.02%,31.5%,3.55%,
2026-06-20 19:00:00,0.164 Mpa,0.0118 Mpa,0.0722 Mpa,0.0465 Mpa,0.107 Mpa,0.440 Mpa,0.542 Mpa,0.815 Mpa,0.0669 Mpa,,6.76%,0.554%,3.31%,7.02%,4.79%,14.7%,14.7%,24.7%,2.81%,
2026-06-20 21:00:00,0.0358 Mpa,0.711 Mpa,0.126 Mpa,0.0639 Mpa,0.171 Mpa,0.0507 Mpa,0.356 Mpa,0.151 Mpa,0.122 Mpa,,2.68%,21.1%,5.82%,7.46%,6.93%,2.25%,10.1%,5.82%,4.53%,
2026-06-20 23:00:00,0.420 Mpa,0.243 Mpa,0.0358 Mpa,0.174 Mpa,0.0476 Mpa,0.131 Mpa,0.113 Mpa,0.0421 Mpa,0.0601 Mpa,,13.8%,15.1%,2.67%,10.9%,8.69%,4.91%,4.09%,2.80%,2.22%,
2026-06-21 01:00:00,0.0625 Mpa,0.123 Mpa,0.0383 Mpa,0.0388 Mpa,0.0483 Mpa,0.0623 Mpa,0.121 Mpa,0.0698 Mpa,0.218 Mpa,,4.17%,3.86%,2.73%,6.80%,2.79%,2.68%,3.31%,3.60%,7.26%,
2026-06-21 03:00:00,1.07 Mpa,0.0355 Mpa,0.107 Mpa,0.0269 Mpa,0.141 Mpa,0.0965 Mpa,0.115 Mpa,0.0468 Mpa,0.0131 Mpa,,33.1%,1.28%,4.25%,6.59%,6.40%,3.71%,3.28%,3.73%,3.04%,
2026-06-21 05:00:00,0.0886 Mpa,0.162 Mpa,0.198 Mpa,0.0674 Mpa,0.0952 Mpa,0.110 Mpa,0.302 Mpa,0.187 Mpa,0.169 Mpa,,3.87%,5.43%,6.33%,7.30%,4.83%,9.20%,8.43%,7.28%,5.76%,
2026-06-21 07:00:00,0.109 Mpa,0.188 Mpa,0.275 Mpa,0.0488 Mpa,0.0985 Mpa,0.136 Mpa,0.275 Mpa,0.225 Mpa,0.0553 Mpa,,4.49%,6.29%,8.81%,7.02%,5.00%,6.97%,7.54%,7.97%,4.13%,
2026-06-21 09:00:00,0.135 Mpa,0.172 Mpa,0.0416 Mpa,0.442 Mpa,0.0477 Mpa,0.128 Mpa,0.454 Mpa,0.180 Mpa,0.0660 Mpa,,17.7%,6.37%,2.71%,17.8%,3.57%,16.2%,13.1%,6.85%,7.56%,
2026-06-21 11:00:00,0.761 Mpa,0.105 Mpa,0.0438 Mpa,0.325 Mpa,0.0693 Mpa,0.248 Mpa,0.224 Mpa,0.0178 Mpa,0.0247 Mpa,,31.4%,3.40%,2.53%,27.0%,3.36%,8.84%,6.24%,2.53%,2.42%,
2026-06-21 13:00:00,0.285 Mpa,0.0332 Mpa,,,0 Mpa,,,,0.0596 Mpa,,22.9%,1.21%,,,0.855%,,,,3.51%,
2026-06-21 15:00:00,0.164 Mpa,0.139 Mpa,,,0 Mpa,0.843 Mpa,,0.0100 Mpa,0.146 Mpa,,7.66%,5.07%,,,1.15%,27.9%,,1.65%,5.75%,
2026-06-21 17:00:00,0.221 Mpa,0.0212 Mpa,,0.0574 Mpa,0.170 Mpa,0.0736 Mpa,0.151 Mpa,0.0270 Mpa,0.144 Mpa,,7.98%,0.650%,,7.57%,7.13%,3.60%,4.03%,4.23%,5.54%,
2026-06-21 19:00:00,0.192 Mpa,0.0266 Mpa,,0.0512 Mpa,0.0748 Mpa,0.0480 Mpa,0.678 Mpa,0.0369 Mpa,0.0441 Mpa,,7.57%,0.731%,,6.99%,3.34%,2.32%,20.7%,2.77%,2.48%,
2026-06-21 21:00:00,0.142 Mpa,0.121 Mpa,,0.0342 Mpa,1.21 Mpa,0.271 Mpa,0.372 Mpa,0.0901 Mpa,0.244 Mpa,,5.82%,3.86%,,6.40%,43.1%,8.85%,12.2%,3.98%,7.73%,
2026-06-21 23:00:00,0.260 Mpa,0.243 Mpa,0 Mpa,0.0417 Mpa,0.172 Mpa,0.0438 Mpa,0.937 Mpa,0.0757 Mpa,0 Mpa,,9.72%,7.68%,2.62%,6.68%,7.35%,1.87%,26.1%,3.78%,0%,
2026-06-22 01:00:00,0.360 Mpa,0.0465 Mpa,0.225 Mpa,0.0504 Mpa,0.0250 Mpa,0.290 Mpa,0.0509 Mpa,0.0171 Mpa,0.000472 Mpa,,12.1%,1.38%,8.23%,7.00%,3.21%,9.86%,1.36%,2.64%,0.487%,
2026-06-22 03:00:00,0.139 Mpa,0.133 Mpa,0.00445 Mpa,0.150 Mpa,0.240 Mpa,0.0215 Mpa,0.184 Mpa,0.128 Mpa,0.285 Mpa,,6.37%,4.11%,2.74%,9.73%,9.54%,1.23%,4.96%,5.55%,8.87%,
2026-06-22 05:00:00,0.258 Mpa,0.0992 Mpa,0.117 Mpa,0.151 Mpa,0.167 Mpa,0.0816 Mpa,0.0881 Mpa,0.293 Mpa,0.0707 Mpa,,10.9%,3.60%,5.51%,9.79%,13.0%,3.96%,2.36%,9.50%,2.36%,
2026-06-22 07:00:00,0.320 Mpa,0.220 Mpa,0.0337 Mpa,0.0554 Mpa,0.500 Mpa,0.0775 Mpa,0.191 Mpa,0.0622 Mpa,0.0479 Mpa,,12.2%,7.10%,3.12%,6.69%,18.9%,3.79%,5.34%,3.03%,2.15%,
