"Time","P_FW - I38","P_FW - I39","P_FW - I40","P_FW - I41","P_FW - I42","P_FW - I43","P_FW - I44","P_FW - I47","P_FW - I48","%FW - I38","%FW - I39","%FW - I40","%FW - I41","%FW - I42","%FW - I43","%FW - I44","%FW - I47","%FW - I48"
2026-06-26 23:00:00,0.246 Mpa,0.00161 Mpa,0.0190 Mpa,0.277 Mpa,0.0171 Mpa,0.265 Mpa,0.143 Mpa,0.481 Mpa,,7.53%,0.00679%,0%,4.89%,0%,2.41%,0.558%,12.9%,
2026-06-27 01:00:00,0.181 Mpa,0.144 Mpa,,0.505 Mpa,0.0403 Mpa,0.373 Mpa,0.200 Mpa,0.507 Mpa,,19.4%,10.3%,,11.3%,4.83%,5.41%,4.04%,17.7%,
2026-06-27 03:00:00,0.0309 Mpa,,,0.156 Mpa,0.0739 Mpa,0.386 Mpa,0.406 Mpa,0.411 Mpa,,4.59%,,,1.91%,3.28%,4.68%,10.1%,13.4%,
2026-06-27 05:00:00,0.0250 Mpa,,,0.230 Mpa,0.123 Mpa,0.228 Mpa,0.172 Mpa,0.476 Mpa,,5.12%,,,3.97%,6.86%,0.767%,2.34%,14.5%,
2026-06-27 07:00:00,0.0639 Mpa,,,0.228 Mpa,0.0412 Mpa,0.260 Mpa,0.454 Mpa,0.263 Mpa,,3.58%,,,4.09%,0.949%,1.31%,9.11%,3.17%,
2026-06-27 09:00:00,0.223 Mpa,,,0.162 Mpa,0.113 Mpa,0.234 Mpa,0.239 Mpa,0.418 Mpa,,8.96%,,,2.13%,3.50%,0.631%,2.38%,10.4%,
2026-06-27 11:00:00,0.0770 Mpa,,,0.124 Mpa,0.0245 Mpa,0.510 Mpa,0.214 Mpa,0.405 Mpa,,5.76%,,,1.14%,0.442%,8.57%,1.63%,6.74%,
2026-06-27 13:00:00,0.0276 Mpa,,0.0113 Mpa,0.0934 Mpa,0.184 Mpa,0.387 Mpa,0.293 Mpa,0.283 Mpa,,4.94%,,0.0155%,0.479%,7.42%,5.59%,4.42%,13.7%,
2026-06-27 15:00:00,0.501 Mpa,,0.0618 Mpa,0.740 Mpa,0.528 Mpa,0.492 Mpa,0.280 Mpa,0.306 Mpa,,14.3%,,0.473%,17.9%,14.9%,8.62%,4.02%,6.90%,
2026-06-27 17:00:00,0.286 Mpa,,0.214 Mpa,0.168 Mpa,0.127 Mpa,0.284 Mpa,0.217 Mpa,0.250 Mpa,,8.70%,,5.58%,2.26%,3.69%,3.02%,2.39%,11.6%,
2026-06-27 19:00:00,1.48 Mpa,,0.404 Mpa,0.232 Mpa,0.405 Mpa,0.525 Mpa,0.602 Mpa,0.320 Mpa,,40.4%,,9.53%,3.98%,12.0%,8.71%,13.4%,10.5%,
2026-06-27 21:00:00,0.248 Mpa,,0.721 Mpa,0.989 Mpa,0.0501 Mpa,0.589 Mpa,0.426 Mpa,0.424 Mpa,,9.04%,,18.5%,24.2%,1.30%,10.8%,10.0%,13.4%,
2026-06-27 23:00:00,0.320 Mpa,,0.111 Mpa,0.0765 Mpa,0.0180 Mpa,0.569 Mpa,0.177 Mpa,0.284 Mpa,,9.30%,,1.37%,0.329%,0.294%,9.69%,8.16%,3.37%,
2026-06-28 01:00:00,0.474 Mpa,,0.0919 Mpa,0.119 Mpa,0.0456 Mpa,0.402 Mpa,0.236 Mpa,0.365 Mpa,,12.5%,,0.963%,12.9%,1.04%,5.25%,3.18%,6.76%,
2026-06-28 03:00:00,0.270 Mpa,,0.121 Mpa,0.352 Mpa,0.0933 Mpa,0.240 Mpa,0.143 Mpa,0.481 Mpa,,7.62%,,1.75%,7.09%,2.59%,0.890%,0.856%,13.2%,
2026-06-28 05:00:00,0.0811 Mpa,,0.155 Mpa,0.199 Mpa,0.141 Mpa,0.322 Mpa,0.329 Mpa,0.380 Mpa,,6.32%,,3.41%,2.81%,3.78%,3.29%,6.35%,8.79%,
2026-06-28 07:00:00,0.116 Mpa,,0.404 Mpa,0.249 Mpa,0.0379 Mpa,0.253 Mpa,0.438 Mpa,0.401 Mpa,,22.6%,,10.9%,4.01%,1.67%,1.07%,8.95%,13.0%,
2026-06-28 09:00:00,0.0841 Mpa,,0.191 Mpa,0.167 Mpa,0.168 Mpa,0.261 Mpa,0.122 Mpa,0.382 Mpa,,9.61%,,4.74%,3.87%,6.94%,1.47%,2.54%,7.62%,
2026-06-28 11:00:00,0.134 Mpa,,0.467 Mpa,,0.587 Mpa,0.270 Mpa,0.313 Mpa,0.596 Mpa,,10.4%,,12.4%,,17.4%,2.03%,5.58%,15.3%,
2026-06-28 13:00:00,0.264 Mpa,,0.285 Mpa,0.0310 Mpa,0.132 Mpa,0.412 Mpa,0.627 Mpa,0.308 Mpa,,7.69%,,6.70%,0.829%,3.50%,5.63%,14.1%,12.7%,
2026-06-28 15:00:00,0.188 Mpa,,0.106 Mpa,0.197 Mpa,0.155 Mpa,0.507 Mpa,0.817 Mpa,0.276 Mpa,,7.99%,,1.96%,3.63%,4.57%,8.67%,21.8%,6.57%,
2026-06-28 17:00:00,0.332 Mpa,,0.125 Mpa,0.268 Mpa,0.122 Mpa,0.234 Mpa,0.581 Mpa,0.270 Mpa,,10.0%,,2.25%,4.74%,3.27%,1.11%,13.8%,6.29%,
2026-06-28 19:00:00,0.535 Mpa,,0.143 Mpa,0.164 Mpa,0.435 Mpa,0.492 Mpa,0.546 Mpa,0.382 Mpa,,15.5%,,2.69%,1.92%,12.6%,8.60%,12.4%,11.2%,
2026-06-28 21:00:00,0.982 Mpa,,0.148 Mpa,0.182 Mpa,0.295 Mpa,0.245 Mpa,0.452 Mpa,0.280 Mpa,,28.8%,,2.39%,2.12%,9.09%,1.09%,8.81%,13.8%,
2026-06-28 23:00:00,0.0395 Mpa,,0.256 Mpa,0.184 Mpa,0.110 Mpa,0.310 Mpa,1.69 Mpa,0.395 Mpa,,4.36%,,5.65%,2.26%,3.02%,2.84%,53.2%,13.1%,
2026-06-29 01:00:00,0.122 Mpa,,0.310 Mpa,0.215 Mpa,0.107 Mpa,0.348 Mpa,0.904 Mpa,0.768 Mpa,,24.6%,,6.94%,3.86%,2.65%,4.13%,22.0%,21.4%,
2026-06-29 03:00:00,0.201 Mpa,,0.164 Mpa,0.194 Mpa,0.0650 Mpa,0.218 Mpa,0.530 Mpa,0.300 Mpa,,12.2%,,2.96%,3.00%,1.67%,0.420%,18.5%,38.9%,
2026-06-29 05:00:00,0.0251 Mpa,,0.221 Mpa,0.188 Mpa,0.105 Mpa,0.225 Mpa,0.439 Mpa,0.391 Mpa,,14.0%,,4.58%,3.31%,2.48%,1.33%,10.4%,13.1%,
2026-06-29 07:00:00,0.0000375 Mpa,,0.295 Mpa,0.230 Mpa,0.270 Mpa,0.230 Mpa,0.450 Mpa,0.331 Mpa,,47.9%,,6.90%,3.94%,7.63%,0.751%,10.9%,5.82%,
2026-06-29 09:00:00,0.111 Mpa,,0.393 Mpa,0.0559 Mpa,0.501 Mpa,0.224 Mpa,0.880 Mpa,0.377 Mpa,,3.82%,,10.0%,0.402%,25.9%,1.03%,21.7%,9.12%,
2026-06-29 11:00:00,0.0669 Mpa,,0.168 Mpa,0.172 Mpa,0.130 Mpa,0.225 Mpa,0.264 Mpa,0.631 Mpa,,3.23%,,3.77%,2.22%,14.3%,0.980%,4.09%,14.8%,
2026-06-29 13:00:00,0.0801 Mpa,,0.266 Mpa,0.222 Mpa,0.198 Mpa,0.254 Mpa,0.149 Mpa,0.238 Mpa,,9.10%,,6.05%,4.02%,6.12%,2.09%,0.467%,3.98%,
2026-06-29 15:00:00,0.117 Mpa,,0.0985 Mpa,0.139 Mpa,0.0453 Mpa,0.236 Mpa,0.169 Mpa,0.298 Mpa,,6.84%,,1.30%,1.60%,4.74%,1.13%,1.16%,4.65%,
2026-06-29 17:00:00,0.153 Mpa,,0.442 Mpa,0.154 Mpa,0.207 Mpa,0.292 Mpa,0.218 Mpa,0.323 Mpa,,7.42%,,10.9%,1.97%,6.65%,2.68%,2.95%,11.0%,
2026-06-29 19:00:00,0.0653 Mpa,,0.532 Mpa,0.140 Mpa,0.0829 Mpa,0.314 Mpa,0.857 Mpa,0.440 Mpa,,5.10%,,13.3%,1.71%,2.46%,3.07%,21.9%,17.4%,
2026-06-29 21:00:00,1.00 Mpa,,0.0873 Mpa,0.199 Mpa,0.362 Mpa,0.316 Mpa,0.900 Mpa,0.774 Mpa,,27.5%,,0.803%,3.22%,10.1%,5.26%,22.9%,23.3%,
2026-06-29 23:00:00,0.0791 Mpa,,0.362 Mpa,0.140 Mpa,0.0902 Mpa,0.221 Mpa,1.04 Mpa,0.246 Mpa,,3.96%,,8.44%,2.06%,2.37%,20.4%,28.0%,21.6%,
2026-06-30 01:00:00,0.332 Mpa,,0.122 Mpa,0.129 Mpa,0.122 Mpa,0.412 Mpa,1.25 Mpa,0.339 Mpa,,10.3%,,1.87%,1.56%,3.62%,7.35%,32.9%,14.6%,
2026-06-30 03:00:00,0.0636 Mpa,,0.407 Mpa,0.139 Mpa,0.0142 Mpa,0.221 Mpa,0.236 Mpa,0.537 Mpa,,4.09%,,9.68%,1.92%,2.09%,0.748%,8.73%,17.1%,
2026-06-30 05:00:00,0.0583 Mpa,,0.175 Mpa,0.126 Mpa,0.137 Mpa,0.268 Mpa,0.396 Mpa,0.366 Mpa,,3.24%,,3.60%,1.74%,4.14%,4.20%,13.7%,9.38%,
2026-06-30 07:00:00,0.190 Mpa,,0.408 Mpa,0.215 Mpa,0.00965 Mpa,0.363 Mpa,0.248 Mpa,0.371 Mpa,,7.27%,,9.98%,3.59%,20.7%,6.62%,10.9%,8.01%,
2026-06-30 09:00:00,0.315 Mpa,,2.79 Mpa,0.484 Mpa,0.139 Mpa,0.392 Mpa,0.478 Mpa,0.331 Mpa,,9.09%,,75.2%,11.2%,4.70%,11.0%,10.1%,5.84%,
2026-06-30 11:00:00,0.137 Mpa,,1.03 Mpa,0.211 Mpa,0.0462 Mpa,0.322 Mpa,0.302 Mpa,0.457 Mpa,,4.11%,,27.2%,3.44%,2.16%,7.53%,4.94%,11.8%,
2026-06-30 13:00:00,0.223 Mpa,,0.118 Mpa,0.111 Mpa,0.0571 Mpa,0.369 Mpa,0.0316 Mpa,0.385 Mpa,,7.90%,,2.01%,1.02%,1.62%,6.84%,28.3%,10.3%,
2026-06-30 15:00:00,0.0755 Mpa,,0.163 Mpa,0.142 Mpa,0.391 Mpa,0.254 Mpa,0.214 Mpa,0.294 Mpa,,4.44%,,3.03%,1.64%,11.9%,3.13%,7.76%,7.66%,
2026-06-30 17:00:00,0.129 Mpa,,0.306 Mpa,0.170 Mpa,0.129 Mpa,0.243 Mpa,0.339 Mpa,0.333 Mpa,,5.03%,,7.00%,2.65%,5.53%,1.31%,5.85%,10.4%,
2026-06-30 19:00:00,0.153 Mpa,,0.546 Mpa,0.113 Mpa,0.366 Mpa,0.240 Mpa,0.515 Mpa,0.381 Mpa,,4.80%,,14.1%,0.674%,10.8%,0.713%,11.0%,8.75%,
2026-06-30 21:00:00,0.253 Mpa,,0.534 Mpa,0.0861 Mpa,0.308 Mpa,0.241 Mpa,1.79 Mpa,0.380 Mpa,,8.18%,,14.0%,31.2%,10.5%,0.672%,50.2%,11.0%,
2026-06-30 23:00:00,0.139 Mpa,,0.571 Mpa,0.173 Mpa,0.155 Mpa,0.245 Mpa,0.204 Mpa,2.77 Mpa,,6.24%,,15.6%,3.36%,5.99%,1.13%,2.36%,81.9%,
2026-07-01 01:00:00,0.0907 Mpa,,0.202 Mpa,0.214 Mpa,0.183 Mpa,0.348 Mpa,0.288 Mpa,,,5.89%,,3.99%,3.19%,5.33%,3.18%,3.82%,,
2026-07-01 03:00:00,0.241 Mpa,,0.153 Mpa,0.259 Mpa,0.115 Mpa,0.237 Mpa,0.240 Mpa,,,7.53%,,2.27%,4.85%,3.93%,0.458%,2.54%,,
2026-07-01 05:00:00,0.195 Mpa,,0.127 Mpa,0.235 Mpa,0.227 Mpa,0.269 Mpa,0.205 Mpa,,,8.06%,,2.36%,4.05%,6.08%,1.79%,2.23%,,
2026-07-01 07:00:00,0.164 Mpa,,0.188 Mpa,0.145 Mpa,0.273 Mpa,0.340 Mpa,0.132 Mpa,,,5.82%,,3.67%,1.78%,12.3%,6.06%,0.793%,,
2026-07-01 09:00:00,0.436 Mpa,,1.01 Mpa,0.146 Mpa,0.0212 Mpa,0.653 Mpa,0.320 Mpa,,,13.1%,,26.6%,1.87%,20.0%,13.4%,4.38%,,
2026-07-01 11:00:00,0.191 Mpa,,0.154 Mpa,0.315 Mpa,0.236 Mpa,0.338 Mpa,0.332 Mpa,0.877 Mpa,,6.39%,,2.87%,5.96%,6.51%,4.76%,5.10%,62.1%,
2026-07-01 13:00:00,0.0719 Mpa,,0.286 Mpa,0.331 Mpa,0.221 Mpa,0.360 Mpa,0.302 Mpa,,,4.75%,,6.47%,7.36%,8.68%,5.18%,12.0%,,
2026-07-01 15:00:00,0.0815 Mpa,,0.0959 Mpa,0.0400 Mpa,0.0519 Mpa,0.274 Mpa,0.460 Mpa,,,3.16%,,1.01%,0.172%,2.06%,1.39%,9.77%,,
2026-07-01 17:00:00,0.114 Mpa,,0.136 Mpa,0.213 Mpa,0.129 Mpa,0.377 Mpa,0.315 Mpa,,,5.17%,,2.60%,11.0%,4.68%,4.81%,6.58%,,
2026-07-01 19:00:00,0.0297 Mpa,,0.142 Mpa,0.422 Mpa,0.350 Mpa,0.277 Mpa,0.252 Mpa,0.507 Mpa,,10.3%,,2.46%,9.23%,10.6%,1.14%,3.09%,10.1%,
2026-07-01 21:00:00,0.0767 Mpa,,0.218 Mpa,0.309 Mpa,0.115 Mpa,0.258 Mpa,0.177 Mpa,,,9.90%,,4.17%,6.50%,4.03%,1.31%,2.28%,,
2026-07-01 23:00:00,0.128 Mpa,,0.127 Mpa,0.215 Mpa,0.226 Mpa,0.274 Mpa,0.467 Mpa,,,7.35%,,1.88%,3.35%,5.89%,1.93%,9.85%,,
2026-07-02 01:00:00,0.366 Mpa,,0.175 Mpa,0.185 Mpa,0.455 Mpa,0.598 Mpa,0.236 Mpa,,,11.9%,,2.80%,2.58%,13.3%,10.7%,5.51%,,
2026-07-02 03:00:00,0.0786 Mpa,,0.587 Mpa,0.366 Mpa,0.781 Mpa,0.220 Mpa,0.982 Mpa,,,4.62%,,14.2%,7.87%,23.1%,0.0603%,24.8%,,
2026-07-02 05:00:00,0.0716 Mpa,,0.192 Mpa,0.141 Mpa,0.0766 Mpa,0.246 Mpa,0.252 Mpa,,,5.40%,,3.82%,1.98%,3.39%,1.06%,17.5%,,
2026-07-02 07:00:00,0.373 Mpa,,0.111 Mpa,0.108 Mpa,0.227 Mpa,0.251 Mpa,0.251 Mpa,,,11.4%,,1.29%,0.991%,7.01%,0.985%,15.4%,,
2026-07-02 09:00:00,0.161 Mpa,,0.247 Mpa,0.150 Mpa,0.208 Mpa,0.279 Mpa,0.870 Mpa,,,7.27%,,5.98%,2.03%,7.29%,1.75%,55.6%,,
2026-07-02 11:00:00,0.0683 Mpa,,0.0993 Mpa,0.115 Mpa,0.0176 Mpa,0.300 Mpa,0.179 Mpa,,,4.70%,,0.758%,1.28%,1.11%,2.37%,8.24%,,
2026-07-02 13:00:00,0.0902 Mpa,,0.0776 Mpa,0.106 Mpa,0.0861 Mpa,0.275 Mpa,0.282 Mpa,,,4.77%,,0.672%,0.758%,2.57%,1.50%,13.9%,,
2026-07-02 15:00:00,0.0807 Mpa,,0.865 Mpa,0.387 Mpa,0.277 Mpa,0.241 Mpa,0.163 Mpa,,,3.59%,,22.4%,9.75%,9.02%,0.573%,2.43%,,
2026-07-02 17:00:00,0.0735 Mpa,,0.231 Mpa,0.897 Mpa,0.134 Mpa,0.405 Mpa,0.227 Mpa,,,2.04%,,4.56%,21.6%,5.02%,6.79%,3.46%,,
2026-07-02 19:00:00,0.173 Mpa,,0.187 Mpa,0.245 Mpa,0.138 Mpa,0.357 Mpa,0.525 Mpa,,,4.69%,,3.34%,4.24%,4.11%,5.11%,11.6%,,
2026-07-02 21:00:00,0.344 Mpa,,0.299 Mpa,0.0477 Mpa,0.0929 Mpa,0.281 Mpa,0.308 Mpa,,,11.4%,,6.27%,0.946%,2.84%,4.70%,5.09%,,
2026-07-02 23:00:00,0.0747 Mpa,,0.0913 Mpa,,0.0915 Mpa,0.318 Mpa,0.265 Mpa,,,2.92%,,0.876%,,4.22%,4.28%,3.23%,,
2026-07-03 01:00:00,0.764 Mpa,,0.0513 Mpa,,0.206 Mpa,0.695 Mpa,0.627 Mpa,,,21.0%,,0%,,5.83%,20.1%,17.0%,,
2026-07-03 03:00:00,0.216 Mpa,,0.137 Mpa,0.311 Mpa,0.182 Mpa,0.537 Mpa,0.274 Mpa,,,6.81%,,2.11%,7.42%,5.20%,11.2%,10.8%,,
2026-07-03 05:00:00,0.0904 Mpa,,0.134 Mpa,0.289 Mpa,0.118 Mpa,0.934 Mpa,0.338 Mpa,,,4.49%,,2.21%,5.43%,3.70%,20.2%,6.44%,,
2026-07-03 07:00:00,0.0709 Mpa,,0.207 Mpa,0.254 Mpa,0.0684 Mpa,0.412 Mpa,0.256 Mpa,,,2.96%,,4.40%,3.98%,2.87%,5.84%,3.13%,,
2026-07-03 09:00:00,0.412 Mpa,,0.196 Mpa,0.549 Mpa,0.126 Mpa,0.642 Mpa,0.231 Mpa,,,12.2%,,4.83%,12.4%,4.70%,11.2%,2.83%,,
2026-07-03 11:00:00,0.205 Mpa,,0.143 Mpa,0.163 Mpa,0.172 Mpa,0.691 Mpa,0.383 Mpa,,,7.43%,,2.55%,1.89%,6.34%,13.4%,7.19%,,
2026-07-03 13:00:00,0.0928 Mpa,,0.149 Mpa,0.538 Mpa,0.316 Mpa,0.737 Mpa,0.321 Mpa,,,4.51%,,2.78%,12.0%,10.7%,14.3%,6.27%,,
2026-07-03 15:00:00,0.161 Mpa,,0.187 Mpa,0.261 Mpa,0.203 Mpa,0.755 Mpa,0.344 Mpa,,,6.10%,,3.55%,4.68%,7.11%,15.1%,6.43%,,
2026-07-03 17:00:00,0.0726 Mpa,,0.131 Mpa,0.130 Mpa,0.176 Mpa,0.476 Mpa,0.253 Mpa,,,2.07%,,1.95%,1.23%,4.83%,9.78%,3.40%,,
2026-07-03 19:00:00,0.0795 Mpa,,0.327 Mpa,0.140 Mpa,0.249 Mpa,0.431 Mpa,0.256 Mpa,,,4.37%,,6.90%,1.32%,6.88%,6.98%,3.21%,,
2026-07-03 21:00:00,0.214 Mpa,,0.0929 Mpa,0.288 Mpa,0.0511 Mpa,0.384 Mpa,0.603 Mpa,,,5.66%,,0.456%,4.73%,58.9%,6.52%,13.8%,,
2026-07-03 23:00:00,0.0282 Mpa,,0.132 Mpa,0.217 Mpa,0.0410 Mpa,0.813 Mpa,0.558 Mpa,,,1.06%,,1.50%,3.07%,0.538%,19.0%,12.7%,,
2026-07-04 01:00:00,0.000850 Mpa,,0.254 Mpa,0.342 Mpa,0.208 Mpa,0.338 Mpa,0.176 Mpa,,,0.0610%,,5.39%,6.02%,10.4%,13.1%,19.1%,,
2026-07-04 03:00:00,,,0.153 Mpa,0.133 Mpa,0.109 Mpa,0.805 Mpa,0.564 Mpa,,,,,2.66%,0.776%,2.77%,17.6%,12.2%,,
2026-07-04 05:00:00,,,0.167 Mpa,0.199 Mpa,0.111 Mpa,0.379 Mpa,0.224 Mpa,,,,,3.13%,2.87%,2.52%,4.50%,2.71%,,
2026-07-04 07:00:00,,,0.278 Mpa,0.179 Mpa,0.165 Mpa,0.466 Mpa,0.532 Mpa,,,,,6.57%,2.22%,4.78%,6.96%,13.4%,,
2026-07-04 09:00:00,0.0665 Mpa,,0.0626 Mpa,0.480 Mpa,0.269 Mpa,0.216 Mpa,0.232 Mpa,,,2.20%,,1.65%,9.94%,7.75%,0.0335%,3.14%,,
2026-07-04 11:00:00,0.163 Mpa,,0.148 Mpa,0.495 Mpa,0.0304 Mpa,1.13 Mpa,0.640 Mpa,,,7.31%,,2.47%,10.5%,0.523%,25.6%,16.2%,,
2026-07-04 13:00:00,0.0988 Mpa,,0.442 Mpa,0.555 Mpa,0.0857 Mpa,1.03 Mpa,0.711 Mpa,,,5.43%,,10.8%,12.3%,2.51%,23.4%,18.6%,,
2026-07-04 15:00:00,0.196 Mpa,,0.703 Mpa,0.196 Mpa,0.349 Mpa,0.743 Mpa,0.417 Mpa,,,7.32%,,18.1%,2.83%,10.1%,14.9%,9.86%,,
2026-07-04 17:00:00,0.153 Mpa,,0.0996 Mpa,0.214 Mpa,0.113 Mpa,0.754 Mpa,0.589 Mpa,,,6.68%,,1.06%,3.89%,3.87%,15.0%,15.6%,,
2026-07-04 19:00:00,0.311 Mpa,,0.102 Mpa,0.387 Mpa,0.235 Mpa,0.215 Mpa,0.203 Mpa,,,14.3%,,0.811%,7.73%,7.10%,1.69%,1.22%,,
2026-07-04 21:00:00,0.210 Mpa,,0.312 Mpa,0.302 Mpa,0.191 Mpa,0.168 Mpa,0.382 Mpa,,,7.51%,,6.62%,5.43%,6.24%,1.22%,6.81%,,
2026-07-04 23:00:00,0.0318 Mpa,,0.532 Mpa,0.990 Mpa,0.477 Mpa,0.229 Mpa,0.202 Mpa,0.721 Mpa,,3.09%,,12.5%,24.3%,14.5%,1.33%,1.53%,17.8%,
2026-07-05 01:00:00,0.338 Mpa,,0.0414 Mpa,0.470 Mpa,0.0255 Mpa,0.269 Mpa,0.220 Mpa,,,12.5%,,41.6%,10.2%,1.16%,2.57%,2.27%,,
2026-07-05 03:00:00,0.0743 Mpa,,0.0714 Mpa,0.134 Mpa,0.313 Mpa,0.242 Mpa,0.273 Mpa,,,5.29%,,0.102%,0.776%,10.4%,1.33%,3.54%,,
2026-07-05 05:00:00,0.161 Mpa,,0.0859 Mpa,0.172 Mpa,0.154 Mpa,0.375 Mpa,0.330 Mpa,,,6.04%,,0.269%,2.41%,4.10%,4.99%,5.45%,,
2026-07-05 07:00:00,0.262 Mpa,,0.307 Mpa,1.74 Mpa,0.165 Mpa,0.317 Mpa,0.307 Mpa,,,9.25%,,6.69%,43.5%,5.29%,2.68%,4.34%,,
2026-07-05 09:00:00,0.0556 Mpa,,0.287 Mpa,0.206 Mpa,0.0978 Mpa,0.238 Mpa,0.264 Mpa,,,5.15%,,6.30%,3.36%,4.03%,0.664%,5.65%,,
2026-07-05 11:00:00,0.297 Mpa,,0.170 Mpa,0.245 Mpa,0.183 Mpa,0.332 Mpa,0.717 Mpa,,,9.25%,,2.91%,3.91%,5.93%,3.35%,17.2%,,
2026-07-05 13:00:00,0.188 Mpa,,0.181 Mpa,0.455 Mpa,0.210 Mpa,0.596 Mpa,0.253 Mpa,,,6.81%,,3.36%,10.7%,7.18%,10.9%,3.46%,,
2026-07-05 15:00:00,0.471 Mpa,,0.183 Mpa,0.625 Mpa,0.0816 Mpa,0.368 Mpa,0.240 Mpa,,,13.3%,,3.30%,14.3%,3.33%,5.01%,4.44%,,
2026-07-05 17:00:00,0.203 Mpa,,0.249 Mpa,0.118 Mpa,0.149 Mpa,0.340 Mpa,0.252 Mpa,,,8.14%,,5.08%,9.05%,5.14%,4.52%,3.90%,,
2026-07-05 19:00:00,0.297 Mpa,,0.231 Mpa,0.261 Mpa,0.330 Mpa,0.218 Mpa,0.288 Mpa,,,9.86%,,4.29%,4.61%,10.6%,1.15%,4.80%,,
2026-07-05 21:00:00,0.0816 Mpa,,0.180 Mpa,0.135 Mpa,0.0128 Mpa,0.251 Mpa,0.315 Mpa,,,3.81%,,3.06%,0.727%,0.444%,1.21%,4.63%,,
2026-07-05 23:00:00,0.288 Mpa,,0.131 Mpa,0.219 Mpa,0.0288 Mpa,0.842 Mpa,0.153 Mpa,,,8.11%,,1.44%,9.06%,0.680%,17.3%,0.580%,,
2026-07-06 01:00:00,0.0718 Mpa,,0.167 Mpa,0.149 Mpa,0.0418 Mpa,0.987 Mpa,0.291 Mpa,,,3.23%,,47.3%,11.6%,2.14%,21.8%,4.64%,,
2026-07-06 03:00:00,0.0988 Mpa,,0.124 Mpa,0.223 Mpa,0.0477 Mpa,0.363 Mpa,0.367 Mpa,,,4.49%,,2.09%,7.85%,2.21%,4.35%,6.69%,,
2026-07-06 05:00:00,0.0432 Mpa,,0.233 Mpa,0.241 Mpa,0.0468 Mpa,0.476 Mpa,0.192 Mpa,,,4.19%,,4.52%,6.69%,2.32%,7.94%,3.01%,,
2026-07-06 07:00:00,0.0146 Mpa,,0.209 Mpa,0.208 Mpa,0.287 Mpa,0.355 Mpa,0.277 Mpa,,,1.85%,,3.97%,2.82%,8.72%,4.18%,3.50%,,
2026-07-06 09:00:00,0.0172 Mpa,,0.204 Mpa,0.207 Mpa,0.317 Mpa,0.254 Mpa,0.359 Mpa,,,0.360%,,3.90%,2.76%,9.48%,1.23%,6.24%,,
2026-07-06 11:00:00,0.512 Mpa,,0.275 Mpa,0.235 Mpa,0.0998 Mpa,0.276 Mpa,0.221 Mpa,2.51 Mpa,,14.2%,,5.82%,3.45%,2.91%,1.93%,2.43%,67.6%,
2026-07-06 13:00:00,0.133 Mpa,,0.226 Mpa,0.291 Mpa,0.297 Mpa,0.384 Mpa,0.369 Mpa,2.16 Mpa,,5.34%,,4.39%,5.09%,8.68%,5.26%,8.80%,61.2%,
2026-07-06 15:00:00,0.0550 Mpa,,0.311 Mpa,0.365 Mpa,1.34 Mpa,0.852 Mpa,0.422 Mpa,2.45 Mpa,,3.87%,,6.81%,7.76%,35.5%,18.3%,9.42%,67.7%,
2026-07-06 17:00:00,0.165 Mpa,,0.227 Mpa,0.146 Mpa,0.478 Mpa,0.277 Mpa,0.166 Mpa,,,4.73%,,4.47%,1.25%,13.5%,2.92%,5.38%,,
2026-07-06 19:00:00,0.0242 Mpa,,0.603 Mpa,0.226 Mpa,0.0835 Mpa,0.283 Mpa,0.229 Mpa,,,3.73%,,14.5%,3.78%,2.74%,2.74%,2.55%,,
2026-07-06 21:00:00,0.173 Mpa,,0.115 Mpa,0.178 Mpa,0.0893 Mpa,0.231 Mpa,0.277 Mpa,,,8.00%,,1.18%,2.28%,2.64%,0.912%,3.45%,,
2026-07-06 23:00:00,0.112 Mpa,,0.515 Mpa,0.405 Mpa,0.0671 Mpa,0.258 Mpa,0.291 Mpa,,,5.99%,,12.7%,8.59%,1.82%,2.06%,4.26%,,
2026-07-07 01:00:00,0.0363 Mpa,,0.0868 Mpa,0.214 Mpa,0.0525 Mpa,0.282 Mpa,0.349 Mpa,,,3.82%,,25.1%,3.15%,23.3%,2.46%,5.44%,,
2026-07-07 03:00:00,0.181 Mpa,,0.118 Mpa,0.362 Mpa,0.0903 Mpa,0.302 Mpa,0.115 Mpa,,,7.48%,,1.22%,7.30%,3.06%,2.48%,0.468%,,
2026-07-07 05:00:00,0.0161 Mpa,,0.355 Mpa,0.108 Mpa,0.210 Mpa,0.616 Mpa,0.242 Mpa,,,4.28%,,8.81%,27.9%,5.43%,11.4%,3.13%,,
2026-07-07 07:00:00,0.0868 Mpa,,0.234 Mpa,0.0510 Mpa,0.0907 Mpa,0.595 Mpa,0.387 Mpa,,,6.42%,,5.88%,5.90%,2.12%,11.6%,6.29%,,
2026-07-07 09:00:00,0.0501 Mpa,,0.319 Mpa,,0.753 Mpa,,0.419 Mpa,,,3.84%,,7.40%,,21.4%,,7.15%,,
2026-07-07 11:00:00,0.0714 Mpa,,0.210 Mpa,0.360 Mpa,0.282 Mpa,,0.396 Mpa,,,7.13%,,4.45%,8.09%,7.87%,,6.78%,,
2026-07-07 13:00:00,0.156 Mpa,,0.196 Mpa,,0.678 Mpa,0.192 Mpa,0.281 Mpa,,,8.49%,,4.81%,,19.1%,0.00828%,4.26%,,
2026-07-07 15:00:00,2.84 Mpa,,0.168 Mpa,,,,,,,80.1%,,3.77%,,,,,,
