"Time","P_BW - I38","P_BW - I39","P_BW - I40","P_BW - I41","P_BW - I42","P_BW - I43","P_BW - I44","P_BW - I47","P_BW - I48","%BW - I38","%BW - I39","%BW - I40","%BW - I41","%BW - I42","%BW - I43","%BW - I44","%BW - I47","%BW - I48"
2026-06-19 11:00:00,0.268 Mpa,0.211 Mpa,0.150 Mpa,0.301 Mpa,0.155 Mpa,0.421 Mpa,0.482 Mpa,0.357 Mpa,,7.82%,8.43%,2.12%,6.12%,4.19%,7.83%,14.5%,5.69%,
2026-06-19 13:00:00,0.319 Mpa,0.0889 Mpa,0.186 Mpa,0.267 Mpa,0.123 Mpa,0.260 Mpa,0.281 Mpa,0.388 Mpa,,9.67%,9.34%,3.16%,4.55%,3.28%,2.35%,9.98%,6.53%,
2026-06-19 15:00:00,0.366 Mpa,0.147 Mpa,0.263 Mpa,0.310 Mpa,0.222 Mpa,0.259 Mpa,0.226 Mpa,0.441 Mpa,,10.8%,9.13%,5.45%,6.10%,7.81%,2.52%,8.55%,8.48%,
2026-06-19 17:00:00,0.108 Mpa,0.121 Mpa,0.181 Mpa,0.229 Mpa,0.137 Mpa,0.293 Mpa,0.335 Mpa,0.340 Mpa,,2.90%,5.34%,2.89%,3.77%,3.83%,4.81%,10.6%,4.79%,
2026-06-19 19:00:00,0.294 Mpa,0.161 Mpa,0.237 Mpa,0.0478 Mpa,0.0359 Mpa,0.275 Mpa,0.318 Mpa,0.299 Mpa,,7.63%,7.88%,4.13%,0%,0.862%,3.57%,9.64%,3.09%,
2026-06-19 21:00:00,0.173 Mpa,0.132 Mpa,0.188 Mpa,0.210 Mpa,0.0398 Mpa,0.253 Mpa,0.118 Mpa,0.263 Mpa,,5.60%,10.1%,2.54%,2.93%,1.21%,2.28%,6.05%,2.04%,
2026-06-19 23:00:00,0.143 Mpa,0.153 Mpa,0.180 Mpa,0.277 Mpa,0.00775 Mpa,0.321 Mpa,0.234 Mpa,0.295 Mpa,,5.02%,12.4%,2.49%,4.63%,0%,6.00%,8.78%,3.07%,
2026-06-20 01:00:00,0.0878 Mpa,0.181 Mpa,0.257 Mpa,0.228 Mpa,,0.383 Mpa,0.134 Mpa,0.272 Mpa,,2.54%,11.5%,4.80%,3.66%,,9.06%,3.90%,2.99%,
2026-06-20 03:00:00,0.0820 Mpa,0.156 Mpa,0.149 Mpa,0.307 Mpa,,0.315 Mpa,0.277 Mpa,0.335 Mpa,,1.79%,9.18%,1.74%,5.86%,,5.82%,8.44%,5.25%,
2026-06-20 05:00:00,0.197 Mpa,0.228 Mpa,0.124 Mpa,0.364 Mpa,,0.314 Mpa,0.146 Mpa,0.340 Mpa,,5.43%,8.96%,1.56%,7.39%,,7.24%,4.39%,4.84%,
2026-06-20 07:00:00,0.107 Mpa,0.114 Mpa,0.283 Mpa,0.489 Mpa,,0.450 Mpa,0.0947 Mpa,0.400 Mpa,,3.75%,8.48%,5.33%,10.4%,,11.8%,5.22%,7.06%,
2026-06-20 09:00:00,0.148 Mpa,0.221 Mpa,0.215 Mpa,0.494 Mpa,0 Mpa,0.416 Mpa,0.251 Mpa,0.407 Mpa,,5.33%,13.6%,3.39%,10.6%,0%,12.2%,7.44%,6.76%,
2026-06-20 11:00:00,0.153 Mpa,0.442 Mpa,0.186 Mpa,0.341 Mpa,0.00467 Mpa,0.425 Mpa,0.180 Mpa,0.277 Mpa,,4.98%,15.8%,3.04%,7.10%,0%,10.2%,5.87%,2.96%,
2026-06-20 13:00:00,0.122 Mpa,0.209 Mpa,0.181 Mpa,,,0.341 Mpa,0.157 Mpa,0.268 Mpa,,4.02%,10.1%,2.85%,,,7.23%,6.72%,2.55%,
2026-06-20 15:00:00,0.0940 Mpa,0.114 Mpa,0.135 Mpa,0.225 Mpa,,0.550 Mpa,0.198 Mpa,0.295 Mpa,,2.63%,8.42%,1.56%,3.99%,,13.2%,6.15%,4.03%,
2026-06-20 17:00:00,0.0353 Mpa,0.0563 Mpa,0.132 Mpa,0.0876 Mpa,,0.315 Mpa,0.143 Mpa,0.271 Mpa,,2.50%,5.21%,1.96%,0.957%,,4.35%,6.47%,3.88%,
2026-06-20 19:00:00,0.00245 Mpa,0.236 Mpa,0.109 Mpa,0.304 Mpa,,0.429 Mpa,0.126 Mpa,0.369 Mpa,,1.61%,9.43%,1.91%,5.83%,,6.20%,4.32%,5.58%,
2026-06-20 21:00:00,0.00315 Mpa,0.313 Mpa,0.165 Mpa,0.256 Mpa,,0.321 Mpa,0.155 Mpa,0.283 Mpa,,1.37%,16.2%,2.65%,4.08%,,3.59%,7.28%,3.31%,
2026-06-20 23:00:00,0 Mpa,0.0766 Mpa,0.165 Mpa,0.201 Mpa,,0.313 Mpa,0.283 Mpa,0.202 Mpa,,1.20%,9.48%,2.28%,2.50%,,3.43%,10.5%,0.759%,
2026-06-21 01:00:00,0 Mpa,0.113 Mpa,0.248 Mpa,0.317 Mpa,,0.291 Mpa,0.172 Mpa,0.186 Mpa,,1.20%,12.3%,4.84%,5.94%,,2.94%,6.99%,0.341%,
2026-06-21 03:00:00,0 Mpa,0.129 Mpa,0.213 Mpa,0.188 Mpa,,0.249 Mpa,0.173 Mpa,0.253 Mpa,,1.20%,7.21%,3.76%,3.00%,,2.79%,5.46%,2.29%,
2026-06-21 05:00:00,0.0810 Mpa,0.105 Mpa,0.302 Mpa,0.114 Mpa,,0.458 Mpa,0.134 Mpa,0.451 Mpa,,2.46%,11.9%,6.07%,1.15%,,8.46%,6.22%,8.07%,
2026-06-21 07:00:00,0.150 Mpa,2.77 Mpa,0.328 Mpa,0.292 Mpa,,0.380 Mpa,0.211 Mpa,0.385 Mpa,,3.78%,8.86%,6.77%,6.68%,,6.72%,8.15%,6.00%,
2026-06-21 09:00:00,0.311 Mpa,6.10 Mpa,0.241 Mpa,0.249 Mpa,,0.559 Mpa,0.221 Mpa,0.401 Mpa,,8.17%,12.1%,4.95%,4.71%,,12.2%,6.11%,6.68%,
2026-06-21 11:00:00,0.0747 Mpa,5.69 Mpa,0.201 Mpa,0.169 Mpa,,0.574 Mpa,,0.323 Mpa,,2.91%,7.93%,3.37%,1.81%,,13.1%,,4.17%,
2026-06-21 13:00:00,0.106 Mpa,1.76 Mpa,,,,,,0.139 Mpa,,3.31%,22.5%,,,,,,0%,
