"Time","P_BW - I38","P_BW - I39","P_BW - I40","P_BW - I41","P_BW - I42","P_BW - I43","P_BW - I44","P_BW - I47","P_BW - I48","%BW - I38","%BW - I39","%BW - I40","%BW - I41","%BW - I42","%BW - I43","%BW - I44","%BW - I47","%BW - I48"
2026-06-26 21:00:00,0.0813 Mpa,0.00675 Mpa,,0.197 Mpa,0.0787 Mpa,0.378 Mpa,0.225 Mpa,,,3.62%,5.33%,,2.53%,1.84%,6.35%,5.87%,,
2026-06-26 23:00:00,0.0851 Mpa,0.00119 Mpa,0.0197 Mpa,0.275 Mpa,0.0721 Mpa,0.315 Mpa,0.189 Mpa,0.287 Mpa,,4.41%,3.58%,0%,4.37%,1.95%,3.67%,5.80%,4.41%,
2026-06-27 01:00:00,0.0410 Mpa,0.0842 Mpa,,0.333 Mpa,0.0846 Mpa,0.420 Mpa,0.0781 Mpa,0.303 Mpa,,2.93%,6.59%,,6.66%,2.68%,6.49%,5.62%,5.42%,
2026-06-27 03:00:00,0.0402 Mpa,,,0.170 Mpa,0.163 Mpa,0.338 Mpa,0.164 Mpa,0.346 Mpa,,2.93%,,,1.86%,4.22%,4.07%,6.37%,6.94%,
2026-06-27 05:00:00,0.0388 Mpa,,,0.264 Mpa,0.130 Mpa,0.268 Mpa,0.202 Mpa,0.348 Mpa,,3.53%,,,4.31%,3.24%,3.27%,5.56%,6.87%,
2026-06-27 07:00:00,0.0921 Mpa,,,0.178 Mpa,0.144 Mpa,0.303 Mpa,0.188 Mpa,0.197 Mpa,,4.44%,,,2.10%,3.61%,2.85%,3.85%,2.29%,
2026-06-27 09:00:00,0.480 Mpa,,,0.229 Mpa,0.187 Mpa,0.297 Mpa,0.232 Mpa,0.404 Mpa,,13.9%,,,3.19%,4.88%,2.38%,3.95%,8.87%,
2026-06-27 11:00:00,0.103 Mpa,,,0.181 Mpa,0.0977 Mpa,0.498 Mpa,0.201 Mpa,0.308 Mpa,,3.73%,,,1.83%,2.33%,8.54%,4.64%,4.58%,
2026-06-27 13:00:00,0.0900 Mpa,,0.161 Mpa,0.169 Mpa,0.162 Mpa,0.367 Mpa,0.328 Mpa,0.222 Mpa,,2.22%,,4.12%,1.87%,3.93%,5.36%,7.94%,3.10%,
2026-06-27 15:00:00,0.117 Mpa,,0.0721 Mpa,0.323 Mpa,0.135 Mpa,0.353 Mpa,0.267 Mpa,0.299 Mpa,,4.05%,,0.902%,5.75%,3.28%,5.35%,8.28%,4.34%,
2026-06-27 17:00:00,0.275 Mpa,,0.0878 Mpa,0.202 Mpa,0.545 Mpa,0.340 Mpa,0.226 Mpa,0.263 Mpa,,8.02%,,1.40%,2.52%,15.5%,6.24%,7.46%,3.11%,
2026-06-27 19:00:00,0.0819 Mpa,,0.126 Mpa,0.220 Mpa,0.121 Mpa,0.454 Mpa,0.620 Mpa,0.294 Mpa,,2.48%,,1.88%,3.26%,2.68%,9.07%,15.1%,3.30%,
2026-06-27 21:00:00,0.139 Mpa,,0.168 Mpa,0.291 Mpa,0.119 Mpa,0.316 Mpa,0.388 Mpa,0.292 Mpa,,5.42%,,3.36%,5.00%,2.78%,4.89%,10.1%,3.40%,
2026-06-27 23:00:00,0.296 Mpa,,0.124 Mpa,0.108 Mpa,0.0665 Mpa,0.447 Mpa,0.189 Mpa,0.305 Mpa,,9.33%,,2.00%,0.319%,0.953%,8.06%,5.28%,3.75%,
2026-06-28 01:00:00,0.302 Mpa,,0.138 Mpa,0.170 Mpa,0.0601 Mpa,0.328 Mpa,0.202 Mpa,0.250 Mpa,,9.04%,,2.33%,2.21%,1.32%,6.34%,6.11%,2.55%,
2026-06-28 03:00:00,0.174 Mpa,,0.107 Mpa,0.290 Mpa,0.144 Mpa,0.280 Mpa,0.155 Mpa,0.297 Mpa,,6.04%,,1.44%,4.68%,3.41%,2.13%,3.67%,3.15%,
2026-06-28 05:00:00,0.105 Mpa,,0.139 Mpa,0.194 Mpa,0.229 Mpa,0.303 Mpa,0.159 Mpa,0.328 Mpa,,5.04%,,2.48%,2.07%,5.77%,3.78%,4.66%,5.22%,
2026-06-28 07:00:00,0.122 Mpa,,0.216 Mpa,0.258 Mpa,0.0952 Mpa,0.294 Mpa,0.285 Mpa,0.350 Mpa,,4.05%,,4.54%,3.62%,2.07%,3.59%,7.81%,6.28%,
2026-06-28 09:00:00,0.0808 Mpa,,0.210 Mpa,0.0690 Mpa,0.171 Mpa,0.282 Mpa,0.131 Mpa,0.416 Mpa,,4.05%,,5.14%,0.733%,4.34%,2.98%,3.26%,8.45%,
2026-06-28 11:00:00,0.122 Mpa,,0.245 Mpa,,0.257 Mpa,0.368 Mpa,0.378 Mpa,0.415 Mpa,,3.52%,,6.31%,,7.06%,6.28%,8.99%,8.04%,
2026-06-28 13:00:00,0.0884 Mpa,,0.126 Mpa,0.0550 Mpa,0.0877 Mpa,0.396 Mpa,0.284 Mpa,0.232 Mpa,,3.90%,,2.34%,0%,3.17%,6.99%,7.17%,2.29%,
2026-06-28 15:00:00,0.0358 Mpa,,0.112 Mpa,0.185 Mpa,0.364 Mpa,0.461 Mpa,0.234 Mpa,0.238 Mpa,,2.62%,,2.06%,2.19%,11.4%,8.31%,5.78%,2.30%,
2026-06-28 17:00:00,0.216 Mpa,,0.137 Mpa,0.198 Mpa,0.125 Mpa,0.285 Mpa,0.268 Mpa,0.251 Mpa,,6.52%,,2.38%,2.37%,3.13%,4.87%,5.80%,3.30%,
2026-06-28 19:00:00,0.282 Mpa,,0.141 Mpa,0.157 Mpa,0.233 Mpa,0.467 Mpa,0.742 Mpa,0.302 Mpa,,8.11%,,2.71%,1.22%,6.25%,8.65%,21.2%,4.89%,
2026-06-28 21:00:00,0.149 Mpa,,0.182 Mpa,0.173 Mpa,0.389 Mpa,0.295 Mpa,0.418 Mpa,0.286 Mpa,,3.84%,,3.56%,1.42%,10.9%,4.05%,11.4%,4.68%,
2026-06-28 23:00:00,0.0985 Mpa,,0.113 Mpa,0.181 Mpa,0.135 Mpa,0.304 Mpa,0.262 Mpa,0.332 Mpa,,2.94%,,1.97%,1.65%,3.96%,4.29%,5.65%,5.78%,
2026-06-29 01:00:00,0.135 Mpa,,0.134 Mpa,0.204 Mpa,0.0787 Mpa,0.354 Mpa,0.638 Mpa,0.325 Mpa,,4.77%,,2.26%,3.03%,2.03%,5.01%,17.6%,5.34%,
2026-06-29 03:00:00,0.0930 Mpa,,0.323 Mpa,0.247 Mpa,0.108 Mpa,0.270 Mpa,0.425 Mpa,0.133 Mpa,,3.17%,,7.42%,3.41%,2.80%,2.19%,12.3%,9.65%,
2026-06-29 05:00:00,0.105 Mpa,,0.235 Mpa,0.219 Mpa,0.236 Mpa,0.238 Mpa,0.419 Mpa,0.268 Mpa,,3.11%,,5.37%,3.15%,5.99%,1.49%,12.9%,3.74%,
2026-06-29 07:00:00,0.000131 Mpa,,0.204 Mpa,0.199 Mpa,0.214 Mpa,0.271 Mpa,0.547 Mpa,0.268 Mpa,,0.622%,,4.56%,2.37%,5.71%,2.95%,15.5%,4.38%,
2026-06-29 09:00:00,0.177 Mpa,,0.178 Mpa,0.182 Mpa,0.195 Mpa,0.285 Mpa,0.276 Mpa,0.325 Mpa,,5.38%,,4.11%,3.16%,5.21%,2.91%,4.00%,6.09%,
2026-06-29 11:00:00,0.0991 Mpa,,0.144 Mpa,0.179 Mpa,0.167 Mpa,0.258 Mpa,0.315 Mpa,0.372 Mpa,,3.20%,,2.96%,1.77%,4.48%,2.40%,7.24%,6.35%,
2026-06-29 13:00:00,0.120 Mpa,,0.177 Mpa,0.231 Mpa,0.322 Mpa,0.271 Mpa,0.223 Mpa,0.231 Mpa,,3.27%,,3.61%,3.08%,9.38%,3.34%,5.90%,2.51%,
2026-06-29 15:00:00,0.127 Mpa,,0.136 Mpa,0.201 Mpa,0.0103 Mpa,0.321 Mpa,0.264 Mpa,0.284 Mpa,,3.74%,,2.43%,2.11%,0%,4.77%,6.18%,3.86%,
2026-06-29 17:00:00,0.0734 Mpa,,0.199 Mpa,0.217 Mpa,0.108 Mpa,0.300 Mpa,0.237 Mpa,0.273 Mpa,,1.92%,,4.16%,2.90%,2.68%,4.40%,6.12%,2.80%,
2026-06-29 19:00:00,0.0844 Mpa,,0.240 Mpa,0.155 Mpa,0.112 Mpa,0.345 Mpa,0.688 Mpa,0.304 Mpa,,2.43%,,5.09%,1.02%,2.56%,5.91%,19.4%,3.96%,
2026-06-29 21:00:00,0.231 Mpa,,0.0983 Mpa,0.176 Mpa,0.0975 Mpa,0.337 Mpa,0.749 Mpa,0.281 Mpa,,7.54%,,1.38%,1.64%,2.54%,4.94%,20.1%,3.11%,
2026-06-29 23:00:00,0.0718 Mpa,,0.162 Mpa,0.151 Mpa,0.0659 Mpa,0.264 Mpa,0.449 Mpa,0.219 Mpa,,3.49%,,2.98%,1.01%,1.01%,4.57%,11.8%,1.25%,
2026-06-30 01:00:00,0.169 Mpa,,0.119 Mpa,0.169 Mpa,0.269 Mpa,0.270 Mpa,0.917 Mpa,0.300 Mpa,,5.52%,,1.83%,1.72%,7.27%,3.33%,24.6%,3.87%,
2026-06-30 03:00:00,0.0603 Mpa,,0.172 Mpa,0.184 Mpa,0.208 Mpa,0.293 Mpa,0.493 Mpa,0.278 Mpa,,2.06%,,3.31%,2.13%,6.14%,2.37%,13.4%,3.00%,
2026-06-30 05:00:00,0.0827 Mpa,,0.189 Mpa,0.144 Mpa,0.0150 Mpa,0.296 Mpa,0.297 Mpa,0.286 Mpa,,2.96%,,3.91%,1.13%,0%,4.12%,8.43%,3.95%,
2026-06-30 07:00:00,0.166 Mpa,,0.493 Mpa,0.207 Mpa,0.0194 Mpa,0.359 Mpa,0.251 Mpa,0.285 Mpa,,4.77%,,11.8%,2.89%,0.375%,5.79%,7.45%,3.87%,
2026-06-30 09:00:00,0.209 Mpa,,0.0842 Mpa,0.451 Mpa,0.0653 Mpa,0.349 Mpa,0.288 Mpa,0.297 Mpa,,6.95%,,1.08%,9.44%,1.82%,5.55%,7.50%,4.09%,
2026-06-30 11:00:00,0.178 Mpa,,0.140 Mpa,0.185 Mpa,0.0797 Mpa,0.425 Mpa,0.409 Mpa,0.301 Mpa,,6.29%,,2.61%,1.79%,1.51%,8.29%,11.6%,3.83%,
2026-06-30 13:00:00,0.138 Mpa,,0.152 Mpa,0.152 Mpa,0.102 Mpa,0.384 Mpa,0.0480 Mpa,0.350 Mpa,,4.37%,,3.21%,1.17%,2.35%,6.58%,0.456%,4.98%,
2026-06-30 15:00:00,0.127 Mpa,,0.167 Mpa,0.178 Mpa,0.0538 Mpa,0.354 Mpa,0.196 Mpa,0.325 Mpa,,4.33%,,3.30%,1.46%,0.683%,6.09%,3.96%,4.32%,
2026-06-30 17:00:00,0.179 Mpa,,0.201 Mpa,0.162 Mpa,0.108 Mpa,0.292 Mpa,0.400 Mpa,0.313 Mpa,,5.62%,,4.26%,1.38%,2.55%,3.13%,11.4%,4.04%,
2026-06-30 19:00:00,0.131 Mpa,,0.190 Mpa,0.181 Mpa,0.111 Mpa,0.279 Mpa,0.330 Mpa,0.383 Mpa,,4.36%,,4.32%,1.62%,2.92%,2.99%,10.0%,6.63%,
2026-06-30 21:00:00,0.187 Mpa,,0.251 Mpa,0.118 Mpa,0.418 Mpa,0.275 Mpa,0.188 Mpa,0.262 Mpa,,5.48%,,6.07%,0.840%,11.8%,2.63%,2.64%,2.80%,
2026-06-30 23:00:00,0.226 Mpa,,0.174 Mpa,0.104 Mpa,0.171 Mpa,0.260 Mpa,0.162 Mpa,0.203 Mpa,,6.27%,,3.24%,0.577%,4.60%,3.53%,4.11%,0.390%,
2026-07-01 01:00:00,0.126 Mpa,,0.121 Mpa,0.260 Mpa,0.0954 Mpa,0.375 Mpa,0.227 Mpa,,,3.36%,,1.66%,3.86%,2.86%,6.19%,5.79%,,
2026-07-01 03:00:00,0.190 Mpa,,0.119 Mpa,0.255 Mpa,0.0837 Mpa,0.282 Mpa,0.252 Mpa,,,5.93%,,1.45%,4.08%,2.91%,4.55%,8.23%,,
2026-07-01 05:00:00,0.178 Mpa,,0.149 Mpa,0.259 Mpa,0.344 Mpa,0.294 Mpa,0.219 Mpa,,,4.83%,,2.97%,3.87%,9.15%,4.08%,6.16%,,
2026-07-01 07:00:00,0.153 Mpa,,0.489 Mpa,0.182 Mpa,0.462 Mpa,0.359 Mpa,0.137 Mpa,,,4.36%,,12.6%,1.58%,13.0%,6.18%,2.80%,,
2026-07-01 09:00:00,0.254 Mpa,,0.152 Mpa,0.299 Mpa,0.0267 Mpa,0.386 Mpa,0.367 Mpa,,,7.37%,,2.79%,4.84%,0.491%,5.65%,8.97%,,
2026-07-01 11:00:00,0.164 Mpa,,0.146 Mpa,0.333 Mpa,0.222 Mpa,0.414 Mpa,0.387 Mpa,0.837 Mpa,,5.22%,,2.59%,6.13%,5.50%,6.80%,9.21%,20.7%,
2026-07-01 13:00:00,0.0943 Mpa,,0.213 Mpa,0.285 Mpa,0.278 Mpa,0.401 Mpa,0.226 Mpa,,,2.70%,,4.69%,5.47%,7.80%,5.63%,3.93%,,
2026-07-01 15:00:00,0.0603 Mpa,,0.114 Mpa,0.0765 Mpa,0.0595 Mpa,0.325 Mpa,0.452 Mpa,,,2.77%,,1.77%,0.0545%,0.856%,3.45%,10.9%,,
2026-07-01 17:00:00,0.0764 Mpa,,0.120 Mpa,0.322 Mpa,0.273 Mpa,0.477 Mpa,0.320 Mpa,,,2.01%,,1.82%,6.47%,7.48%,8.36%,7.48%,,
2026-07-01 19:00:00,0.0651 Mpa,,0.134 Mpa,0.365 Mpa,0.231 Mpa,0.305 Mpa,0.272 Mpa,0.523 Mpa,,1.75%,,2.16%,7.04%,6.34%,3.84%,7.58%,13.2%,
2026-07-01 21:00:00,0.144 Mpa,,0.212 Mpa,0.209 Mpa,0.163 Mpa,0.307 Mpa,0.236 Mpa,,,3.55%,,4.53%,2.77%,4.09%,4.37%,6.35%,,
2026-07-01 23:00:00,0.170 Mpa,,0.149 Mpa,0.229 Mpa,0.0678 Mpa,0.286 Mpa,0.291 Mpa,,,3.85%,,2.82%,3.08%,1.44%,3.73%,5.63%,,
2026-07-02 01:00:00,0.137 Mpa,,0.127 Mpa,0.229 Mpa,0.266 Mpa,0.373 Mpa,0.260 Mpa,,,4.30%,,1.65%,3.04%,8.28%,6.42%,5.33%,,
2026-07-02 03:00:00,0.132 Mpa,,0.107 Mpa,0.177 Mpa,0.0761 Mpa,0.256 Mpa,0.237 Mpa,,,4.26%,,1.09%,1.80%,1.40%,3.81%,4.04%,,
2026-07-02 05:00:00,0.152 Mpa,,0.160 Mpa,0.160 Mpa,0.0424 Mpa,0.292 Mpa,0.250 Mpa,,,3.40%,,2.91%,1.60%,1.22%,3.70%,6.89%,,
2026-07-02 07:00:00,0.217 Mpa,,0.146 Mpa,0.175 Mpa,0.266 Mpa,0.292 Mpa,0.226 Mpa,,,6.23%,,2.07%,2.13%,7.52%,4.67%,5.89%,,
2026-07-02 09:00:00,0.194 Mpa,,0.265 Mpa,0.166 Mpa,0.124 Mpa,0.257 Mpa,0.210 Mpa,,,6.32%,,6.26%,1.98%,2.93%,3.77%,4.37%,,
2026-07-02 11:00:00,0.0816 Mpa,,0.117 Mpa,0.165 Mpa,0.160 Mpa,0.307 Mpa,0.216 Mpa,,,3.22%,,1.45%,1.90%,4.32%,3.61%,5.64%,,
2026-07-02 13:00:00,0.0964 Mpa,,0.102 Mpa,0.144 Mpa,0.0834 Mpa,0.304 Mpa,0.370 Mpa,,,3.31%,,1.33%,1.31%,1.84%,3.00%,10.8%,,
2026-07-02 15:00:00,0.0907 Mpa,,0.334 Mpa,0.271 Mpa,0.0558 Mpa,0.379 Mpa,0.185 Mpa,,,3.74%,,7.63%,5.27%,1.24%,6.22%,6.85%,,
2026-07-02 17:00:00,0.0800 Mpa,,0.186 Mpa,0.204 Mpa,0.214 Mpa,0.563 Mpa,0.185 Mpa,,,3.98%,,3.48%,2.22%,5.83%,10.6%,3.96%,,
2026-07-02 19:00:00,0.167 Mpa,,0.193 Mpa,0.256 Mpa,0.142 Mpa,0.329 Mpa,0.261 Mpa,,,6.49%,,3.57%,3.49%,5.31%,4.71%,5.34%,,
2026-07-02 21:00:00,0.293 Mpa,,0.261 Mpa,0.0894 Mpa,0.0802 Mpa,0.306 Mpa,0.372 Mpa,,,7.95%,,5.36%,0%,1.63%,4.43%,8.74%,,
2026-07-02 23:00:00,0.0839 Mpa,,0.0752 Mpa,,0.0865 Mpa,0.336 Mpa,0.251 Mpa,,,4.16%,,0.642%,,1.66%,6.87%,5.93%,,
2026-07-03 01:00:00,0.138 Mpa,,0.0727 Mpa,,0.242 Mpa,0.326 Mpa,0.276 Mpa,,,4.29%,,0.807%,,6.59%,5.15%,7.40%,,
2026-07-03 03:00:00,0.221 Mpa,,0.107 Mpa,0.154 Mpa,0.156 Mpa,0.450 Mpa,0.546 Mpa,,,6.82%,,1.28%,1.34%,3.90%,9.35%,13.4%,,
2026-07-03 05:00:00,0.144 Mpa,,0.109 Mpa,0.264 Mpa,0.0839 Mpa,0.282 Mpa,0.391 Mpa,,,4.17%,,1.83%,4.12%,1.74%,3.54%,9.93%,,
2026-07-03 07:00:00,0.0756 Mpa,,0.269 Mpa,0.245 Mpa,0.0834 Mpa,0.394 Mpa,0.252 Mpa,,,3.57%,,6.49%,3.80%,1.73%,5.14%,4.82%,,
2026-07-03 09:00:00,0.146 Mpa,,0.107 Mpa,0.398 Mpa,0.0784 Mpa,0.639 Mpa,0.267 Mpa,,,4.32%,,2.02%,7.82%,1.87%,11.7%,5.16%,,
2026-07-03 11:00:00,0.210 Mpa,,0.155 Mpa,0.191 Mpa,0.147 Mpa,0.577 Mpa,0.327 Mpa,,,6.21%,,3.31%,1.85%,3.47%,11.0%,8.25%,,
2026-07-03 13:00:00,0.142 Mpa,,0.143 Mpa,0.289 Mpa,0.0775 Mpa,0.653 Mpa,0.269 Mpa,,,4.51%,,3.13%,4.14%,1.49%,12.6%,5.09%,,
2026-07-03 15:00:00,0.126 Mpa,,0.116 Mpa,0.284 Mpa,0.325 Mpa,0.317 Mpa,0.234 Mpa,,,4.03%,,1.99%,4.26%,9.00%,3.43%,4.30%,,
2026-07-03 17:00:00,0.0934 Mpa,,0.140 Mpa,0.158 Mpa,0.138 Mpa,0.490 Mpa,0.322 Mpa,,,3.72%,,2.44%,1.34%,3.22%,8.14%,7.45%,,
2026-07-03 19:00:00,0.0206 Mpa,,0.126 Mpa,0.205 Mpa,0.103 Mpa,0.423 Mpa,0.273 Mpa,,,0.147%,,1.74%,3.91%,2.09%,6.94%,5.93%,,
2026-07-03 21:00:00,0.0651 Mpa,,0.102 Mpa,0.193 Mpa,0.350 Mpa,0.420 Mpa,0.317 Mpa,,,3.72%,,0.866%,1.30%,10.1%,6.82%,7.96%,,
2026-07-03 23:00:00,0.0996 Mpa,,0.150 Mpa,0.211 Mpa,0.0507 Mpa,0.331 Mpa,0.374 Mpa,,,5.44%,,2.19%,1.87%,0.284%,3.72%,8.71%,,
2026-07-04 01:00:00,0.00128 Mpa,,0.213 Mpa,0.219 Mpa,0.0375 Mpa,0.363 Mpa,0.204 Mpa,,,2.91%,,4.29%,1.99%,0.975%,4.89%,2.99%,,
2026-07-04 03:00:00,,,0.138 Mpa,0.176 Mpa,0.188 Mpa,0.387 Mpa,0.346 Mpa,,,,,2.03%,1.52%,5.10%,7.13%,7.68%,,
2026-07-04 05:00:00,,,0.145 Mpa,0.179 Mpa,0.131 Mpa,0.315 Mpa,0.327 Mpa,,,,,2.66%,1.64%,3.20%,7.14%,9.18%,,
2026-07-04 07:00:00,,,0.335 Mpa,0.216 Mpa,0.124 Mpa,0.303 Mpa,0.223 Mpa,,,,,7.68%,2.66%,3.23%,3.09%,4.11%,,
2026-07-04 09:00:00,0.0189 Mpa,,0.134 Mpa,0.279 Mpa,0.196 Mpa,0.237 Mpa,0.249 Mpa,,,2.37%,,2.75%,3.75%,5.15%,3.80%,6.08%,,
2026-07-04 11:00:00,0.128 Mpa,,0.169 Mpa,0.339 Mpa,0.206 Mpa,0.963 Mpa,0.328 Mpa,,,3.18%,,3.03%,5.52%,5.58%,21.4%,7.61%,,
2026-07-04 13:00:00,0.0995 Mpa,,0.192 Mpa,0.391 Mpa,0.0259 Mpa,0.526 Mpa,0.435 Mpa,,,2.66%,,3.82%,7.00%,0.211%,9.03%,11.4%,,
2026-07-04 15:00:00,0.143 Mpa,,0.167 Mpa,0.240 Mpa,0.131 Mpa,0.593 Mpa,0.346 Mpa,,,4.14%,,3.15%,3.20%,3.05%,12.1%,9.69%,,
2026-07-04 17:00:00,0.0962 Mpa,,0.137 Mpa,0.163 Mpa,0.161 Mpa,0.245 Mpa,0.273 Mpa,,,2.62%,,2.31%,1.35%,4.49%,1.43%,4.87%,,
2026-07-04 19:00:00,0.159 Mpa,,0.129 Mpa,0.282 Mpa,0.173 Mpa,0.453 Mpa,0.240 Mpa,,,10.3%,,1.76%,3.77%,4.55%,6.36%,6.17%,,
2026-07-04 21:00:00,0.326 Mpa,,0.165 Mpa,0.218 Mpa,0.216 Mpa,0.192 Mpa,0.463 Mpa,,,8.93%,,2.70%,3.38%,6.41%,0%,11.8%,,
2026-07-04 23:00:00,0.0677 Mpa,,0.0862 Mpa,0.427 Mpa,0.102 Mpa,0.285 Mpa,0.262 Mpa,0.263 Mpa,,2.35%,,0.454%,8.17%,3.21%,1.42%,6.99%,3.13%,
2026-07-05 01:00:00,0.268 Mpa,,0.0336 Mpa,0.172 Mpa,0.0200 Mpa,0.294 Mpa,0.195 Mpa,,,7.04%,,0.000420%,0.984%,0.569%,1.74%,6.24%,,
2026-07-05 03:00:00,0.0783 Mpa,,0.0854 Mpa,0.184 Mpa,0.345 Mpa,0.280 Mpa,0.238 Mpa,,,2.10%,,0.550%,1.19%,10.2%,1.03%,5.83%,,
2026-07-05 05:00:00,0.0968 Mpa,,0.170 Mpa,0.263 Mpa,0.168 Mpa,0.323 Mpa,0.247 Mpa,,,2.89%,,2.71%,3.99%,4.68%,4.39%,7.59%,,
2026-07-05 07:00:00,0.116 Mpa,,0.352 Mpa,0.450 Mpa,0.0984 Mpa,0.315 Mpa,0.334 Mpa,,,3.42%,,7.83%,8.94%,2.21%,4.85%,7.24%,,
2026-07-05 09:00:00,0.0895 Mpa,,0.200 Mpa,0.191 Mpa,0.132 Mpa,0.272 Mpa,0.230 Mpa,,,2.08%,,3.95%,1.38%,3.12%,3.43%,3.18%,,
2026-07-05 11:00:00,0.166 Mpa,,0.174 Mpa,0.242 Mpa,0.106 Mpa,0.292 Mpa,0.286 Mpa,,,5.35%,,3.51%,3.18%,2.63%,4.18%,5.05%,,
2026-07-05 13:00:00,0.211 Mpa,,0.282 Mpa,0.428 Mpa,0.317 Mpa,0.421 Mpa,0.480 Mpa,,,9.39%,,6.32%,7.77%,8.63%,5.93%,14.7%,,
2026-07-05 15:00:00,0.335 Mpa,,0.192 Mpa,0.164 Mpa,0.204 Mpa,0.362 Mpa,0.302 Mpa,,,12.2%,,3.68%,1.15%,5.59%,3.46%,6.79%,,
2026-07-05 17:00:00,0.132 Mpa,,0.224 Mpa,0.141 Mpa,0.224 Mpa,0.268 Mpa,0.273 Mpa,,,4.90%,,4.70%,1.63%,6.97%,1.08%,6.95%,,
2026-07-05 19:00:00,0.0973 Mpa,,0.154 Mpa,0.160 Mpa,0.192 Mpa,0.237 Mpa,0.242 Mpa,,,2.44%,,2.40%,1.72%,5.51%,1.33%,8.08%,,
2026-07-05 21:00:00,0.121 Mpa,,0.114 Mpa,0.173 Mpa,0.0240 Mpa,0.281 Mpa,0.277 Mpa,,,3.76%,,1.51%,1.48%,0.311%,2.05%,8.14%,,
2026-07-05 23:00:00,0.242 Mpa,,0.132 Mpa,0.273 Mpa,0.0417 Mpa,0.473 Mpa,0.209 Mpa,,,7.34%,,1.77%,3.98%,1.48%,6.93%,6.80%,,
2026-07-06 01:00:00,0.0681 Mpa,,0.134 Mpa,0.176 Mpa,0.0475 Mpa,0.307 Mpa,0.213 Mpa,,,2.00%,,2.34%,1.80%,1.89%,2.87%,5.99%,,
2026-07-06 03:00:00,0.0768 Mpa,,0.126 Mpa,0.235 Mpa,0.0363 Mpa,0.396 Mpa,0.313 Mpa,,,1.96%,,1.57%,2.83%,0.884%,5.11%,6.96%,,
2026-07-06 05:00:00,0.0719 Mpa,,0.166 Mpa,0.255 Mpa,0.124 Mpa,0.424 Mpa,0.149 Mpa,,,1.55%,,2.68%,3.62%,2.95%,7.02%,4.15%,,
2026-07-06 07:00:00,0.0417 Mpa,,0.310 Mpa,0.267 Mpa,0.178 Mpa,0.325 Mpa,0.315 Mpa,,,1.99%,,6.62%,3.58%,4.56%,4.58%,6.70%,,
2026-07-06 09:00:00,0.0379 Mpa,,0.226 Mpa,0.216 Mpa,0.252 Mpa,0.294 Mpa,0.309 Mpa,,,3.13%,,4.73%,2.25%,6.80%,4.67%,7.31%,,
2026-07-06 11:00:00,0.366 Mpa,,0.267 Mpa,0.311 Mpa,0.189 Mpa,0.292 Mpa,0.314 Mpa,0.221 Mpa,,10.5%,,5.85%,4.88%,5.00%,4.03%,7.65%,1.46%,
2026-07-06 13:00:00,0.126 Mpa,,0.247 Mpa,0.220 Mpa,0.240 Mpa,0.652 Mpa,0.319 Mpa,0.168 Mpa,,3.99%,,5.21%,2.12%,6.46%,14.3%,8.93%,0.142%,
2026-07-06 15:00:00,0.123 Mpa,,0.244 Mpa,0.451 Mpa,0.0105 Mpa,0.420 Mpa,0.250 Mpa,0.193 Mpa,,3.55%,,5.02%,8.85%,0.0150%,5.96%,6.58%,0.845%,
2026-07-06 17:00:00,0.0685 Mpa,,0.208 Mpa,0.178 Mpa,0.469 Mpa,0.268 Mpa,0.178 Mpa,,,2.96%,,4.21%,1.26%,12.9%,2.23%,4.66%,,
2026-07-06 19:00:00,0.0633 Mpa,,0.179 Mpa,0.263 Mpa,0.360 Mpa,0.284 Mpa,0.265 Mpa,,,3.07%,,3.15%,3.71%,9.78%,1.59%,6.50%,,
2026-07-06 21:00:00,0.164 Mpa,,0.104 Mpa,0.193 Mpa,0.0333 Mpa,0.269 Mpa,0.324 Mpa,,,4.75%,,1.04%,1.85%,0.678%,1.19%,7.64%,,
2026-07-06 23:00:00,0.0982 Mpa,,0.340 Mpa,0.299 Mpa,0.120 Mpa,0.327 Mpa,0.258 Mpa,,,2.23%,,8.08%,4.74%,2.71%,3.06%,7.08%,,
2026-07-07 01:00:00,0.0624 Mpa,,0.155 Mpa,0.238 Mpa,0.0167 Mpa,0.279 Mpa,0.257 Mpa,,,1.53%,,3.49%,2.86%,0.488%,1.34%,7.39%,,
2026-07-07 03:00:00,0.146 Mpa,,0.0960 Mpa,0.400 Mpa,0.0911 Mpa,0.343 Mpa,0.131 Mpa,,,3.68%,,0.986%,7.64%,1.88%,2.67%,5.87%,,
2026-07-07 05:00:00,0.0840 Mpa,,0.123 Mpa,0.259 Mpa,0.162 Mpa,0.366 Mpa,0.260 Mpa,,,2.20%,,2.36%,4.42%,3.44%,3.39%,8.49%,,
2026-07-07 07:00:00,0.0259 Mpa,,0.227 Mpa,0.0861 Mpa,0.130 Mpa,0.277 Mpa,0.281 Mpa,,,0.519%,,4.81%,0.0455%,3.04%,1.56%,7.61%,,
2026-07-07 09:00:00,0.147 Mpa,,0.491 Mpa,,0.584 Mpa,,0.304 Mpa,,,3.67%,,12.4%,,17.3%,,7.55%,,
2026-07-07 11:00:00,0.123 Mpa,,0.196 Mpa,0.364 Mpa,0.0955 Mpa,,0.370 Mpa,,,3.33%,,3.86%,6.99%,1.95%,,9.79%,,
