"Time","P_BW - I45","P_BW - I49","P_BW - I50","P_BW - I52","P_BW - I53","P_BW - I54","P_BW - I55","P_BW - I56","P_BW - I57","P_BW - I58","%BW - I45","%BW - I49","%BW - I50","%BW - I52","%BW - I53","%BW - I54","%BW - I55","%BW - I56","%BW - I57","%BW - I58"
2026-06-19 03:00:00,0.212 Mpa,0.0803 Mpa,0.145 Mpa,0.0687 Mpa,0.0627 Mpa,0.140 Mpa,,0.210 Mpa,0.129 Mpa,,6.22%,2.54%,4.57%,3.01%,2.32%,4.15%,,5.97%,3.82%,
2026-06-19 05:00:00,0.0738 Mpa,0.0279 Mpa,0.0135 Mpa,0.0639 Mpa,0.0880 Mpa,0.0561 Mpa,,0.136 Mpa,0.192 Mpa,,2.17%,0.807%,0.415%,1.99%,3.29%,1.77%,,3.39%,5.75%,
2026-06-19 07:00:00,0.136 Mpa,0.0784 Mpa,0.0785 Mpa,0.0855 Mpa,0.171 Mpa,0.0992 Mpa,,0.119 Mpa,0.0618 Mpa,,4.10%,2.39%,2.50%,2.44%,6.27%,3.29%,,2.94%,1.75%,
2026-06-19 09:00:00,0.0743 Mpa,0.0861 Mpa,0.181 Mpa,0.118 Mpa,0.0293 Mpa,0.0655 Mpa,,0.101 Mpa,0.115 Mpa,,2.35%,2.81%,5.80%,3.39%,1.05%,1.73%,,2.61%,3.39%,
2026-06-19 11:00:00,0.101 Mpa,0.122 Mpa,0.0230 Mpa,0.0660 Mpa,0.157 Mpa,0.0879 Mpa,,0.114 Mpa,0.0978 Mpa,,2.89%,4.06%,0.709%,1.91%,5.57%,2.30%,,3.06%,2.90%,
2026-06-19 13:00:00,0.0148 Mpa,0.128 Mpa,0.0574 Mpa,0.120 Mpa,0 Mpa,0.0749 Mpa,,0.0866 Mpa,0.0902 Mpa,,0.382%,4.01%,1.76%,3.50%,0%,2.22%,,2.14%,2.76%,
2026-06-19 15:00:00,0.125 Mpa,0.104 Mpa,0.0441 Mpa,0.0737 Mpa,0.0745 Mpa,0.0913 Mpa,,0.467 Mpa,0.0967 Mpa,,3.54%,3.44%,1.64%,2.19%,2.66%,2.53%,,13.3%,2.91%,
2026-06-19 17:00:00,0.185 Mpa,0.220 Mpa,0.193 Mpa,0.0969 Mpa,0.108 Mpa,0.134 Mpa,0 Mpa,0.0752 Mpa,0.0562 Mpa,,5.41%,6.79%,6.19%,3.19%,4.30%,4.32%,0%,1.41%,1.57%,
2026-06-19 19:00:00,0.158 Mpa,0.0351 Mpa,0.0426 Mpa,0.0806 Mpa,0.157 Mpa,0.0853 Mpa,0 Mpa,0.0937 Mpa,,,4.46%,1.10%,1.31%,2.69%,5.89%,2.50%,0%,2.22%,,
2026-06-19 21:00:00,0.0912 Mpa,0.0963 Mpa,0.0320 Mpa,0.0703 Mpa,0.0806 Mpa,0.154 Mpa,0.0000402 Mpa,0.117 Mpa,,,2.74%,3.09%,1.01%,2.48%,2.94%,4.90%,0%,3.09%,,
2026-06-19 23:00:00,0.0800 Mpa,0.104 Mpa,0.0362 Mpa,0.0682 Mpa,0.0655 Mpa,0.211 Mpa,0.212 Mpa,0.153 Mpa,0.00347 Mpa,,2.36%,3.34%,1.20%,2.08%,2.30%,6.27%,5.93%,3.99%,0%,
2026-06-20 01:00:00,0.162 Mpa,0.177 Mpa,0.00257 Mpa,0.0251 Mpa,0.0769 Mpa,0.121 Mpa,0.132 Mpa,0.0550 Mpa,0.0852 Mpa,,4.94%,5.66%,0%,0.796%,2.41%,3.24%,3.69%,2.91%,2.52%,
2026-06-20 03:00:00,0.278 Mpa,0.0607 Mpa,0.0279 Mpa,0.0549 Mpa,0.0873 Mpa,0.120 Mpa,0.119 Mpa,0.0716 Mpa,0.192 Mpa,,8.42%,1.95%,0.777%,2.34%,2.97%,3.53%,3.45%,1.58%,5.78%,
2026-06-20 05:00:00,0.164 Mpa,0.195 Mpa,0.101 Mpa,0.0451 Mpa,0.111 Mpa,0.202 Mpa,0.289 Mpa,0.0710 Mpa,0.0954 Mpa,,4.64%,6.25%,3.17%,1.31%,3.75%,6.24%,8.00%,1.82%,2.81%,
2026-06-20 07:00:00,0.123 Mpa,0.196 Mpa,0.138 Mpa,0.0283 Mpa,0.0632 Mpa,0.0763 Mpa,0.312 Mpa,0.104 Mpa,0.171 Mpa,,3.66%,6.83%,4.46%,0.726%,2.36%,2.23%,8.91%,2.84%,5.03%,
2026-06-20 09:00:00,0.146 Mpa,0.118 Mpa,0.175 Mpa,0.350 Mpa,0.190 Mpa,0.101 Mpa,0.221 Mpa,0.152 Mpa,0.0296 Mpa,,4.25%,4.38%,5.91%,9.67%,6.85%,3.11%,6.40%,3.95%,0.698%,
2026-06-20 11:00:00,0.113 Mpa,0.182 Mpa,0.229 Mpa,0.222 Mpa,0.127 Mpa,0.165 Mpa,0.389 Mpa,0.112 Mpa,0.0651 Mpa,,3.75%,6.22%,8.16%,6.21%,4.58%,4.96%,11.3%,2.88%,1.78%,
2026-06-20 13:00:00,0.121 Mpa,0.194 Mpa,0.192 Mpa,0.0760 Mpa,0.227 Mpa,0.0497 Mpa,0.185 Mpa,0.153 Mpa,0.0838 Mpa,,4.37%,6.39%,6.44%,2.14%,8.27%,1.41%,5.64%,4.06%,2.59%,
2026-06-20 15:00:00,0.0467 Mpa,0.0627 Mpa,0.136 Mpa,0.0729 Mpa,0.239 Mpa,0.0593 Mpa,0.145 Mpa,0.164 Mpa,0.0962 Mpa,,1.20%,2.05%,4.63%,2.16%,8.61%,1.62%,4.30%,4.98%,2.89%,
2026-06-20 17:00:00,0.110 Mpa,0.0610 Mpa,0.174 Mpa,0.186 Mpa,0.0735 Mpa,0.103 Mpa,0.269 Mpa,0.275 Mpa,0.106 Mpa,,3.31%,2.02%,5.17%,5.24%,2.83%,3.95%,7.55%,8.04%,3.17%,
2026-06-20 19:00:00,0.145 Mpa,0.0838 Mpa,0.0565 Mpa,0.0263 Mpa,0.0951 Mpa,0.103 Mpa,0.334 Mpa,0.218 Mpa,0.0637 Mpa,,4.38%,2.64%,1.73%,0.604%,3.80%,3.31%,9.03%,5.64%,1.87%,
2026-06-20 21:00:00,0.0538 Mpa,0.148 Mpa,0.0507 Mpa,0.0428 Mpa,0.107 Mpa,0.0762 Mpa,0.314 Mpa,0.169 Mpa,0.173 Mpa,,1.64%,4.96%,1.61%,1.17%,4.02%,2.25%,8.95%,4.37%,5.11%,
2026-06-20 23:00:00,0.193 Mpa,0.180 Mpa,0.0303 Mpa,0.113 Mpa,0.0558 Mpa,0.0840 Mpa,0.131 Mpa,0.0885 Mpa,0.0573 Mpa,,5.77%,5.91%,0.913%,3.13%,2.01%,2.63%,3.83%,2.19%,1.63%,
2026-06-21 01:00:00,0.00455 Mpa,0.0973 Mpa,0.0378 Mpa,0.0350 Mpa,0.0627 Mpa,0.0955 Mpa,0.108 Mpa,0.165 Mpa,0.167 Mpa,,0%,3.67%,1.13%,0.889%,2.39%,2.80%,2.98%,4.39%,4.91%,
2026-06-21 03:00:00,0.0128 Mpa,0.0984 Mpa,0.0650 Mpa,0.00801 Mpa,0.110 Mpa,0.0881 Mpa,0.210 Mpa,0.201 Mpa,0.0412 Mpa,,0.381%,3.48%,2.04%,0.135%,4.18%,2.80%,5.89%,5.89%,1.08%,
2026-06-21 05:00:00,0.102 Mpa,0.263 Mpa,0.0848 Mpa,0.0976 Mpa,0.104 Mpa,0.149 Mpa,0.178 Mpa,0.207 Mpa,0.106 Mpa,,2.77%,8.08%,2.65%,2.75%,3.89%,4.39%,4.98%,5.49%,3.01%,
2026-06-21 07:00:00,0.114 Mpa,0.215 Mpa,0.187 Mpa,0.0669 Mpa,0.115 Mpa,0.110 Mpa,0.184 Mpa,0.138 Mpa,0.0559 Mpa,,3.57%,7.00%,5.97%,1.83%,4.10%,3.44%,5.22%,3.69%,1.47%,
2026-06-21 09:00:00,0.116 Mpa,0.212 Mpa,0.106 Mpa,0.102 Mpa,0.0749 Mpa,0.117 Mpa,0.323 Mpa,0.0968 Mpa,0.0644 Mpa,,3.57%,7.05%,3.54%,3.07%,2.85%,3.57%,9.40%,2.36%,1.87%,
2026-06-21 11:00:00,0.159 Mpa,0.115 Mpa,0.0966 Mpa,0.100 Mpa,0.0380 Mpa,0.307 Mpa,0.128 Mpa,0.0533 Mpa,0.102 Mpa,,5.07%,3.77%,3.40%,2.97%,1.35%,9.89%,3.80%,1.44%,3.16%,
2026-06-21 13:00:00,0.182 Mpa,0.0619 Mpa,,,0 Mpa,,,,0.0657 Mpa,,5.43%,2.04%,,,0%,,,,2.57%,
2026-06-21 15:00:00,0.207 Mpa,0.181 Mpa,,,0 Mpa,0.564 Mpa,,0.0805 Mpa,0.165 Mpa,,6.60%,5.96%,,,0%,18.1%,,1.86%,5.73%,
2026-06-21 17:00:00,0.193 Mpa,0.132 Mpa,,0.0612 Mpa,0.0684 Mpa,0.0948 Mpa,0.229 Mpa,0.101 Mpa,0.150 Mpa,,5.65%,4.56%,,1.66%,2.58%,2.75%,5.94%,2.64%,4.62%,
2026-06-21 19:00:00,0.127 Mpa,0.0579 Mpa,,0.0545 Mpa,0.113 Mpa,0.0585 Mpa,0.436 Mpa,0.0690 Mpa,0.0651 Mpa,,3.84%,1.75%,,1.49%,4.32%,1.62%,12.3%,1.82%,1.93%,
2026-06-21 21:00:00,0.117 Mpa,0.106 Mpa,,0.0418 Mpa,0.0835 Mpa,0.0976 Mpa,0.572 Mpa,0.131 Mpa,0.0895 Mpa,,3.58%,3.35%,,1.15%,3.30%,3.09%,15.5%,3.69%,2.60%,
2026-06-21 23:00:00,0.189 Mpa,0.101 Mpa,0 Mpa,0.0548 Mpa,0.161 Mpa,0.0744 Mpa,0.240 Mpa,0.121 Mpa,0 Mpa,,5.50%,3.21%,0%,1.54%,5.91%,2.37%,6.83%,3.41%,0%,
2026-06-22 01:00:00,0.111 Mpa,0.140 Mpa,0.218 Mpa,0.0585 Mpa,0.0000350 Mpa,0.146 Mpa,0.140 Mpa,0.0382 Mpa,0.0147 Mpa,,3.23%,4.38%,7.21%,1.52%,0%,4.89%,3.77%,0.827%,0.444%,
2026-06-22 03:00:00,0.105 Mpa,0.117 Mpa,0.0132 Mpa,0.0991 Mpa,0.167 Mpa,0.0263 Mpa,0.149 Mpa,0.0889 Mpa,0.112 Mpa,,2.98%,3.56%,0.293%,2.81%,6.12%,0.560%,4.11%,2.30%,3.05%,
2026-06-22 05:00:00,0.149 Mpa,0.0924 Mpa,0.239 Mpa,0.0737 Mpa,0.0931 Mpa,0.0951 Mpa,0.134 Mpa,0.183 Mpa,0.107 Mpa,,5.57%,3.65%,7.82%,2.21%,3.18%,2.83%,3.69%,4.88%,3.05%,
2026-06-22 07:00:00,0.0897 Mpa,0.258 Mpa,0.0546 Mpa,0.0901 Mpa,0.389 Mpa,0.120 Mpa,0.115 Mpa,0.136 Mpa,0.0684 Mpa,,3.27%,8.67%,1.84%,2.89%,13.5%,3.51%,3.15%,3.53%,1.95%,
2026-06-22 09:00:00,0.339 Mpa,0.142 Mpa,0.0826 Mpa,0.0777 Mpa,0.175 Mpa,0.0780 Mpa,0.122 Mpa,0.165 Mpa,0.0914 Mpa,,10.0%,4.76%,2.67%,2.81%,6.19%,2.16%,3.38%,4.62%,2.84%,
2026-06-22 11:00:00,1.32 Mpa,0.145 Mpa,0.238 Mpa,0.217 Mpa,0.171 Mpa,0.128 Mpa,0.132 Mpa,0.253 Mpa,0.0784 Mpa,,36.8%,4.96%,9.13%,6.59%,5.99%,3.93%,3.85%,7.09%,2.37%,
2026-06-22 13:00:00,0.461 Mpa,0.153 Mpa,0.0329 Mpa,0.0714 Mpa,0.0774 Mpa,0.0773 Mpa,0.0723 Mpa,0.242 Mpa,0.183 Mpa,,14.0%,4.95%,1.61%,2.09%,2.68%,2.05%,2.09%,6.69%,6.08%,
2026-06-22 15:00:00,0.274 Mpa,0.0934 Mpa,0.0900 Mpa,0.0749 Mpa,0.0836 Mpa,0.154 Mpa,0.0976 Mpa,0.227 Mpa,0.135 Mpa,,8.64%,2.97%,4.24%,2.50%,3.10%,4.64%,2.72%,7.44%,4.24%,
2026-06-22 17:00:00,0.151 Mpa,0.195 Mpa,0.101 Mpa,0.0492 Mpa,0.0837 Mpa,0.102 Mpa,0.121 Mpa,0.220 Mpa,0.102 Mpa,,4.76%,6.11%,3.90%,1.49%,2.96%,3.13%,3.44%,6.26%,3.13%,
2026-06-22 19:00:00,0.286 Mpa,0.0895 Mpa,0.252 Mpa,0.143 Mpa,0.103 Mpa,0.0490 Mpa,0.0530 Mpa,0.133 Mpa,0.0540 Mpa,,9.18%,2.92%,8.02%,4.14%,3.68%,1.51%,1.43%,3.45%,1.44%,
2026-06-22 21:00:00,0.302 Mpa,0.0990 Mpa,0.112 Mpa,0.00373 Mpa,0.126 Mpa,0 Mpa,0.148 Mpa,0.120 Mpa,0.110 Mpa,,8.91%,3.08%,3.66%,0.179%,4.79%,0%,4.08%,3.36%,3.60%,
2026-06-22 23:00:00,0.316 Mpa,0.194 Mpa,0.0893 Mpa,0.0760 Mpa,0.225 Mpa,,0.107 Mpa,0.0831 Mpa,0.0906 Mpa,,9.66%,5.92%,2.80%,2.15%,8.20%,,3.02%,2.05%,2.70%,
2026-06-23 01:00:00,0 Mpa,0 Mpa,0.0578 Mpa,0.108 Mpa,0.130 Mpa,0.0937 Mpa,0.0526 Mpa,0.184 Mpa,0.117 Mpa,,0%,0%,1.79%,3.07%,4.85%,2.15%,1.36%,4.84%,3.34%,
2026-06-23 03:00:00,0.101 Mpa,2.30 Mpa,0.0390 Mpa,0.0697 Mpa,0.0337 Mpa,0.148 Mpa,0.218 Mpa,0.0891 Mpa,0.0855 Mpa,,3.05%,65.1%,1.23%,1.96%,1.23%,3.83%,6.23%,2.38%,2.45%,
2026-06-23 05:00:00,0.107 Mpa,0.0637 Mpa,0.0315 Mpa,0.0732 Mpa,0.0801 Mpa,0.0693 Mpa,0.130 Mpa,0.111 Mpa,0.0872 Mpa,,3.05%,2.06%,0.874%,2.10%,3.02%,1.79%,3.60%,2.88%,2.59%,
2026-06-23 07:00:00,0.152 Mpa,0.100 Mpa,0.0314 Mpa,0.0864 Mpa,0.0676 Mpa,0.0435 Mpa,0.105 Mpa,0.0844 Mpa,0.106 Mpa,,4.19%,3.40%,1.07%,3.00%,2.58%,1.26%,2.97%,2.36%,3.01%,
2026-06-23 09:00:00,0.265 Mpa,0.102 Mpa,0.356 Mpa,0.0640 Mpa,0.0712 Mpa,0.0733 Mpa,0.0951 Mpa,0.125 Mpa,0.188 Mpa,,8.09%,3.51%,11.0%,2.42%,2.62%,2.28%,2.66%,3.20%,5.77%,
2026-06-23 11:00:00,0.105 Mpa,0.240 Mpa,0.0472 Mpa,0.0823 Mpa,0.0881 Mpa,0.0605 Mpa,0.132 Mpa,0.219 Mpa,0.170 Mpa,,3.32%,7.65%,1.48%,3.21%,3.37%,1.91%,3.67%,6.00%,5.08%,
2026-06-23 13:00:00,0.0513 Mpa,0.179 Mpa,0.0524 Mpa,0.0588 Mpa,0.0765 Mpa,0.0518 Mpa,0.0877 Mpa,0.0749 Mpa,0.0976 Mpa,,1.81%,6.04%,1.68%,1.61%,2.86%,1.65%,2.43%,1.54%,2.91%,
2026-06-23 15:00:00,0.167 Mpa,0.157 Mpa,0.0591 Mpa,0.0634 Mpa,0.0676 Mpa,0.184 Mpa,0.0638 Mpa,0.113 Mpa,0.114 Mpa,,5.49%,5.37%,1.83%,1.80%,2.47%,5.47%,1.78%,3.07%,3.42%,
2026-06-23 17:00:00,0.110 Mpa,0.0694 Mpa,0.138 Mpa,0.0690 Mpa,0.0729 Mpa,0.0725 Mpa,0.0717 Mpa,0.178 Mpa,0.130 Mpa,,3.32%,2.30%,4.30%,2.05%,2.73%,2.98%,2.06%,5.29%,4.10%,
2026-06-23 19:00:00,0.117 Mpa,0.126 Mpa,0.182 Mpa,0.0456 Mpa,0.0905 Mpa,0.125 Mpa,0.0452 Mpa,0.228 Mpa,0.0740 Mpa,,3.73%,4.43%,5.74%,1.57%,3.22%,3.75%,1.23%,6.63%,2.32%,
2026-06-23 21:00:00,0.0288 Mpa,0.113 Mpa,0.147 Mpa,0.144 Mpa,0.0856 Mpa,0.165 Mpa,0.339 Mpa,0.172 Mpa,0.0604 Mpa,,1.08%,3.82%,4.85%,4.44%,2.95%,4.85%,9.22%,4.82%,1.93%,
2026-06-23 23:00:00,0.217 Mpa,0.191 Mpa,0.131 Mpa,0.120 Mpa,0.102 Mpa,0.171 Mpa,0.0514 Mpa,0.112 Mpa,0.161 Mpa,,6.58%,6.32%,4.35%,3.40%,3.62%,5.09%,1.40%,2.60%,4.86%,
2026-06-24 01:00:00,0.111 Mpa,0.0783 Mpa,0.163 Mpa,0.0560 Mpa,0.0903 Mpa,0.353 Mpa,0.0403 Mpa,0.0516 Mpa,0.374 Mpa,,3.54%,2.49%,5.73%,1.52%,3.05%,10.8%,1.15%,1.16%,10.9%,
2026-06-24 03:00:00,0.156 Mpa,0.253 Mpa,0.0406 Mpa,0.0389 Mpa,0.116 Mpa,0.109 Mpa,0.174 Mpa,0.0993 Mpa,0.130 Mpa,,4.65%,7.86%,1.34%,1.46%,4.16%,2.95%,4.56%,2.69%,4.30%,
2026-06-24 05:00:00,0.233 Mpa,0.0719 Mpa,0.138 Mpa,0.0494 Mpa,0.229 Mpa,0.0668 Mpa,0.0748 Mpa,0.100 Mpa,0.139 Mpa,,6.94%,2.53%,4.47%,2.68%,8.12%,1.48%,1.96%,2.73%,4.20%,
2026-06-24 07:00:00,0.136 Mpa,0.154 Mpa,0.0576 Mpa,0.102 Mpa,0.0997 Mpa,0.195 Mpa,0.179 Mpa,0.0726 Mpa,0.135 Mpa,,4.16%,5.06%,1.84%,4.10%,3.73%,5.49%,4.83%,1.67%,4.04%,
2026-06-24 09:00:00,0.185 Mpa,0.155 Mpa,0.0585 Mpa,0.146 Mpa,0.107 Mpa,0.0788 Mpa,0.226 Mpa,0.149 Mpa,0.104 Mpa,,5.54%,5.48%,1.98%,5.40%,3.98%,1.81%,6.06%,4.06%,3.09%,
2026-06-24 11:00:00,0.216 Mpa,0.260 Mpa,0.0730 Mpa,0.108 Mpa,0.108 Mpa,0.0445 Mpa,0.0887 Mpa,0.146 Mpa,0.106 Mpa,,6.33%,8.20%,2.47%,3.29%,3.82%,1.38%,2.40%,3.84%,3.26%,
2026-06-24 13:00:00,0.268 Mpa,0.0612 Mpa,0.0646 Mpa,0.174 Mpa,0.183 Mpa,0.0561 Mpa,0.251 Mpa,0.433 Mpa,0.0606 Mpa,,7.81%,2.06%,1.99%,5.20%,7.33%,1.90%,6.98%,12.7%,1.64%,
2026-06-24 15:00:00,0.164 Mpa,0.0484 Mpa,0.0527 Mpa,0.193 Mpa,0.0918 Mpa,0.0552 Mpa,0.165 Mpa,0.0743 Mpa,0.0922 Mpa,,4.90%,1.65%,1.54%,6.19%,3.67%,1.73%,4.67%,1.70%,2.83%,
2026-06-24 17:00:00,0.111 Mpa,0.180 Mpa,0.129 Mpa,0.129 Mpa,0.231 Mpa,0.0377 Mpa,0.131 Mpa,0.168 Mpa,0.0773 Mpa,,3.47%,5.70%,4.17%,4.03%,8.37%,1.69%,3.63%,4.38%,2.39%,
2026-06-24 19:00:00,0.129 Mpa,0.0701 Mpa,0.0395 Mpa,0.0555 Mpa,0.00768 Mpa,0.153 Mpa,0.0965 Mpa,0.0717 Mpa,0.0535 Mpa,,3.97%,2.55%,1.31%,1.79%,0.237%,4.84%,2.89%,1.56%,1.65%,
2026-06-24 21:00:00,0.110 Mpa,0.131 Mpa,0.0774 Mpa,0.0467 Mpa,0.0497 Mpa,0.0978 Mpa,0.172 Mpa,0.0845 Mpa,0.0388 Mpa,,3.43%,4.41%,2.66%,1.53%,1.76%,2.94%,4.75%,1.87%,1.08%,
2026-06-24 23:00:00,0.110 Mpa,0.133 Mpa,0.188 Mpa,0.173 Mpa,0.0999 Mpa,0.0872 Mpa,0.142 Mpa,0.118 Mpa,0.172 Mpa,,3.41%,4.94%,6.55%,5.25%,3.66%,2.64%,3.93%,3.00%,5.12%,
2026-06-25 01:00:00,0.0800 Mpa,0.0715 Mpa,0.184 Mpa,0.0146 Mpa,0.0853 Mpa,0.0905 Mpa,0.0618 Mpa,0.163 Mpa,0.0492 Mpa,,2.34%,2.64%,5.34%,0.337%,3.11%,2.36%,1.79%,4.69%,1.45%,
2026-06-25 03:00:00,0.166 Mpa,0.0584 Mpa,0.0511 Mpa,0.0202 Mpa,0.152 Mpa,0.0847 Mpa,0.224 Mpa,,0.127 Mpa,,5.38%,2.08%,1.42%,0.615%,4.77%,2.59%,6.37%,,4.25%,
2026-06-25 05:00:00,0.133 Mpa,0.120 Mpa,0.0969 Mpa,0.0458 Mpa,0.106 Mpa,0.0871 Mpa,0.117 Mpa,0.202 Mpa,0.0967 Mpa,,4.07%,4.04%,2.82%,1.32%,3.96%,2.47%,3.25%,5.63%,3.31%,
2026-06-25 07:00:00,0.0514 Mpa,0.0754 Mpa,0 Mpa,0.0634 Mpa,0.0994 Mpa,0.0788 Mpa,0.103 Mpa,0.0822 Mpa,0.0807 Mpa,,1.41%,2.62%,0%,2.19%,3.95%,1.56%,3.17%,2.17%,2.35%,
2026-06-25 09:00:00,0.0910 Mpa,0.0808 Mpa,0 Mpa,0.162 Mpa,0.104 Mpa,0.130 Mpa,0.118 Mpa,0.115 Mpa,0.0492 Mpa,,2.78%,2.64%,0%,4.82%,3.91%,3.53%,3.39%,3.25%,1.33%,
