"Time","P_FW - I45","P_FW - I49","P_FW - I50","P_FW - I52","P_FW - I53","P_FW - I54","P_FW - I55","P_FW - I56","P_FW - I57","P_FW - I58"
2026-07-03 22:00:00,0.212 Mpa,0.0742 Mpa,0.0927 Mpa,0.142 Mpa,0.241 Mpa,0.0748 Mpa,0.127 Mpa,0.132 Mpa,0.0667 Mpa,0.00851 Mpa
2026-07-04 01:00:00,0.105 Mpa,0.155 Mpa,0.101 Mpa,0.0355 Mpa,0.0549 Mpa,0.0932 Mpa,0.0708 Mpa,0.128 Mpa,0.0471 Mpa,0.00436 Mpa
2026-07-04 04:00:00,0.0670 Mpa,0.0838 Mpa,0.0496 Mpa,0.106 Mpa,,0.0404 Mpa,0.329 Mpa,0.119 Mpa,0.0815 Mpa,0.0438 Mpa
2026-07-04 07:00:00,0.130 Mpa,0.000511 Mpa,0.122 Mpa,0.123 Mpa,,0.130 Mpa,0.0893 Mpa,0.0802 Mpa,0.142 Mpa,0.0682 Mpa
2026-07-04 10:00:00,0.187 Mpa,,0.0450 Mpa,0.132 Mpa,0.406 Mpa,0.104 Mpa,0.137 Mpa,0.107 Mpa,0.162 Mpa,0.0518 Mpa
2026-07-04 13:00:00,,,0.0895 Mpa,0.0696 Mpa,,0.150 Mpa,0.110 Mpa,0.136 Mpa,,0.0000897 Mpa
2026-07-04 16:00:00,0.217 Mpa,,0.130 Mpa,0.117 Mpa,,0.120 Mpa,0.139 Mpa,0.183 Mpa,0.0713 Mpa,0.0386 Mpa
2026-07-04 19:00:00,0.168 Mpa,,0.103 Mpa,0.0966 Mpa,,0.0652 Mpa,0.151 Mpa,0.121 Mpa,0.0535 Mpa,0.0844 Mpa
2026-07-04 22:00:00,0.123 Mpa,,0.156 Mpa,0.0885 Mpa,,0.0762 Mpa,0.117 Mpa,0.148 Mpa,0.0614 Mpa,0.143 Mpa
2026-07-05 01:00:00,0.0691 Mpa,,0.484 Mpa,0.0359 Mpa,,0.0695 Mpa,0.0449 Mpa,0.0692 Mpa,0.0813 Mpa,0.0632 Mpa
2026-07-05 04:00:00,0.0746 Mpa,0.114 Mpa,,0.105 Mpa,0.176 Mpa,0.0700 Mpa,0.0948 Mpa,0.0892 Mpa,0.178 Mpa,0.122 Mpa
2026-07-05 07:00:00,0.127 Mpa,0.159 Mpa,0.312 Mpa,0.0415 Mpa,,0.107 Mpa,0.0854 Mpa,0.118 Mpa,0.133 Mpa,0.0292 Mpa
2026-07-05 10:00:00,0.152 Mpa,0.101 Mpa,,0.0645 Mpa,0.102 Mpa,0.155 Mpa,0.0881 Mpa,0.113 Mpa,0.179 Mpa,0.0657 Mpa
2026-07-05 13:00:00,0.132 Mpa,0.0528 Mpa,,0.0828 Mpa,0.221 Mpa,0.102 Mpa,0.0423 Mpa,0.174 Mpa,0.134 Mpa,0.174 Mpa
2026-07-05 16:00:00,0.137 Mpa,0.183 Mpa,,0.0767 Mpa,0.166 Mpa,0.0613 Mpa,0.0811 Mpa,0.142 Mpa,0.0837 Mpa,0.0652 Mpa
2026-07-05 19:00:00,0.251 Mpa,0.144 Mpa,0 Mpa,0.0924 Mpa,0.173 Mpa,0.172 Mpa,0.0971 Mpa,0.134 Mpa,0.207 Mpa,0.150 Mpa
2026-07-05 22:00:00,0.123 Mpa,0.0476 Mpa,0.0594 Mpa,0.0820 Mpa,0.0940 Mpa,0.0846 Mpa,0.130 Mpa,0.110 Mpa,0.0953 Mpa,0.0908 Mpa
2026-07-06 01:00:00,0.136 Mpa,0.0730 Mpa,0.0440 Mpa,0.0846 Mpa,0.152 Mpa,0.00314 Mpa,0.101 Mpa,0.0862 Mpa,0.196 Mpa,0.134 Mpa
2026-07-06 04:00:00,0.129 Mpa,0.0752 Mpa,0.185 Mpa,0.101 Mpa,0.103 Mpa,0.0619 Mpa,0.116 Mpa,0.106 Mpa,,0.0875 Mpa
2026-07-06 07:00:00,0.200 Mpa,0.125 Mpa,0.122 Mpa,0.0862 Mpa,0.110 Mpa,0.0994 Mpa,0.103 Mpa,0.0846 Mpa,0.138 Mpa,0.0795 Mpa
2026-07-06 10:00:00,0.174 Mpa,0.234 Mpa,0.112 Mpa,0.0632 Mpa,0.107 Mpa,0.0518 Mpa,0.0866 Mpa,0.176 Mpa,,0.0960 Mpa
2026-07-06 13:00:00,0.116 Mpa,0.225 Mpa,0.109 Mpa,0.0586 Mpa,0.161 Mpa,0.162 Mpa,0.0906 Mpa,0.130 Mpa,,0.0997 Mpa
2026-07-06 16:00:00,0.102 Mpa,0.126 Mpa,0.108 Mpa,0.104 Mpa,0.110 Mpa,0.130 Mpa,0.0858 Mpa,0.0955 Mpa,,0.115 Mpa
2026-07-06 19:00:00,0.0910 Mpa,0.0707 Mpa,0.138 Mpa,0.0650 Mpa,0.180 Mpa,0.222 Mpa,0.103 Mpa,0.0770 Mpa,,0.137 Mpa
2026-07-06 22:00:00,0.122 Mpa,0.0556 Mpa,0.128 Mpa,0.0444 Mpa,0.133 Mpa,0.151 Mpa,0.139 Mpa,0.0856 Mpa,0.0768 Mpa,0.103 Mpa
2026-07-07 01:00:00,0.000818 Mpa,0.0868 Mpa,0.263 Mpa,0 Mpa,0.0636 Mpa,0.0454 Mpa,0.0998 Mpa,0.0971 Mpa,0.0879 Mpa,0.171 Mpa
2026-07-07 04:00:00,0.102 Mpa,0.0380 Mpa,0.0990 Mpa,0.0903 Mpa,0.0657 Mpa,0.0949 Mpa,0.121 Mpa,0.137 Mpa,0.0950 Mpa,0.0996 Mpa
2026-07-07 07:00:00,0.139 Mpa,0.126 Mpa,0.0665 Mpa,0.125 Mpa,0.0890 Mpa,0.113 Mpa,0.0671 Mpa,0.102 Mpa,0.115 Mpa,0.106 Mpa
2026-07-07 10:00:00,0.120 Mpa,0.0291 Mpa,0.0481 Mpa,0.0707 Mpa,0.147 Mpa,0.0946 Mpa,0.241 Mpa,0.171 Mpa,0.0299 Mpa,0.0774 Mpa
2026-07-07 13:00:00,0.149 Mpa,0.163 Mpa,0.0766 Mpa,0.0677 Mpa,0.761 Mpa,0.252 Mpa,0.155 Mpa,0.143 Mpa,0.0709 Mpa,0.0127 Mpa
2026-07-07 16:00:00,0.218 Mpa,0.196 Mpa,0.0628 Mpa,0.121 Mpa,,0.101 Mpa,0.144 Mpa,0.195 Mpa,0.0389 Mpa,0.0934 Mpa
2026-07-07 19:00:00,0.0905 Mpa,0.112 Mpa,0.00629 Mpa,0.0528 Mpa,0.362 Mpa,0.180 Mpa,0.0680 Mpa,0.136 Mpa,0.124 Mpa,0.0860 Mpa
2026-07-07 22:00:00,0.174 Mpa,0.0841 Mpa,0.00719 Mpa,0.121 Mpa,0.145 Mpa,0.257 Mpa,0.131 Mpa,0.107 Mpa,0.300 Mpa,0.101 Mpa
2026-07-08 01:00:00,0.129 Mpa,0.133 Mpa,0.000133 Mpa,0.0300 Mpa,0.105 Mpa,0.280 Mpa,0.161 Mpa,0.108 Mpa,0.135 Mpa,0.187 Mpa
2026-07-08 04:00:00,0.124 Mpa,0.122 Mpa,0.0287 Mpa,0.0424 Mpa,0.0515 Mpa,0.228 Mpa,0.0436 Mpa,0.147 Mpa,0.101 Mpa,0.0686 Mpa
2026-07-08 07:00:00,0.130 Mpa,0.00705 Mpa,0.00456 Mpa,0.0706 Mpa,0.0666 Mpa,0.135 Mpa,0.286 Mpa,0.144 Mpa,0.0671 Mpa,0.116 Mpa
2026-07-08 10:00:00,0.194 Mpa,0.0831 Mpa,0.0343 Mpa,0.402 Mpa,0.101 Mpa,0.0968 Mpa,0.0558 Mpa,0.117 Mpa,0.141 Mpa,0.0449 Mpa
2026-07-08 13:00:00,0.0392 Mpa,0.0479 Mpa,0.00878 Mpa,0.0639 Mpa,0.0968 Mpa,0.0895 Mpa,0.103 Mpa,0.181 Mpa,0.0779 Mpa,0.154 Mpa
2026-07-08 16:00:00,0.0963 Mpa,0.0546 Mpa,0.0724 Mpa,0.219 Mpa,0.163 Mpa,0.127 Mpa,0.119 Mpa,0.0968 Mpa,0.0706 Mpa,0.0857 Mpa
2026-07-08 19:00:00,0.0878 Mpa,0.0583 Mpa,0.0502 Mpa,0.180 Mpa,0.189 Mpa,0.000369 Mpa,0.161 Mpa,0.0577 Mpa,0.118 Mpa,0.0535 Mpa
2026-07-08 22:00:00,0.101 Mpa,0.0973 Mpa,0.0821 Mpa,0.0374 Mpa,0.128 Mpa,0.0973 Mpa,0.0755 Mpa,0.111 Mpa,0.106 Mpa,0.0553 Mpa
2026-07-09 01:00:00,0.181 Mpa,0.0792 Mpa,0.132 Mpa,0.0984 Mpa,0.159 Mpa,0.122 Mpa,0.236 Mpa,0.0632 Mpa,0.00671 Mpa,0.0771 Mpa
2026-07-09 04:00:00,0.136 Mpa,0.129 Mpa,0.0451 Mpa,0.102 Mpa,0.0751 Mpa,0.0825 Mpa,0.124 Mpa,0.114 Mpa,0.104 Mpa,0.150 Mpa
2026-07-09 07:00:00,0.153 Mpa,0.138 Mpa,0.112 Mpa,0.143 Mpa,0.145 Mpa,0.0902 Mpa,0.0454 Mpa,0.110 Mpa,0.136 Mpa,0.114 Mpa
2026-07-09 10:00:00,0.141 Mpa,0.0613 Mpa,0.147 Mpa,0.194 Mpa,0.135 Mpa,0.0804 Mpa,0.0584 Mpa,0.128 Mpa,0.117 Mpa,0.0370 Mpa
2026-07-09 13:00:00,0.267 Mpa,0.0733 Mpa,0.108 Mpa,0.118 Mpa,0.100 Mpa,0.0677 Mpa,0.270 Mpa,0.150 Mpa,0.111 Mpa,0.0752 Mpa
2026-07-09 16:00:00,0.0641 Mpa,0.0834 Mpa,0.0622 Mpa,0.223 Mpa,0.110 Mpa,0.142 Mpa,0.0472 Mpa,0.231 Mpa,0.0890 Mpa,0.0966 Mpa
2026-07-09 19:00:00,0.0642 Mpa,0.0571 Mpa,0.142 Mpa,0.128 Mpa,0.130 Mpa,0.0991 Mpa,0.330 Mpa,0.159 Mpa,0.115 Mpa,0.0727 Mpa
2026-07-09 22:00:00,0.121 Mpa,0.127 Mpa,0.142 Mpa,0.128 Mpa,0.0890 Mpa,0.176 Mpa,0.175 Mpa,0.164 Mpa,0.132 Mpa,0.0713 Mpa
2026-07-10 01:00:00,0.0568 Mpa,0.277 Mpa,0.0671 Mpa,0.0735 Mpa,0.167 Mpa,0.132 Mpa,0.168 Mpa,0.131 Mpa,0.0779 Mpa,0.106 Mpa
2026-07-10 04:00:00,0.0956 Mpa,0.155 Mpa,0.118 Mpa,0.139 Mpa,0.160 Mpa,0.133 Mpa,0.110 Mpa,0.0765 Mpa,0.0771 Mpa,0.0650 Mpa
2026-07-10 07:00:00,0.195 Mpa,0.127 Mpa,0.153 Mpa,0.187 Mpa,0.115 Mpa,0.153 Mpa,0.130 Mpa,0.103 Mpa,0.157 Mpa,0.0991 Mpa
2026-07-10 10:00:00,0.172 Mpa,0.119 Mpa,0.147 Mpa,0.0700 Mpa,0.104 Mpa,0.0949 Mpa,0.0553 Mpa,0.0835 Mpa,0.0585 Mpa,0.266 Mpa
2026-07-10 13:00:00,0.134 Mpa,0.111 Mpa,0.0631 Mpa,0.281 Mpa,0.624 Mpa,0.219 Mpa,0.195 Mpa,0.181 Mpa,0.103 Mpa,0.0519 Mpa
2026-07-10 16:00:00,0.0639 Mpa,0.0994 Mpa,0.0886 Mpa,0.112 Mpa,0.122 Mpa,0.182 Mpa,0.135 Mpa,0.147 Mpa,0.0589 Mpa,0.0732 Mpa
2026-07-10 19:00:00,0.0528 Mpa,0.642 Mpa,0.0904 Mpa,0.123 Mpa,0.0962 Mpa,0.191 Mpa,0.00707 Mpa,0.0704 Mpa,0.0377 Mpa,0.0761 Mpa
2026-07-10 22:00:00,0.0948 Mpa,0.0475 Mpa,0.0619 Mpa,0.0954 Mpa,0.0722 Mpa,0.183 Mpa,0.171 Mpa,0.193 Mpa,0.0794 Mpa,0.0761 Mpa
2026-07-11 01:00:00,0.0427 Mpa,0.0766 Mpa,0.0923 Mpa,0.0630 Mpa,0.103 Mpa,0.217 Mpa,0.0906 Mpa,0.102 Mpa,0.0389 Mpa,0.0571 Mpa
2026-07-11 04:00:00,0.122 Mpa,0.148 Mpa,0.119 Mpa,0.152 Mpa,0.0817 Mpa,0.203 Mpa,0.0927 Mpa,0.127 Mpa,0.0614 Mpa,0.112 Mpa
2026-07-11 07:00:00,0.127 Mpa,0.0757 Mpa,0.123 Mpa,0.282 Mpa,0.0520 Mpa,0.121 Mpa,0.0520 Mpa,0.221 Mpa,0.0840 Mpa,0.124 Mpa
2026-07-11 10:00:00,0.132 Mpa,0.0668 Mpa,0.212 Mpa,0.199 Mpa,0.0780 Mpa,0.113 Mpa,0.127 Mpa,0.0868 Mpa,0.120 Mpa,0.0842 Mpa
2026-07-11 13:00:00,0.170 Mpa,0.0532 Mpa,0 Mpa,0.212 Mpa,0.208 Mpa,0.0373 Mpa,0.107 Mpa,0.175 Mpa,0.0870 Mpa,0.122 Mpa
2026-07-11 16:00:00,0.376 Mpa,0.0786 Mpa,0.0347 Mpa,0.242 Mpa,0.107 Mpa,0.150 Mpa,0.0649 Mpa,0.0850 Mpa,0.125 Mpa,0.176 Mpa
2026-07-11 19:00:00,,0.112 Mpa,0.205 Mpa,0.0677 Mpa,0.0643 Mpa,0.122 Mpa,0.107 Mpa,0.201 Mpa,0 Mpa,0.125 Mpa
2026-07-11 22:00:00,0.0308 Mpa,0.183 Mpa,0.0462 Mpa,0.166 Mpa,0.0885 Mpa,0.0900 Mpa,0.127 Mpa,0.150 Mpa,0.192 Mpa,0.160 Mpa
2026-07-12 01:00:00,,0.241 Mpa,0.0834 Mpa,0.0564 Mpa,0.117 Mpa,0.0921 Mpa,0.0739 Mpa,0.149 Mpa,0.0778 Mpa,0.0154 Mpa
2026-07-12 04:00:00,,0.241 Mpa,0.148 Mpa,0.0508 Mpa,0.0988 Mpa,0.517 Mpa,0.211 Mpa,0.101 Mpa,0.0930 Mpa,0.101 Mpa
2026-07-12 07:00:00,,0.0741 Mpa,0 Mpa,0.0915 Mpa,0.264 Mpa,0.0795 Mpa,0.0808 Mpa,0.0664 Mpa,0.0654 Mpa,0.118 Mpa
2026-07-12 10:00:00,,0.0937 Mpa,0.00207 Mpa,0.113 Mpa,0.166 Mpa,0.0653 Mpa,0.0640 Mpa,0.107 Mpa,0.106 Mpa,0.156 Mpa
2026-07-12 13:00:00,,0.0458 Mpa,0.205 Mpa,0.0531 Mpa,0.237 Mpa,0.227 Mpa,0.0707 Mpa,0.0787 Mpa,0.0772 Mpa,0.105 Mpa
2026-07-12 16:00:00,,0.227 Mpa,0.107 Mpa,0.0696 Mpa,0.238 Mpa,0.164 Mpa,0.0806 Mpa,0.105 Mpa,0.0680 Mpa,0.177 Mpa
2026-07-12 19:00:00,,0.250 Mpa,0.0918 Mpa,0.0969 Mpa,0.0844 Mpa,0.115 Mpa,0.0720 Mpa,0.0818 Mpa,0.105 Mpa,0.0945 Mpa
2026-07-12 22:00:00,,0.123 Mpa,0.176 Mpa,0.130 Mpa,0.0753 Mpa,0.188 Mpa,0.254 Mpa,0.0924 Mpa,0.0782 Mpa,0.0727 Mpa
2026-07-13 01:00:00,,0.0968 Mpa,0.109 Mpa,0.0819 Mpa,0.113 Mpa,0.122 Mpa,0.0924 Mpa,0.0909 Mpa,0.0745 Mpa,0.104 Mpa
2026-07-13 04:00:00,0.000222 Mpa,0.150 Mpa,0.0999 Mpa,0.0775 Mpa,0.0864 Mpa,0.131 Mpa,0.0941 Mpa,0.110 Mpa,0.189 Mpa,0.0689 Mpa
2026-07-13 07:00:00,0.0388 Mpa,0.124 Mpa,0.158 Mpa,0.167 Mpa,0.151 Mpa,0.0501 Mpa,0.0736 Mpa,0.117 Mpa,0.154 Mpa,0.124 Mpa
2026-07-13 10:00:00,0.0414 Mpa,0.271 Mpa,0.158 Mpa,0.175 Mpa,0.110 Mpa,0.0695 Mpa,0.0620 Mpa,0.130 Mpa,0.0971 Mpa,0.270 Mpa
2026-07-13 13:00:00,0.0676 Mpa,0.0789 Mpa,0.147 Mpa,0.112 Mpa,0.137 Mpa,0.0831 Mpa,0.147 Mpa,0.201 Mpa,0.0863 Mpa,0.135 Mpa
2026-07-13 16:00:00,0.0891 Mpa,0.205 Mpa,0.0486 Mpa,0.0725 Mpa,0.0457 Mpa,0.166 Mpa,0.0717 Mpa,0.200 Mpa,0.121 Mpa,0.190 Mpa
2026-07-13 19:00:00,0.0355 Mpa,0.166 Mpa,0.0959 Mpa,0.154 Mpa,0.0937 Mpa,0.184 Mpa,0.0856 Mpa,0.102 Mpa,0.141 Mpa,0.120 Mpa
2026-07-13 22:00:00,0.177 Mpa,0.127 Mpa,0.294 Mpa,0.102 Mpa,0.0994 Mpa,0.120 Mpa,0.108 Mpa,0.0567 Mpa,0.149 Mpa,0.137 Mpa
2026-07-14 01:00:00,0.0476 Mpa,0.173 Mpa,0.0607 Mpa,0.115 Mpa,0.0494 Mpa,0.0608 Mpa,0.0861 Mpa,0.141 Mpa,0.220 Mpa,0.0872 Mpa
2026-07-14 04:00:00,0.0742 Mpa,0.0731 Mpa,0.132 Mpa,0.0526 Mpa,0.0939 Mpa,0.124 Mpa,0.0918 Mpa,0.126 Mpa,0.191 Mpa,0.0597 Mpa
2026-07-14 07:00:00,0.173 Mpa,0.0978 Mpa,0.0978 Mpa,0.0487 Mpa,0.124 Mpa,0.403 Mpa,0.138 Mpa,0.129 Mpa,0.0362 Mpa,0.0837 Mpa
2026-07-14 10:00:00,0.249 Mpa,0.116 Mpa,0.0670 Mpa,0.0549 Mpa,0.0747 Mpa,0.192 Mpa,0.0588 Mpa,0.0864 Mpa,0.279 Mpa,0.0824 Mpa
2026-07-14 13:00:00,0.169 Mpa,0.0559 Mpa,0.0573 Mpa,0.113 Mpa,0.167 Mpa,0.161 Mpa,0.126 Mpa,0.126 Mpa,0.153 Mpa,0.0449 Mpa
2026-07-14 16:00:00,0.112 Mpa,0.159 Mpa,0.225 Mpa,0.102 Mpa,0.190 Mpa,0.266 Mpa,0.168 Mpa,0.146 Mpa,0.0643 Mpa,0.0671 Mpa
2026-07-14 19:00:00,0.0343 Mpa,0.0795 Mpa,0.106 Mpa,0.0486 Mpa,0.111 Mpa,0.246 Mpa,0.0656 Mpa,0.0690 Mpa,0.197 Mpa,0.0839 Mpa
2026-07-14 22:00:00,0.0705 Mpa,0.0899 Mpa,0.133 Mpa,0.105 Mpa,0.149 Mpa,0.0429 Mpa,0.0362 Mpa,0.105 Mpa,0.0654 Mpa,0.0714 Mpa
2026-07-15 01:00:00,0.0534 Mpa,0.110 Mpa,0.125 Mpa,0.0524 Mpa,0.187 Mpa,0.155 Mpa,0.0593 Mpa,0.104 Mpa,0.165 Mpa,0.106 Mpa
2026-07-15 04:00:00,0.0630 Mpa,0.107 Mpa,0.0457 Mpa,0.108 Mpa,0.311 Mpa,0.0718 Mpa,0.0979 Mpa,0.128 Mpa,0.0767 Mpa,0.231 Mpa
2026-07-15 07:00:00,0.0737 Mpa,0.0649 Mpa,0.0762 Mpa,0.128 Mpa,0.417 Mpa,0.165 Mpa,0.0754 Mpa,0.119 Mpa,0.101 Mpa,0.103 Mpa
2026-07-15 10:00:00,0.133 Mpa,0.0565 Mpa,0.154 Mpa,0.105 Mpa,0.305 Mpa,0.371 Mpa,0.0732 Mpa,0.108 Mpa,0.0389 Mpa,0.158 Mpa
2026-07-15 13:00:00,0.0657 Mpa,0.275 Mpa,0.122 Mpa,0.0626 Mpa,0.309 Mpa,0.457 Mpa,0.116 Mpa,0.181 Mpa,0.0288 Mpa,0.0918 Mpa
2026-07-15 16:00:00,0.0731 Mpa,0.0768 Mpa,0.0863 Mpa,0.0989 Mpa,0.264 Mpa,0.136 Mpa,0.0642 Mpa,0.0848 Mpa,0.0653 Mpa,0.136 Mpa
2026-07-15 19:00:00,0.0693 Mpa,0.111 Mpa,0.212 Mpa,0.0679 Mpa,0.127 Mpa,0.179 Mpa,0.0652 Mpa,0.0820 Mpa,0.0768 Mpa,0.115 Mpa
2026-07-15 22:00:00,0.136 Mpa,0.0638 Mpa,0.0600 Mpa,0.0881 Mpa,0.0893 Mpa,0.270 Mpa,0.132 Mpa,0.0644 Mpa,0.0829 Mpa,0.146 Mpa
2026-07-16 01:00:00,0.0773 Mpa,0.0627 Mpa,0.330 Mpa,0.135 Mpa,0.0842 Mpa,0.0783 Mpa,0.115 Mpa,0.0919 Mpa,0.0856 Mpa,0.0669 Mpa
2026-07-16 04:00:00,0.0770 Mpa,0.104 Mpa,0.370 Mpa,0.0688 Mpa,0.165 Mpa,0.309 Mpa,0.0999 Mpa,0.0840 Mpa,0.0872 Mpa,0.0854 Mpa
2026-07-16 07:00:00,0.0685 Mpa,0.0998 Mpa,0.0502 Mpa,0.111 Mpa,0.173 Mpa,0.249 Mpa,0.0905 Mpa,0.182 Mpa,0.165 Mpa,0.0926 Mpa
2026-07-16 10:00:00,0.136 Mpa,0.0992 Mpa,0.0515 Mpa,0.0712 Mpa,0.123 Mpa,0.133 Mpa,0.0807 Mpa,0.175 Mpa,0.214 Mpa,0.118 Mpa
2026-07-16 13:00:00,0.178 Mpa,0.117 Mpa,0.111 Mpa,0.137 Mpa,0.134 Mpa,0.0985 Mpa,0.107 Mpa,0.166 Mpa,0.251 Mpa,0.229 Mpa
2026-07-16 16:00:00,0.150 Mpa,0.0746 Mpa,0.151 Mpa,0.0685 Mpa,0.210 Mpa,0.132 Mpa,0.112 Mpa,0.130 Mpa,0.210 Mpa,0.113 Mpa
2026-07-16 19:00:00,0.112 Mpa,0.144 Mpa,0.116 Mpa,0.0708 Mpa,0.310 Mpa,0.0576 Mpa,0.0626 Mpa,0.161 Mpa,0.135 Mpa,0.0694 Mpa
2026-07-16 22:00:00,0.239 Mpa,0.132 Mpa,0.125 Mpa,0.0942 Mpa,0.339 Mpa,0.341 Mpa,0.129 Mpa,0.169 Mpa,0.129 Mpa,0.0556 Mpa
2026-07-17 01:00:00,0.0727 Mpa,0.244 Mpa,0.392 Mpa,0.0476 Mpa,0.155 Mpa,0.231 Mpa,0.190 Mpa,0.137 Mpa,0.154 Mpa,0.0455 Mpa
2026-07-17 04:00:00,0.0757 Mpa,0.103 Mpa,,0.0640 Mpa,0.186 Mpa,0.0997 Mpa,0.153 Mpa,0.0553 Mpa,0.132 Mpa,0.102 Mpa
2026-07-17 07:00:00,0.101 Mpa,0.0985 Mpa,,0.125 Mpa,0.331 Mpa,0.0844 Mpa,0.167 Mpa,0.0486 Mpa,0.184 Mpa,0.107 Mpa
2026-07-17 10:00:00,0.125 Mpa,0.114 Mpa,,0.0899 Mpa,0.301 Mpa,0.200 Mpa,0.0743 Mpa,0.112 Mpa,0.153 Mpa,0.130 Mpa
2026-07-17 13:00:00,0.397 Mpa,0.101 Mpa,,0.0587 Mpa,0.285 Mpa,0.121 Mpa,0.0695 Mpa,0.250 Mpa,0.147 Mpa,0.120 Mpa
2026-07-17 16:00:00,0.0780 Mpa,0.0831 Mpa,0 Mpa,0.101 Mpa,0.217 Mpa,0.0985 Mpa,0.110 Mpa,0.152 Mpa,0.142 Mpa,0.118 Mpa
2026-07-17 19:00:00,0.105 Mpa,0.201 Mpa,0 Mpa,0.0624 Mpa,0.180 Mpa,0.278 Mpa,0.0909 Mpa,0.0992 Mpa,0.122 Mpa,0.0850 Mpa
2026-07-17 22:00:00,0.185 Mpa,0.117 Mpa,0.0000361 Mpa,0.0631 Mpa,0.124 Mpa,0.241 Mpa,0.126 Mpa,0.103 Mpa,0.137 Mpa,0.0838 Mpa
2026-07-18 01:00:00,0.0923 Mpa,0.142 Mpa,0.197 Mpa,0.170 Mpa,0.0642 Mpa,0.212 Mpa,0.0799 Mpa,0.0714 Mpa,0.143 Mpa,0.0807 Mpa
2026-07-18 04:00:00,0.115 Mpa,0.156 Mpa,0.215 Mpa,0.108 Mpa,0.276 Mpa,0.162 Mpa,,0.0774 Mpa,0.148 Mpa,0.0825 Mpa
2026-07-18 07:00:00,0.0965 Mpa,0.214 Mpa,0.152 Mpa,0.151 Mpa,0.226 Mpa,0.113 Mpa,,0.211 Mpa,0.0922 Mpa,0.0933 Mpa
2026-07-18 10:00:00,0.149 Mpa,0.0888 Mpa,0.103 Mpa,0.118 Mpa,0.284 Mpa,0.0953 Mpa,0.138 Mpa,0.116 Mpa,0.0723 Mpa,0.0913 Mpa
2026-07-18 13:00:00,0.129 Mpa,0.0968 Mpa,0.0577 Mpa,0.0898 Mpa,0.0905 Mpa,0.151 Mpa,,0.170 Mpa,0.106 Mpa,0.0346 Mpa
2026-07-18 16:00:00,0.131 Mpa,0.174 Mpa,0.0613 Mpa,0.107 Mpa,0.0929 Mpa,0.134 Mpa,,0.0971 Mpa,0.116 Mpa,0.0847 Mpa
2026-07-18 19:00:00,0.126 Mpa,0.0443 Mpa,0.0846 Mpa,0.0738 Mpa,0.119 Mpa,0.309 Mpa,,0.0869 Mpa,0.146 Mpa,0.0834 Mpa
2026-07-18 22:00:00,0.0656 Mpa,0.108 Mpa,0.186 Mpa,0.0936 Mpa,0.0907 Mpa,0.102 Mpa,,0.147 Mpa,0.152 Mpa,0.0916 Mpa
2026-07-19 01:00:00,0.0865 Mpa,0.133 Mpa,,0.0425 Mpa,0.0820 Mpa,0.0511 Mpa,0.0310 Mpa,0.119 Mpa,0.127 Mpa,0.0999 Mpa
2026-07-19 04:00:00,0.0950 Mpa,0.111 Mpa,0.0745 Mpa,0.112 Mpa,0.0715 Mpa,0.156 Mpa,0.101 Mpa,0.0836 Mpa,0.104 Mpa,0.106 Mpa
2026-07-19 07:00:00,0.123 Mpa,0.102 Mpa,0.487 Mpa,0.0284 Mpa,0.0605 Mpa,0.0910 Mpa,0.114 Mpa,0.0731 Mpa,0.103 Mpa,0.134 Mpa
2026-07-19 10:00:00,0.111 Mpa,0.0702 Mpa,0.560 Mpa,0.0310 Mpa,0.0674 Mpa,0.112 Mpa,0.164 Mpa,0.212 Mpa,0.0851 Mpa,0.179 Mpa
2026-07-19 13:00:00,0.140 Mpa,0.0385 Mpa,0.0881 Mpa,0.0872 Mpa,0.0639 Mpa,0.0778 Mpa,0.135 Mpa,0.165 Mpa,0.0996 Mpa,0.124 Mpa
2026-07-19 16:00:00,0.153 Mpa,0.0554 Mpa,0.193 Mpa,0.0835 Mpa,0.116 Mpa,0.0823 Mpa,0.111 Mpa,0.118 Mpa,0.250 Mpa,0.0585 Mpa
2026-07-19 19:00:00,0.117 Mpa,0.146 Mpa,0.182 Mpa,0.0819 Mpa,0.125 Mpa,0.108 Mpa,0.102 Mpa,0.140 Mpa,0.213 Mpa,0.117 Mpa
2026-07-19 22:00:00,0.141 Mpa,0.0941 Mpa,0.0526 Mpa,0.0776 Mpa,0.136 Mpa,0.139 Mpa,0.147 Mpa,0.0729 Mpa,0.165 Mpa,0.0881 Mpa
2026-07-20 01:00:00,0.0606 Mpa,0.121 Mpa,0.0886 Mpa,0.0584 Mpa,0.118 Mpa,0.146 Mpa,0.0786 Mpa,0.172 Mpa,0.205 Mpa,0.0925 Mpa
2026-07-20 04:00:00,0.155 Mpa,0.178 Mpa,0.104 Mpa,0.0907 Mpa,0.0780 Mpa,0.134 Mpa,0.0579 Mpa,,0.180 Mpa,0.103 Mpa
2026-07-20 07:00:00,0.121 Mpa,0.135 Mpa,0.142 Mpa,0.0720 Mpa,0.0692 Mpa,0.136 Mpa,0.0619 Mpa,0.420 Mpa,0.124 Mpa,0.0840 Mpa
2026-07-20 10:00:00,0.114 Mpa,0.0920 Mpa,0.125 Mpa,0.158 Mpa,0.103 Mpa,0.310 Mpa,0.106 Mpa,0.144 Mpa,0.169 Mpa,0.123 Mpa
