"Time","B_1 - I38","B_2 - I38","B_3 - I38","B_4 - I38","B_5 - I38","B_6 - I38","B_7 - I38","B_8 - I38","B_1 - I39","B_2 - I39","B_3 - I39","B_4 - I39","B_5 - I39","B_6 - I39","B_7 - I39","B_8 - I39","B_1 - I40","B_2 - I40","B_3 - I40","B_4 - I40","B_5 - I40","B_6 - I40","B_7 - I40","B_8 - I40","B_1 - I41","B_2 - I41","B_3 - I41","B_4 - I41","B_5 - I41","B_6 - I41","B_7 - I41","B_8 - I41","B_1 - I42","B_2 - I42","B_3 - I42","B_4 - I42","B_5 - I42","B_6 - I42","B_7 - I42","B_8 - I42","B_1 - I43","B_2 - I43","B_3 - I43","B_4 - I43","B_5 - I43","B_6 - I43","B_7 - I43","B_8 - I43","B_1 - I44","B_2 - I44","B_3 - I44","B_4 - I44","B_5 - I44","B_6 - I44","B_7 - I44","B_8 - I44","B_1 - I47","B_2 - I47","B_3 - I47","B_4 - I47","B_5 - I47","B_6 - I47","B_7 - I47","B_8 - I47","B_1 - I48","B_2 - I48","B_3 - I48","B_4 - I48","B_5 - I48","B_6 - I48","B_7 - I48","B_8 - I48"," I38"," I39"," I40"," I41"," I42"," I43"," I44"," I47"," I48"
2026-06-16 10:00:00,0.0961 Mpa,0.0786 Mpa,0.101 Mpa,0.0926 Mpa,0.102 Mpa,0.0918 Mpa,5.18 Mpa,5.48 Mpa,4.88 Mpa,6.10 Mpa,3.30 Mpa,0.0103 Mpa,0.0290 Mpa,0.0232 Mpa,0.00491 Mpa,0.00893 Mpa,,,,,,,,,,,,,,,,,,,,,,,,,0.0339 Mpa,6.10 Mpa,0.0513 Mpa,0.0691 Mpa,0.0667 Mpa,6.06 Mpa,0.0250 Mpa,0.0367 Mpa,1.61 Mpa,0.0484 Mpa,0.0318 Mpa,0.0586 Mpa,0.00684 Mpa,0.0731 Mpa,0.0504 Mpa,0.0437 Mpa,0.0781 Mpa,0.0567 Mpa,0.0449 Mpa,0.0833 Mpa,0.0671 Mpa,0.0488 Mpa,4.71 Mpa,0.0271 Mpa,,,,,,,,,1557 RPM,1829 RPM,,,,1849 RPM,1800 RPM,1054 RPM,
2026-06-16 13:00:00,0.123 Mpa,0.108 Mpa,0.128 Mpa,0.123 Mpa,0.132 Mpa,0.121 Mpa,5.20 Mpa,5.22 Mpa,5.59 Mpa,6.10 Mpa,4.23 Mpa,0.0108 Mpa,0.0295 Mpa,0.0220 Mpa,0.00481 Mpa,0.00987 Mpa,5.98 Mpa,0.0236 Mpa,4.18 Mpa,6.10 Mpa,0.0166 Mpa,0.0355 Mpa,0.0538 Mpa,0.0716 Mpa,,,,,,,,,0.00810 Mpa,0.0105 Mpa,0.0484 Mpa,0.00232 Mpa,0.00983 Mpa,0.00316 Mpa,0.0142 Mpa,0.0220 Mpa,0.0378 Mpa,6.10 Mpa,0.0552 Mpa,0.0711 Mpa,0.0672 Mpa,5.43 Mpa,0.0284 Mpa,0.0471 Mpa,5.12 Mpa,0.0528 Mpa,0.0395 Mpa,0.0626 Mpa,0.0137 Mpa,0.0766 Mpa,0.0541 Mpa,0.0497 Mpa,0.0915 Mpa,0.0719 Mpa,0.0508 Mpa,0.0871 Mpa,0.0770 Mpa,0.0591 Mpa,4.25 Mpa,0.0399 Mpa,,,,,,,,,1378 RPM,1804 RPM,1811 RPM,,1258 RPM,1618 RPM,1286 RPM,1780 RPM,
2026-06-16 16:00:00,0.118 Mpa,0.101 Mpa,0.123 Mpa,0.116 Mpa,0.125 Mpa,0.116 Mpa,5.18 Mpa,4.85 Mpa,6.05 Mpa,6.10 Mpa,4.72 Mpa,0.0150 Mpa,0.0345 Mpa,0.0240 Mpa,0.00779 Mpa,0.0184 Mpa,6.08 Mpa,0.0241 Mpa,4.38 Mpa,6.10 Mpa,0.0177 Mpa,0.0340 Mpa,0.0530 Mpa,0.0726 Mpa,,,,,,,,,,,,,,,,,0.0361 Mpa,6.10 Mpa,0.0506 Mpa,0.0679 Mpa,0.0660 Mpa,4.72 Mpa,0.0248 Mpa,0.0466 Mpa,5.41 Mpa,0.0489 Mpa,0.0348 Mpa,0.0572 Mpa,0.0124 Mpa,0.0739 Mpa,0.0502 Mpa,0.0469 Mpa,0.0839 Mpa,0.0644 Mpa,0.0425 Mpa,0.0825 Mpa,0.0695 Mpa,0.0504 Mpa,4.78 Mpa,0.0331 Mpa,,,,,,,,,1462 RPM,1593 RPM,1604 RPM,,,1582 RPM,1514 RPM,1706 RPM,
2026-06-16 19:00:00,0.133 Mpa,0.115 Mpa,0.134 Mpa,0.128 Mpa,0.138 Mpa,0.129 Mpa,4.80 Mpa,5.66 Mpa,6.08 Mpa,6.10 Mpa,5.11 Mpa,0.0174 Mpa,0.0376 Mpa,0.0301 Mpa,0.00966 Mpa,0.0230 Mpa,6.09 Mpa,0.0334 Mpa,3.93 Mpa,6.10 Mpa,0.0248 Mpa,0.0418 Mpa,0.0605 Mpa,0.0835 Mpa,,,,,,,,,,,,,,,,,0.0396 Mpa,6.10 Mpa,0.0559 Mpa,0.0754 Mpa,0.0706 Mpa,5.02 Mpa,0.0294 Mpa,0.0474 Mpa,5.93 Mpa,0.0508 Mpa,0.0369 Mpa,0.0600 Mpa,0.0138 Mpa,0.0766 Mpa,0.0517 Mpa,0.0494 Mpa,0.0896 Mpa,0.0711 Mpa,0.0502 Mpa,0.0902 Mpa,0.0757 Mpa,0.0558 Mpa,5.38 Mpa,0.0373 Mpa,,,,,,,,,1500 RPM,1816 RPM,1550 RPM,,,1744 RPM,1613 RPM,1798 RPM,
2026-06-16 22:00:00,0.125 Mpa,0.106 Mpa,0.126 Mpa,0.121 Mpa,0.131 Mpa,0.122 Mpa,4.69 Mpa,4.97 Mpa,6.09 Mpa,6.10 Mpa,4.64 Mpa,0.0176 Mpa,0.0392 Mpa,0.0302 Mpa,0.00891 Mpa,0.0195 Mpa,6.08 Mpa,0.0298 Mpa,6.05 Mpa,6.10 Mpa,0.0233 Mpa,0.0397 Mpa,0.0573 Mpa,0.0798 Mpa,,,,,,,,,0.00452 Mpa,0.0161 Mpa,0.0549 Mpa,0.00403 Mpa,0.0130 Mpa,0.00413 Mpa,0.0206 Mpa,0.0256 Mpa,0.0426 Mpa,6.10 Mpa,0.0574 Mpa,0.0763 Mpa,0.0720 Mpa,3.61 Mpa,0.0296 Mpa,0.0494 Mpa,5.78 Mpa,0.0476 Mpa,0.0357 Mpa,0.0563 Mpa,0.0136 Mpa,0.0734 Mpa,0.0479 Mpa,0.0461 Mpa,0.0882 Mpa,0.0690 Mpa,0.0502 Mpa,0.0951 Mpa,0.0734 Mpa,0.0536 Mpa,5.90 Mpa,0.0382 Mpa,,,,,,,,,1533 RPM,1791 RPM,1607 RPM,,1620 RPM,1738 RPM,1304 RPM,1597 RPM,
2026-06-17 01:00:00,0.101 Mpa,0.0819 Mpa,0.0990 Mpa,0.0944 Mpa,0.108 Mpa,0.0981 Mpa,4.99 Mpa,5.26 Mpa,6.09 Mpa,6.10 Mpa,4.28 Mpa,0.0156 Mpa,0.0361 Mpa,0.0263 Mpa,0.00757 Mpa,0.0171 Mpa,6.08 Mpa,0.0289 Mpa,5.75 Mpa,6.10 Mpa,0.0201 Mpa,0.0373 Mpa,0.0555 Mpa,0.0796 Mpa,,,,,,,,,0.00566 Mpa,0.0149 Mpa,0.0532 Mpa,0.00426 Mpa,0.0136 Mpa,0.00432 Mpa,0.0175 Mpa,0.0238 Mpa,0.0378 Mpa,6.10 Mpa,0.0522 Mpa,0.0705 Mpa,0.0668 Mpa,4.16 Mpa,0.0272 Mpa,0.0469 Mpa,5.65 Mpa,0.0513 Mpa,0.0381 Mpa,0.0620 Mpa,0.0119 Mpa,0.0764 Mpa,0.0514 Mpa,0.0485 Mpa,0.0856 Mpa,0.0658 Mpa,0.0468 Mpa,0.0955 Mpa,0.0703 Mpa,0.0506 Mpa,5.88 Mpa,0.0383 Mpa,,,,,,,,,1623 RPM,1614 RPM,1514 RPM,,1509 RPM,1686 RPM,1695 RPM,1418 RPM,
2026-06-17 04:00:00,,,,,,,,,6.00 Mpa,6.10 Mpa,4.20 Mpa,0.0185 Mpa,0.0389 Mpa,0.0310 Mpa,0.0105 Mpa,0.0218 Mpa,6.08 Mpa,0.0294 Mpa,5.69 Mpa,6.10 Mpa,0.0189 Mpa,0.0377 Mpa,0.0560 Mpa,0.0807 Mpa,,,,,,,,,0.00511 Mpa,0.0135 Mpa,0.0509 Mpa,0.00263 Mpa,0.0113 Mpa,0.00303 Mpa,0.0168 Mpa,0.0216 Mpa,0.0404 Mpa,6.10 Mpa,0.0546 Mpa,0.0718 Mpa,0.0687 Mpa,5.30 Mpa,0.0296 Mpa,0.0523 Mpa,6.00 Mpa,0.0520 Mpa,0.0383 Mpa,0.0625 Mpa,0.0114 Mpa,0.0758 Mpa,0.0520 Mpa,0.0489 Mpa,0.0918 Mpa,0.0730 Mpa,0.0537 Mpa,0.0955 Mpa,0.0793 Mpa,0.0580 Mpa,4.79 Mpa,0.0414 Mpa,,,,,,,,,,1659 RPM,1489 RPM,,1524 RPM,1565 RPM,1690 RPM,1661 RPM,
2026-06-17 07:00:00,0.0618 Mpa,0.0528 Mpa,0.0748 Mpa,0.0598 Mpa,0.0769 Mpa,0.0628 Mpa,5.94 Mpa,5.85 Mpa,6.08 Mpa,6.10 Mpa,4.01 Mpa,0.0174 Mpa,0.0352 Mpa,0.0290 Mpa,0.00759 Mpa,0.0163 Mpa,6.02 Mpa,0.0239 Mpa,5.67 Mpa,6.10 Mpa,0.0177 Mpa,0.0382 Mpa,0.0553 Mpa,0.0815 Mpa,,,,,,,,,0.00188 Mpa,0.0116 Mpa,0.0487 Mpa,0.00114 Mpa,0.00943 Mpa,0.00151 Mpa,0.0163 Mpa,0.0207 Mpa,0.0407 Mpa,6.10 Mpa,0.0577 Mpa,0.0743 Mpa,0.0734 Mpa,5.64 Mpa,0.0317 Mpa,0.0520 Mpa,5.97 Mpa,0.0499 Mpa,0.0344 Mpa,0.0587 Mpa,0.0116 Mpa,0.0750 Mpa,0.0502 Mpa,0.0473 Mpa,0.0903 Mpa,0.0713 Mpa,0.0508 Mpa,0.0916 Mpa,0.0758 Mpa,0.0566 Mpa,5.25 Mpa,0.0398 Mpa,,,,,,,,,1189 RPM,1787 RPM,1814 RPM,,1720 RPM,1820 RPM,1632 RPM,1778 RPM,
2026-06-17 10:00:00,0.0974 Mpa,0.0897 Mpa,0.102 Mpa,0.0941 Mpa,0.113 Mpa,0.0953 Mpa,5.92 Mpa,3.25 Mpa,5.87 Mpa,6.10 Mpa,4.44 Mpa,0.0119 Mpa,0.0320 Mpa,0.0266 Mpa,0.00650 Mpa,0.0142 Mpa,5.85 Mpa,0.0188 Mpa,3.41 Mpa,5.30 Mpa,0.0104 Mpa,0.0336 Mpa,0.0502 Mpa,0.0790 Mpa,,,,,,,,,0.00140 Mpa,0.00751 Mpa,0.0460 Mpa,0.000955 Mpa,0.00530 Mpa,0.00129 Mpa,0.00979 Mpa,0.0188 Mpa,0.0392 Mpa,6.10 Mpa,0.0543 Mpa,0.0728 Mpa,0.0698 Mpa,6.01 Mpa,0.0269 Mpa,0.0434 Mpa,5.90 Mpa,0.0442 Mpa,0.0318 Mpa,0.0564 Mpa,0.00682 Mpa,0.0694 Mpa,0.0455 Mpa,0.0416 Mpa,0.0895 Mpa,0.0739 Mpa,0.0527 Mpa,0.0946 Mpa,0.0792 Mpa,0.0599 Mpa,4.80 Mpa,0.0421 Mpa,,,,,,,,,1107 RPM,1833 RPM,1809 RPM,,1243 RPM,1826 RPM,1637 RPM,1695 RPM,
2026-06-17 13:00:00,,,,,,,,,5.73 Mpa,6.10 Mpa,3.90 Mpa,0.00908 Mpa,0.0285 Mpa,0.0230 Mpa,0.00528 Mpa,0.0130 Mpa,6.07 Mpa,0.0212 Mpa,4.21 Mpa,5.03 Mpa,0.0148 Mpa,0.0375 Mpa,0.0504 Mpa,0.0925 Mpa,,,,,,,,,0.00547 Mpa,0.0128 Mpa,0.0561 Mpa,0.00279 Mpa,0.0189 Mpa,0.00499 Mpa,0.0252 Mpa,0.0278 Mpa,0.0362 Mpa,6.10 Mpa,0.0521 Mpa,0.0711 Mpa,0.0681 Mpa,6.01 Mpa,0.0275 Mpa,0.0481 Mpa,3.27 Mpa,0.0590 Mpa,0.0469 Mpa,0.0653 Mpa,0.0252 Mpa,0.0810 Mpa,0.0550 Mpa,0.0555 Mpa,0.0873 Mpa,0.0690 Mpa,0.0479 Mpa,0.0859 Mpa,0.0761 Mpa,0.0547 Mpa,4.45 Mpa,0.0362 Mpa,,,,,,,,,,1796 RPM,1581 RPM,,1781 RPM,1750 RPM,1314 RPM,1793 RPM,
2026-06-17 16:00:00,,,,,,,,,6.01 Mpa,6.10 Mpa,5.10 Mpa,0.0166 Mpa,0.0341 Mpa,0.0281 Mpa,0.0114 Mpa,0.0229 Mpa,6.03 Mpa,0.0238 Mpa,5.54 Mpa,6.10 Mpa,0.0143 Mpa,0.0366 Mpa,0.0521 Mpa,0.0931 Mpa,0.339 Mpa,0.524 Mpa,0.467 Mpa,0.427 Mpa,0.650 Mpa,0.345 Mpa,0.364 Mpa,0.313 Mpa,0.00627 Mpa,0.0174 Mpa,0.0577 Mpa,0.00430 Mpa,0.0146 Mpa,0.00484 Mpa,0.0206 Mpa,0.0275 Mpa,0.0316 Mpa,6.10 Mpa,0.0475 Mpa,0.0631 Mpa,0.0611 Mpa,5.84 Mpa,0.0230 Mpa,0.0470 Mpa,3.68 Mpa,0.0513 Mpa,0.0379 Mpa,0.0440 Mpa,0.0142 Mpa,0.0770 Mpa,0.0524 Mpa,0.0498 Mpa,0.0844 Mpa,0.0664 Mpa,0.0451 Mpa,0.0848 Mpa,0.0729 Mpa,0.0518 Mpa,5.07 Mpa,0.0328 Mpa,,,,,,,,,,1570 RPM,1507 RPM,959 RPM,1638 RPM,1388 RPM,1548 RPM,1597 RPM,
2026-06-17 19:00:00,,,,,,,,,6.09 Mpa,6.10 Mpa,4.67 Mpa,0.0182 Mpa,0.0400 Mpa,0.0328 Mpa,0.0113 Mpa,0.0226 Mpa,6.05 Mpa,0.0278 Mpa,6.03 Mpa,6.10 Mpa,0.0165 Mpa,0.0387 Mpa,0.0551 Mpa,0.102 Mpa,0.409 Mpa,0.466 Mpa,0.495 Mpa,0.448 Mpa,0.494 Mpa,0.423 Mpa,0.442 Mpa,0.385 Mpa,0.0122 Mpa,0.0227 Mpa,0.0583 Mpa,0.00487 Mpa,0.0179 Mpa,0.00585 Mpa,0.0245 Mpa,0.0310 Mpa,0.0392 Mpa,6.10 Mpa,0.0526 Mpa,0.0731 Mpa,0.0677 Mpa,5.67 Mpa,0.0283 Mpa,0.0505 Mpa,5.18 Mpa,0.0571 Mpa,0.0437 Mpa,0.0409 Mpa,0.0161 Mpa,0.0813 Mpa,0.0563 Mpa,0.0537 Mpa,0.0887 Mpa,0.0698 Mpa,0.0511 Mpa,0.0915 Mpa,0.0769 Mpa,0.0547 Mpa,4.83 Mpa,0.0376 Mpa,,,,,,,,,,1808 RPM,1536 RPM,1241 RPM,1615 RPM,1641 RPM,1696 RPM,1601 RPM,
2026-06-17 22:00:00,,,,,,,,,6.08 Mpa,6.10 Mpa,4.36 Mpa,0.0196 Mpa,0.0396 Mpa,0.0327 Mpa,0.0113 Mpa,0.0226 Mpa,6.04 Mpa,0.0304 Mpa,5.75 Mpa,6.10 Mpa,0.0197 Mpa,0.0416 Mpa,0.0581 Mpa,0.104 Mpa,0.405 Mpa,0.465 Mpa,0.457 Mpa,0.423 Mpa,0.446 Mpa,0.419 Mpa,0.435 Mpa,0.385 Mpa,0.00889 Mpa,0.0186 Mpa,0.0530 Mpa,0.00433 Mpa,0.0172 Mpa,0.00519 Mpa,0.0214 Mpa,0.0267 Mpa,0.0416 Mpa,6.10 Mpa,0.0552 Mpa,0.0745 Mpa,0.0711 Mpa,5.85 Mpa,0.0292 Mpa,0.0512 Mpa,5.60 Mpa,0.0601 Mpa,0.0474 Mpa,0.0448 Mpa,0.0188 Mpa,0.0847 Mpa,0.0599 Mpa,0.0568 Mpa,0.0883 Mpa,0.0708 Mpa,0.0522 Mpa,0.0931 Mpa,0.0787 Mpa,0.0561 Mpa,5.12 Mpa,0.0382 Mpa,,,,,,,,,,1716 RPM,1590 RPM,1413 RPM,1631 RPM,1715 RPM,1707 RPM,1682 RPM,
2026-06-18 01:00:00,,,,,,,,,6.10 Mpa,6.10 Mpa,5.87 Mpa,0.0152 Mpa,0.0310 Mpa,0.0257 Mpa,0.00859 Mpa,0.0265 Mpa,6.08 Mpa,0.0352 Mpa,5.48 Mpa,6.10 Mpa,0.0233 Mpa,0.0444 Mpa,0.0587 Mpa,0.127 Mpa,0.433 Mpa,0.460 Mpa,0.452 Mpa,0.445 Mpa,0.477 Mpa,0.455 Mpa,0.471 Mpa,0.404 Mpa,0.0101 Mpa,0.0228 Mpa,0.0500 Mpa,0.00123 Mpa,0.0134 Mpa,0.00231 Mpa,0.0207 Mpa,0.0258 Mpa,0.0451 Mpa,6.10 Mpa,0.0610 Mpa,0.0784 Mpa,0.0751 Mpa,6.02 Mpa,0.0344 Mpa,0.0543 Mpa,4.72 Mpa,0.0559 Mpa,0.0456 Mpa,0.0404 Mpa,0.0190 Mpa,0.0792 Mpa,0.0550 Mpa,0.0516 Mpa,0.0882 Mpa,0.0691 Mpa,0.0478 Mpa,0.0910 Mpa,0.0736 Mpa,0.0522 Mpa,5.02 Mpa,0.0380 Mpa,,,,,,,,,,1146 RPM,1505 RPM,1821 RPM,960 RPM,1805 RPM,1463 RPM,1609 RPM,
2026-06-18 04:00:00,,,,,,,,,6.10 Mpa,6.10 Mpa,6.01 Mpa,0.0251 Mpa,0.0479 Mpa,0.0265 Mpa,0.0242 Mpa,0.0285 Mpa,6.01 Mpa,0.0340 Mpa,5.43 Mpa,6.10 Mpa,0.0209 Mpa,0.0415 Mpa,0.0567 Mpa,0.0900 Mpa,0.439 Mpa,0.473 Mpa,0.444 Mpa,0.434 Mpa,0.472 Mpa,0.462 Mpa,0.475 Mpa,0.409 Mpa,0.0219 Mpa,0.0249 Mpa,0.0523 Mpa,0.00213 Mpa,0.0237 Mpa,0.00366 Mpa,0.0250 Mpa,0.0269 Mpa,0.0369 Mpa,6.10 Mpa,0.0541 Mpa,0.0658 Mpa,0.0626 Mpa,5.31 Mpa,0.0280 Mpa,0.0496 Mpa,4.99 Mpa,0.0569 Mpa,0.0468 Mpa,0.0431 Mpa,0.0187 Mpa,0.0814 Mpa,0.0571 Mpa,0.0534 Mpa,0.0868 Mpa,0.0712 Mpa,0.0505 Mpa,0.0944 Mpa,0.0767 Mpa,0.0551 Mpa,4.72 Mpa,0.0385 Mpa,,,,,,,,,,965 RPM,1319 RPM,1712 RPM,1062 RPM,1345 RPM,1434 RPM,1538 RPM,
2026-06-18 07:00:00,,,,,,,,,5.82 Mpa,6.10 Mpa,5.31 Mpa,0.0206 Mpa,0.0394 Mpa,0.0281 Mpa,0.0132 Mpa,0.0276 Mpa,5.84 Mpa,0.0296 Mpa,5.25 Mpa,6.10 Mpa,0.0181 Mpa,0.0404 Mpa,0.0585 Mpa,0.0855 Mpa,0.470 Mpa,0.501 Mpa,0.471 Mpa,0.457 Mpa,0.496 Mpa,0.510 Mpa,0.509 Mpa,0.442 Mpa,0.0128 Mpa,0.0223 Mpa,0.0611 Mpa,0.00593 Mpa,0.0216 Mpa,0.00748 Mpa,0.0279 Mpa,0.0323 Mpa,0.0479 Mpa,6.10 Mpa,0.0623 Mpa,0.0792 Mpa,0.0748 Mpa,6.06 Mpa,0.0369 Mpa,0.0546 Mpa,4.65 Mpa,0.0521 Mpa,0.0379 Mpa,0.0336 Mpa,0.0157 Mpa,0.0777 Mpa,0.0533 Mpa,0.0492 Mpa,0.0924 Mpa,0.0750 Mpa,0.0529 Mpa,0.0914 Mpa,0.0807 Mpa,0.0570 Mpa,5.25 Mpa,0.0387 Mpa,,,,,,,,,,1627 RPM,1693 RPM,1816 RPM,1812 RPM,1743 RPM,1698 RPM,1724 RPM,
2026-06-18 10:00:00,,,,,,,,,6.08 Mpa,6.10 Mpa,5.23 Mpa,0.0159 Mpa,0.0329 Mpa,0.0225 Mpa,0.00805 Mpa,0.0188 Mpa,5.67 Mpa,0.0254 Mpa,4.60 Mpa,6.10 Mpa,0.0161 Mpa,0.0366 Mpa,0.0557 Mpa,0.0816 Mpa,0.490 Mpa,0.511 Mpa,0.492 Mpa,0.476 Mpa,0.517 Mpa,0.670 Mpa,0.531 Mpa,0.465 Mpa,0.00858 Mpa,0.0204 Mpa,0.0587 Mpa,0.00531 Mpa,0.0184 Mpa,0.00629 Mpa,0.0256 Mpa,0.0291 Mpa,0.0412 Mpa,6.10 Mpa,0.0557 Mpa,0.0745 Mpa,0.0694 Mpa,6.10 Mpa,0.0301 Mpa,0.0491 Mpa,3.74 Mpa,0.0532 Mpa,0.0418 Mpa,0.0336 Mpa,0.0132 Mpa,0.0773 Mpa,0.0551 Mpa,0.0498 Mpa,0.0807 Mpa,0.0645 Mpa,0.0434 Mpa,0.0879 Mpa,0.0705 Mpa,0.0498 Mpa,5.84 Mpa,0.0361 Mpa,,,,,,,,,,1662 RPM,1802 RPM,1835 RPM,1737 RPM,1737 RPM,1620 RPM,1632 RPM,
2026-06-18 13:00:00,,,,,,,,,6.08 Mpa,6.10 Mpa,5.85 Mpa,0.0158 Mpa,0.0358 Mpa,0.0249 Mpa,0.0105 Mpa,0.0223 Mpa,5.96 Mpa,0.0211 Mpa,4.95 Mpa,6.10 Mpa,0.0167 Mpa,0.0365 Mpa,0.0527 Mpa,0.0808 Mpa,0.485 Mpa,0.588 Mpa,0.478 Mpa,0.468 Mpa,0.510 Mpa,1.21 Mpa,0.520 Mpa,0.469 Mpa,0.00986 Mpa,0.0188 Mpa,0.0548 Mpa,0.00404 Mpa,0.0139 Mpa,0.00502 Mpa,0.0216 Mpa,0.0248 Mpa,0.0519 Mpa,6.10 Mpa,0.0669 Mpa,0.0855 Mpa,0.0799 Mpa,6.05 Mpa,0.0436 Mpa,0.0629 Mpa,2.02 Mpa,0.0499 Mpa,0.0466 Mpa,0.0425 Mpa,0.0209 Mpa,0.0734 Mpa,0.0498 Mpa,0.0481 Mpa,0.0907 Mpa,0.0738 Mpa,0.0502 Mpa,0.0913 Mpa,0.0802 Mpa,0.0568 Mpa,5.60 Mpa,0.0397 Mpa,,,,,,,,,,1666 RPM,1690 RPM,824 RPM,1528 RPM,1801 RPM,563 RPM,1779 RPM,
2026-06-18 16:00:00,0.0655 Mpa,0.0518 Mpa,0.0683 Mpa,0.0612 Mpa,0.0753 Mpa,0.0644 Mpa,5.95 Mpa,0.0596 Mpa,5.97 Mpa,6.10 Mpa,5.92 Mpa,0.0192 Mpa,0.0395 Mpa,0.0284 Mpa,0.0121 Mpa,0.0232 Mpa,6.00 Mpa,0.0262 Mpa,5.27 Mpa,6.10 Mpa,0.0184 Mpa,0.0386 Mpa,0.0547 Mpa,0.0854 Mpa,0.478 Mpa,0.490 Mpa,0.472 Mpa,0.461 Mpa,0.503 Mpa,1.53 Mpa,0.515 Mpa,0.462 Mpa,0.00930 Mpa,0.0193 Mpa,0.0590 Mpa,0.00475 Mpa,0.0174 Mpa,0.00550 Mpa,0.0234 Mpa,0.0288 Mpa,0.0428 Mpa,6.10 Mpa,0.0555 Mpa,0.0725 Mpa,0.0660 Mpa,5.67 Mpa,0.0329 Mpa,0.0596 Mpa,3.96 Mpa,0.0532 Mpa,0.0443 Mpa,0.0302 Mpa,0.0192 Mpa,0.0778 Mpa,0.0539 Mpa,0.0513 Mpa,0.0838 Mpa,0.0654 Mpa,0.0466 Mpa,0.0924 Mpa,0.0762 Mpa,0.0523 Mpa,5.97 Mpa,0.0343 Mpa,,,,,,,,,1395 RPM,1594 RPM,1560 RPM,1621 RPM,1770 RPM,1570 RPM,1350 RPM,1503 RPM,
2026-06-18 19:00:00,0.0807 Mpa,0.0648 Mpa,0.0816 Mpa,0.0752 Mpa,0.0873 Mpa,0.0792 Mpa,5.33 Mpa,0.583 Mpa,5.95 Mpa,6.10 Mpa,5.88 Mpa,0.0168 Mpa,0.0381 Mpa,0.0272 Mpa,0.00864 Mpa,0.0172 Mpa,5.91 Mpa,0.0231 Mpa,5.72 Mpa,6.10 Mpa,0.0186 Mpa,0.0365 Mpa,0.0537 Mpa,0.0806 Mpa,0.449 Mpa,0.464 Mpa,0.445 Mpa,0.432 Mpa,0.479 Mpa,1.82 Mpa,0.489 Mpa,0.436 Mpa,0.00462 Mpa,0.0128 Mpa,0.0492 Mpa,0.00166 Mpa,0.0111 Mpa,0.00239 Mpa,0.0154 Mpa,0.0216 Mpa,0.0498 Mpa,6.10 Mpa,0.0635 Mpa,0.0821 Mpa,0.0779 Mpa,4.70 Mpa,0.0431 Mpa,0.0653 Mpa,4.64 Mpa,0.0577 Mpa,0.0460 Mpa,0.0348 Mpa,0.0155 Mpa,0.0817 Mpa,0.0582 Mpa,0.0546 Mpa,0.0924 Mpa,0.0745 Mpa,0.0528 Mpa,0.0973 Mpa,0.0822 Mpa,0.0582 Mpa,5.70 Mpa,0.0413 Mpa,,,,,,,,,1513 RPM,1737 RPM,1811 RPM,1775 RPM,1610 RPM,1829 RPM,1835 RPM,1755 RPM,
2026-06-18 22:00:00,0.108 Mpa,0.0929 Mpa,0.111 Mpa,0.105 Mpa,0.117 Mpa,0.112 Mpa,5.42 Mpa,1.05 Mpa,6.04 Mpa,6.10 Mpa,5.81 Mpa,0.0193 Mpa,0.0369 Mpa,0.0291 Mpa,0.0115 Mpa,0.0237 Mpa,5.96 Mpa,0.0242 Mpa,5.29 Mpa,6.10 Mpa,0.0186 Mpa,0.0376 Mpa,0.0543 Mpa,0.0807 Mpa,0.381 Mpa,0.397 Mpa,0.379 Mpa,0.366 Mpa,0.411 Mpa,0.641 Mpa,0.422 Mpa,0.364 Mpa,0.00676 Mpa,0.0137 Mpa,0.0495 Mpa,0.00220 Mpa,0.0144 Mpa,0.00338 Mpa,0.0180 Mpa,0.0217 Mpa,0.0416 Mpa,6.10 Mpa,0.0589 Mpa,0.0770 Mpa,0.0728 Mpa,5.37 Mpa,0.0362 Mpa,0.0566 Mpa,5.44 Mpa,0.0555 Mpa,0.0444 Mpa,0.0345 Mpa,0.0145 Mpa,0.0790 Mpa,0.0561 Mpa,0.0522 Mpa,0.0918 Mpa,0.0753 Mpa,0.0535 Mpa,0.0962 Mpa,0.0820 Mpa,0.0582 Mpa,5.13 Mpa,0.0423 Mpa,,,,,,,,,1556 RPM,1706 RPM,1775 RPM,1806 RPM,1638 RPM,1838 RPM,1783 RPM,1753 RPM,
