"Time","%_FW - I38","%_FW - I39","%_FW - I40","%_FW - I41","%_FW - I42","%_FW - I43","%_FW - I44","%_FW - I47","%_FW - I48"
2026-06-19 10:00:00,15.9%,7.88%,12.7%,7.51%,3.29%,2.69%,10.1%,4.05%,
2026-06-19 13:00:00,8.23%,6.67%,12.3%,6.38%,9.15%,0.144%,8.85%,6.13%,
2026-06-19 16:00:00,18.0%,25.1%,3.47%,6.31%,21.0%,1.40%,14.3%,9.14%,
2026-06-19 19:00:00,37.8%,8.45%,3.88%,2.53%,21.8%,0.668%,12.6%,9.23%,
2026-06-19 22:00:00,16.1%,5.77%,2.80%,4.58%,49.7%,7.87%,8.54%,6.45%,
2026-06-20 01:00:00,5.08%,7.41%,6.35%,5.06%,,7.66%,10.8%,5.51%,
2026-06-20 04:00:00,6.69%,14.1%,2.84%,8.94%,,2.14%,7.40%,5.90%,
2026-06-20 07:00:00,3.10%,6.29%,5.16%,12.5%,,7.95%,8.07%,16.3%,
2026-06-20 10:00:00,5.14%,22.9%,3.80%,8.33%,3.15%,7.89%,9.75%,6.39%,
2026-06-20 13:00:00,6.00%,21.7%,2.88%,10.4%,,10.4%,20.4%,7.55%,
2026-06-20 16:00:00,4.85%,5.33%,1.47%,28.5%,,6.67%,4.08%,2.84%,
2026-06-20 19:00:00,0.0575%,21.4%,0.934%,12.5%,,4.11%,0.952%,7.68%,
2026-06-20 22:00:00,0%,9.07%,2.23%,3.29%,,1.48%,8.65%,5.58%,
2026-06-21 01:00:00,0%,17.4%,2.98%,4.73%,,7.60%,8.17%,2.51%,
2026-06-21 04:00:00,2.52%,3.11%,6.86%,28.3%,,7.52%,3.77%,14.5%,
2026-06-21 07:00:00,8.65%,7.39%,9.89%,11.1%,,5.94%,3.56%,13.2%,
2026-06-21 10:00:00,27.2%,27.8%,11.9%,5.22%,,6.99%,7.25%,14.4%,
2026-06-21 13:00:00,5.47%,28.2%,,0.0415%,,,,12.8%,
2026-06-21 16:00:00,3.05%,22.2%,11.1%,9.09%,,11.9%,0.706%,21.3%,
2026-06-21 19:00:00,2.40%,19.5%,8.10%,6.65%,,0.395%,7.08%,29.2%,
2026-06-21 22:00:00,2.28%,4.56%,12.6%,2.75%,7.66%,0.994%,4.77%,29.7%,
2026-06-22 01:00:00,7.16%,8.63%,13.5%,3.09%,0.0407%,9.85%,5.32%,5.79%,
2026-06-22 04:00:00,5.56%,18.2%,9.90%,6.75%,39.5%,5.99%,2.42%,12.4%,
2026-06-22 07:00:00,2.90%,7.06%,4.93%,5.08%,23.6%,12.8%,6.51%,7.72%,
2026-06-22 10:00:00,26.1%,5.55%,11.9%,1.90%,23.3%,14.8%,3.16%,20.0%,
2026-06-22 13:00:00,22.9%,7.95%,2.59%,3.86%,58.2%,,5.22%,17.9%,
2026-06-22 16:00:00,6.39%,7.34%,7.12%,5.16%,5.18%,,4.89%,10.4%,
2026-06-22 19:00:00,5.05%,17.4%,8.50%,3.22%,2.69%,0.0517%,8.00%,6.40%,
2026-06-22 22:00:00,4.91%,8.52%,5.08%,2.04%,0.644%,,3.69%,2.73%,
2026-06-23 01:00:00,7.91%,41.2%,7.34%,3.03%,2.42%,,3.22%,5.52%,
2026-06-23 04:00:00,7.86%,89.1%,9.62%,24.4%,1.80%,,11.7%,14.7%,
2026-06-23 07:00:00,5.39%,11.4%,9.12%,9.75%,2.44%,,19.7%,37.6%,
2026-06-23 10:00:00,13.9%,20.5%,5.73%,33.5%,2.16%,0%,18.8%,13.1%,
2026-06-23 13:00:00,5.30%,14.3%,7.43%,4.58%,2.89%,,4.61%,6.18%,
2026-06-23 16:00:00,12.2%,,5.29%,2.80%,6.30%,0%,6.24%,11.4%,
2026-06-23 19:00:00,3.07%,,3.74%,9.88%,1.42%,,17.2%,3.03%,
2026-06-23 22:00:00,3.69%,1.50%,5.25%,7.22%,2.75%,0.0592%,12.6%,11.1%,
2026-06-24 01:00:00,7.88%,0.226%,4.61%,9.87%,6.67%,,27.9%,9.25%,
2026-06-24 04:00:00,3.43%,,4.79%,16.0%,5.36%,,,7.09%,
2026-06-24 07:00:00,6.83%,,10.2%,12.1%,8.45%,,,13.3%,
2026-06-24 10:00:00,7.79%,,10.4%,6.01%,36.0%,0%,17.0%,26.4%,
2026-06-24 13:00:00,4.56%,,1.39%,2.48%,1.05%,8.45%,,13.4%,
2026-06-24 16:00:00,4.09%,5.48%,13.0%,1.47%,6.34%,5.42%,,18.6%,
2026-06-24 19:00:00,4.27%,0.0171%,5.32%,13.4%,7.42%,8.77%,,27.8%,
2026-06-24 22:00:00,3.31%,0.144%,9.80%,3.46%,3.37%,12.0%,,24.3%,
2026-06-25 01:00:00,6.93%,0%,6.44%,5.59%,23.0%,16.0%,,22.3%,
2026-06-25 04:00:00,26.9%,0.912%,17.3%,13.7%,55.1%,7.33%,,9.24%,
2026-06-25 07:00:00,7.83%,28.3%,3.15%,4.92%,15.9%,3.35%,,17.1%,
2026-06-25 10:00:00,8.15%,,3.31%,6.74%,1.91%,1.75%,2.64%,6.30%,
2026-06-25 13:00:00,5.06%,,2.94%,2.66%,3.18%,16.7%,41.0%,8.50%,
2026-06-25 16:00:00,6.92%,7.18%,1.65%,5.35%,2.44%,4.02%,7.23%,11.9%,
2026-06-25 19:00:00,6.74%,,9.56%,3.27%,3.91%,3.47%,7.47%,12.2%,
2026-06-25 22:00:00,9.46%,,0.00317%,5.69%,5.88%,1.21%,4.41%,15.8%,
2026-06-26 01:00:00,4.22%,3.48%,,5.34%,0.575%,1.95%,0.624%,4.73%,
2026-06-26 04:00:00,4.32%,,0.483%,2.21%,1.70%,3.03%,7.75%,8.28%,
2026-06-26 07:00:00,6.86%,,,5.66%,4.73%,3.14%,4.93%,7.72%,
2026-06-26 10:00:00,2.64%,,,7.44%,2.86%,4.23%,6.09%,11.4%,
2026-06-26 13:00:00,5.56%,9.78%,,10.2%,0.967%,19.9%,11.6%,5.46%,
2026-06-26 16:00:00,3.38%,5.45%,,4.69%,4.82%,14.3%,5.40%,17.0%,
2026-06-26 19:00:00,4.02%,5.80%,,1.92%,2.05%,2.67%,2.04%,10.2%,
