"Time","%_FW - I45","%_FW - I49","%_FW - I50","%_FW - I52","%_FW - I53","%_FW - I54","%_FW - I55","%_FW - I56","%_FW - I57","%_FW - I58"
2026-06-19 19:00:00,12.9%,4.49%,1.06%,10.7%,6.19%,2.95%,0%,4.41%,,
2026-06-19 22:00:00,4.01%,4.29%,3.31%,6.81%,3.90%,11.4%,6.69%,4.69%,19.8%,
2026-06-20 01:00:00,8.83%,7.80%,2.34%,10.6%,3.37%,3.41%,4.95%,3.03%,1.78%,
2026-06-20 04:00:00,7.78%,6.49%,2.93%,9.56%,5.46%,5.01%,3.63%,2.56%,3.37%,
2026-06-20 07:00:00,25.8%,10.9%,10.9%,11.2%,7.77%,10.1%,8.38%,3.81%,16.3%,
2026-06-20 10:00:00,11.0%,7.77%,8.21%,11.0%,8.01%,18.5%,9.09%,4.02%,3.49%,
2026-06-20 13:00:00,15.8%,9.67%,9.84%,10.1%,13.7%,10.8%,4.98%,8.92%,3.40%,
2026-06-20 16:00:00,4.12%,12.0%,6.86%,12.8%,14.5%,6.93%,5.78%,18.6%,4.27%,
2026-06-20 19:00:00,5.62%,19.7%,3.51%,7.00%,5.91%,10.4%,12.6%,15.2%,2.45%,
2026-06-20 22:00:00,8.99%,10.5%,4.48%,9.81%,7.51%,4.12%,5.93%,4.11%,3.93%,
2026-06-21 01:00:00,4.17%,3.25%,4.07%,6.97%,5.16%,2.14%,3.97%,3.60%,4.94%,
2026-06-21 04:00:00,5.83%,4.46%,5.01%,6.81%,4.37%,8.26%,6.50%,7.06%,4.92%,
2026-06-21 07:00:00,13.7%,6.25%,6.41%,7.06%,4.52%,7.31%,8.67%,7.27%,6.36%,
2026-06-21 10:00:00,18.5%,4.44%,2.90%,27.8%,3.43%,16.1%,10.8%,4.40%,3.17%,
2026-06-21 13:00:00,15.5%,2.03%,,,0.935%,27.9%,,1.68%,3.33%,
2026-06-21 16:00:00,10.8%,2.70%,,7.57%,5.17%,3.60%,4.03%,3.15%,6.59%,
2026-06-21 19:00:00,7.10%,2.76%,,6.66%,23.6%,5.81%,17.7%,3.12%,2.20%,
2026-06-21 22:00:00,8.25%,5.28%,2.62%,6.72%,11.9%,2.88%,23.1%,3.91%,12.7%,
2026-06-22 01:00:00,7.88%,2.35%,5.92%,7.10%,4.19%,7.15%,3.98%,2.64%,8.28%,
2026-06-22 04:00:00,10.0%,3.30%,5.12%,10.6%,11.4%,2.88%,1.81%,9.26%,2.32%,
2026-06-22 07:00:00,11.8%,6.62%,4.49%,6.75%,17.6%,4.66%,4.19%,4.87%,1.67%,
2026-06-22 10:00:00,29.9%,4.39%,8.33%,11.9%,19.0%,8.30%,4.61%,5.52%,3.27%,
2026-06-22 13:00:00,16.6%,3.20%,11.2%,7.67%,23.7%,5.80%,2.11%,13.8%,5.43%,
2026-06-22 16:00:00,7.88%,2.79%,12.5%,7.10%,12.6%,9.07%,2.91%,9.38%,4.10%,
2026-06-22 19:00:00,15.0%,4.37%,6.91%,7.82%,25.3%,0.910%,0.410%,10.7%,1.98%,
2026-06-22 22:00:00,12.0%,1.90%,4.93%,9.57%,17.1%,0.800%,3.27%,3.98%,16.8%,
2026-06-23 01:00:00,2.09%,0.381%,4.20%,8.85%,25.0%,1.93%,2.93%,5.45%,3.23%,
