"Time","P_FW - I38","P_FW - I39","P_FW - I40","P_FW - I41","P_FW - I42","P_FW - I43","P_FW - I44","P_FW - I47","P_FW - I48"
2026-06-21 07:00:00,0.156 Mpa,3.92 Mpa,0.285 Mpa,0.303 Mpa,,0.469 Mpa,0.240 Mpa,0.383 Mpa,
2026-06-21 10:00:00,0.219 Mpa,5.89 Mpa,0.245 Mpa,0.174 Mpa,,0.456 Mpa,0.0543 Mpa,0.377 Mpa,
2026-06-21 13:00:00,0.115 Mpa,3.26 Mpa,,0.0611 Mpa,,,,0.139 Mpa,
2026-06-21 16:00:00,0.0755 Mpa,5.96 Mpa,0.156 Mpa,0.252 Mpa,,0.465 Mpa,0.105 Mpa,0.195 Mpa,
2026-06-21 19:00:00,0.0833 Mpa,6.10 Mpa,0.180 Mpa,0.178 Mpa,,0.302 Mpa,0.222 Mpa,0.462 Mpa,
2026-06-21 22:00:00,0.0984 Mpa,6.10 Mpa,0.207 Mpa,0.210 Mpa,0.202 Mpa,0.310 Mpa,0.206 Mpa,0.254 Mpa,
2026-06-22 01:00:00,0.255 Mpa,5.90 Mpa,0.233 Mpa,0.180 Mpa,0.00212 Mpa,0.344 Mpa,0.194 Mpa,0.257 Mpa,
2026-06-22 04:00:00,0.171 Mpa,0.222 Mpa,0.161 Mpa,0.228 Mpa,0.0565 Mpa,0.338 Mpa,0.144 Mpa,0.423 Mpa,
2026-06-22 07:00:00,0.0989 Mpa,0.111 Mpa,0.480 Mpa,0.189 Mpa,0.154 Mpa,0.338 Mpa,0.496 Mpa,0.350 Mpa,
2026-06-22 10:00:00,0.221 Mpa,0.126 Mpa,0.357 Mpa,0.209 Mpa,0.0983 Mpa,0.477 Mpa,0.157 Mpa,0.495 Mpa,
2026-06-22 13:00:00,0.140 Mpa,0.167 Mpa,0.223 Mpa,0.171 Mpa,0.0300 Mpa,,0.329 Mpa,0.708 Mpa,
2026-06-22 16:00:00,0.102 Mpa,0.0720 Mpa,0.160 Mpa,0.182 Mpa,0.0606 Mpa,,0.136 Mpa,0.536 Mpa,
2026-06-22 19:00:00,0.103 Mpa,0.259 Mpa,0.161 Mpa,0.209 Mpa,0.0705 Mpa,0.180 Mpa,0.226 Mpa,0.344 Mpa,
2026-06-22 22:00:00,0.0832 Mpa,0.185 Mpa,0.223 Mpa,0.213 Mpa,0.0898 Mpa,,0.179 Mpa,0.284 Mpa,
2026-06-23 01:00:00,0.207 Mpa,0.0778 Mpa,0.197 Mpa,0.226 Mpa,0.0448 Mpa,,0.215 Mpa,0.243 Mpa,
2026-06-23 04:00:00,0.130 Mpa,0.0608 Mpa,0.158 Mpa,0.215 Mpa,0.0872 Mpa,,0.178 Mpa,0.317 Mpa,
2026-06-23 07:00:00,0.0882 Mpa,0.0132 Mpa,0.245 Mpa,0.241 Mpa,0.102 Mpa,,0.202 Mpa,0.243 Mpa,
2026-06-23 10:00:00,0.201 Mpa,0.307 Mpa,0.141 Mpa,0.278 Mpa,0.0652 Mpa,0.235 Mpa,0.187 Mpa,0.252 Mpa,
2026-06-23 13:00:00,0.221 Mpa,0.424 Mpa,0.110 Mpa,0.225 Mpa,0.229 Mpa,,0.230 Mpa,0.267 Mpa,
2026-06-23 16:00:00,0.103 Mpa,,0.206 Mpa,0.199 Mpa,0.128 Mpa,0.144 Mpa,0.151 Mpa,0.354 Mpa,
2026-06-23 19:00:00,0.117 Mpa,,0.180 Mpa,0.219 Mpa,0.115 Mpa,,0.148 Mpa,0.271 Mpa,
2026-06-23 22:00:00,0.112 Mpa,0.424 Mpa,0.225 Mpa,0.341 Mpa,0.0769 Mpa,0.148 Mpa,0.146 Mpa,0.354 Mpa,
2026-06-24 01:00:00,0.111 Mpa,0.431 Mpa,0.220 Mpa,0.260 Mpa,0.110 Mpa,,0.0838 Mpa,0.366 Mpa,
2026-06-24 04:00:00,0.0662 Mpa,,0.186 Mpa,0.383 Mpa,0.155 Mpa,,,0.285 Mpa,
2026-06-24 07:00:00,0.187 Mpa,,0.283 Mpa,0.468 Mpa,0.188 Mpa,,,0.299 Mpa,
2026-06-24 10:00:00,0.237 Mpa,,0.160 Mpa,0.321 Mpa,0.111 Mpa,0.147 Mpa,0.0470 Mpa,0.263 Mpa,
2026-06-24 13:00:00,0.154 Mpa,,0.142 Mpa,0.176 Mpa,0.104 Mpa,0.176 Mpa,,0.274 Mpa,
2026-06-24 16:00:00,0.144 Mpa,0.425 Mpa,0.326 Mpa,0.232 Mpa,0.0103 Mpa,0.315 Mpa,,0.285 Mpa,
2026-06-24 19:00:00,0.105 Mpa,0.439 Mpa,0.225 Mpa,0.290 Mpa,0.127 Mpa,0.316 Mpa,,0.359 Mpa,
2026-06-24 22:00:00,0.0906 Mpa,0.455 Mpa,0.256 Mpa,0.214 Mpa,0.0797 Mpa,0.343 Mpa,,0.256 Mpa,
2026-06-25 01:00:00,0.117 Mpa,0.441 Mpa,0.164 Mpa,0.236 Mpa,0.0924 Mpa,0.261 Mpa,,0.148 Mpa,
2026-06-25 04:00:00,0.161 Mpa,0.428 Mpa,0.273 Mpa,0.342 Mpa,0.0283 Mpa,0.341 Mpa,,0.541 Mpa,
2026-06-25 07:00:00,0.155 Mpa,0.438 Mpa,0.308 Mpa,0.269 Mpa,0.178 Mpa,0.362 Mpa,,0.257 Mpa,
2026-06-25 10:00:00,0.214 Mpa,,0.151 Mpa,0.196 Mpa,0.0884 Mpa,0.299 Mpa,0.101 Mpa,0.266 Mpa,
2026-06-25 13:00:00,0.0904 Mpa,,0.206 Mpa,0.228 Mpa,0.111 Mpa,0.475 Mpa,0.198 Mpa,0.243 Mpa,
2026-06-25 16:00:00,0.111 Mpa,0.451 Mpa,0.145 Mpa,0.284 Mpa,0.0836 Mpa,0.291 Mpa,0.222 Mpa,0.259 Mpa,
2026-06-25 19:00:00,0.251 Mpa,,0.191 Mpa,0.140 Mpa,0.171 Mpa,0.357 Mpa,0.246 Mpa,0.267 Mpa,
2026-06-25 22:00:00,0.254 Mpa,,0.0517 Mpa,0.220 Mpa,0.167 Mpa,0.269 Mpa,0.326 Mpa,0.268 Mpa,
2026-06-26 01:00:00,0.0723 Mpa,0.464 Mpa,,0.331 Mpa,0.0630 Mpa,0.276 Mpa,0.186 Mpa,0.316 Mpa,
2026-06-26 04:00:00,0.0850 Mpa,,0.427 Mpa,0.206 Mpa,0.140 Mpa,0.271 Mpa,0.282 Mpa,0.228 Mpa,
2026-06-26 07:00:00,0.140 Mpa,,,0.227 Mpa,0.132 Mpa,0.380 Mpa,0.323 Mpa,0.305 Mpa,
2026-06-26 10:00:00,0.0673 Mpa,,,0.234 Mpa,0.117 Mpa,0.285 Mpa,0.228 Mpa,0.390 Mpa,
2026-06-26 13:00:00,0.0667 Mpa,0.0420 Mpa,,0.295 Mpa,0.276 Mpa,0.503 Mpa,0.425 Mpa,0.291 Mpa,
2026-06-26 16:00:00,0.0385 Mpa,0.00150 Mpa,,0.188 Mpa,0.0991 Mpa,0.397 Mpa,0.268 Mpa,0.203 Mpa,
2026-06-26 19:00:00,0.0786 Mpa,0.0526 Mpa,,0.241 Mpa,0.0826 Mpa,0.255 Mpa,0.223 Mpa,0.285 Mpa,
