"Time","P_FW - I38","P_FW - I39","P_FW - I40","P_FW - I41","P_FW - I42","P_FW - I43","P_FW - I44","P_FW - I47","P_FW - I48"
2026-07-08 13:00:00,0.0415 Mpa,,0.203 Mpa,,0.414 Mpa,0.370 Mpa,0.217 Mpa,,
2026-07-08 16:00:00,0.0942 Mpa,,0.144 Mpa,,0.233 Mpa,0.278 Mpa,0.266 Mpa,,
2026-07-08 19:00:00,0.197 Mpa,,0.120 Mpa,,0.144 Mpa,0.301 Mpa,0.442 Mpa,,0.359 Mpa
2026-07-08 22:00:00,0.161 Mpa,,0.189 Mpa,,0.243 Mpa,0.268 Mpa,0.516 Mpa,,0.284 Mpa
2026-07-09 01:00:00,0.324 Mpa,,0.128 Mpa,,0.162 Mpa,0.298 Mpa,0.268 Mpa,,0.331 Mpa
2026-07-09 04:00:00,0.246 Mpa,,0.141 Mpa,,0.109 Mpa,0.307 Mpa,0.344 Mpa,,0.316 Mpa
2026-07-09 07:00:00,0.336 Mpa,,0.147 Mpa,,0.150 Mpa,0.327 Mpa,0.282 Mpa,,0.278 Mpa
2026-07-09 10:00:00,0.280 Mpa,,0.128 Mpa,,0.232 Mpa,0.316 Mpa,0.312 Mpa,,0.228 Mpa
2026-07-09 13:00:00,0.0721 Mpa,,0.174 Mpa,0.0321 Mpa,0.298 Mpa,0.307 Mpa,0.307 Mpa,,0.171 Mpa
2026-07-09 16:00:00,0.245 Mpa,,0.178 Mpa,0.0518 Mpa,0.267 Mpa,0.257 Mpa,0.219 Mpa,,0.195 Mpa
2026-07-09 19:00:00,0.0957 Mpa,,0.206 Mpa,,0.451 Mpa,0.259 Mpa,0.230 Mpa,,0.208 Mpa
2026-07-09 22:00:00,0.0831 Mpa,,0.155 Mpa,,0.530 Mpa,0.290 Mpa,0.248 Mpa,,0.270 Mpa
2026-07-10 01:00:00,0.114 Mpa,,0.218 Mpa,0.0481 Mpa,0.345 Mpa,0.285 Mpa,0.336 Mpa,,0.260 Mpa
2026-07-10 04:00:00,0.125 Mpa,,0.234 Mpa,0.100 Mpa,0.260 Mpa,0.284 Mpa,0.181 Mpa,,0.241 Mpa
2026-07-10 07:00:00,0.141 Mpa,,0.187 Mpa,0.333 Mpa,0.0948 Mpa,0.331 Mpa,0.0606 Mpa,,0.257 Mpa
2026-07-10 10:00:00,0.110 Mpa,,0.152 Mpa,0.420 Mpa,0.104 Mpa,0.389 Mpa,0.139 Mpa,,0.368 Mpa
2026-07-10 13:00:00,0.120 Mpa,,0.227 Mpa,0.199 Mpa,0.128 Mpa,0.452 Mpa,0.194 Mpa,,0.242 Mpa
2026-07-10 16:00:00,0.101 Mpa,,0.141 Mpa,0.315 Mpa,0.492 Mpa,0.340 Mpa,0.232 Mpa,,0.321 Mpa
2026-07-10 19:00:00,0.122 Mpa,,0.162 Mpa,0.235 Mpa,,0.273 Mpa,0.396 Mpa,,0.275 Mpa
2026-07-10 22:00:00,0.130 Mpa,,0.180 Mpa,0.212 Mpa,,0.271 Mpa,0.259 Mpa,,0.224 Mpa
2026-07-11 01:00:00,0.117 Mpa,,0.162 Mpa,0.137 Mpa,0.443 Mpa,0.355 Mpa,0.289 Mpa,,0.235 Mpa
2026-07-11 04:00:00,0.136 Mpa,,0.0242 Mpa,0.196 Mpa,0.162 Mpa,0.333 Mpa,0.304 Mpa,,0.211 Mpa
2026-07-11 07:00:00,0.114 Mpa,,,0.105 Mpa,0.0416 Mpa,0.308 Mpa,0.241 Mpa,,0.281 Mpa
2026-07-11 10:00:00,0.0705 Mpa,,0.131 Mpa,0.243 Mpa,0.102 Mpa,0.252 Mpa,0.210 Mpa,,0.341 Mpa
2026-07-11 13:00:00,0.143 Mpa,,0.157 Mpa,0.288 Mpa,0.166 Mpa,0.334 Mpa,0.200 Mpa,,0.344 Mpa
2026-07-11 16:00:00,0.262 Mpa,,0.161 Mpa,0.239 Mpa,0.169 Mpa,0.288 Mpa,0.242 Mpa,,0.303 Mpa
2026-07-11 19:00:00,0.230 Mpa,,0.104 Mpa,0.214 Mpa,0.106 Mpa,0.281 Mpa,0.353 Mpa,,0.267 Mpa
2026-07-11 22:00:00,0.143 Mpa,,0.200 Mpa,0.222 Mpa,0.0291 Mpa,0.290 Mpa,0.213 Mpa,,0.244 Mpa
2026-07-12 01:00:00,0.130 Mpa,,0.281 Mpa,0.159 Mpa,0.0833 Mpa,0.384 Mpa,0.259 Mpa,,0.214 Mpa
2026-07-12 04:00:00,0.126 Mpa,,0.227 Mpa,0.187 Mpa,0.0814 Mpa,0.287 Mpa,0.324 Mpa,,0.232 Mpa
2026-07-12 07:00:00,0.143 Mpa,,0.167 Mpa,0.137 Mpa,0.145 Mpa,0.269 Mpa,0.390 Mpa,,0.297 Mpa
2026-07-12 10:00:00,0.269 Mpa,,0.136 Mpa,0.216 Mpa,0.410 Mpa,0.284 Mpa,0.284 Mpa,,0.323 Mpa
2026-07-12 13:00:00,0.202 Mpa,,0.202 Mpa,0.180 Mpa,0.295 Mpa,0.299 Mpa,0.460 Mpa,,0.292 Mpa
2026-07-12 16:00:00,0.167 Mpa,,0.156 Mpa,0.317 Mpa,0.299 Mpa,0.302 Mpa,0.277 Mpa,,0.339 Mpa
2026-07-12 19:00:00,0.361 Mpa,,0.266 Mpa,0.209 Mpa,0.354 Mpa,0.312 Mpa,0.367 Mpa,,0.247 Mpa
2026-07-12 22:00:00,0.468 Mpa,,0.253 Mpa,0.106 Mpa,0.272 Mpa,0.307 Mpa,0.211 Mpa,,0.415 Mpa
2026-07-13 01:00:00,0.282 Mpa,,0.159 Mpa,0.107 Mpa,0.223 Mpa,0.291 Mpa,0.255 Mpa,,0.306 Mpa
2026-07-13 04:00:00,,,0.234 Mpa,0.310 Mpa,0.0869 Mpa,0.283 Mpa,0.225 Mpa,,0.318 Mpa
2026-07-13 07:00:00,,,0.160 Mpa,0.274 Mpa,0.284 Mpa,0.400 Mpa,0.230 Mpa,,0.278 Mpa
2026-07-13 10:00:00,0.00249 Mpa,,0.184 Mpa,0.242 Mpa,0.0591 Mpa,0.516 Mpa,0.273 Mpa,,0.399 Mpa
2026-07-13 13:00:00,,,0.192 Mpa,0.682 Mpa,0.240 Mpa,0.516 Mpa,0.455 Mpa,,0.254 Mpa
2026-07-13 16:00:00,,,0.179 Mpa,0.285 Mpa,0.204 Mpa,0.259 Mpa,0.317 Mpa,,0.206 Mpa
2026-07-13 19:00:00,,,0.297 Mpa,0.182 Mpa,0.153 Mpa,0.275 Mpa,0.584 Mpa,,0.204 Mpa
2026-07-13 22:00:00,,,0.313 Mpa,0.192 Mpa,0.0874 Mpa,0.290 Mpa,0.333 Mpa,,0.131 Mpa
2026-07-14 01:00:00,,,0.103 Mpa,0.174 Mpa,0.177 Mpa,0.478 Mpa,0.607 Mpa,,0.184 Mpa
2026-07-14 04:00:00,,,0.196 Mpa,0.327 Mpa,0.659 Mpa,0.371 Mpa,0.245 Mpa,,0.210 Mpa
2026-07-14 07:00:00,,,0.392 Mpa,0.201 Mpa,0.471 Mpa,0.685 Mpa,0.238 Mpa,,0.211 Mpa
2026-07-14 10:00:00,,,0.208 Mpa,0.281 Mpa,,0.591 Mpa,0.287 Mpa,,0.230 Mpa
2026-07-14 13:00:00,,,0.170 Mpa,0.214 Mpa,0.340 Mpa,0.482 Mpa,0.228 Mpa,,0.237 Mpa
2026-07-14 16:00:00,,,0.193 Mpa,0.177 Mpa,0.197 Mpa,0.565 Mpa,0.213 Mpa,,0.281 Mpa
2026-07-14 19:00:00,,,0.197 Mpa,0.177 Mpa,0.102 Mpa,0.283 Mpa,0.321 Mpa,,0.259 Mpa
2026-07-14 22:00:00,0.00130 Mpa,,0.384 Mpa,0.209 Mpa,0.0795 Mpa,0.289 Mpa,0.261 Mpa,,0.242 Mpa
2026-07-15 01:00:00,0.00663 Mpa,,0.100 Mpa,0.224 Mpa,0.106 Mpa,0.273 Mpa,0.183 Mpa,,0.175 Mpa
2026-07-15 04:00:00,0.315 Mpa,,0.119 Mpa,0.246 Mpa,0.0940 Mpa,0.261 Mpa,0.264 Mpa,,0.164 Mpa
2026-07-15 07:00:00,0.260 Mpa,,0.198 Mpa,0.209 Mpa,0.154 Mpa,0.265 Mpa,0.257 Mpa,,0.294 Mpa
2026-07-15 10:00:00,0 Mpa,,0.141 Mpa,0.229 Mpa,0.0884 Mpa,0.382 Mpa,0.261 Mpa,,0.152 Mpa
2026-07-15 13:00:00,0.00219 Mpa,,0.175 Mpa,0.405 Mpa,0.0732 Mpa,0.244 Mpa,0.260 Mpa,,0.181 Mpa
2026-07-15 16:00:00,0.118 Mpa,,0.142 Mpa,0.181 Mpa,0.0238 Mpa,0.299 Mpa,0.221 Mpa,,0.204 Mpa
2026-07-15 19:00:00,0.381 Mpa,,0.137 Mpa,0.245 Mpa,0.0534 Mpa,0.298 Mpa,0.235 Mpa,,0.171 Mpa
2026-07-15 22:00:00,0.337 Mpa,,0.228 Mpa,0.140 Mpa,0.127 Mpa,0.283 Mpa,0.341 Mpa,,0.191 Mpa
2026-07-16 01:00:00,0.419 Mpa,,0.160 Mpa,0.226 Mpa,0.266 Mpa,0.259 Mpa,0.156 Mpa,,0.208 Mpa
2026-07-16 04:00:00,0.224 Mpa,,0.188 Mpa,0.232 Mpa,0.169 Mpa,0.271 Mpa,0.218 Mpa,,0.157 Mpa
2026-07-16 07:00:00,0.0760 Mpa,,0.140 Mpa,0.206 Mpa,0.141 Mpa,0.321 Mpa,0.248 Mpa,,0.177 Mpa
2026-07-16 10:00:00,0.132 Mpa,,0.176 Mpa,0.187 Mpa,0.347 Mpa,0.292 Mpa,0.220 Mpa,,0.159 Mpa
2026-07-16 13:00:00,0.0729 Mpa,,0.163 Mpa,0.207 Mpa,0.158 Mpa,0.360 Mpa,0.293 Mpa,,0.241 Mpa
2026-07-16 16:00:00,0.202 Mpa,,0.147 Mpa,0.208 Mpa,0.446 Mpa,0.283 Mpa,0.362 Mpa,,0.211 Mpa
2026-07-16 19:00:00,0.134 Mpa,,0.239 Mpa,0.190 Mpa,0.241 Mpa,0.279 Mpa,0.222 Mpa,,0.209 Mpa
2026-07-16 22:00:00,0.348 Mpa,,0.262 Mpa,0.218 Mpa,0.280 Mpa,0.262 Mpa,0.232 Mpa,,0.195 Mpa
2026-07-17 01:00:00,0.108 Mpa,,0.173 Mpa,0.247 Mpa,0.189 Mpa,0.288 Mpa,0.241 Mpa,,0.233 Mpa
2026-07-17 04:00:00,0.152 Mpa,,0.128 Mpa,0.246 Mpa,0.332 Mpa,0.301 Mpa,0.309 Mpa,,0.431 Mpa
2026-07-17 07:00:00,0.205 Mpa,,0.200 Mpa,0.225 Mpa,0.0911 Mpa,0.311 Mpa,0.415 Mpa,,0.238 Mpa
2026-07-17 10:00:00,0.179 Mpa,,0.165 Mpa,0.222 Mpa,0.0965 Mpa,0.292 Mpa,0.229 Mpa,,0.291 Mpa
2026-07-17 13:00:00,0.165 Mpa,0.0242 Mpa,0.157 Mpa,0.182 Mpa,0.0463 Mpa,0.183 Mpa,0.260 Mpa,,0.227 Mpa
2026-07-17 16:00:00,0.124 Mpa,0.00593 Mpa,0.108 Mpa,0.204 Mpa,0.104 Mpa,0.268 Mpa,0.304 Mpa,,0.369 Mpa
2026-07-17 19:00:00,0.151 Mpa,,0.152 Mpa,0.276 Mpa,0.141 Mpa,0.267 Mpa,0.197 Mpa,,0.255 Mpa
2026-07-17 22:00:00,0.177 Mpa,0.0166 Mpa,0.198 Mpa,0.211 Mpa,0.0673 Mpa,0.269 Mpa,,,0.196 Mpa
2026-07-18 01:00:00,0.228 Mpa,,0.184 Mpa,0.235 Mpa,0.225 Mpa,0.268 Mpa,0.286 Mpa,,0.223 Mpa
2026-07-18 04:00:00,0.152 Mpa,,0.129 Mpa,0.162 Mpa,0.126 Mpa,0.342 Mpa,0.235 Mpa,,0.228 Mpa
2026-07-18 07:00:00,0.0753 Mpa,,0.194 Mpa,0.300 Mpa,0.174 Mpa,0.311 Mpa,0.264 Mpa,,0.231 Mpa
2026-07-18 10:00:00,0.297 Mpa,,0.143 Mpa,0.317 Mpa,0.139 Mpa,0.383 Mpa,0.254 Mpa,,0.302 Mpa
2026-07-18 13:00:00,0.118 Mpa,,0.282 Mpa,0.173 Mpa,0.218 Mpa,0.332 Mpa,0.401 Mpa,,0.288 Mpa
2026-07-18 16:00:00,0.101 Mpa,,0.199 Mpa,0.227 Mpa,0.258 Mpa,0.262 Mpa,0.526 Mpa,,0.309 Mpa
2026-07-18 19:00:00,0.0810 Mpa,,0.209 Mpa,0.216 Mpa,0.199 Mpa,0.270 Mpa,0.274 Mpa,,0.227 Mpa
2026-07-18 22:00:00,0.0578 Mpa,,0.250 Mpa,0.191 Mpa,0.0931 Mpa,0.263 Mpa,0.236 Mpa,,0.224 Mpa
2026-07-19 01:00:00,0.242 Mpa,0.00567 Mpa,0.256 Mpa,0.231 Mpa,0.0289 Mpa,0.260 Mpa,0.206 Mpa,,0.336 Mpa
2026-07-19 04:00:00,0.112 Mpa,0.00900 Mpa,0.292 Mpa,0.202 Mpa,0.0911 Mpa,0.300 Mpa,0.229 Mpa,,0.309 Mpa
2026-07-19 07:00:00,0.214 Mpa,0.0125 Mpa,0.227 Mpa,0.238 Mpa,0.0673 Mpa,0.284 Mpa,0.310 Mpa,,0.410 Mpa
2026-07-19 10:00:00,0.221 Mpa,0.0120 Mpa,0.383 Mpa,0.281 Mpa,0.0920 Mpa,0.428 Mpa,0.711 Mpa,,0.282 Mpa
2026-07-19 13:00:00,0.199 Mpa,0.0604 Mpa,0.205 Mpa,0.311 Mpa,0.219 Mpa,0.302 Mpa,0.541 Mpa,,0.186 Mpa
2026-07-19 16:00:00,0.102 Mpa,0.0217 Mpa,0.184 Mpa,0.192 Mpa,,0.235 Mpa,0.333 Mpa,,0.220 Mpa
2026-07-19 19:00:00,0.0935 Mpa,0.000690 Mpa,0.219 Mpa,0.278 Mpa,0.0614 Mpa,0.470 Mpa,0.299 Mpa,,0.639 Mpa
2026-07-19 22:00:00,0.0952 Mpa,0.000906 Mpa,0.177 Mpa,0.194 Mpa,,0.207 Mpa,0.249 Mpa,,0.314 Mpa
2026-07-20 01:00:00,0.0930 Mpa,0.0284 Mpa,0.183 Mpa,0.203 Mpa,,0.266 Mpa,0.219 Mpa,,0.219 Mpa
2026-07-20 04:00:00,0.0875 Mpa,0.0124 Mpa,0.203 Mpa,0.207 Mpa,,0.317 Mpa,0.357 Mpa,,0.201 Mpa
2026-07-20 07:00:00,0.284 Mpa,1.11 Mpa,0.315 Mpa,0.224 Mpa,,0.334 Mpa,0.315 Mpa,,0.211 Mpa
2026-07-20 10:00:00,0.269 Mpa,0.169 Mpa,1.16 Mpa,0.176 Mpa,,0.404 Mpa,0.397 Mpa,,0.274 Mpa
2026-07-20 13:00:00,0.156 Mpa,0.000836 Mpa,0.584 Mpa,0.411 Mpa,,0.453 Mpa,0.335 Mpa,,0.241 Mpa
2026-07-20 16:00:00,0.201 Mpa,0.00325 Mpa,0.505 Mpa,0.282 Mpa,,0.248 Mpa,0.0873 Mpa,,0.619 Mpa
2026-07-20 19:00:00,0.0820 Mpa,0.00619 Mpa,0.302 Mpa,0.171 Mpa,,0.278 Mpa,0.271 Mpa,,0.426 Mpa
2026-07-20 22:00:00,0.0849 Mpa,0.00690 Mpa,0.296 Mpa,0.233 Mpa,,0.412 Mpa,0.279 Mpa,,0.458 Mpa
2026-07-21 01:00:00,0.267 Mpa,0 Mpa,0.270 Mpa,0.235 Mpa,0.0372 Mpa,0.375 Mpa,0.285 Mpa,,0.246 Mpa
2026-07-21 04:00:00,0.133 Mpa,,0.263 Mpa,0.209 Mpa,0.155 Mpa,0.239 Mpa,0.255 Mpa,,0.266 Mpa
2026-07-21 07:00:00,0.123 Mpa,0.0364 Mpa,0.198 Mpa,0.166 Mpa,0.201 Mpa,0.275 Mpa,0.247 Mpa,,0.210 Mpa
2026-07-21 10:00:00,0.220 Mpa,0.146 Mpa,0.160 Mpa,0.236 Mpa,0.0784 Mpa,0.469 Mpa,0.271 Mpa,,0.272 Mpa
2026-07-21 13:00:00,0.210 Mpa,,0.245 Mpa,0.305 Mpa,0.119 Mpa,0.388 Mpa,0.340 Mpa,,0.274 Mpa
2026-07-21 16:00:00,0.0762 Mpa,,0.245 Mpa,0.211 Mpa,0.119 Mpa,0.244 Mpa,0.243 Mpa,,
2026-07-21 19:00:00,0.194 Mpa,,0.202 Mpa,0.236 Mpa,0.175 Mpa,0.435 Mpa,0.359 Mpa,,0.226 Mpa
2026-07-21 22:00:00,0.167 Mpa,,0.305 Mpa,0.357 Mpa,0.165 Mpa,0.467 Mpa,0.210 Mpa,,
2026-07-22 01:00:00,0.196 Mpa,,0.160 Mpa,0.330 Mpa,0.178 Mpa,0.271 Mpa,0.252 Mpa,,
2026-07-22 04:00:00,0.279 Mpa,,0.144 Mpa,0.376 Mpa,0.313 Mpa,0.313 Mpa,0.224 Mpa,,
2026-07-22 07:00:00,0.121 Mpa,,0.227 Mpa,0.290 Mpa,0.142 Mpa,0.242 Mpa,0.354 Mpa,,
2026-07-22 10:00:00,0.229 Mpa,,0.125 Mpa,0.375 Mpa,0.0804 Mpa,0.228 Mpa,0.343 Mpa,,
2026-07-22 13:00:00,0.0000258 Mpa,,0.186 Mpa,0.251 Mpa,0.104 Mpa,0.432 Mpa,0.329 Mpa,,
2026-07-22 16:00:00,0.145 Mpa,,0.156 Mpa,0.206 Mpa,0.224 Mpa,0.257 Mpa,0.315 Mpa,,0.110 Mpa
2026-07-22 19:00:00,0.135 Mpa,,0.186 Mpa,0.238 Mpa,0.251 Mpa,0.201 Mpa,0.236 Mpa,,0.201 Mpa
2026-07-22 22:00:00,0.242 Mpa,,0.164 Mpa,0.361 Mpa,0.144 Mpa,0.214 Mpa,0.222 Mpa,,0.241 Mpa
2026-07-23 01:00:00,0.341 Mpa,,0.296 Mpa,0.276 Mpa,0.0806 Mpa,0.293 Mpa,0.444 Mpa,,0.379 Mpa
2026-07-23 04:00:00,0.173 Mpa,,0.297 Mpa,0.234 Mpa,0.0394 Mpa,0.432 Mpa,,,0.278 Mpa
2026-07-23 07:00:00,0.139 Mpa,,0.305 Mpa,0.242 Mpa,0.0824 Mpa,,,,0.328 Mpa
2026-07-23 10:00:00,0.116 Mpa,,0.149 Mpa,0.279 Mpa,0.290 Mpa,0.180 Mpa,0.0888 Mpa,,0.208 Mpa
2026-07-23 13:00:00,0.178 Mpa,,0.179 Mpa,0.245 Mpa,0.135 Mpa,0.170 Mpa,,,0.318 Mpa
2026-07-23 16:00:00,0.422 Mpa,,0.175 Mpa,0.269 Mpa,0.243 Mpa,,,,0.0462 Mpa
2026-07-23 19:00:00,0.112 Mpa,,0.115 Mpa,0.264 Mpa,0.227 Mpa,,,,0.0480 Mpa
2026-07-23 22:00:00,0.322 Mpa,,0.222 Mpa,0.299 Mpa,0.188 Mpa,0.537 Mpa,,,0.125 Mpa
2026-07-24 01:00:00,0.131 Mpa,,0.195 Mpa,0.248 Mpa,0.0783 Mpa,,,,0.246 Mpa
2026-07-24 04:00:00,0.237 Mpa,,0.164 Mpa,0.461 Mpa,0.216 Mpa,1.01 Mpa,,,0.206 Mpa
2026-07-24 07:00:00,0.384 Mpa,,0.226 Mpa,0.139 Mpa,0.219 Mpa,0.176 Mpa,,,0.222 Mpa
2026-07-24 10:00:00,0.213 Mpa,,0.166 Mpa,0.193 Mpa,0.274 Mpa,0.209 Mpa,0.132 Mpa,,0.158 Mpa
2026-07-24 13:00:00,0.128 Mpa,,0.249 Mpa,0.205 Mpa,0.451 Mpa,,0.264 Mpa,,0.204 Mpa
2026-07-24 16:00:00,0.172 Mpa,,0.204 Mpa,0.238 Mpa,0.0624 Mpa,,0.186 Mpa,,0.259 Mpa
2026-07-24 19:00:00,0.145 Mpa,,0.187 Mpa,0.258 Mpa,0.0800 Mpa,,0.218 Mpa,,0.267 Mpa
2026-07-24 22:00:00,0.0939 Mpa,,0.157 Mpa,0.339 Mpa,0.0830 Mpa,,0.224 Mpa,,0.215 Mpa
2026-07-25 01:00:00,0.275 Mpa,,0.129 Mpa,0.299 Mpa,0.109 Mpa,,0.249 Mpa,,0.178 Mpa
2026-07-25 04:00:00,0.275 Mpa,,0.224 Mpa,0.349 Mpa,0.112 Mpa,,0.201 Mpa,,0.260 Mpa
2026-07-25 07:00:00,0.0945 Mpa,,0.198 Mpa,0.301 Mpa,0.163 Mpa,,0.381 Mpa,,0.198 Mpa
2026-07-25 10:00:00,0.0735 Mpa,0.701 Mpa,0.203 Mpa,0.387 Mpa,0.197 Mpa,,0.204 Mpa,,0.229 Mpa
2026-07-25 13:00:00,0.146 Mpa,,0.176 Mpa,0.356 Mpa,0.176 Mpa,,0.331 Mpa,,0.151 Mpa
2026-07-25 16:00:00,0.0768 Mpa,,0.213 Mpa,0.325 Mpa,0.125 Mpa,,0.184 Mpa,,0.211 Mpa
2026-07-25 19:00:00,0.135 Mpa,,0.171 Mpa,0.295 Mpa,0.149 Mpa,,0.297 Mpa,,0.178 Mpa
2026-07-25 22:00:00,0.0995 Mpa,,0.192 Mpa,0.291 Mpa,0.170 Mpa,,0.352 Mpa,,0.215 Mpa
2026-07-26 01:00:00,0.105 Mpa,,0.147 Mpa,0.279 Mpa,0.131 Mpa,,0.259 Mpa,,0.263 Mpa
2026-07-26 04:00:00,0.238 Mpa,,0.148 Mpa,0.266 Mpa,0.139 Mpa,,0.320 Mpa,,0.259 Mpa
2026-07-26 07:00:00,0.0782 Mpa,,0.222 Mpa,0.310 Mpa,0.175 Mpa,,0.262 Mpa,,0.243 Mpa
2026-07-26 10:00:00,0.0692 Mpa,,0.218 Mpa,0.241 Mpa,0.158 Mpa,,0.326 Mpa,,0.265 Mpa
2026-07-26 13:00:00,0.125 Mpa,,0.236 Mpa,0.390 Mpa,0.378 Mpa,,0.297 Mpa,,0.244 Mpa
2026-07-26 16:00:00,0.142 Mpa,,0.179 Mpa,0.334 Mpa,0.183 Mpa,,0.280 Mpa,,0.417 Mpa
2026-07-26 19:00:00,0.153 Mpa,,0.332 Mpa,0.305 Mpa,0.0677 Mpa,,0.297 Mpa,,0.245 Mpa
2026-07-26 22:00:00,0.194 Mpa,,0.264 Mpa,0.270 Mpa,0.171 Mpa,,0.272 Mpa,,0.236 Mpa
2026-07-27 01:00:00,0.240 Mpa,,0.209 Mpa,0.296 Mpa,,,0.270 Mpa,,0.441 Mpa
2026-07-27 04:00:00,0.522 Mpa,,0.189 Mpa,0.290 Mpa,0 Mpa,,0.270 Mpa,,0.279 Mpa
2026-07-27 07:00:00,0.111 Mpa,,0.238 Mpa,0.254 Mpa,0.476 Mpa,,0.253 Mpa,,0.507 Mpa
2026-07-27 10:00:00,0.133 Mpa,,0.206 Mpa,0.228 Mpa,0.162 Mpa,,0.302 Mpa,,0.234 Mpa
2026-07-27 13:00:00,0.139 Mpa,,0.184 Mpa,0.251 Mpa,0.0833 Mpa,,0.267 Mpa,,0.372 Mpa
2026-07-27 16:00:00,0 Mpa,,0.333 Mpa,0.270 Mpa,0.265 Mpa,,0.220 Mpa,,0.221 Mpa
2026-07-27 19:00:00,,,0.229 Mpa,0.266 Mpa,0.175 Mpa,,0.211 Mpa,,0.258 Mpa
2026-07-27 22:00:00,0.196 Mpa,,0.151 Mpa,0.220 Mpa,0.0775 Mpa,,0.225 Mpa,,0.246 Mpa
2026-07-28 01:00:00,0.243 Mpa,,0.0851 Mpa,0.230 Mpa,0.192 Mpa,,0.223 Mpa,,0.299 Mpa
2026-07-28 04:00:00,0.140 Mpa,,,0.317 Mpa,0.0578 Mpa,,0.264 Mpa,,0.261 Mpa
2026-07-28 07:00:00,0.111 Mpa,,,0.353 Mpa,0.0757 Mpa,,0.343 Mpa,,0.298 Mpa
2026-07-28 10:00:00,0.216 Mpa,,0 Mpa,0.236 Mpa,0.340 Mpa,,0.250 Mpa,,0.259 Mpa
2026-07-28 13:00:00,0.172 Mpa,,,0.436 Mpa,0.101 Mpa,,0.386 Mpa,,0.188 Mpa
2026-07-28 16:00:00,0.143 Mpa,,,0.280 Mpa,0.115 Mpa,,0.239 Mpa,,0.180 Mpa
2026-07-28 19:00:00,0.245 Mpa,,,0.230 Mpa,0.261 Mpa,,0.297 Mpa,,0.184 Mpa
2026-07-28 22:00:00,0.109 Mpa,,,0.285 Mpa,0.498 Mpa,,0.233 Mpa,,0.211 Mpa
2026-07-29 01:00:00,0.103 Mpa,,,0.267 Mpa,0.0416 Mpa,,0.267 Mpa,,0.280 Mpa
2026-07-29 04:00:00,0.227 Mpa,,,0.219 Mpa,0.169 Mpa,,0.209 Mpa,,0.282 Mpa
2026-07-29 07:00:00,0.128 Mpa,,,0.296 Mpa,0.124 Mpa,,0.232 Mpa,,0.335 Mpa
2026-07-29 10:00:00,0.155 Mpa,,,0.333 Mpa,0.103 Mpa,,0.349 Mpa,,0.417 Mpa
2026-07-29 13:00:00,0.183 Mpa,,0.0234 Mpa,0.273 Mpa,0.0300 Mpa,,0.325 Mpa,,0.307 Mpa
2026-07-29 16:00:00,0.227 Mpa,0.140 Mpa,0.00112 Mpa,0.337 Mpa,0.191 Mpa,,0.205 Mpa,,0.191 Mpa
2026-07-29 19:00:00,0.0917 Mpa,,0.353 Mpa,0.277 Mpa,0.175 Mpa,,0.199 Mpa,,0.194 Mpa
2026-07-29 22:00:00,0.0149 Mpa,,0.113 Mpa,0.246 Mpa,0.189 Mpa,,0.252 Mpa,,0.293 Mpa
2026-07-30 01:00:00,0.0957 Mpa,,0.131 Mpa,0.286 Mpa,0.192 Mpa,,0.281 Mpa,,0.492 Mpa
2026-07-30 04:00:00,0.134 Mpa,,0.112 Mpa,0.218 Mpa,0.158 Mpa,,0.214 Mpa,,0.207 Mpa
2026-07-30 07:00:00,0.102 Mpa,,0.238 Mpa,0.283 Mpa,0.0346 Mpa,,0.246 Mpa,,0.397 Mpa
2026-07-30 10:00:00,0.156 Mpa,0.241 Mpa,0.0884 Mpa,0.217 Mpa,0.152 Mpa,,0.301 Mpa,,0.513 Mpa
2026-07-30 13:00:00,0.114 Mpa,0.00553 Mpa,0.0753 Mpa,0.198 Mpa,0.197 Mpa,,0.560 Mpa,,0.207 Mpa
2026-07-30 16:00:00,0.166 Mpa,0.0938 Mpa,0.137 Mpa,0.236 Mpa,0.0785 Mpa,,0.296 Mpa,,0.206 Mpa
2026-07-30 19:00:00,0.138 Mpa,0.118 Mpa,0.197 Mpa,0.302 Mpa,0.0270 Mpa,,0.218 Mpa,,0.257 Mpa
2026-07-30 22:00:00,0.350 Mpa,0.144 Mpa,0.101 Mpa,0.168 Mpa,0.0865 Mpa,,0.212 Mpa,,0.463 Mpa
2026-07-31 01:00:00,0.142 Mpa,0.0749 Mpa,0.0535 Mpa,0.292 Mpa,0.0665 Mpa,,0.122 Mpa,,0.266 Mpa
2026-07-31 04:00:00,0.120 Mpa,0.145 Mpa,0.121 Mpa,0.171 Mpa,0.0605 Mpa,,0.182 Mpa,,0.266 Mpa
2026-07-31 07:00:00,0.0883 Mpa,0.0857 Mpa,0.316 Mpa,0.314 Mpa,0.0946 Mpa,,0.283 Mpa,,0.277 Mpa
2026-07-31 10:00:00,0.141 Mpa,0.160 Mpa,0.360 Mpa,0.106 Mpa,0.0467 Mpa,,0.254 Mpa,,0.212 Mpa
2026-07-31 13:00:00,0.000700 Mpa,0.122 Mpa,0.245 Mpa,0.268 Mpa,0.0958 Mpa,,0.407 Mpa,,0.209 Mpa
2026-07-31 16:00:00,,0.0914 Mpa,0.118 Mpa,0.279 Mpa,0.165 Mpa,,0.298 Mpa,,0.358 Mpa
