sep=,
"Time","I38"
1787059485000,26.709999999999997
1787059500000,26.743333333333336
1787059515000,26.63
1787059530000,26.743333333333336
1787059545000,26.76
1787059560000,25.610000000000003
1787059575000,25.38
1787059590000,26.680000000000003
1787059605000,26.71
1787059620000,
1787059635000,
1787059650000,
1787059665000,26.71
1787059680000,
1787059695000,
1787059710000,
1787059725000,26.76
1787059740000,26.72666666666667
1787059755000,26.709999999999997
1787059770000,26.77666666666667
1787059785000,26.735
1787059800000,
1787059815000,
1787059830000,
1787059845000,
1787059860000,
1787059875000,
1787059890000,
1787059905000,
1787059920000,
1787059935000,
1787059950000,
1787059965000,
1787059980000,
1787059995000,
1787060010000,
1787060025000,
1787060040000,
1787060055000,
1787060070000,
1787060085000,26.665
1787060100000,26.676666666666666
1787060115000,26.709999999999997
1787060130000,26.66333333333333
1787060145000,26.72666666666667
1787060160000,26.72666666666667
1787060175000,26.709999999999997
1787060190000,26.69666666666667
1787060205000,26.72666666666667
1787060220000,26.709999999999997
1787060235000,26.676666666666666
1787060250000,26.72666666666667
1787060265000,26.709999999999997
1787060280000,26.676666666666666
1787060295000,26.72666666666667
1787060310000,26.709999999999997
1787060325000,26.69333333333334
1787060340000,26.72666666666667
1787060355000,26.69333333333334
1787060370000,26.72666666666667
1787060385000,26.676666666666666
1787060400000,26.710000000000004
1787060415000,26.709999999999997
1787060430000,26.69333333333334
1787060445000,26.69666666666667
1787060460000,26.663333333333338
1787060475000,26.710000000000004
1787060490000,26.710000000000004
1787060505000,26.72666666666667
1787060520000,26.709999999999997
1787060535000,26.69333333333334
1787060550000,26.709999999999997
1787060565000,26.72666666666667
1787060580000,26.69333333333334
1787060595000,26.710000000000004
1787060610000,26.646666666666665
1787060625000,26.709999999999997
1787060640000,26.709999999999997
1787060655000,26.69333333333333
1787060670000,26.709999999999997
1787060685000,26.709999999999997
1787060700000,26.69333333333334
1787060715000,26.676666666666666
1787060730000,26.72666666666667
1787060745000,26.25
1787060760000,25.773333333333337
1787060775000,26.71
1787060790000,
1787060805000,
1787060820000,
1787060835000,26.66
1787060850000,
1787060865000,
1787060880000,
1787060895000,26.685000000000002
1787060910000,26.685000000000002
1787060925000,
1787060940000,
1787060955000,
1787060970000,25.330000000000002
1787060985000,
1787061000000,
1787061015000,
1787061030000,26.71
1787061045000,26.646666666666665
1787061060000,26.676666666666666
1787061075000,26.71
1787061090000,
1787061105000,
1787061120000,
1787061135000,26.71
1787061150000,
1787061165000,
1787061180000,
1787061195000,26.66
1787061210000,26.72666666666667
1787061225000,26.69333333333333
1787061240000,26.69333333333333
1787061255000,26.69333333333333
1787061270000,26.709999999999997
1787061285000,26.709999999999997
1787061300000,26.663333333333338
1787061315000,26.676666666666666
1787061330000,26.69333333333334
1787061345000,26.679999999999996
1787061360000,26.69333333333334
1787061375000,26.709999999999997
1787061390000,25.38
1787061405000,26.233333333333334
1787061420000,26.69333333333333
1787061435000,26.710000000000004
1787061450000,26.743333333333336
1787061465000,26.72666666666667
1787061480000,26.69333333333334
1787061495000,26.709999999999997
1787061510000,26.679999999999996
1787061525000,26.69333333333334
1787061540000,26.676666666666666
1787061555000,26.710000000000004
1787061570000,26.69333333333334
1787061585000,26.676666666666666
1787061600000,26.69333333333334
1787061615000,26.709999999999997
1787061630000,25.873333333333335
1787061645000,25.823333333333334
1787061660000,26.69333333333333
1787061675000,26.69333333333334
1787061690000,26.680000000000003
1787061705000,26.72666666666667
1787061720000,26.69333333333334
1787061735000,26.676666666666666
1787061750000,26.69333333333333
1787061765000,26.743333333333336
1787061780000,26.69333333333333
1787061795000,26.69333333333333
